timestamp, power.draw [W]
Wed Oct  8 20:00:20 IDT 2025, 106 W
Wed Oct  8 20:00:20 IDT 2025, 90 W
Wed Oct  8 20:00:20 IDT 2025, 117 W
Wed Oct  8 20:00:20 IDT 2025, 88 W
Wed Oct  8 20:00:20 IDT 2025, 119 W
Wed Oct  8 20:00:20 IDT 2025, 91 W
Wed Oct  8 20:00:20 IDT 2025, 127 W
Wed Oct  8 20:00:20 IDT 2025, 96 W
Wed Oct  8 20:00:21 IDT 2025, 105 W
Wed Oct  8 20:00:21 IDT 2025, 91 W
Wed Oct  8 20:00:21 IDT 2025, 115 W
Wed Oct  8 20:00:21 IDT 2025, 89 W
Wed Oct  8 20:00:21 IDT 2025, 123 W
Wed Oct  8 20:00:21 IDT 2025, 88 W
Wed Oct  8 20:00:21 IDT 2025, 117 W
Wed Oct  8 20:00:21 IDT 2025, 94 W
Wed Oct  8 20:00:22 IDT 2025, 105 W
Wed Oct  8 20:00:22 IDT 2025, 89 W
Wed Oct  8 20:00:22 IDT 2025, 115 W
Wed Oct  8 20:00:22 IDT 2025, 95 W
Wed Oct  8 20:00:22 IDT 2025, 124 W
Wed Oct  8 20:00:22 IDT 2025, 87 W
Wed Oct  8 20:00:22 IDT 2025, 115 W
Wed Oct  8 20:00:22 IDT 2025, 96 W
Wed Oct  8 20:00:23 IDT 2025, 109 W
Wed Oct  8 20:00:23 IDT 2025, 93 W
Wed Oct  8 20:00:23 IDT 2025, 121 W
Wed Oct  8 20:00:23 IDT 2025, 92 W
Wed Oct  8 20:00:23 IDT 2025, 122 W
Wed Oct  8 20:00:23 IDT 2025, 93 W
Wed Oct  8 20:00:23 IDT 2025, 123 W
Wed Oct  8 20:00:23 IDT 2025, 95 W
Wed Oct  8 20:00:24 IDT 2025, 108 W
Wed Oct  8 20:00:24 IDT 2025, 95 W
Wed Oct  8 20:00:24 IDT 2025, 113 W
Wed Oct  8 20:00:24 IDT 2025, 92 W
Wed Oct  8 20:00:24 IDT 2025, 120 W
Wed Oct  8 20:00:24 IDT 2025, 88 W
Wed Oct  8 20:00:24 IDT 2025, 120 W
Wed Oct  8 20:00:24 IDT 2025, 91 W
Wed Oct  8 20:00:25 IDT 2025, 104 W
Wed Oct  8 20:00:25 IDT 2025, 95 W
Wed Oct  8 20:00:25 IDT 2025, 118 W
Wed Oct  8 20:00:25 IDT 2025, 86 W
Wed Oct  8 20:00:25 IDT 2025, 116 W
Wed Oct  8 20:00:25 IDT 2025, 86 W
Wed Oct  8 20:00:25 IDT 2025, 120 W
Wed Oct  8 20:00:25 IDT 2025, 89 W
Wed Oct  8 20:00:26 IDT 2025, 107 W
Wed Oct  8 20:00:26 IDT 2025, 89 W
Wed Oct  8 20:00:26 IDT 2025, 120 W
Wed Oct  8 20:00:26 IDT 2025, 88 W
Wed Oct  8 20:00:26 IDT 2025, 116 W
Wed Oct  8 20:00:26 IDT 2025, 86 W
Wed Oct  8 20:00:26 IDT 2025, 121 W
Wed Oct  8 20:00:26 IDT 2025, 98 W
Wed Oct  8 20:00:27 IDT 2025, 101 W
Wed Oct  8 20:00:27 IDT 2025, 92 W
Wed Oct  8 20:00:27 IDT 2025, 111 W
Wed Oct  8 20:00:27 IDT 2025, 98 W
Wed Oct  8 20:00:27 IDT 2025, 115 W
Wed Oct  8 20:00:27 IDT 2025, 90 W
Wed Oct  8 20:00:27 IDT 2025, 125 W
Wed Oct  8 20:00:27 IDT 2025, 102 W
Wed Oct  8 20:00:28 IDT 2025, 108 W
Wed Oct  8 20:00:28 IDT 2025, 94 W
Wed Oct  8 20:00:28 IDT 2025, 111 W
Wed Oct  8 20:00:28 IDT 2025, 85 W
Wed Oct  8 20:00:28 IDT 2025, 118 W
Wed Oct  8 20:00:28 IDT 2025, 90 W
Wed Oct  8 20:00:28 IDT 2025, 122 W
Wed Oct  8 20:00:28 IDT 2025, 91 W
Wed Oct  8 20:00:29 IDT 2025, 103 W
Wed Oct  8 20:00:29 IDT 2025, 94 W
Wed Oct  8 20:00:29 IDT 2025, 122 W
Wed Oct  8 20:00:29 IDT 2025, 92 W
Wed Oct  8 20:00:29 IDT 2025, 120 W
Wed Oct  8 20:00:29 IDT 2025, 88 W
Wed Oct  8 20:00:29 IDT 2025, 122 W
Wed Oct  8 20:00:29 IDT 2025, 99 W
Wed Oct  8 20:00:30 IDT 2025, 110 W
Wed Oct  8 20:00:30 IDT 2025, 92 W
Wed Oct  8 20:00:30 IDT 2025, 119 W
Wed Oct  8 20:00:30 IDT 2025, 88 W
Wed Oct  8 20:00:30 IDT 2025, 121 W
Wed Oct  8 20:00:30 IDT 2025, 86 W
Wed Oct  8 20:00:30 IDT 2025, 123 W
Wed Oct  8 20:00:30 IDT 2025, 97 W
Wed Oct  8 20:00:31 IDT 2025, 108 W
Wed Oct  8 20:00:31 IDT 2025, 93 W
Wed Oct  8 20:00:31 IDT 2025, 117 W
Wed Oct  8 20:00:31 IDT 2025, 98 W
Wed Oct  8 20:00:31 IDT 2025, 120 W
Wed Oct  8 20:00:31 IDT 2025, 88 W
Wed Oct  8 20:00:31 IDT 2025, 119 W
Wed Oct  8 20:00:31 IDT 2025, 95 W
Wed Oct  8 20:00:32 IDT 2025, 102 W
Wed Oct  8 20:00:32 IDT 2025, 91 W
Wed Oct  8 20:00:32 IDT 2025, 115 W
Wed Oct  8 20:00:32 IDT 2025, 88 W
Wed Oct  8 20:00:32 IDT 2025, 118 W
Wed Oct  8 20:00:32 IDT 2025, 88 W
Wed Oct  8 20:00:32 IDT 2025, 129 W
Wed Oct  8 20:00:32 IDT 2025, 92 W
Wed Oct  8 20:00:33 IDT 2025, 106 W
Wed Oct  8 20:00:33 IDT 2025, 90 W
Wed Oct  8 20:00:33 IDT 2025, 116 W
