timestamp, power.draw [W]
Tue Oct  7 21:30:01 IDT 2025, 223 W
Tue Oct  7 21:30:01 IDT 2025, 223 W
Tue Oct  7 21:30:01 IDT 2025, 221 W
Tue Oct  7 21:30:01 IDT 2025, 227 W
Tue Oct  7 21:30:02 IDT 2025, 223 W
Tue Oct  7 21:30:02 IDT 2025, 223 W
Tue Oct  7 21:30:02 IDT 2025, 221 W
Tue Oct  7 21:30:02 IDT 2025, 225 W
Tue Oct  7 21:30:03 IDT 2025, 224 W
Tue Oct  7 21:30:03 IDT 2025, 223 W
Tue Oct  7 21:30:03 IDT 2025, 222 W
Tue Oct  7 21:30:03 IDT 2025, 227 W
Tue Oct  7 21:30:04 IDT 2025, 223 W
Tue Oct  7 21:30:04 IDT 2025, 223 W
Tue Oct  7 21:30:04 IDT 2025, 221 W
Tue Oct  7 21:30:04 IDT 2025, 227 W
Tue Oct  7 21:30:05 IDT 2025, 223 W
Tue Oct  7 21:30:05 IDT 2025, 223 W
Tue Oct  7 21:30:05 IDT 2025, 221 W
Tue Oct  7 21:30:05 IDT 2025, 227 W
Tue Oct  7 21:30:06 IDT 2025, 223 W
Tue Oct  7 21:30:06 IDT 2025, 223 W
Tue Oct  7 21:30:06 IDT 2025, 222 W
Tue Oct  7 21:30:06 IDT 2025, 228 W
Tue Oct  7 21:30:07 IDT 2025, 227 W
Tue Oct  7 21:30:07 IDT 2025, 227 W
Tue Oct  7 21:30:07 IDT 2025, 225 W
Tue Oct  7 21:30:07 IDT 2025, 231 W
Tue Oct  7 21:30:08 IDT 2025, 228 W
Tue Oct  7 21:30:08 IDT 2025, 228 W
Tue Oct  7 21:30:08 IDT 2025, 226 W
Tue Oct  7 21:30:08 IDT 2025, 231 W
Tue Oct  7 21:30:09 IDT 2025, 228 W
Tue Oct  7 21:30:09 IDT 2025, 228 W
Tue Oct  7 21:30:09 IDT 2025, 226 W
Tue Oct  7 21:30:09 IDT 2025, 231 W
Tue Oct  7 21:30:10 IDT 2025, 228 W
Tue Oct  7 21:30:10 IDT 2025, 228 W
Tue Oct  7 21:30:10 IDT 2025, 226 W
Tue Oct  7 21:30:10 IDT 2025, 233 W
Tue Oct  7 21:30:11 IDT 2025, 228 W
Tue Oct  7 21:30:11 IDT 2025, 228 W
Tue Oct  7 21:30:11 IDT 2025, 226 W
Tue Oct  7 21:30:11 IDT 2025, 231 W
Tue Oct  7 21:30:12 IDT 2025, 228 W
Tue Oct  7 21:30:12 IDT 2025, 228 W
Tue Oct  7 21:30:12 IDT 2025, 226 W
Tue Oct  7 21:30:12 IDT 2025, 231 W
