timestamp, power.draw [W]
Wed Oct  8 21:08:52 IDT 2025, 226 W
Wed Oct  8 21:08:52 IDT 2025, 229 W
Wed Oct  8 21:08:53 IDT 2025, 226 W
Wed Oct  8 21:08:53 IDT 2025, 230 W
Wed Oct  8 21:08:54 IDT 2025, 226 W
Wed Oct  8 21:08:54 IDT 2025, 229 W
Wed Oct  8 21:08:55 IDT 2025, 226 W
Wed Oct  8 21:08:55 IDT 2025, 230 W
Wed Oct  8 21:08:56 IDT 2025, 226 W
Wed Oct  8 21:08:56 IDT 2025, 228 W
Wed Oct  8 21:08:57 IDT 2025, 226 W
Wed Oct  8 21:08:57 IDT 2025, 230 W
Wed Oct  8 21:08:58 IDT 2025, 231 W
Wed Oct  8 21:08:58 IDT 2025, 233 W
Wed Oct  8 21:08:59 IDT 2025, 230 W
Wed Oct  8 21:08:59 IDT 2025, 232 W
Wed Oct  8 21:09:00 IDT 2025, 231 W
Wed Oct  8 21:09:00 IDT 2025, 232 W
Wed Oct  8 21:09:01 IDT 2025, 231 W
Wed Oct  8 21:09:01 IDT 2025, 234 W
Wed Oct  8 21:09:02 IDT 2025, 231 W
Wed Oct  8 21:09:02 IDT 2025, 234 W
Wed Oct  8 21:09:03 IDT 2025, 231 W
Wed Oct  8 21:09:03 IDT 2025, 234 W
Wed Oct  8 21:09:04 IDT 2025, 231 W
Wed Oct  8 21:09:04 IDT 2025, 234 W
Wed Oct  8 21:09:05 IDT 2025, 231 W
Wed Oct  8 21:09:05 IDT 2025, 234 W
Wed Oct  8 21:09:06 IDT 2025, 231 W
Wed Oct  8 21:09:06 IDT 2025, 233 W
Wed Oct  8 21:09:07 IDT 2025, 231 W
Wed Oct  8 21:09:07 IDT 2025, 235 W
Wed Oct  8 21:09:08 IDT 2025, 230 W
Wed Oct  8 21:09:08 IDT 2025, 233 W
Wed Oct  8 21:09:09 IDT 2025, 230 W
Wed Oct  8 21:09:09 IDT 2025, 234 W
Wed Oct  8 21:09:10 IDT 2025, 231 W
Wed Oct  8 21:09:10 IDT 2025, 235 W
Wed Oct  8 21:09:11 IDT 2025, 231 W
Wed Oct  8 21:09:11 IDT 2025, 232 W
Wed Oct  8 21:09:12 IDT 2025, 231 W
Wed Oct  8 21:09:12 IDT 2025, 235 W
Wed Oct  8 21:09:13 IDT 2025, 231 W
Wed Oct  8 21:09:13 IDT 2025, 235 W
Wed Oct  8 21:09:14 IDT 2025, 231 W
Wed Oct  8 21:09:14 IDT 2025, 234 W
Wed Oct  8 21:09:15 IDT 2025, 229 W
Wed Oct  8 21:09:15 IDT 2025, 232 W
Wed Oct  8 21:09:16 IDT 2025, 229 W
Wed Oct  8 21:09:16 IDT 2025, 232 W
Wed Oct  8 21:09:17 IDT 2025, 228 W
Wed Oct  8 21:09:17 IDT 2025, 231 W
Wed Oct  8 21:09:18 IDT 2025, 336 W
Wed Oct  8 21:09:18 IDT 2025, 282 W
Wed Oct  8 21:09:19 IDT 2025, 266 W
Wed Oct  8 21:09:19 IDT 2025, 372 W
Wed Oct  8 21:09:20 IDT 2025, 292 W
Wed Oct  8 21:09:20 IDT 2025, 312 W
Wed Oct  8 21:09:21 IDT 2025, 262 W
Wed Oct  8 21:09:21 IDT 2025, 358 W
Wed Oct  8 21:09:22 IDT 2025, 272 W
Wed Oct  8 21:09:22 IDT 2025, 372 W
Wed Oct  8 21:09:23 IDT 2025, 279 W
Wed Oct  8 21:09:23 IDT 2025, 327 W
Wed Oct  8 21:09:24 IDT 2025, 362 W
Wed Oct  8 21:09:24 IDT 2025, 263 W
Wed Oct  8 21:09:25 IDT 2025, 314 W
Wed Oct  8 21:09:25 IDT 2025, 274 W
Wed Oct  8 21:09:26 IDT 2025, 360 W
Wed Oct  8 21:09:26 IDT 2025, 265 W
Wed Oct  8 21:09:27 IDT 2025, 287 W
Wed Oct  8 21:09:27 IDT 2025, 373 W
Wed Oct  8 21:09:28 IDT 2025, 274 W
Wed Oct  8 21:09:28 IDT 2025, 354 W
Wed Oct  8 21:09:29 IDT 2025, 362 W
Wed Oct  8 21:09:29 IDT 2025, 264 W
Wed Oct  8 21:09:30 IDT 2025, 314 W
Wed Oct  8 21:09:30 IDT 2025, 310 W
Wed Oct  8 21:09:31 IDT 2025, 366 W
Wed Oct  8 21:09:31 IDT 2025, 274 W
Wed Oct  8 21:09:32 IDT 2025, 340 W
Wed Oct  8 21:09:32 IDT 2025, 286 W
Wed Oct  8 21:09:33 IDT 2025, 361 W
Wed Oct  8 21:09:33 IDT 2025, 268 W
Wed Oct  8 21:09:34 IDT 2025, 300 W
Wed Oct  8 21:09:34 IDT 2025, 372 W
Wed Oct  8 21:09:35 IDT 2025, 296 W
Wed Oct  8 21:09:35 IDT 2025, 321 W
Wed Oct  8 21:09:36 IDT 2025, 265 W
Wed Oct  8 21:09:36 IDT 2025, 365 W
Wed Oct  8 21:09:37 IDT 2025, 321 W
Wed Oct  8 21:09:37 IDT 2025, 278 W
Wed Oct  8 21:09:38 IDT 2025, 298 W
Wed Oct  8 21:09:38 IDT 2025, 314 W
Wed Oct  8 21:09:39 IDT 2025, 372 W
Wed Oct  8 21:09:39 IDT 2025, 286 W
Wed Oct  8 21:09:40 IDT 2025, 336 W
Wed Oct  8 21:09:40 IDT 2025, 288 W
Wed Oct  8 21:09:41 IDT 2025, 273 W
Wed Oct  8 21:09:41 IDT 2025, 361 W
Wed Oct  8 21:09:42 IDT 2025, 309 W
Wed Oct  8 21:09:42 IDT 2025, 294 W
Wed Oct  8 21:09:43 IDT 2025, 337 W
Wed Oct  8 21:09:43 IDT 2025, 277 W
Wed Oct  8 21:09:44 IDT 2025, 329 W
Wed Oct  8 21:09:44 IDT 2025, 286 W
Wed Oct  8 21:09:45 IDT 2025, 362 W
Wed Oct  8 21:09:45 IDT 2025, 277 W
Wed Oct  8 21:09:46 IDT 2025, 280 W
Wed Oct  8 21:09:46 IDT 2025, 371 W
Wed Oct  8 21:09:47 IDT 2025, 283 W
Wed Oct  8 21:09:47 IDT 2025, 348 W
Wed Oct  8 21:09:48 IDT 2025, 298 W
Wed Oct  8 21:09:48 IDT 2025, 362 W
Wed Oct  8 21:09:49 IDT 2025, 343 W
Wed Oct  8 21:09:49 IDT 2025, 298 W
Wed Oct  8 21:09:50 IDT 2025, 274 W
Wed Oct  8 21:09:50 IDT 2025, 360 W
Wed Oct  8 21:09:51 IDT 2025, 288 W
Wed Oct  8 21:09:51 IDT 2025, 322 W
Wed Oct  8 21:09:52 IDT 2025, 358 W
Wed Oct  8 21:09:52 IDT 2025, 270 W
Wed Oct  8 21:09:53 IDT 2025, 311 W
Wed Oct  8 21:09:53 IDT 2025, 350 W
Wed Oct  8 21:09:54 IDT 2025, 270 W
Wed Oct  8 21:09:54 IDT 2025, 365 W
Wed Oct  8 21:09:55 IDT 2025, 270 W
Wed Oct  8 21:09:55 IDT 2025, 376 W
Wed Oct  8 21:09:56 IDT 2025, 356 W
Wed Oct  8 21:09:56 IDT 2025, 273 W
Wed Oct  8 21:09:57 IDT 2025, 299 W
Wed Oct  8 21:09:57 IDT 2025, 349 W
Wed Oct  8 21:09:58 IDT 2025, 339 W
Wed Oct  8 21:09:58 IDT 2025, 286 W
Wed Oct  8 21:09:59 IDT 2025, 366 W
Wed Oct  8 21:09:59 IDT 2025, 279 W
Wed Oct  8 21:10:00 IDT 2025, 334 W
Wed Oct  8 21:10:00 IDT 2025, 284 W
Wed Oct  8 21:10:01 IDT 2025, 362 W
Wed Oct  8 21:10:01 IDT 2025, 275 W
Wed Oct  8 21:10:02 IDT 2025, 268 W
Wed Oct  8 21:10:02 IDT 2025, 357 W
Wed Oct  8 21:10:03 IDT 2025, 268 W
Wed Oct  8 21:10:03 IDT 2025, 370 W
Wed Oct  8 21:10:04 IDT 2025, 280 W
Wed Oct  8 21:10:04 IDT 2025, 376 W
Wed Oct  8 21:10:05 IDT 2025, 323 W
Wed Oct  8 21:10:05 IDT 2025, 301 W
Wed Oct  8 21:10:06 IDT 2025, 284 W
Wed Oct  8 21:10:06 IDT 2025, 373 W
Wed Oct  8 21:10:07 IDT 2025, 353 W
Wed Oct  8 21:10:07 IDT 2025, 281 W
Wed Oct  8 21:10:08 IDT 2025, 365 W
Wed Oct  8 21:10:08 IDT 2025, 265 W
Wed Oct  8 21:10:09 IDT 2025, 290 W
Wed Oct  8 21:10:09 IDT 2025, 331 W
Wed Oct  8 21:10:10 IDT 2025, 362 W
Wed Oct  8 21:10:10 IDT 2025, 281 W
Wed Oct  8 21:10:11 IDT 2025, 276 W
Wed Oct  8 21:10:11 IDT 2025, 343 W
Wed Oct  8 21:10:12 IDT 2025, 363 W
Wed Oct  8 21:10:12 IDT 2025, 271 W
Wed Oct  8 21:10:13 IDT 2025, 343 W
Wed Oct  8 21:10:13 IDT 2025, 284 W
Wed Oct  8 21:10:14 IDT 2025, 359 W
Wed Oct  8 21:10:14 IDT 2025, 281 W
Wed Oct  8 21:10:15 IDT 2025, 292 W
Wed Oct  8 21:10:15 IDT 2025, 334 W
Wed Oct  8 21:10:16 IDT 2025, 276 W
Wed Oct  8 21:10:16 IDT 2025, 372 W
Wed Oct  8 21:10:17 IDT 2025, 269 W
Wed Oct  8 21:10:17 IDT 2025, 354 W
Wed Oct  8 21:10:18 IDT 2025, 279 W
Wed Oct  8 21:10:18 IDT 2025, 359 W
Wed Oct  8 21:10:19 IDT 2025, 275 W
Wed Oct  8 21:10:19 IDT 2025, 374 W
Wed Oct  8 21:10:20 IDT 2025, 353 W
Wed Oct  8 21:10:20 IDT 2025, 279 W
Wed Oct  8 21:10:21 IDT 2025, 366 W
Wed Oct  8 21:10:21 IDT 2025, 272 W
Wed Oct  8 21:10:22 IDT 2025, 282 W
Wed Oct  8 21:10:22 IDT 2025, 357 W
Wed Oct  8 21:10:23 IDT 2025, 364 W
Wed Oct  8 21:10:23 IDT 2025, 279 W
Wed Oct  8 21:10:24 IDT 2025, 322 W
Wed Oct  8 21:10:24 IDT 2025, 307 W
Wed Oct  8 21:10:25 IDT 2025, 274 W
Wed Oct  8 21:10:25 IDT 2025, 363 W
Wed Oct  8 21:10:26 IDT 2025, 293 W
Wed Oct  8 21:10:26 IDT 2025, 309 W
Wed Oct  8 21:10:27 IDT 2025, 275 W
Wed Oct  8 21:10:27 IDT 2025, 373 W
Wed Oct  8 21:10:28 IDT 2025, 304 W
Wed Oct  8 21:10:28 IDT 2025, 361 W
Wed Oct  8 21:10:29 IDT 2025, 321 W
Wed Oct  8 21:10:29 IDT 2025, 316 W
Wed Oct  8 21:10:30 IDT 2025, 366 W
Wed Oct  8 21:10:30 IDT 2025, 282 W
Wed Oct  8 21:10:31 IDT 2025, 315 W
Wed Oct  8 21:10:31 IDT 2025, 326 W
Wed Oct  8 21:10:32 IDT 2025, 273 W
Wed Oct  8 21:10:32 IDT 2025, 370 W
Wed Oct  8 21:10:33 IDT 2025, 327 W
Wed Oct  8 21:10:33 IDT 2025, 291 W
Wed Oct  8 21:10:34 IDT 2025, 274 W
Wed Oct  8 21:10:34 IDT 2025, 342 W
Wed Oct  8 21:10:35 IDT 2025, 363 W
Wed Oct  8 21:10:35 IDT 2025, 285 W
Wed Oct  8 21:10:36 IDT 2025, 343 W
Wed Oct  8 21:10:36 IDT 2025, 278 W
Wed Oct  8 21:10:37 IDT 2025, 337 W
Wed Oct  8 21:10:37 IDT 2025, 291 W
Wed Oct  8 21:10:38 IDT 2025, 308 W
Wed Oct  8 21:10:38 IDT 2025, 318 W
Wed Oct  8 21:10:39 IDT 2025, 279 W
Wed Oct  8 21:10:39 IDT 2025, 369 W
Wed Oct  8 21:10:40 IDT 2025, 356 W
Wed Oct  8 21:10:40 IDT 2025, 328 W
Wed Oct  8 21:10:41 IDT 2025, 353 W
Wed Oct  8 21:10:41 IDT 2025, 285 W
Wed Oct  8 21:10:42 IDT 2025, 365 W
Wed Oct  8 21:10:42 IDT 2025, 281 W
Wed Oct  8 21:10:43 IDT 2025, 286 W
Wed Oct  8 21:10:43 IDT 2025, 362 W
Wed Oct  8 21:10:44 IDT 2025, 343 W
Wed Oct  8 21:10:44 IDT 2025, 304 W
Wed Oct  8 21:10:45 IDT 2025, 288 W
Wed Oct  8 21:10:45 IDT 2025, 347 W
Wed Oct  8 21:10:46 IDT 2025, 279 W
Wed Oct  8 21:10:46 IDT 2025, 362 W
Wed Oct  8 21:10:47 IDT 2025, 317 W
Wed Oct  8 21:10:47 IDT 2025, 290 W
Wed Oct  8 21:10:48 IDT 2025, 288 W
Wed Oct  8 21:10:48 IDT 2025, 351 W
Wed Oct  8 21:10:49 IDT 2025, 365 W
Wed Oct  8 21:10:49 IDT 2025, 277 W
Wed Oct  8 21:10:50 IDT 2025, 325 W
Wed Oct  8 21:10:50 IDT 2025, 287 W
Wed Oct  8 21:10:51 IDT 2025, 359 W
Wed Oct  8 21:10:51 IDT 2025, 290 W
Wed Oct  8 21:10:52 IDT 2025, 304 W
Wed Oct  8 21:10:52 IDT 2025, 315 W
Wed Oct  8 21:10:53 IDT 2025, 367 W
Wed Oct  8 21:10:53 IDT 2025, 277 W
Wed Oct  8 21:10:54 IDT 2025, 352 W
Wed Oct  8 21:10:54 IDT 2025, 280 W
Wed Oct  8 21:10:55 IDT 2025, 292 W
Wed Oct  8 21:10:55 IDT 2025, 363 W
Wed Oct  8 21:10:56 IDT 2025, 303 W
Wed Oct  8 21:10:56 IDT 2025, 370 W
Wed Oct  8 21:10:57 IDT 2025, 282 W
Wed Oct  8 21:10:57 IDT 2025, 369 W
Wed Oct  8 21:10:58 IDT 2025, 372 W
Wed Oct  8 21:10:58 IDT 2025, 311 W
Wed Oct  8 21:10:59 IDT 2025, 281 W
Wed Oct  8 21:10:59 IDT 2025, 367 W
Wed Oct  8 21:11:00 IDT 2025, 339 W
Wed Oct  8 21:11:00 IDT 2025, 309 W
Wed Oct  8 21:11:01 IDT 2025, 350 W
Wed Oct  8 21:11:01 IDT 2025, 286 W
Wed Oct  8 21:11:02 IDT 2025, 284 W
Wed Oct  8 21:11:02 IDT 2025, 374 W
Wed Oct  8 21:11:03 IDT 2025, 292 W
Wed Oct  8 21:11:03 IDT 2025, 349 W
Wed Oct  8 21:11:04 IDT 2025, 272 W
Wed Oct  8 21:11:04 IDT 2025, 372 W
Wed Oct  8 21:11:05 IDT 2025, 312 W
Wed Oct  8 21:11:05 IDT 2025, 308 W
Wed Oct  8 21:11:06 IDT 2025, 279 W
Wed Oct  8 21:11:06 IDT 2025, 371 W
Wed Oct  8 21:11:07 IDT 2025, 378 W
Wed Oct  8 21:11:07 IDT 2025, 299 W
Wed Oct  8 21:11:08 IDT 2025, 353 W
Wed Oct  8 21:11:08 IDT 2025, 272 W
Wed Oct  8 21:11:09 IDT 2025, 295 W
Wed Oct  8 21:11:09 IDT 2025, 359 W
Wed Oct  8 21:11:10 IDT 2025, 350 W
Wed Oct  8 21:11:10 IDT 2025, 293 W
Wed Oct  8 21:11:11 IDT 2025, 289 W
Wed Oct  8 21:11:11 IDT 2025, 362 W
Wed Oct  8 21:11:12 IDT 2025, 324 W
Wed Oct  8 21:11:12 IDT 2025, 337 W
Wed Oct  8 21:11:13 IDT 2025, 284 W
Wed Oct  8 21:11:13 IDT 2025, 365 W
Wed Oct  8 21:11:14 IDT 2025, 377 W
Wed Oct  8 21:11:14 IDT 2025, 285 W
Wed Oct  8 21:11:15 IDT 2025, 361 W
Wed Oct  8 21:11:15 IDT 2025, 277 W
Wed Oct  8 21:11:16 IDT 2025, 361 W
Wed Oct  8 21:11:16 IDT 2025, 314 W
Wed Oct  8 21:11:17 IDT 2025, 325 W
Wed Oct  8 21:11:17 IDT 2025, 348 W
Wed Oct  8 21:11:18 IDT 2025, 338 W
Wed Oct  8 21:11:18 IDT 2025, 308 W
Wed Oct  8 21:11:19 IDT 2025, 345 W
Wed Oct  8 21:11:19 IDT 2025, 327 W
Wed Oct  8 21:11:20 IDT 2025, 283 W
Wed Oct  8 21:11:20 IDT 2025, 352 W
Wed Oct  8 21:11:21 IDT 2025, 304 W
Wed Oct  8 21:11:21 IDT 2025, 349 W
Wed Oct  8 21:11:22 IDT 2025, 271 W
Wed Oct  8 21:11:22 IDT 2025, 361 W
Wed Oct  8 21:11:23 IDT 2025, 365 W
Wed Oct  8 21:11:23 IDT 2025, 285 W
Wed Oct  8 21:11:24 IDT 2025, 300 W
Wed Oct  8 21:11:24 IDT 2025, 330 W
Wed Oct  8 21:11:25 IDT 2025, 351 W
Wed Oct  8 21:11:25 IDT 2025, 288 W
Wed Oct  8 21:11:26 IDT 2025, 380 W
Wed Oct  8 21:11:26 IDT 2025, 287 W
Wed Oct  8 21:11:27 IDT 2025, 328 W
Wed Oct  8 21:11:27 IDT 2025, 297 W
Wed Oct  8 21:11:28 IDT 2025, 372 W
Wed Oct  8 21:11:28 IDT 2025, 293 W
Wed Oct  8 21:11:29 IDT 2025, 318 W
Wed Oct  8 21:11:29 IDT 2025, 305 W
Wed Oct  8 21:11:30 IDT 2025, 369 W
Wed Oct  8 21:11:30 IDT 2025, 278 W
Wed Oct  8 21:11:31 IDT 2025, 275 W
Wed Oct  8 21:11:31 IDT 2025, 374 W
Wed Oct  8 21:11:32 IDT 2025, 286 W
Wed Oct  8 21:11:32 IDT 2025, 354 W
Wed Oct  8 21:11:33 IDT 2025, 370 W
Wed Oct  8 21:11:33 IDT 2025, 289 W
Wed Oct  8 21:11:34 IDT 2025, 328 W
Wed Oct  8 21:11:34 IDT 2025, 312 W
Wed Oct  8 21:11:35 IDT 2025, 370 W
Wed Oct  8 21:11:35 IDT 2025, 284 W
Wed Oct  8 21:11:36 IDT 2025, 379 W
Wed Oct  8 21:11:36 IDT 2025, 296 W
Wed Oct  8 21:11:37 IDT 2025, 326 W
Wed Oct  8 21:11:37 IDT 2025, 295 W
Wed Oct  8 21:11:38 IDT 2025, 282 W
Wed Oct  8 21:11:38 IDT 2025, 372 W
Wed Oct  8 21:11:39 IDT 2025, 334 W
Wed Oct  8 21:11:39 IDT 2025, 317 W
Wed Oct  8 21:11:40 IDT 2025, 279 W
Wed Oct  8 21:11:40 IDT 2025, 365 W
Wed Oct  8 21:11:41 IDT 2025, 279 W
Wed Oct  8 21:11:41 IDT 2025, 374 W
Wed Oct  8 21:11:42 IDT 2025, 327 W
Wed Oct  8 21:11:42 IDT 2025, 299 W
Wed Oct  8 21:11:43 IDT 2025, 371 W
Wed Oct  8 21:11:43 IDT 2025, 281 W
Wed Oct  8 21:11:44 IDT 2025, 308 W
Wed Oct  8 21:11:44 IDT 2025, 385 W
Wed Oct  8 21:11:45 IDT 2025, 363 W
Wed Oct  8 21:11:45 IDT 2025, 283 W
Wed Oct  8 21:11:46 IDT 2025, 367 W
Wed Oct  8 21:11:46 IDT 2025, 301 W
Wed Oct  8 21:11:47 IDT 2025, 286 W
Wed Oct  8 21:11:47 IDT 2025, 335 W
Wed Oct  8 21:11:48 IDT 2025, 288 W
Wed Oct  8 21:11:48 IDT 2025, 368 W
Wed Oct  8 21:11:49 IDT 2025, 276 W
Wed Oct  8 21:11:49 IDT 2025, 380 W
Wed Oct  8 21:11:50 IDT 2025, 362 W
Wed Oct  8 21:11:50 IDT 2025, 289 W
Wed Oct  8 21:11:51 IDT 2025, 275 W
Wed Oct  8 21:11:51 IDT 2025, 377 W
Wed Oct  8 21:11:52 IDT 2025, 327 W
Wed Oct  8 21:11:52 IDT 2025, 311 W
Wed Oct  8 21:11:53 IDT 2025, 305 W
Wed Oct  8 21:11:53 IDT 2025, 360 W
Wed Oct  8 21:11:54 IDT 2025, 304 W
Wed Oct  8 21:11:54 IDT 2025, 324 W
Wed Oct  8 21:11:55 IDT 2025, 296 W
Wed Oct  8 21:11:55 IDT 2025, 362 W
Wed Oct  8 21:11:56 IDT 2025, 296 W
Wed Oct  8 21:11:56 IDT 2025, 383 W
Wed Oct  8 21:11:57 IDT 2025, 341 W
Wed Oct  8 21:11:57 IDT 2025, 292 W
Wed Oct  8 21:11:58 IDT 2025, 373 W
Wed Oct  8 21:11:58 IDT 2025, 289 W
Wed Oct  8 21:11:59 IDT 2025, 338 W
Wed Oct  8 21:11:59 IDT 2025, 313 W
Wed Oct  8 21:12:00 IDT 2025, 296 W
Wed Oct  8 21:12:00 IDT 2025, 365 W
Wed Oct  8 21:12:01 IDT 2025, 371 W
Wed Oct  8 21:12:01 IDT 2025, 278 W
Wed Oct  8 21:12:02 IDT 2025, 313 W
Wed Oct  8 21:12:02 IDT 2025, 300 W
Wed Oct  8 21:12:03 IDT 2025, 373 W
Wed Oct  8 21:12:03 IDT 2025, 285 W
Wed Oct  8 21:12:04 IDT 2025, 330 W
Wed Oct  8 21:12:04 IDT 2025, 299 W
Wed Oct  8 21:12:05 IDT 2025, 283 W
Wed Oct  8 21:12:05 IDT 2025, 372 W
Wed Oct  8 21:12:06 IDT 2025, 287 W
Wed Oct  8 21:12:06 IDT 2025, 368 W
Wed Oct  8 21:12:07 IDT 2025, 347 W
Wed Oct  8 21:12:07 IDT 2025, 305 W
Wed Oct  8 21:12:08 IDT 2025, 361 W
Wed Oct  8 21:12:08 IDT 2025, 301 W
Wed Oct  8 21:12:09 IDT 2025, 325 W
Wed Oct  8 21:12:09 IDT 2025, 304 W
Wed Oct  8 21:12:10 IDT 2025, 370 W
Wed Oct  8 21:12:10 IDT 2025, 291 W
Wed Oct  8 21:12:11 IDT 2025, 298 W
Wed Oct  8 21:12:11 IDT 2025, 375 W
Wed Oct  8 21:12:12 IDT 2025, 308 W
Wed Oct  8 21:12:12 IDT 2025, 338 W
Wed Oct  8 21:12:13 IDT 2025, 372 W
Wed Oct  8 21:12:13 IDT 2025, 290 W
Wed Oct  8 21:12:14 IDT 2025, 388 W
Wed Oct  8 21:12:14 IDT 2025, 291 W
Wed Oct  8 21:12:15 IDT 2025, 338 W
Wed Oct  8 21:12:15 IDT 2025, 292 W
Wed Oct  8 21:12:16 IDT 2025, 295 W
Wed Oct  8 21:12:16 IDT 2025, 362 W
Wed Oct  8 21:12:17 IDT 2025, 326 W
Wed Oct  8 21:12:17 IDT 2025, 337 W
Wed Oct  8 21:12:18 IDT 2025, 304 W
Wed Oct  8 21:12:18 IDT 2025, 344 W
Wed Oct  8 21:12:19 IDT 2025, 296 W
Wed Oct  8 21:12:19 IDT 2025, 377 W
Wed Oct  8 21:12:20 IDT 2025, 330 W
Wed Oct  8 21:12:20 IDT 2025, 302 W
Wed Oct  8 21:12:21 IDT 2025, 285 W
Wed Oct  8 21:12:21 IDT 2025, 375 W
Wed Oct  8 21:12:22 IDT 2025, 326 W
Wed Oct  8 21:12:22 IDT 2025, 342 W
Wed Oct  8 21:12:23 IDT 2025, 286 W
Wed Oct  8 21:12:23 IDT 2025, 369 W
Wed Oct  8 21:12:24 IDT 2025, 299 W
Wed Oct  8 21:12:24 IDT 2025, 375 W
Wed Oct  8 21:12:25 IDT 2025, 306 W
Wed Oct  8 21:12:25 IDT 2025, 348 W
Wed Oct  8 21:12:26 IDT 2025, 359 W
Wed Oct  8 21:12:26 IDT 2025, 321 W
Wed Oct  8 21:12:27 IDT 2025, 358 W
Wed Oct  8 21:12:27 IDT 2025, 285 W
Wed Oct  8 21:12:28 IDT 2025, 383 W
Wed Oct  8 21:12:28 IDT 2025, 295 W
Wed Oct  8 21:12:29 IDT 2025, 322 W
Wed Oct  8 21:12:29 IDT 2025, 383 W
Wed Oct  8 21:12:30 IDT 2025, 361 W
Wed Oct  8 21:12:30 IDT 2025, 294 W
Wed Oct  8 21:12:31 IDT 2025, 283 W
Wed Oct  8 21:12:31 IDT 2025, 377 W
Wed Oct  8 21:12:32 IDT 2025, 309 W
Wed Oct  8 21:12:32 IDT 2025, 317 W
Wed Oct  8 21:12:33 IDT 2025, 310 W
Wed Oct  8 21:12:33 IDT 2025, 349 W
Wed Oct  8 21:12:34 IDT 2025, 367 W
Wed Oct  8 21:12:34 IDT 2025, 323 W
Wed Oct  8 21:12:35 IDT 2025, 287 W
Wed Oct  8 21:12:35 IDT 2025, 372 W
Wed Oct  8 21:12:36 IDT 2025, 356 W
Wed Oct  8 21:12:36 IDT 2025, 317 W
