timestamp, power.draw [W]
Tue Sep 23 21:16:10 IDT 2025, 91 W
Tue Sep 23 21:16:10 IDT 2025, 91 W
Tue Sep 23 21:16:10 IDT 2025, 99 W
Tue Sep 23 21:16:10 IDT 2025, 97 W
Tue Sep 23 21:16:10 IDT 2025, 92 W
Tue Sep 23 21:16:10 IDT 2025, 92 W
Tue Sep 23 21:16:10 IDT 2025, 98 W
Tue Sep 23 21:16:10 IDT 2025, 88 W
Tue Sep 23 21:16:11 IDT 2025, 95 W
Tue Sep 23 21:16:11 IDT 2025, 89 W
Tue Sep 23 21:16:11 IDT 2025, 99 W
Tue Sep 23 21:16:11 IDT 2025, 94 W
Tue Sep 23 21:16:11 IDT 2025, 87 W
Tue Sep 23 21:16:11 IDT 2025, 91 W
Tue Sep 23 21:16:11 IDT 2025, 100 W
Tue Sep 23 21:16:11 IDT 2025, 89 W
Tue Sep 23 21:16:12 IDT 2025, 93 W
Tue Sep 23 21:16:12 IDT 2025, 92 W
Tue Sep 23 21:16:12 IDT 2025, 96 W
Tue Sep 23 21:16:12 IDT 2025, 98 W
Tue Sep 23 21:16:12 IDT 2025, 86 W
Tue Sep 23 21:16:12 IDT 2025, 88 W
Tue Sep 23 21:16:12 IDT 2025, 103 W
Tue Sep 23 21:16:12 IDT 2025, 92 W
Tue Sep 23 21:16:13 IDT 2025, 89 W
Tue Sep 23 21:16:13 IDT 2025, 93 W
Tue Sep 23 21:16:13 IDT 2025, 92 W
Tue Sep 23 21:16:13 IDT 2025, 99 W
Tue Sep 23 21:16:13 IDT 2025, 89 W
Tue Sep 23 21:16:13 IDT 2025, 93 W
Tue Sep 23 21:16:13 IDT 2025, 94 W
Tue Sep 23 21:16:13 IDT 2025, 90 W
Tue Sep 23 21:16:14 IDT 2025, 94 W
Tue Sep 23 21:16:14 IDT 2025, 94 W
Tue Sep 23 21:16:14 IDT 2025, 95 W
Tue Sep 23 21:16:14 IDT 2025, 95 W
Tue Sep 23 21:16:14 IDT 2025, 93 W
Tue Sep 23 21:16:14 IDT 2025, 96 W
Tue Sep 23 21:16:14 IDT 2025, 94 W
Tue Sep 23 21:16:14 IDT 2025, 86 W
Tue Sep 23 21:16:15 IDT 2025, 94 W
Tue Sep 23 21:16:15 IDT 2025, 95 W
Tue Sep 23 21:16:15 IDT 2025, 96 W
Tue Sep 23 21:16:15 IDT 2025, 96 W
Tue Sep 23 21:16:15 IDT 2025, 96 W
Tue Sep 23 21:16:15 IDT 2025, 98 W
Tue Sep 23 21:16:15 IDT 2025, 94 W
Tue Sep 23 21:16:15 IDT 2025, 85 W
Tue Sep 23 21:16:16 IDT 2025, 93 W
Tue Sep 23 21:16:16 IDT 2025, 94 W
Tue Sep 23 21:16:16 IDT 2025, 96 W
Tue Sep 23 21:16:16 IDT 2025, 93 W
Tue Sep 23 21:16:16 IDT 2025, 88 W
Tue Sep 23 21:16:16 IDT 2025, 93 W
Tue Sep 23 21:16:16 IDT 2025, 97 W
Tue Sep 23 21:16:16 IDT 2025, 90 W
Tue Sep 23 21:16:17 IDT 2025, 92 W
Tue Sep 23 21:16:17 IDT 2025, 91 W
Tue Sep 23 21:16:17 IDT 2025, 90 W
Tue Sep 23 21:16:17 IDT 2025, 91 W
Tue Sep 23 21:16:17 IDT 2025, 93 W
Tue Sep 23 21:16:17 IDT 2025, 88 W
Tue Sep 23 21:16:17 IDT 2025, 95 W
Tue Sep 23 21:16:17 IDT 2025, 91 W
Tue Sep 23 21:16:18 IDT 2025, 92 W
Tue Sep 23 21:16:18 IDT 2025, 92 W
Tue Sep 23 21:16:18 IDT 2025, 94 W
Tue Sep 23 21:16:18 IDT 2025, 91 W
Tue Sep 23 21:16:18 IDT 2025, 87 W
Tue Sep 23 21:16:18 IDT 2025, 95 W
Tue Sep 23 21:16:18 IDT 2025, 103 W
Tue Sep 23 21:16:18 IDT 2025, 90 W
Tue Sep 23 21:16:19 IDT 2025, 92 W
Tue Sep 23 21:16:19 IDT 2025, 92 W
Tue Sep 23 21:16:19 IDT 2025, 100 W
Tue Sep 23 21:16:19 IDT 2025, 92 W
Tue Sep 23 21:16:19 IDT 2025, 89 W
Tue Sep 23 21:16:19 IDT 2025, 87 W
Tue Sep 23 21:16:19 IDT 2025, 102 W
Tue Sep 23 21:16:19 IDT 2025, 87 W
Tue Sep 23 21:16:20 IDT 2025, 94 W
Tue Sep 23 21:16:20 IDT 2025, 88 W
Tue Sep 23 21:16:20 IDT 2025, 97 W
Tue Sep 23 21:16:20 IDT 2025, 99 W
Tue Sep 23 21:16:20 IDT 2025, 87 W
Tue Sep 23 21:16:20 IDT 2025, 93 W
Tue Sep 23 21:16:20 IDT 2025, 100 W
Tue Sep 23 21:16:20 IDT 2025, 87 W
Tue Sep 23 21:16:21 IDT 2025, 95 W
Tue Sep 23 21:16:21 IDT 2025, 96 W
Tue Sep 23 21:16:21 IDT 2025, 96 W
Tue Sep 23 21:16:21 IDT 2025, 100 W
Tue Sep 23 21:16:21 IDT 2025, 88 W
Tue Sep 23 21:16:21 IDT 2025, 94 W
Tue Sep 23 21:16:21 IDT 2025, 102 W
Tue Sep 23 21:16:21 IDT 2025, 82 W
Tue Sep 23 21:16:22 IDT 2025, 93 W
Tue Sep 23 21:16:22 IDT 2025, 94 W
Tue Sep 23 21:16:22 IDT 2025, 93 W
