timestamp, power.draw [W]
Mon Sep 22 20:21:27 IDT 2025, 97 W
Mon Sep 22 20:21:28 IDT 2025, 97 W
Mon Sep 22 20:21:29 IDT 2025, 93 W
Mon Sep 22 20:21:30 IDT 2025, 96 W
Mon Sep 22 20:21:31 IDT 2025, 97 W
Mon Sep 22 20:21:32 IDT 2025, 98 W
Mon Sep 22 20:21:33 IDT 2025, 96 W
Mon Sep 22 20:21:34 IDT 2025, 98 W
Mon Sep 22 20:21:35 IDT 2025, 95 W
Mon Sep 22 20:21:36 IDT 2025, 92 W
Mon Sep 22 20:21:37 IDT 2025, 94 W
Mon Sep 22 20:21:38 IDT 2025, 104 W
Mon Sep 22 20:21:39 IDT 2025, 98 W
Mon Sep 22 20:21:40 IDT 2025, 99 W
Mon Sep 22 20:21:41 IDT 2025, 99 W
Mon Sep 22 20:21:42 IDT 2025, 96 W
Mon Sep 22 20:21:43 IDT 2025, 98 W
Mon Sep 22 20:21:44 IDT 2025, 95 W
Mon Sep 22 20:21:45 IDT 2025, 97 W
Mon Sep 22 20:21:46 IDT 2025, 103 W
Mon Sep 22 20:21:47 IDT 2025, 97 W
Mon Sep 22 20:21:48 IDT 2025, 100 W
Mon Sep 22 20:21:49 IDT 2025, 96 W
Mon Sep 22 20:21:50 IDT 2025, 99 W
Mon Sep 22 20:21:51 IDT 2025, 102 W
Mon Sep 22 20:21:52 IDT 2025, 104 W
Mon Sep 22 20:21:53 IDT 2025, 97 W
Mon Sep 22 20:21:54 IDT 2025, 101 W
Mon Sep 22 20:21:55 IDT 2025, 97 W
Mon Sep 22 20:21:56 IDT 2025, 98 W
Mon Sep 22 20:21:57 IDT 2025, 103 W
Mon Sep 22 20:21:58 IDT 2025, 97 W
Mon Sep 22 20:21:59 IDT 2025, 105 W
Mon Sep 22 20:22:00 IDT 2025, 102 W
Mon Sep 22 20:22:01 IDT 2025, 96 W
Mon Sep 22 20:22:02 IDT 2025, 98 W
Mon Sep 22 20:22:03 IDT 2025, 103 W
Mon Sep 22 20:22:04 IDT 2025, 96 W
Mon Sep 22 20:22:05 IDT 2025, 102 W
Mon Sep 22 20:22:06 IDT 2025, 105 W
Mon Sep 22 20:22:07 IDT 2025, 108 W
Mon Sep 22 20:22:08 IDT 2025, 94 W
Mon Sep 22 20:22:09 IDT 2025, 101 W
Mon Sep 22 20:22:10 IDT 2025, 103 W
Mon Sep 22 20:22:11 IDT 2025, 101 W
Mon Sep 22 20:22:12 IDT 2025, 101 W
Mon Sep 22 20:22:13 IDT 2025, 101 W
Mon Sep 22 20:22:14 IDT 2025, 100 W
Mon Sep 22 20:22:15 IDT 2025, 95 W
Mon Sep 22 20:22:16 IDT 2025, 95 W
Mon Sep 22 20:22:17 IDT 2025, 97 W
Mon Sep 22 20:22:18 IDT 2025, 103 W
Mon Sep 22 20:22:19 IDT 2025, 97 W
Mon Sep 22 20:22:20 IDT 2025, 97 W
Mon Sep 22 20:22:21 IDT 2025, 99 W
Mon Sep 22 20:22:22 IDT 2025, 99 W
Mon Sep 22 20:22:23 IDT 2025, 100 W
Mon Sep 22 20:22:24 IDT 2025, 95 W
Mon Sep 22 20:22:25 IDT 2025, 105 W
Mon Sep 22 20:22:26 IDT 2025, 98 W
Mon Sep 22 20:22:27 IDT 2025, 97 W
Mon Sep 22 20:22:28 IDT 2025, 106 W
Mon Sep 22 20:22:29 IDT 2025, 101 W
Mon Sep 22 20:22:30 IDT 2025, 98 W
Mon Sep 22 20:22:31 IDT 2025, 99 W
Mon Sep 22 20:22:32 IDT 2025, 108 W
Mon Sep 22 20:22:33 IDT 2025, 98 W
Mon Sep 22 20:22:34 IDT 2025, 101 W
Mon Sep 22 20:22:35 IDT 2025, 100 W
Mon Sep 22 20:22:36 IDT 2025, 99 W
Mon Sep 22 20:22:37 IDT 2025, 100 W
Mon Sep 22 20:22:38 IDT 2025, 93 W
