timestamp, power.draw [W]
Tue Sep 23 19:50:51 IDT 2025, 97 W
Tue Sep 23 19:50:51 IDT 2025, 99 W
Tue Sep 23 19:50:51 IDT 2025, 90 W
Tue Sep 23 19:50:51 IDT 2025, 93 W
Tue Sep 23 19:50:51 IDT 2025, 107 W
Tue Sep 23 19:50:51 IDT 2025, 90 W
Tue Sep 23 19:50:51 IDT 2025, 89 W
Tue Sep 23 19:50:51 IDT 2025, 133 W
Tue Sep 23 19:50:52 IDT 2025, 92 W
Tue Sep 23 19:50:52 IDT 2025, 94 W
Tue Sep 23 19:50:52 IDT 2025, 93 W
Tue Sep 23 19:50:52 IDT 2025, 98 W
Tue Sep 23 19:50:52 IDT 2025, 102 W
Tue Sep 23 19:50:52 IDT 2025, 94 W
Tue Sep 23 19:50:52 IDT 2025, 87 W
Tue Sep 23 19:50:52 IDT 2025, 141 W
Tue Sep 23 19:50:53 IDT 2025, 94 W
Tue Sep 23 19:50:53 IDT 2025, 96 W
Tue Sep 23 19:50:53 IDT 2025, 93 W
Tue Sep 23 19:50:53 IDT 2025, 92 W
Tue Sep 23 19:50:53 IDT 2025, 112 W
Tue Sep 23 19:50:53 IDT 2025, 88 W
Tue Sep 23 19:50:53 IDT 2025, 89 W
Tue Sep 23 19:50:53 IDT 2025, 132 W
Tue Sep 23 19:50:54 IDT 2025, 98 W
Tue Sep 23 19:50:54 IDT 2025, 97 W
Tue Sep 23 19:50:54 IDT 2025, 91 W
Tue Sep 23 19:50:54 IDT 2025, 102 W
Tue Sep 23 19:50:54 IDT 2025, 106 W
Tue Sep 23 19:50:54 IDT 2025, 93 W
Tue Sep 23 19:50:54 IDT 2025, 88 W
Tue Sep 23 19:50:54 IDT 2025, 135 W
Tue Sep 23 19:50:55 IDT 2025, 96 W
Tue Sep 23 19:50:55 IDT 2025, 96 W
Tue Sep 23 19:50:55 IDT 2025, 93 W
Tue Sep 23 19:50:55 IDT 2025, 102 W
Tue Sep 23 19:50:55 IDT 2025, 101 W
Tue Sep 23 19:50:55 IDT 2025, 91 W
Tue Sep 23 19:50:55 IDT 2025, 91 W
Tue Sep 23 19:50:55 IDT 2025, 145 W
Tue Sep 23 19:50:56 IDT 2025, 103 W
Tue Sep 23 19:50:56 IDT 2025, 91 W
Tue Sep 23 19:50:56 IDT 2025, 93 W
Tue Sep 23 19:50:56 IDT 2025, 104 W
Tue Sep 23 19:50:56 IDT 2025, 103 W
Tue Sep 23 19:50:56 IDT 2025, 94 W
Tue Sep 23 19:50:56 IDT 2025, 85 W
Tue Sep 23 19:50:56 IDT 2025, 138 W
Tue Sep 23 19:50:57 IDT 2025, 99 W
Tue Sep 23 19:50:57 IDT 2025, 101 W
Tue Sep 23 19:50:57 IDT 2025, 93 W
Tue Sep 23 19:50:57 IDT 2025, 91 W
Tue Sep 23 19:50:57 IDT 2025, 102 W
Tue Sep 23 19:50:57 IDT 2025, 92 W
Tue Sep 23 19:50:57 IDT 2025, 91 W
Tue Sep 23 19:50:57 IDT 2025, 135 W
Tue Sep 23 19:50:58 IDT 2025, 92 W
Tue Sep 23 19:50:58 IDT 2025, 94 W
Tue Sep 23 19:50:58 IDT 2025, 96 W
Tue Sep 23 19:50:58 IDT 2025, 101 W
Tue Sep 23 19:50:58 IDT 2025, 101 W
Tue Sep 23 19:50:58 IDT 2025, 89 W
Tue Sep 23 19:50:58 IDT 2025, 86 W
Tue Sep 23 19:50:58 IDT 2025, 136 W
Tue Sep 23 19:50:59 IDT 2025, 94 W
Tue Sep 23 19:50:59 IDT 2025, 92 W
Tue Sep 23 19:50:59 IDT 2025, 93 W
Tue Sep 23 19:50:59 IDT 2025, 95 W
Tue Sep 23 19:50:59 IDT 2025, 104 W
Tue Sep 23 19:50:59 IDT 2025, 95 W
Tue Sep 23 19:50:59 IDT 2025, 88 W
Tue Sep 23 19:50:59 IDT 2025, 135 W
Tue Sep 23 19:51:00 IDT 2025, 95 W
Tue Sep 23 19:51:00 IDT 2025, 99 W
Tue Sep 23 19:51:00 IDT 2025, 91 W
Tue Sep 23 19:51:00 IDT 2025, 97 W
Tue Sep 23 19:51:00 IDT 2025, 104 W
Tue Sep 23 19:51:00 IDT 2025, 89 W
Tue Sep 23 19:51:00 IDT 2025, 89 W
Tue Sep 23 19:51:00 IDT 2025, 138 W
Tue Sep 23 19:51:01 IDT 2025, 94 W
Tue Sep 23 19:51:01 IDT 2025, 91 W
Tue Sep 23 19:51:01 IDT 2025, 89 W
Tue Sep 23 19:51:01 IDT 2025, 89 W
Tue Sep 23 19:51:01 IDT 2025, 109 W
Tue Sep 23 19:51:01 IDT 2025, 87 W
Tue Sep 23 19:51:01 IDT 2025, 85 W
Tue Sep 23 19:51:01 IDT 2025, 133 W
