timestamp, power.draw [W]
Mon Sep 22 21:24:43 IDT 2025, 111 W
Mon Sep 22 21:24:43 IDT 2025, 121 W
Mon Sep 22 21:24:43 IDT 2025, 106 W
Mon Sep 22 21:24:43 IDT 2025, 123 W
Mon Sep 22 21:24:44 IDT 2025, 106 W
Mon Sep 22 21:24:44 IDT 2025, 119 W
Mon Sep 22 21:24:44 IDT 2025, 110 W
Mon Sep 22 21:24:44 IDT 2025, 124 W
Mon Sep 22 21:24:45 IDT 2025, 112 W
Mon Sep 22 21:24:45 IDT 2025, 118 W
Mon Sep 22 21:24:45 IDT 2025, 103 W
Mon Sep 22 21:24:45 IDT 2025, 120 W
Mon Sep 22 21:24:46 IDT 2025, 110 W
Mon Sep 22 21:24:46 IDT 2025, 123 W
Mon Sep 22 21:24:46 IDT 2025, 104 W
Mon Sep 22 21:24:46 IDT 2025, 118 W
Mon Sep 22 21:24:47 IDT 2025, 107 W
Mon Sep 22 21:24:47 IDT 2025, 118 W
Mon Sep 22 21:24:47 IDT 2025, 112 W
Mon Sep 22 21:24:47 IDT 2025, 129 W
Mon Sep 22 21:24:48 IDT 2025, 109 W
Mon Sep 22 21:24:48 IDT 2025, 125 W
Mon Sep 22 21:24:48 IDT 2025, 101 W
Mon Sep 22 21:24:48 IDT 2025, 124 W
Mon Sep 22 21:24:49 IDT 2025, 118 W
Mon Sep 22 21:24:49 IDT 2025, 125 W
Mon Sep 22 21:24:49 IDT 2025, 104 W
Mon Sep 22 21:24:49 IDT 2025, 127 W
Mon Sep 22 21:24:50 IDT 2025, 114 W
Mon Sep 22 21:24:50 IDT 2025, 122 W
Mon Sep 22 21:24:50 IDT 2025, 106 W
Mon Sep 22 21:24:50 IDT 2025, 124 W
Mon Sep 22 21:24:51 IDT 2025, 117 W
Mon Sep 22 21:24:51 IDT 2025, 130 W
Mon Sep 22 21:24:51 IDT 2025, 107 W
Mon Sep 22 21:24:51 IDT 2025, 131 W
Mon Sep 22 21:24:52 IDT 2025, 114 W
Mon Sep 22 21:24:52 IDT 2025, 132 W
Mon Sep 22 21:24:52 IDT 2025, 111 W
Mon Sep 22 21:24:52 IDT 2025, 128 W
Mon Sep 22 21:24:53 IDT 2025, 116 W
Mon Sep 22 21:24:53 IDT 2025, 128 W
Mon Sep 22 21:24:53 IDT 2025, 103 W
Mon Sep 22 21:24:53 IDT 2025, 126 W
Mon Sep 22 21:24:54 IDT 2025, 111 W
Mon Sep 22 21:24:54 IDT 2025, 124 W
Mon Sep 22 21:24:54 IDT 2025, 104 W
Mon Sep 22 21:24:54 IDT 2025, 126 W
Mon Sep 22 21:24:55 IDT 2025, 109 W
Mon Sep 22 21:24:55 IDT 2025, 123 W
Mon Sep 22 21:24:55 IDT 2025, 109 W
Mon Sep 22 21:24:55 IDT 2025, 131 W
Mon Sep 22 21:24:56 IDT 2025, 110 W
Mon Sep 22 21:24:56 IDT 2025, 121 W
Mon Sep 22 21:24:56 IDT 2025, 106 W
Mon Sep 22 21:24:56 IDT 2025, 126 W
Mon Sep 22 21:24:57 IDT 2025, 112 W
Mon Sep 22 21:24:57 IDT 2025, 126 W
Mon Sep 22 21:24:57 IDT 2025, 110 W
Mon Sep 22 21:24:57 IDT 2025, 129 W
Mon Sep 22 21:24:58 IDT 2025, 109 W
Mon Sep 22 21:24:58 IDT 2025, 122 W
Mon Sep 22 21:24:58 IDT 2025, 107 W
Mon Sep 22 21:24:58 IDT 2025, 122 W
Mon Sep 22 21:24:59 IDT 2025, 112 W
Mon Sep 22 21:24:59 IDT 2025, 127 W
