timestamp, power.draw [W]
Mon Sep 22 20:57:21 IDT 2025, 88 W
Mon Sep 22 20:57:21 IDT 2025, 78 W
Mon Sep 22 20:57:22 IDT 2025, 96 W
Mon Sep 22 20:57:22 IDT 2025, 87 W
Mon Sep 22 20:57:23 IDT 2025, 84 W
Mon Sep 22 20:57:23 IDT 2025, 81 W
Mon Sep 22 20:57:24 IDT 2025, 85 W
Mon Sep 22 20:57:24 IDT 2025, 86 W
Mon Sep 22 20:57:25 IDT 2025, 87 W
Mon Sep 22 20:57:25 IDT 2025, 88 W
Mon Sep 22 20:57:26 IDT 2025, 84 W
Mon Sep 22 20:57:26 IDT 2025, 78 W
Mon Sep 22 20:57:27 IDT 2025, 84 W
Mon Sep 22 20:57:27 IDT 2025, 79 W
Mon Sep 22 20:57:28 IDT 2025, 84 W
Mon Sep 22 20:57:28 IDT 2025, 85 W
Mon Sep 22 20:57:29 IDT 2025, 85 W
Mon Sep 22 20:57:29 IDT 2025, 78 W
Mon Sep 22 20:57:30 IDT 2025, 88 W
Mon Sep 22 20:57:30 IDT 2025, 76 W
Mon Sep 22 20:57:31 IDT 2025, 80 W
Mon Sep 22 20:57:31 IDT 2025, 80 W
Mon Sep 22 20:57:32 IDT 2025, 90 W
Mon Sep 22 20:57:32 IDT 2025, 87 W
Mon Sep 22 20:57:33 IDT 2025, 87 W
Mon Sep 22 20:57:33 IDT 2025, 84 W
Mon Sep 22 20:57:34 IDT 2025, 87 W
Mon Sep 22 20:57:34 IDT 2025, 79 W
Mon Sep 22 20:57:35 IDT 2025, 94 W
Mon Sep 22 20:57:35 IDT 2025, 82 W
Mon Sep 22 20:57:36 IDT 2025, 87 W
Mon Sep 22 20:57:36 IDT 2025, 79 W
Mon Sep 22 20:57:37 IDT 2025, 92 W
Mon Sep 22 20:57:37 IDT 2025, 77 W
Mon Sep 22 20:57:38 IDT 2025, 92 W
Mon Sep 22 20:57:38 IDT 2025, 76 W
Mon Sep 22 20:57:39 IDT 2025, 90 W
Mon Sep 22 20:57:39 IDT 2025, 84 W
Mon Sep 22 20:57:40 IDT 2025, 87 W
Mon Sep 22 20:57:40 IDT 2025, 90 W
Mon Sep 22 20:57:41 IDT 2025, 90 W
Mon Sep 22 20:57:41 IDT 2025, 80 W
Mon Sep 22 20:57:42 IDT 2025, 95 W
Mon Sep 22 20:57:42 IDT 2025, 90 W
Mon Sep 22 20:57:43 IDT 2025, 87 W
Mon Sep 22 20:57:43 IDT 2025, 86 W
Mon Sep 22 20:57:44 IDT 2025, 85 W
Mon Sep 22 20:57:44 IDT 2025, 88 W
Mon Sep 22 20:57:45 IDT 2025, 88 W
Mon Sep 22 20:57:45 IDT 2025, 87 W
Mon Sep 22 20:57:46 IDT 2025, 88 W
Mon Sep 22 20:57:46 IDT 2025, 88 W
Mon Sep 22 20:57:47 IDT 2025, 91 W
Mon Sep 22 20:57:47 IDT 2025, 83 W
