timestamp, power.draw [W]
Wed Sep 24 19:53:09 IDT 2025, 119 W
Wed Sep 24 19:53:09 IDT 2025, 107 W
Wed Sep 24 19:53:09 IDT 2025, 126 W
Wed Sep 24 19:53:09 IDT 2025, 114 W
Wed Sep 24 19:53:10 IDT 2025, 120 W
Wed Sep 24 19:53:10 IDT 2025, 111 W
Wed Sep 24 19:53:10 IDT 2025, 127 W
Wed Sep 24 19:53:10 IDT 2025, 121 W
Wed Sep 24 19:53:11 IDT 2025, 119 W
Wed Sep 24 19:53:11 IDT 2025, 105 W
Wed Sep 24 19:53:11 IDT 2025, 124 W
Wed Sep 24 19:53:11 IDT 2025, 113 W
Wed Sep 24 19:53:12 IDT 2025, 123 W
Wed Sep 24 19:53:12 IDT 2025, 109 W
Wed Sep 24 19:53:12 IDT 2025, 120 W
Wed Sep 24 19:53:12 IDT 2025, 116 W
Wed Sep 24 19:53:13 IDT 2025, 115 W
Wed Sep 24 19:53:13 IDT 2025, 104 W
Wed Sep 24 19:53:13 IDT 2025, 127 W
Wed Sep 24 19:53:13 IDT 2025, 114 W
Wed Sep 24 19:53:14 IDT 2025, 209 W
Wed Sep 24 19:53:14 IDT 2025, 200 W
Wed Sep 24 19:53:14 IDT 2025, 215 W
Wed Sep 24 19:53:14 IDT 2025, 208 W
Wed Sep 24 19:53:15 IDT 2025, 252 W
Wed Sep 24 19:53:15 IDT 2025, 241 W
Wed Sep 24 19:53:15 IDT 2025, 250 W
Wed Sep 24 19:53:15 IDT 2025, 255 W
Wed Sep 24 19:53:16 IDT 2025, 238 W
Wed Sep 24 19:53:16 IDT 2025, 220 W
Wed Sep 24 19:53:16 IDT 2025, 242 W
Wed Sep 24 19:53:16 IDT 2025, 225 W
Wed Sep 24 19:53:17 IDT 2025, 259 W
Wed Sep 24 19:53:17 IDT 2025, 246 W
Wed Sep 24 19:53:17 IDT 2025, 267 W
Wed Sep 24 19:53:17 IDT 2025, 260 W
Wed Sep 24 19:53:18 IDT 2025, 251 W
Wed Sep 24 19:53:18 IDT 2025, 250 W
Wed Sep 24 19:53:18 IDT 2025, 262 W
Wed Sep 24 19:53:18 IDT 2025, 253 W
Wed Sep 24 19:53:19 IDT 2025, 264 W
Wed Sep 24 19:53:19 IDT 2025, 248 W
Wed Sep 24 19:53:19 IDT 2025, 272 W
Wed Sep 24 19:53:19 IDT 2025, 257 W
Wed Sep 24 19:53:20 IDT 2025, 254 W
Wed Sep 24 19:53:20 IDT 2025, 243 W
Wed Sep 24 19:53:20 IDT 2025, 272 W
Wed Sep 24 19:53:20 IDT 2025, 263 W
Wed Sep 24 19:53:21 IDT 2025, 261 W
Wed Sep 24 19:53:21 IDT 2025, 245 W
Wed Sep 24 19:53:21 IDT 2025, 271 W
Wed Sep 24 19:53:21 IDT 2025, 251 W
Wed Sep 24 19:53:22 IDT 2025, 260 W
Wed Sep 24 19:53:22 IDT 2025, 241 W
Wed Sep 24 19:53:22 IDT 2025, 260 W
Wed Sep 24 19:53:22 IDT 2025, 256 W
Wed Sep 24 19:53:23 IDT 2025, 256 W
Wed Sep 24 19:53:23 IDT 2025, 256 W
Wed Sep 24 19:53:23 IDT 2025, 266 W
Wed Sep 24 19:53:23 IDT 2025, 253 W
Wed Sep 24 19:53:24 IDT 2025, 257 W
Wed Sep 24 19:53:24 IDT 2025, 246 W
Wed Sep 24 19:53:24 IDT 2025, 261 W
Wed Sep 24 19:53:24 IDT 2025, 259 W
Wed Sep 24 19:53:25 IDT 2025, 260 W
Wed Sep 24 19:53:25 IDT 2025, 251 W
Wed Sep 24 19:53:25 IDT 2025, 261 W
Wed Sep 24 19:53:25 IDT 2025, 253 W
Wed Sep 24 19:53:26 IDT 2025, 259 W
Wed Sep 24 19:53:26 IDT 2025, 245 W
Wed Sep 24 19:53:26 IDT 2025, 259 W
Wed Sep 24 19:53:26 IDT 2025, 257 W
Wed Sep 24 19:53:27 IDT 2025, 254 W
Wed Sep 24 19:53:27 IDT 2025, 237 W
Wed Sep 24 19:53:27 IDT 2025, 266 W
Wed Sep 24 19:53:27 IDT 2025, 248 W
Wed Sep 24 19:53:28 IDT 2025, 259 W
Wed Sep 24 19:53:28 IDT 2025, 252 W
Wed Sep 24 19:53:28 IDT 2025, 267 W
Wed Sep 24 19:53:28 IDT 2025, 257 W
Wed Sep 24 19:53:29 IDT 2025, 251 W
Wed Sep 24 19:53:29 IDT 2025, 241 W
Wed Sep 24 19:53:29 IDT 2025, 258 W
Wed Sep 24 19:53:29 IDT 2025, 252 W
Wed Sep 24 19:53:30 IDT 2025, 258 W
Wed Sep 24 19:53:30 IDT 2025, 248 W
Wed Sep 24 19:53:30 IDT 2025, 275 W
Wed Sep 24 19:53:30 IDT 2025, 260 W
Wed Sep 24 19:53:31 IDT 2025, 249 W
Wed Sep 24 19:53:31 IDT 2025, 240 W
Wed Sep 24 19:53:31 IDT 2025, 266 W
Wed Sep 24 19:53:31 IDT 2025, 249 W
Wed Sep 24 19:53:32 IDT 2025, 251 W
Wed Sep 24 19:53:32 IDT 2025, 244 W
