timestamp, power.draw [W]
Thu Nov 13 09:41:10 IST 2025, 87 W
Thu Nov 13 09:41:10 IST 2025, 97 W
Thu Nov 13 09:41:10 IST 2025, 99 W
Thu Nov 13 09:41:10 IST 2025, 102 W
Thu Nov 13 09:41:11 IST 2025, 86 W
Thu Nov 13 09:41:11 IST 2025, 93 W
Thu Nov 13 09:41:11 IST 2025, 102 W
Thu Nov 13 09:41:11 IST 2025, 109 W
Thu Nov 13 09:41:12 IST 2025, 86 W
Thu Nov 13 09:41:12 IST 2025, 100 W
Thu Nov 13 09:41:12 IST 2025, 99 W
Thu Nov 13 09:41:12 IST 2025, 108 W
Thu Nov 13 09:41:13 IST 2025, 90 W
Thu Nov 13 09:41:13 IST 2025, 90 W
Thu Nov 13 09:41:13 IST 2025, 98 W
Thu Nov 13 09:41:13 IST 2025, 106 W
Thu Nov 13 09:41:14 IST 2025, 86 W
Thu Nov 13 09:41:14 IST 2025, 93 W
Thu Nov 13 09:41:14 IST 2025, 102 W
Thu Nov 13 09:41:14 IST 2025, 107 W
Thu Nov 13 09:41:15 IST 2025, 85 W
Thu Nov 13 09:41:15 IST 2025, 96 W
Thu Nov 13 09:41:15 IST 2025, 101 W
Thu Nov 13 09:41:15 IST 2025, 103 W
Thu Nov 13 09:41:16 IST 2025, 87 W
Thu Nov 13 09:41:16 IST 2025, 90 W
Thu Nov 13 09:41:16 IST 2025, 94 W
Thu Nov 13 09:41:16 IST 2025, 106 W
Thu Nov 13 09:41:17 IST 2025, 86 W
Thu Nov 13 09:41:17 IST 2025, 94 W
Thu Nov 13 09:41:17 IST 2025, 102 W
Thu Nov 13 09:41:17 IST 2025, 107 W
Thu Nov 13 09:41:18 IST 2025, 94 W
Thu Nov 13 09:41:18 IST 2025, 89 W
Thu Nov 13 09:41:18 IST 2025, 100 W
Thu Nov 13 09:41:18 IST 2025, 103 W
Thu Nov 13 09:41:19 IST 2025, 91 W
Thu Nov 13 09:41:19 IST 2025, 96 W
Thu Nov 13 09:41:19 IST 2025, 99 W
Thu Nov 13 09:41:19 IST 2025, 108 W
Thu Nov 13 09:41:20 IST 2025, 93 W
Thu Nov 13 09:41:20 IST 2025, 91 W
Thu Nov 13 09:41:20 IST 2025, 104 W
Thu Nov 13 09:41:20 IST 2025, 107 W
Thu Nov 13 09:41:21 IST 2025, 88 W
Thu Nov 13 09:41:21 IST 2025, 91 W
Thu Nov 13 09:41:21 IST 2025, 99 W
Thu Nov 13 09:41:21 IST 2025, 108 W
Thu Nov 13 09:41:22 IST 2025, 88 W
Thu Nov 13 09:41:22 IST 2025, 87 W
Thu Nov 13 09:41:22 IST 2025, 106 W
Thu Nov 13 09:41:22 IST 2025, 98 W
Thu Nov 13 09:41:23 IST 2025, 88 W
Thu Nov 13 09:41:23 IST 2025, 93 W
Thu Nov 13 09:41:23 IST 2025, 106 W
Thu Nov 13 09:41:23 IST 2025, 109 W
Thu Nov 13 09:41:24 IST 2025, 85 W
Thu Nov 13 09:41:24 IST 2025, 89 W
Thu Nov 13 09:41:24 IST 2025, 105 W
Thu Nov 13 09:41:24 IST 2025, 105 W
Thu Nov 13 09:41:25 IST 2025, 85 W
Thu Nov 13 09:41:25 IST 2025, 88 W
Thu Nov 13 09:41:25 IST 2025, 97 W
Thu Nov 13 09:41:25 IST 2025, 107 W
Thu Nov 13 09:41:26 IST 2025, 89 W
Thu Nov 13 09:41:26 IST 2025, 91 W
Thu Nov 13 09:41:26 IST 2025, 102 W
Thu Nov 13 09:41:26 IST 2025, 112 W
Thu Nov 13 09:41:27 IST 2025, 95 W
Thu Nov 13 09:41:27 IST 2025, 90 W
Thu Nov 13 09:41:27 IST 2025, 106 W
Thu Nov 13 09:41:27 IST 2025, 104 W
Thu Nov 13 09:41:28 IST 2025, 85 W
Thu Nov 13 09:41:28 IST 2025, 97 W
Thu Nov 13 09:41:28 IST 2025, 100 W
Thu Nov 13 09:41:28 IST 2025, 103 W
Thu Nov 13 09:41:29 IST 2025, 86 W
Thu Nov 13 09:41:29 IST 2025, 95 W
Thu Nov 13 09:41:29 IST 2025, 108 W
Thu Nov 13 09:41:29 IST 2025, 108 W
Thu Nov 13 09:41:30 IST 2025, 87 W
Thu Nov 13 09:41:30 IST 2025, 92 W
Thu Nov 13 09:41:30 IST 2025, 105 W
Thu Nov 13 09:41:30 IST 2025, 102 W
Thu Nov 13 09:41:31 IST 2025, 91 W
Thu Nov 13 09:41:31 IST 2025, 90 W
Thu Nov 13 09:41:31 IST 2025, 101 W
Thu Nov 13 09:41:31 IST 2025, 106 W
Thu Nov 13 09:41:32 IST 2025, 86 W
Thu Nov 13 09:41:32 IST 2025, 94 W
Thu Nov 13 09:41:32 IST 2025, 106 W
Thu Nov 13 09:41:32 IST 2025, 102 W
Thu Nov 13 09:41:33 IST 2025, 88 W
Thu Nov 13 09:41:33 IST 2025, 90 W
Thu Nov 13 09:41:33 IST 2025, 101 W
Thu Nov 13 09:41:33 IST 2025, 106 W
Thu Nov 13 09:41:34 IST 2025, 90 W
Thu Nov 13 09:41:34 IST 2025, 87 W
Thu Nov 13 09:41:34 IST 2025, 97 W
Thu Nov 13 09:41:34 IST 2025, 102 W
Thu Nov 13 09:41:35 IST 2025, 91 W
Thu Nov 13 09:41:35 IST 2025, 94 W
Thu Nov 13 09:41:35 IST 2025, 97 W
Thu Nov 13 09:41:35 IST 2025, 109 W
Thu Nov 13 09:41:36 IST 2025, 89 W
Thu Nov 13 09:41:36 IST 2025, 94 W
