timestamp, power.draw [W]
Thu Oct  2 21:02:37 IDT 2025, 234 W
Thu Oct  2 21:02:37 IDT 2025, 228 W
Thu Oct  2 21:02:37 IDT 2025, 230 W
Thu Oct  2 21:02:37 IDT 2025, 227 W
Thu Oct  2 21:02:37 IDT 2025, 229 W
Thu Oct  2 21:02:37 IDT 2025, 228 W
Thu Oct  2 21:02:37 IDT 2025, 223 W
Thu Oct  2 21:02:37 IDT 2025, 229 W
Thu Oct  2 21:02:38 IDT 2025, 234 W
Thu Oct  2 21:02:38 IDT 2025, 228 W
Thu Oct  2 21:02:38 IDT 2025, 230 W
Thu Oct  2 21:02:38 IDT 2025, 227 W
Thu Oct  2 21:02:38 IDT 2025, 229 W
Thu Oct  2 21:02:38 IDT 2025, 228 W
Thu Oct  2 21:02:38 IDT 2025, 223 W
Thu Oct  2 21:02:38 IDT 2025, 229 W
Thu Oct  2 21:02:39 IDT 2025, 234 W
Thu Oct  2 21:02:39 IDT 2025, 227 W
Thu Oct  2 21:02:39 IDT 2025, 230 W
Thu Oct  2 21:02:39 IDT 2025, 227 W
Thu Oct  2 21:02:39 IDT 2025, 229 W
Thu Oct  2 21:02:39 IDT 2025, 228 W
Thu Oct  2 21:02:39 IDT 2025, 223 W
Thu Oct  2 21:02:39 IDT 2025, 229 W
Thu Oct  2 21:02:40 IDT 2025, 234 W
Thu Oct  2 21:02:40 IDT 2025, 230 W
Thu Oct  2 21:02:40 IDT 2025, 231 W
Thu Oct  2 21:02:40 IDT 2025, 227 W
Thu Oct  2 21:02:40 IDT 2025, 229 W
Thu Oct  2 21:02:40 IDT 2025, 230 W
Thu Oct  2 21:02:40 IDT 2025, 224 W
Thu Oct  2 21:02:40 IDT 2025, 229 W
Thu Oct  2 21:02:41 IDT 2025, 235 W
Thu Oct  2 21:02:41 IDT 2025, 229 W
Thu Oct  2 21:02:41 IDT 2025, 231 W
Thu Oct  2 21:02:41 IDT 2025, 228 W
Thu Oct  2 21:02:41 IDT 2025, 229 W
Thu Oct  2 21:02:41 IDT 2025, 229 W
Thu Oct  2 21:02:41 IDT 2025, 224 W
Thu Oct  2 21:02:41 IDT 2025, 230 W
Thu Oct  2 21:02:42 IDT 2025, 235 W
Thu Oct  2 21:02:42 IDT 2025, 228 W
Thu Oct  2 21:02:42 IDT 2025, 330 W
Thu Oct  2 21:02:42 IDT 2025, 228 W
Thu Oct  2 21:02:42 IDT 2025, 230 W
Thu Oct  2 21:02:42 IDT 2025, 229 W
Thu Oct  2 21:02:42 IDT 2025, 224 W
Thu Oct  2 21:02:42 IDT 2025, 234 W
Thu Oct  2 21:02:43 IDT 2025, 447 W
Thu Oct  2 21:02:43 IDT 2025, 432 W
Thu Oct  2 21:02:43 IDT 2025, 437 W
Thu Oct  2 21:02:43 IDT 2025, 434 W
Thu Oct  2 21:02:43 IDT 2025, 436 W
Thu Oct  2 21:02:43 IDT 2025, 438 W
Thu Oct  2 21:02:43 IDT 2025, 426 W
Thu Oct  2 21:02:43 IDT 2025, 392 W
Thu Oct  2 21:02:44 IDT 2025, 393 W
Thu Oct  2 21:02:44 IDT 2025, 436 W
Thu Oct  2 21:02:44 IDT 2025, 413 W
Thu Oct  2 21:02:44 IDT 2025, 429 W
Thu Oct  2 21:02:44 IDT 2025, 439 W
Thu Oct  2 21:02:44 IDT 2025, 426 W
Thu Oct  2 21:02:44 IDT 2025, 431 W
Thu Oct  2 21:02:44 IDT 2025, 437 W
Thu Oct  2 21:02:45 IDT 2025, 451 W
Thu Oct  2 21:02:45 IDT 2025, 445 W
Thu Oct  2 21:02:45 IDT 2025, 453 W
Thu Oct  2 21:02:45 IDT 2025, 439 W
Thu Oct  2 21:02:45 IDT 2025, 427 W
Thu Oct  2 21:02:45 IDT 2025, 447 W
Thu Oct  2 21:02:45 IDT 2025, 439 W
Thu Oct  2 21:02:45 IDT 2025, 446 W
Thu Oct  2 21:02:46 IDT 2025, 433 W
Thu Oct  2 21:02:46 IDT 2025, 453 W
Thu Oct  2 21:02:46 IDT 2025, 452 W
Thu Oct  2 21:02:46 IDT 2025, 450 W
Thu Oct  2 21:02:46 IDT 2025, 454 W
Thu Oct  2 21:02:46 IDT 2025, 438 W
Thu Oct  2 21:02:46 IDT 2025, 444 W
Thu Oct  2 21:02:46 IDT 2025, 451 W
Thu Oct  2 21:02:47 IDT 2025, 420 W
Thu Oct  2 21:02:47 IDT 2025, 450 W
Thu Oct  2 21:02:47 IDT 2025, 443 W
Thu Oct  2 21:02:47 IDT 2025, 449 W
Thu Oct  2 21:02:47 IDT 2025, 449 W
Thu Oct  2 21:02:47 IDT 2025, 443 W
Thu Oct  2 21:02:47 IDT 2025, 439 W
Thu Oct  2 21:02:47 IDT 2025, 445 W
Thu Oct  2 21:02:48 IDT 2025, 403 W
Thu Oct  2 21:02:48 IDT 2025, 438 W
Thu Oct  2 21:02:48 IDT 2025, 442 W
Thu Oct  2 21:02:48 IDT 2025, 438 W
Thu Oct  2 21:02:48 IDT 2025, 437 W
Thu Oct  2 21:02:48 IDT 2025, 437 W
Thu Oct  2 21:02:48 IDT 2025, 431 W
Thu Oct  2 21:02:48 IDT 2025, 437 W
Thu Oct  2 21:02:49 IDT 2025, 469 W
Thu Oct  2 21:02:49 IDT 2025, 461 W
Thu Oct  2 21:02:49 IDT 2025, 465 W
Thu Oct  2 21:02:49 IDT 2025, 459 W
Thu Oct  2 21:02:49 IDT 2025, 463 W
Thu Oct  2 21:02:49 IDT 2025, 462 W
Thu Oct  2 21:02:49 IDT 2025, 451 W
Thu Oct  2 21:02:49 IDT 2025, 460 W
Thu Oct  2 21:02:50 IDT 2025, 426 W
Thu Oct  2 21:02:50 IDT 2025, 444 W
Thu Oct  2 21:02:50 IDT 2025, 447 W
Thu Oct  2 21:02:50 IDT 2025, 442 W
Thu Oct  2 21:02:50 IDT 2025, 449 W
Thu Oct  2 21:02:50 IDT 2025, 446 W
Thu Oct  2 21:02:50 IDT 2025, 436 W
Thu Oct  2 21:02:50 IDT 2025, 444 W
Thu Oct  2 21:02:51 IDT 2025, 437 W
Thu Oct  2 21:02:51 IDT 2025, 449 W
Thu Oct  2 21:02:51 IDT 2025, 451 W
Thu Oct  2 21:02:51 IDT 2025, 449 W
Thu Oct  2 21:02:51 IDT 2025, 453 W
Thu Oct  2 21:02:51 IDT 2025, 447 W
Thu Oct  2 21:02:51 IDT 2025, 442 W
Thu Oct  2 21:02:51 IDT 2025, 447 W
Thu Oct  2 21:02:52 IDT 2025, 455 W
Thu Oct  2 21:02:52 IDT 2025, 462 W
Thu Oct  2 21:02:52 IDT 2025, 451 W
Thu Oct  2 21:02:52 IDT 2025, 459 W
Thu Oct  2 21:02:52 IDT 2025, 461 W
Thu Oct  2 21:02:52 IDT 2025, 463 W
Thu Oct  2 21:02:52 IDT 2025, 448 W
Thu Oct  2 21:02:52 IDT 2025, 460 W
Thu Oct  2 21:02:53 IDT 2025, 469 W
Thu Oct  2 21:02:53 IDT 2025, 462 W
Thu Oct  2 21:02:53 IDT 2025, 463 W
Thu Oct  2 21:02:53 IDT 2025, 461 W
Thu Oct  2 21:02:53 IDT 2025, 463 W
Thu Oct  2 21:02:53 IDT 2025, 462 W
Thu Oct  2 21:02:53 IDT 2025, 454 W
Thu Oct  2 21:02:53 IDT 2025, 462 W
Thu Oct  2 21:02:54 IDT 2025, 470 W
Thu Oct  2 21:02:54 IDT 2025, 461 W
Thu Oct  2 21:02:54 IDT 2025, 464 W
Thu Oct  2 21:02:54 IDT 2025, 459 W
Thu Oct  2 21:02:54 IDT 2025, 465 W
Thu Oct  2 21:02:54 IDT 2025, 461 W
Thu Oct  2 21:02:54 IDT 2025, 453 W
Thu Oct  2 21:02:54 IDT 2025, 460 W
Thu Oct  2 21:02:55 IDT 2025, 471 W
Thu Oct  2 21:02:55 IDT 2025, 462 W
Thu Oct  2 21:02:55 IDT 2025, 463 W
Thu Oct  2 21:02:55 IDT 2025, 459 W
Thu Oct  2 21:02:55 IDT 2025, 460 W
Thu Oct  2 21:02:55 IDT 2025, 460 W
Thu Oct  2 21:02:55 IDT 2025, 454 W
Thu Oct  2 21:02:55 IDT 2025, 462 W
Thu Oct  2 21:02:56 IDT 2025, 459 W
Thu Oct  2 21:02:56 IDT 2025, 460 W
Thu Oct  2 21:02:56 IDT 2025, 459 W
Thu Oct  2 21:02:56 IDT 2025, 460 W
Thu Oct  2 21:02:56 IDT 2025, 462 W
Thu Oct  2 21:02:56 IDT 2025, 465 W
Thu Oct  2 21:02:56 IDT 2025, 451 W
Thu Oct  2 21:02:56 IDT 2025, 460 W
Thu Oct  2 21:02:57 IDT 2025, 468 W
Thu Oct  2 21:02:57 IDT 2025, 461 W
Thu Oct  2 21:02:57 IDT 2025, 466 W
Thu Oct  2 21:02:57 IDT 2025, 460 W
Thu Oct  2 21:02:57 IDT 2025, 464 W
Thu Oct  2 21:02:57 IDT 2025, 462 W
Thu Oct  2 21:02:57 IDT 2025, 453 W
Thu Oct  2 21:02:57 IDT 2025, 459 W
Thu Oct  2 21:02:58 IDT 2025, 471 W
Thu Oct  2 21:02:58 IDT 2025, 461 W
Thu Oct  2 21:02:58 IDT 2025, 463 W
Thu Oct  2 21:02:58 IDT 2025, 462 W
Thu Oct  2 21:02:58 IDT 2025, 465 W
Thu Oct  2 21:02:58 IDT 2025, 462 W
Thu Oct  2 21:02:58 IDT 2025, 454 W
Thu Oct  2 21:02:58 IDT 2025, 461 W
Thu Oct  2 21:02:59 IDT 2025, 471 W
Thu Oct  2 21:02:59 IDT 2025, 463 W
Thu Oct  2 21:02:59 IDT 2025, 468 W
Thu Oct  2 21:02:59 IDT 2025, 461 W
Thu Oct  2 21:02:59 IDT 2025, 465 W
Thu Oct  2 21:02:59 IDT 2025, 463 W
Thu Oct  2 21:02:59 IDT 2025, 454 W
Thu Oct  2 21:02:59 IDT 2025, 460 W
Thu Oct  2 21:03:00 IDT 2025, 465 W
Thu Oct  2 21:03:00 IDT 2025, 462 W
Thu Oct  2 21:03:00 IDT 2025, 460 W
Thu Oct  2 21:03:00 IDT 2025, 459 W
Thu Oct  2 21:03:00 IDT 2025, 464 W
Thu Oct  2 21:03:00 IDT 2025, 456 W
Thu Oct  2 21:03:00 IDT 2025, 452 W
Thu Oct  2 21:03:00 IDT 2025, 458 W
Thu Oct  2 21:03:01 IDT 2025, 470 W
Thu Oct  2 21:03:01 IDT 2025, 462 W
Thu Oct  2 21:03:01 IDT 2025, 463 W
Thu Oct  2 21:03:01 IDT 2025, 461 W
Thu Oct  2 21:03:01 IDT 2025, 461 W
Thu Oct  2 21:03:01 IDT 2025, 459 W
