timestamp, power.draw [W]
Fri Nov 14 06:56:08 IST 2025, 231 W
Fri Nov 14 06:56:08 IST 2025, 228 W
Fri Nov 14 06:56:08 IST 2025, 228 W
Fri Nov 14 06:56:08 IST 2025, 229 W
Fri Nov 14 06:56:08 IST 2025, 227 W
Fri Nov 14 06:56:08 IST 2025, 229 W
Fri Nov 14 06:56:08 IST 2025, 226 W
Fri Nov 14 06:56:08 IST 2025, 228 W
Fri Nov 14 06:56:09 IST 2025, 231 W
Fri Nov 14 06:56:09 IST 2025, 228 W
Fri Nov 14 06:56:09 IST 2025, 228 W
Fri Nov 14 06:56:09 IST 2025, 228 W
Fri Nov 14 06:56:09 IST 2025, 228 W
Fri Nov 14 06:56:09 IST 2025, 230 W
Fri Nov 14 06:56:09 IST 2025, 228 W
Fri Nov 14 06:56:09 IST 2025, 228 W
Fri Nov 14 06:56:10 IST 2025, 231 W
Fri Nov 14 06:56:10 IST 2025, 228 W
Fri Nov 14 06:56:10 IST 2025, 228 W
Fri Nov 14 06:56:10 IST 2025, 229 W
Fri Nov 14 06:56:10 IST 2025, 228 W
Fri Nov 14 06:56:10 IST 2025, 230 W
Fri Nov 14 06:56:10 IST 2025, 227 W
Fri Nov 14 06:56:10 IST 2025, 228 W
Fri Nov 14 06:56:11 IST 2025, 231 W
Fri Nov 14 06:56:11 IST 2025, 228 W
Fri Nov 14 06:56:11 IST 2025, 228 W
Fri Nov 14 06:56:11 IST 2025, 229 W
Fri Nov 14 06:56:11 IST 2025, 227 W
Fri Nov 14 06:56:11 IST 2025, 230 W
Fri Nov 14 06:56:11 IST 2025, 227 W
Fri Nov 14 06:56:11 IST 2025, 228 W
Fri Nov 14 06:56:12 IST 2025, 231 W
Fri Nov 14 06:56:12 IST 2025, 227 W
Fri Nov 14 06:56:12 IST 2025, 228 W
Fri Nov 14 06:56:12 IST 2025, 229 W
Fri Nov 14 06:56:12 IST 2025, 227 W
Fri Nov 14 06:56:12 IST 2025, 230 W
Fri Nov 14 06:56:12 IST 2025, 227 W
Fri Nov 14 06:56:12 IST 2025, 228 W
Fri Nov 14 06:56:13 IST 2025, 231 W
Fri Nov 14 06:56:13 IST 2025, 228 W
Fri Nov 14 06:56:13 IST 2025, 228 W
Fri Nov 14 06:56:13 IST 2025, 229 W
Fri Nov 14 06:56:13 IST 2025, 228 W
Fri Nov 14 06:56:13 IST 2025, 229 W
Fri Nov 14 06:56:13 IST 2025, 227 W
Fri Nov 14 06:56:13 IST 2025, 227 W
Fri Nov 14 06:56:14 IST 2025, 231 W
Fri Nov 14 06:56:14 IST 2025, 227 W
Fri Nov 14 06:56:14 IST 2025, 228 W
Fri Nov 14 06:56:14 IST 2025, 229 W
Fri Nov 14 06:56:14 IST 2025, 228 W
Fri Nov 14 06:56:14 IST 2025, 230 W
Fri Nov 14 06:56:14 IST 2025, 227 W
Fri Nov 14 06:56:14 IST 2025, 228 W
Fri Nov 14 06:56:15 IST 2025, 231 W
Fri Nov 14 06:56:15 IST 2025, 228 W
Fri Nov 14 06:56:15 IST 2025, 228 W
Fri Nov 14 06:56:15 IST 2025, 229 W
Fri Nov 14 06:56:15 IST 2025, 228 W
Fri Nov 14 06:56:15 IST 2025, 230 W
Fri Nov 14 06:56:15 IST 2025, 227 W
Fri Nov 14 06:56:15 IST 2025, 228 W
Fri Nov 14 06:56:16 IST 2025, 231 W
Fri Nov 14 06:56:16 IST 2025, 227 W
Fri Nov 14 06:56:16 IST 2025, 228 W
Fri Nov 14 06:56:16 IST 2025, 229 W
Fri Nov 14 06:56:16 IST 2025, 228 W
Fri Nov 14 06:56:16 IST 2025, 229 W
Fri Nov 14 06:56:16 IST 2025, 226 W
Fri Nov 14 06:56:16 IST 2025, 228 W
Fri Nov 14 06:56:17 IST 2025, 231 W
Fri Nov 14 06:56:17 IST 2025, 228 W
Fri Nov 14 06:56:17 IST 2025, 228 W
Fri Nov 14 06:56:17 IST 2025, 229 W
Fri Nov 14 06:56:17 IST 2025, 227 W
Fri Nov 14 06:56:17 IST 2025, 230 W
Fri Nov 14 06:56:17 IST 2025, 228 W
Fri Nov 14 06:56:17 IST 2025, 228 W
Fri Nov 14 06:56:18 IST 2025, 231 W
Fri Nov 14 06:56:18 IST 2025, 227 W
Fri Nov 14 06:56:18 IST 2025, 228 W
Fri Nov 14 06:56:18 IST 2025, 229 W
Fri Nov 14 06:56:18 IST 2025, 227 W
Fri Nov 14 06:56:18 IST 2025, 230 W
Fri Nov 14 06:56:18 IST 2025, 226 W
Fri Nov 14 06:56:18 IST 2025, 228 W
Fri Nov 14 06:56:19 IST 2025, 231 W
Fri Nov 14 06:56:19 IST 2025, 228 W
Fri Nov 14 06:56:19 IST 2025, 228 W
Fri Nov 14 06:56:19 IST 2025, 229 W
Fri Nov 14 06:56:19 IST 2025, 227 W
Fri Nov 14 06:56:19 IST 2025, 230 W
Fri Nov 14 06:56:19 IST 2025, 227 W
Fri Nov 14 06:56:19 IST 2025, 228 W
Fri Nov 14 06:56:20 IST 2025, 231 W
Fri Nov 14 06:56:20 IST 2025, 228 W
Fri Nov 14 06:56:20 IST 2025, 228 W
Fri Nov 14 06:56:20 IST 2025, 229 W
Fri Nov 14 06:56:20 IST 2025, 228 W
Fri Nov 14 06:56:20 IST 2025, 229 W
Fri Nov 14 06:56:20 IST 2025, 227 W
Fri Nov 14 06:56:20 IST 2025, 228 W
Fri Nov 14 06:56:21 IST 2025, 231 W
Fri Nov 14 06:56:21 IST 2025, 227 W
Fri Nov 14 06:56:21 IST 2025, 228 W
Fri Nov 14 06:56:21 IST 2025, 229 W
Fri Nov 14 06:56:21 IST 2025, 228 W
Fri Nov 14 06:56:21 IST 2025, 230 W
Fri Nov 14 06:56:21 IST 2025, 226 W
Fri Nov 14 06:56:21 IST 2025, 228 W
Fri Nov 14 06:56:22 IST 2025, 231 W
Fri Nov 14 06:56:22 IST 2025, 228 W
Fri Nov 14 06:56:22 IST 2025, 228 W
Fri Nov 14 06:56:22 IST 2025, 229 W
Fri Nov 14 06:56:22 IST 2025, 227 W
Fri Nov 14 06:56:22 IST 2025, 230 W
Fri Nov 14 06:56:22 IST 2025, 227 W
Fri Nov 14 06:56:22 IST 2025, 228 W
Fri Nov 14 06:56:23 IST 2025, 231 W
Fri Nov 14 06:56:23 IST 2025, 228 W
Fri Nov 14 06:56:23 IST 2025, 228 W
Fri Nov 14 06:56:23 IST 2025, 229 W
Fri Nov 14 06:56:23 IST 2025, 228 W
Fri Nov 14 06:56:23 IST 2025, 229 W
Fri Nov 14 06:56:23 IST 2025, 227 W
Fri Nov 14 06:56:23 IST 2025, 228 W
Fri Nov 14 06:56:24 IST 2025, 231 W
Fri Nov 14 06:56:24 IST 2025, 228 W
Fri Nov 14 06:56:24 IST 2025, 228 W
Fri Nov 14 06:56:24 IST 2025, 229 W
Fri Nov 14 06:56:24 IST 2025, 227 W
Fri Nov 14 06:56:24 IST 2025, 230 W
Fri Nov 14 06:56:24 IST 2025, 227 W
Fri Nov 14 06:56:24 IST 2025, 227 W
Fri Nov 14 06:56:25 IST 2025, 231 W
Fri Nov 14 06:56:25 IST 2025, 228 W
Fri Nov 14 06:56:25 IST 2025, 228 W
Fri Nov 14 06:56:25 IST 2025, 229 W
Fri Nov 14 06:56:25 IST 2025, 228 W
Fri Nov 14 06:56:25 IST 2025, 229 W
Fri Nov 14 06:56:25 IST 2025, 227 W
Fri Nov 14 06:56:25 IST 2025, 228 W
