timestamp, power.draw [W]
Thu Nov 13 12:11:11 IST 2025, 232 W
Thu Nov 13 12:11:11 IST 2025, 233 W
Thu Nov 13 12:11:12 IST 2025, 232 W
Thu Nov 13 12:11:12 IST 2025, 234 W
Thu Nov 13 12:11:13 IST 2025, 232 W
Thu Nov 13 12:11:13 IST 2025, 234 W
Thu Nov 13 12:11:14 IST 2025, 232 W
Thu Nov 13 12:11:14 IST 2025, 233 W
Thu Nov 13 12:11:15 IST 2025, 232 W
Thu Nov 13 12:11:15 IST 2025, 233 W
Thu Nov 13 12:11:16 IST 2025, 232 W
Thu Nov 13 12:11:16 IST 2025, 233 W
Thu Nov 13 12:11:17 IST 2025, 232 W
Thu Nov 13 12:11:17 IST 2025, 234 W
Thu Nov 13 12:11:18 IST 2025, 232 W
Thu Nov 13 12:11:18 IST 2025, 234 W
Thu Nov 13 12:11:19 IST 2025, 232 W
Thu Nov 13 12:11:19 IST 2025, 234 W
Thu Nov 13 12:11:20 IST 2025, 232 W
Thu Nov 13 12:11:20 IST 2025, 234 W
Thu Nov 13 12:11:21 IST 2025, 232 W
Thu Nov 13 12:11:21 IST 2025, 233 W
Thu Nov 13 12:11:22 IST 2025, 232 W
Thu Nov 13 12:11:22 IST 2025, 234 W
Thu Nov 13 12:11:23 IST 2025, 232 W
Thu Nov 13 12:11:23 IST 2025, 234 W
Thu Nov 13 12:11:24 IST 2025, 232 W
Thu Nov 13 12:11:24 IST 2025, 233 W
Thu Nov 13 12:11:25 IST 2025, 232 W
Thu Nov 13 12:11:25 IST 2025, 233 W
Thu Nov 13 12:11:26 IST 2025, 232 W
Thu Nov 13 12:11:26 IST 2025, 234 W
Thu Nov 13 12:11:27 IST 2025, 232 W
Thu Nov 13 12:11:27 IST 2025, 233 W
Thu Nov 13 12:11:28 IST 2025, 232 W
Thu Nov 13 12:11:28 IST 2025, 234 W
Thu Nov 13 12:11:29 IST 2025, 232 W
Thu Nov 13 12:11:29 IST 2025, 233 W
Thu Nov 13 12:11:30 IST 2025, 232 W
Thu Nov 13 12:11:30 IST 2025, 233 W
Thu Nov 13 12:11:31 IST 2025, 232 W
Thu Nov 13 12:11:31 IST 2025, 234 W
Thu Nov 13 12:11:32 IST 2025, 232 W
Thu Nov 13 12:11:32 IST 2025, 233 W
Thu Nov 13 12:11:33 IST 2025, 232 W
Thu Nov 13 12:11:33 IST 2025, 233 W
Thu Nov 13 12:11:34 IST 2025, 232 W
Thu Nov 13 12:11:34 IST 2025, 233 W
Thu Nov 13 12:11:35 IST 2025, 232 W
Thu Nov 13 12:11:35 IST 2025, 233 W
Thu Nov 13 12:11:36 IST 2025, 232 W
Thu Nov 13 12:11:36 IST 2025, 233 W
Thu Nov 13 12:11:37 IST 2025, 232 W
Thu Nov 13 12:11:37 IST 2025, 233 W
Thu Nov 13 12:11:38 IST 2025, 232 W
Thu Nov 13 12:11:38 IST 2025, 233 W
Thu Nov 13 12:11:39 IST 2025, 232 W
Thu Nov 13 12:11:39 IST 2025, 233 W
Thu Nov 13 12:11:40 IST 2025, 232 W
Thu Nov 13 12:11:40 IST 2025, 234 W
Thu Nov 13 12:11:41 IST 2025, 232 W
Thu Nov 13 12:11:41 IST 2025, 234 W
Thu Nov 13 12:11:42 IST 2025, 232 W
Thu Nov 13 12:11:42 IST 2025, 234 W
Thu Nov 13 12:11:43 IST 2025, 232 W
Thu Nov 13 12:11:43 IST 2025, 233 W
Thu Nov 13 12:11:44 IST 2025, 232 W
Thu Nov 13 12:11:44 IST 2025, 233 W
Thu Nov 13 12:11:45 IST 2025, 232 W
Thu Nov 13 12:11:45 IST 2025, 233 W
Thu Nov 13 12:11:46 IST 2025, 232 W
Thu Nov 13 12:11:46 IST 2025, 233 W
Thu Nov 13 12:11:47 IST 2025, 232 W
Thu Nov 13 12:11:47 IST 2025, 233 W
Thu Nov 13 12:11:48 IST 2025, 232 W
Thu Nov 13 12:11:48 IST 2025, 233 W
Thu Nov 13 12:11:49 IST 2025, 232 W
Thu Nov 13 12:11:49 IST 2025, 234 W
Thu Nov 13 12:11:50 IST 2025, 232 W
Thu Nov 13 12:11:50 IST 2025, 233 W
Thu Nov 13 12:11:51 IST 2025, 232 W
Thu Nov 13 12:11:51 IST 2025, 233 W
Thu Nov 13 12:11:52 IST 2025, 232 W
Thu Nov 13 12:11:52 IST 2025, 234 W
Thu Nov 13 12:11:53 IST 2025, 232 W
Thu Nov 13 12:11:53 IST 2025, 234 W
Thu Nov 13 12:11:54 IST 2025, 232 W
Thu Nov 13 12:11:54 IST 2025, 234 W
Thu Nov 13 12:11:55 IST 2025, 232 W
Thu Nov 13 12:11:55 IST 2025, 233 W
Thu Nov 13 12:11:56 IST 2025, 232 W
Thu Nov 13 12:11:56 IST 2025, 233 W
Thu Nov 13 12:11:57 IST 2025, 232 W
Thu Nov 13 12:11:57 IST 2025, 233 W
Thu Nov 13 12:11:58 IST 2025, 232 W
Thu Nov 13 12:11:58 IST 2025, 233 W
Thu Nov 13 12:11:59 IST 2025, 232 W
Thu Nov 13 12:11:59 IST 2025, 233 W
Thu Nov 13 12:12:00 IST 2025, 232 W
Thu Nov 13 12:12:00 IST 2025, 233 W
Thu Nov 13 12:12:01 IST 2025, 232 W
Thu Nov 13 12:12:01 IST 2025, 233 W
Thu Nov 13 12:12:02 IST 2025, 232 W
Thu Nov 13 12:12:02 IST 2025, 233 W
Thu Nov 13 12:12:03 IST 2025, 232 W
Thu Nov 13 12:12:03 IST 2025, 234 W
Thu Nov 13 12:12:04 IST 2025, 242 W
Thu Nov 13 12:12:04 IST 2025, 241 W
Thu Nov 13 12:12:05 IST 2025, 233 W
Thu Nov 13 12:12:05 IST 2025, 235 W
Thu Nov 13 12:12:06 IST 2025, 233 W
Thu Nov 13 12:12:06 IST 2025, 235 W
Thu Nov 13 12:12:07 IST 2025, 598 W
Thu Nov 13 12:12:07 IST 2025, 603 W
Thu Nov 13 12:12:08 IST 2025, 603 W
Thu Nov 13 12:12:08 IST 2025, 602 W
Thu Nov 13 12:12:09 IST 2025, 599 W
Thu Nov 13 12:12:09 IST 2025, 602 W
Thu Nov 13 12:12:10 IST 2025, 603 W
Thu Nov 13 12:12:10 IST 2025, 604 W
Thu Nov 13 12:12:11 IST 2025, 595 W
Thu Nov 13 12:12:11 IST 2025, 600 W
Thu Nov 13 12:12:12 IST 2025, 235 W
Thu Nov 13 12:12:12 IST 2025, 235 W
Thu Nov 13 12:12:13 IST 2025, 592 W
Thu Nov 13 12:12:13 IST 2025, 593 W
Thu Nov 13 12:12:14 IST 2025, 602 W
Thu Nov 13 12:12:14 IST 2025, 601 W
Thu Nov 13 12:12:15 IST 2025, 602 W
