timestamp, power.draw [W]
Thu Nov 13 11:06:30 IST 2025, 232 W
Thu Nov 13 11:06:30 IST 2025, 233 W
Thu Nov 13 11:06:31 IST 2025, 232 W
Thu Nov 13 11:06:31 IST 2025, 233 W
Thu Nov 13 11:06:32 IST 2025, 232 W
Thu Nov 13 11:06:32 IST 2025, 233 W
Thu Nov 13 11:06:33 IST 2025, 232 W
Thu Nov 13 11:06:33 IST 2025, 233 W
Thu Nov 13 11:06:34 IST 2025, 232 W
Thu Nov 13 11:06:34 IST 2025, 234 W
Thu Nov 13 11:06:35 IST 2025, 232 W
Thu Nov 13 11:06:35 IST 2025, 233 W
Thu Nov 13 11:06:36 IST 2025, 232 W
Thu Nov 13 11:06:36 IST 2025, 233 W
Thu Nov 13 11:06:37 IST 2025, 232 W
Thu Nov 13 11:06:37 IST 2025, 234 W
Thu Nov 13 11:06:38 IST 2025, 232 W
Thu Nov 13 11:06:38 IST 2025, 233 W
Thu Nov 13 11:06:39 IST 2025, 232 W
Thu Nov 13 11:06:39 IST 2025, 234 W
Thu Nov 13 11:06:40 IST 2025, 232 W
Thu Nov 13 11:06:40 IST 2025, 234 W
Thu Nov 13 11:06:41 IST 2025, 232 W
Thu Nov 13 11:06:41 IST 2025, 234 W
Thu Nov 13 11:06:42 IST 2025, 232 W
Thu Nov 13 11:06:42 IST 2025, 233 W
Thu Nov 13 11:06:43 IST 2025, 232 W
Thu Nov 13 11:06:43 IST 2025, 234 W
Thu Nov 13 11:06:44 IST 2025, 232 W
Thu Nov 13 11:06:44 IST 2025, 234 W
Thu Nov 13 11:06:45 IST 2025, 232 W
Thu Nov 13 11:06:45 IST 2025, 234 W
Thu Nov 13 11:06:46 IST 2025, 232 W
Thu Nov 13 11:06:46 IST 2025, 234 W
Thu Nov 13 11:06:47 IST 2025, 232 W
Thu Nov 13 11:06:47 IST 2025, 234 W
Thu Nov 13 11:06:48 IST 2025, 232 W
Thu Nov 13 11:06:48 IST 2025, 233 W
Thu Nov 13 11:06:49 IST 2025, 232 W
Thu Nov 13 11:06:49 IST 2025, 233 W
Thu Nov 13 11:06:50 IST 2025, 232 W
Thu Nov 13 11:06:50 IST 2025, 233 W
Thu Nov 13 11:06:51 IST 2025, 232 W
Thu Nov 13 11:06:51 IST 2025, 234 W
Thu Nov 13 11:06:52 IST 2025, 232 W
Thu Nov 13 11:06:52 IST 2025, 234 W
Thu Nov 13 11:06:53 IST 2025, 232 W
Thu Nov 13 11:06:53 IST 2025, 233 W
Thu Nov 13 11:06:54 IST 2025, 232 W
Thu Nov 13 11:06:54 IST 2025, 234 W
Thu Nov 13 11:06:55 IST 2025, 232 W
