timestamp, power.draw [W]
Fri Aug 22 21:18:27 IDT 2025, 91 W
Fri Aug 22 21:18:27 IDT 2025, 90 W
Fri Aug 22 21:18:27 IDT 2025, 104 W
Fri Aug 22 21:18:27 IDT 2025, 98 W
Fri Aug 22 21:18:27 IDT 2025, 83 W
Fri Aug 22 21:18:27 IDT 2025, 86 W
Fri Aug 22 21:18:27 IDT 2025, 94 W
Fri Aug 22 21:18:27 IDT 2025, 96 W
Fri Aug 22 21:18:28 IDT 2025, 98 W
Fri Aug 22 21:18:28 IDT 2025, 92 W
Fri Aug 22 21:18:28 IDT 2025, 104 W
Fri Aug 22 21:18:28 IDT 2025, 105 W
Fri Aug 22 21:18:28 IDT 2025, 89 W
Fri Aug 22 21:18:28 IDT 2025, 88 W
Fri Aug 22 21:18:28 IDT 2025, 94 W
Fri Aug 22 21:18:28 IDT 2025, 99 W
Fri Aug 22 21:18:29 IDT 2025, 99 W
Fri Aug 22 21:18:29 IDT 2025, 91 W
Fri Aug 22 21:18:29 IDT 2025, 108 W
Fri Aug 22 21:18:29 IDT 2025, 98 W
Fri Aug 22 21:18:29 IDT 2025, 90 W
Fri Aug 22 21:18:29 IDT 2025, 86 W
Fri Aug 22 21:18:29 IDT 2025, 97 W
Fri Aug 22 21:18:29 IDT 2025, 94 W
Fri Aug 22 21:18:30 IDT 2025, 92 W
Fri Aug 22 21:18:30 IDT 2025, 97 W
Fri Aug 22 21:18:30 IDT 2025, 105 W
Fri Aug 22 21:18:30 IDT 2025, 102 W
Fri Aug 22 21:18:30 IDT 2025, 84 W
Fri Aug 22 21:18:30 IDT 2025, 85 W
Fri Aug 22 21:18:30 IDT 2025, 89 W
Fri Aug 22 21:18:30 IDT 2025, 97 W
Fri Aug 22 21:18:31 IDT 2025, 92 W
Fri Aug 22 21:18:31 IDT 2025, 89 W
Fri Aug 22 21:18:31 IDT 2025, 111 W
Fri Aug 22 21:18:31 IDT 2025, 99 W
Fri Aug 22 21:18:31 IDT 2025, 85 W
Fri Aug 22 21:18:31 IDT 2025, 93 W
Fri Aug 22 21:18:31 IDT 2025, 101 W
Fri Aug 22 21:18:31 IDT 2025, 98 W
Fri Aug 22 21:18:32 IDT 2025, 97 W
Fri Aug 22 21:18:32 IDT 2025, 92 W
Fri Aug 22 21:18:32 IDT 2025, 100 W
Fri Aug 22 21:18:32 IDT 2025, 108 W
Fri Aug 22 21:18:32 IDT 2025, 80 W
Fri Aug 22 21:18:32 IDT 2025, 83 W
Fri Aug 22 21:18:32 IDT 2025, 88 W
Fri Aug 22 21:18:32 IDT 2025, 99 W
Fri Aug 22 21:18:33 IDT 2025, 99 W
Fri Aug 22 21:18:33 IDT 2025, 98 W
Fri Aug 22 21:18:33 IDT 2025, 105 W
Fri Aug 22 21:18:33 IDT 2025, 101 W
Fri Aug 22 21:18:33 IDT 2025, 85 W
Fri Aug 22 21:18:33 IDT 2025, 85 W
Fri Aug 22 21:18:33 IDT 2025, 94 W
Fri Aug 22 21:18:33 IDT 2025, 98 W
Fri Aug 22 21:18:34 IDT 2025, 94 W
Fri Aug 22 21:18:34 IDT 2025, 93 W
Fri Aug 22 21:18:34 IDT 2025, 105 W
Fri Aug 22 21:18:34 IDT 2025, 103 W
Fri Aug 22 21:18:34 IDT 2025, 88 W
Fri Aug 22 21:18:34 IDT 2025, 92 W
Fri Aug 22 21:18:34 IDT 2025, 94 W
Fri Aug 22 21:18:34 IDT 2025, 94 W
Fri Aug 22 21:18:35 IDT 2025, 96 W
Fri Aug 22 21:18:35 IDT 2025, 89 W
Fri Aug 22 21:18:35 IDT 2025, 102 W
Fri Aug 22 21:18:35 IDT 2025, 112 W
Fri Aug 22 21:18:35 IDT 2025, 80 W
Fri Aug 22 21:18:35 IDT 2025, 93 W
Fri Aug 22 21:18:35 IDT 2025, 95 W
Fri Aug 22 21:18:35 IDT 2025, 95 W
Fri Aug 22 21:18:36 IDT 2025, 94 W
Fri Aug 22 21:18:36 IDT 2025, 94 W
Fri Aug 22 21:18:36 IDT 2025, 104 W
Fri Aug 22 21:18:36 IDT 2025, 95 W
Fri Aug 22 21:18:36 IDT 2025, 88 W
Fri Aug 22 21:18:36 IDT 2025, 88 W
Fri Aug 22 21:18:36 IDT 2025, 95 W
Fri Aug 22 21:18:36 IDT 2025, 100 W
Fri Aug 22 21:18:37 IDT 2025, 96 W
Fri Aug 22 21:18:37 IDT 2025, 91 W
Fri Aug 22 21:18:37 IDT 2025, 102 W
Fri Aug 22 21:18:37 IDT 2025, 103 W
Fri Aug 22 21:18:37 IDT 2025, 90 W
Fri Aug 22 21:18:37 IDT 2025, 84 W
Fri Aug 22 21:18:37 IDT 2025, 92 W
Fri Aug 22 21:18:37 IDT 2025, 98 W
Fri Aug 22 21:18:38 IDT 2025, 97 W
Fri Aug 22 21:18:38 IDT 2025, 88 W
Fri Aug 22 21:18:38 IDT 2025, 102 W
Fri Aug 22 21:18:38 IDT 2025, 96 W
Fri Aug 22 21:18:38 IDT 2025, 89 W
Fri Aug 22 21:18:38 IDT 2025, 86 W
Fri Aug 22 21:18:38 IDT 2025, 96 W
Fri Aug 22 21:18:38 IDT 2025, 97 W
Fri Aug 22 21:18:39 IDT 2025, 98 W
Fri Aug 22 21:18:39 IDT 2025, 91 W
Fri Aug 22 21:18:39 IDT 2025, 106 W
Fri Aug 22 21:18:39 IDT 2025, 98 W
Fri Aug 22 21:18:39 IDT 2025, 90 W
Fri Aug 22 21:18:39 IDT 2025, 87 W
Fri Aug 22 21:18:39 IDT 2025, 94 W
Fri Aug 22 21:18:39 IDT 2025, 100 W
Fri Aug 22 21:18:40 IDT 2025, 93 W
Fri Aug 22 21:18:40 IDT 2025, 95 W
Fri Aug 22 21:18:40 IDT 2025, 107 W
Fri Aug 22 21:18:40 IDT 2025, 104 W
Fri Aug 22 21:18:40 IDT 2025, 85 W
Fri Aug 22 21:18:40 IDT 2025, 87 W
Fri Aug 22 21:18:40 IDT 2025, 90 W
Fri Aug 22 21:18:40 IDT 2025, 102 W
Fri Aug 22 21:18:41 IDT 2025, 97 W
Fri Aug 22 21:18:41 IDT 2025, 93 W
Fri Aug 22 21:18:41 IDT 2025, 105 W
Fri Aug 22 21:18:41 IDT 2025, 106 W
Fri Aug 22 21:18:41 IDT 2025, 85 W
Fri Aug 22 21:18:41 IDT 2025, 88 W
Fri Aug 22 21:18:41 IDT 2025, 86 W
Fri Aug 22 21:18:41 IDT 2025, 95 W
Fri Aug 22 21:18:42 IDT 2025, 97 W
Fri Aug 22 21:18:42 IDT 2025, 90 W
Fri Aug 22 21:18:42 IDT 2025, 100 W
Fri Aug 22 21:18:42 IDT 2025, 103 W
Fri Aug 22 21:18:42 IDT 2025, 90 W
