timestamp, power.draw [W]
Fri Aug 22 21:01:23 IDT 2025, 97 W
Fri Aug 22 21:01:23 IDT 2025, 89 W
Fri Aug 22 21:01:24 IDT 2025, 99 W
Fri Aug 22 21:01:24 IDT 2025, 87 W
Fri Aug 22 21:01:25 IDT 2025, 99 W
Fri Aug 22 21:01:25 IDT 2025, 86 W
Fri Aug 22 21:01:26 IDT 2025, 100 W
Fri Aug 22 21:01:26 IDT 2025, 87 W
Fri Aug 22 21:01:27 IDT 2025, 100 W
Fri Aug 22 21:01:27 IDT 2025, 85 W
Fri Aug 22 21:01:28 IDT 2025, 102 W
Fri Aug 22 21:01:28 IDT 2025, 93 W
Fri Aug 22 21:01:29 IDT 2025, 95 W
Fri Aug 22 21:01:29 IDT 2025, 89 W
Fri Aug 22 21:01:30 IDT 2025, 97 W
Fri Aug 22 21:01:30 IDT 2025, 85 W
Fri Aug 22 21:01:31 IDT 2025, 99 W
Fri Aug 22 21:01:31 IDT 2025, 85 W
Fri Aug 22 21:01:32 IDT 2025, 100 W
Fri Aug 22 21:01:32 IDT 2025, 90 W
Fri Aug 22 21:01:33 IDT 2025, 101 W
Fri Aug 22 21:01:33 IDT 2025, 84 W
Fri Aug 22 21:01:34 IDT 2025, 98 W
Fri Aug 22 21:01:34 IDT 2025, 86 W
Fri Aug 22 21:01:35 IDT 2025, 99 W
Fri Aug 22 21:01:35 IDT 2025, 81 W
Fri Aug 22 21:01:36 IDT 2025, 100 W
Fri Aug 22 21:01:36 IDT 2025, 87 W
Fri Aug 22 21:01:37 IDT 2025, 97 W
Fri Aug 22 21:01:37 IDT 2025, 85 W
Fri Aug 22 21:01:38 IDT 2025, 94 W
Fri Aug 22 21:01:38 IDT 2025, 89 W
Fri Aug 22 21:01:39 IDT 2025, 96 W
Fri Aug 22 21:01:39 IDT 2025, 85 W
Fri Aug 22 21:01:40 IDT 2025, 101 W
Fri Aug 22 21:01:40 IDT 2025, 87 W
Fri Aug 22 21:01:41 IDT 2025, 100 W
Fri Aug 22 21:01:41 IDT 2025, 85 W
Fri Aug 22 21:01:42 IDT 2025, 100 W
Fri Aug 22 21:01:42 IDT 2025, 92 W
Fri Aug 22 21:01:43 IDT 2025, 98 W
Fri Aug 22 21:01:43 IDT 2025, 89 W
Fri Aug 22 21:01:44 IDT 2025, 99 W
Fri Aug 22 21:01:44 IDT 2025, 91 W
Fri Aug 22 21:01:45 IDT 2025, 94 W
Fri Aug 22 21:01:45 IDT 2025, 90 W
Fri Aug 22 21:01:46 IDT 2025, 102 W
Fri Aug 22 21:01:46 IDT 2025, 91 W
Fri Aug 22 21:01:47 IDT 2025, 100 W
Fri Aug 22 21:01:47 IDT 2025, 90 W
Fri Aug 22 21:01:48 IDT 2025, 97 W
Fri Aug 22 21:01:48 IDT 2025, 86 W
Fri Aug 22 21:01:49 IDT 2025, 100 W
Fri Aug 22 21:01:49 IDT 2025, 92 W
Fri Aug 22 21:01:50 IDT 2025, 98 W
Fri Aug 22 21:01:50 IDT 2025, 84 W
Fri Aug 22 21:01:51 IDT 2025, 96 W
Fri Aug 22 21:01:51 IDT 2025, 86 W
Fri Aug 22 21:01:52 IDT 2025, 102 W
Fri Aug 22 21:01:52 IDT 2025, 90 W
Fri Aug 22 21:01:53 IDT 2025, 104 W
Fri Aug 22 21:01:53 IDT 2025, 88 W
Fri Aug 22 21:01:54 IDT 2025, 99 W
Fri Aug 22 21:01:54 IDT 2025, 88 W
Fri Aug 22 21:01:55 IDT 2025, 98 W
Fri Aug 22 21:01:55 IDT 2025, 89 W
Fri Aug 22 21:01:56 IDT 2025, 98 W
Fri Aug 22 21:01:56 IDT 2025, 86 W
Fri Aug 22 21:01:57 IDT 2025, 100 W
Fri Aug 22 21:01:57 IDT 2025, 87 W
Fri Aug 22 21:01:58 IDT 2025, 100 W
Fri Aug 22 21:01:58 IDT 2025, 90 W
Fri Aug 22 21:01:59 IDT 2025, 98 W
Fri Aug 22 21:01:59 IDT 2025, 86 W
Fri Aug 22 21:02:00 IDT 2025, 102 W
Fri Aug 22 21:02:00 IDT 2025, 86 W
Fri Aug 22 21:02:01 IDT 2025, 101 W
Fri Aug 22 21:02:01 IDT 2025, 90 W
Fri Aug 22 21:02:02 IDT 2025, 103 W
Fri Aug 22 21:02:02 IDT 2025, 89 W
Fri Aug 22 21:02:03 IDT 2025, 98 W
Fri Aug 22 21:02:03 IDT 2025, 87 W
Fri Aug 22 21:02:04 IDT 2025, 99 W
Fri Aug 22 21:02:04 IDT 2025, 87 W
Fri Aug 22 21:02:05 IDT 2025, 97 W
Fri Aug 22 21:02:05 IDT 2025, 90 W
Fri Aug 22 21:02:06 IDT 2025, 99 W
Fri Aug 22 21:02:06 IDT 2025, 84 W
Fri Aug 22 21:02:07 IDT 2025, 98 W
Fri Aug 22 21:02:07 IDT 2025, 85 W
Fri Aug 22 21:02:08 IDT 2025, 98 W
Fri Aug 22 21:02:08 IDT 2025, 86 W
Fri Aug 22 21:02:09 IDT 2025, 95 W
Fri Aug 22 21:02:09 IDT 2025, 84 W
Fri Aug 22 21:02:10 IDT 2025, 95 W
Fri Aug 22 21:02:10 IDT 2025, 91 W
Fri Aug 22 21:02:11 IDT 2025, 96 W
Fri Aug 22 21:02:11 IDT 2025, 93 W
Fri Aug 22 21:02:12 IDT 2025, 98 W
Fri Aug 22 21:02:12 IDT 2025, 87 W
Fri Aug 22 21:02:13 IDT 2025, 95 W
