timestamp, power.draw [W]
Thu Aug 21 20:21:58 IDT 2025, 220 W
Thu Aug 21 20:21:59 IDT 2025, 219 W
Thu Aug 21 20:22:00 IDT 2025, 219 W
Thu Aug 21 20:22:01 IDT 2025, 219 W
Thu Aug 21 20:22:02 IDT 2025, 216 W
Thu Aug 21 20:22:03 IDT 2025, 216 W
Thu Aug 21 20:22:04 IDT 2025, 216 W
Thu Aug 21 20:22:05 IDT 2025, 216 W
Thu Aug 21 20:22:06 IDT 2025, 216 W
Thu Aug 21 20:22:07 IDT 2025, 216 W
Thu Aug 21 20:22:08 IDT 2025, 216 W
Thu Aug 21 20:22:09 IDT 2025, 216 W
Thu Aug 21 20:22:10 IDT 2025, 216 W
Thu Aug 21 20:22:11 IDT 2025, 216 W
Thu Aug 21 20:22:12 IDT 2025, 216 W
Thu Aug 21 20:22:13 IDT 2025, 216 W
Thu Aug 21 20:22:14 IDT 2025, 216 W
Thu Aug 21 20:22:15 IDT 2025, 215 W
Thu Aug 21 20:22:16 IDT 2025, 215 W
Thu Aug 21 20:22:17 IDT 2025, 215 W
Thu Aug 21 20:22:18 IDT 2025, 216 W
Thu Aug 21 20:22:19 IDT 2025, 216 W
Thu Aug 21 20:22:20 IDT 2025, 215 W
Thu Aug 21 20:22:21 IDT 2025, 215 W
Thu Aug 21 20:22:22 IDT 2025, 215 W
Thu Aug 21 20:22:23 IDT 2025, 216 W
Thu Aug 21 20:22:24 IDT 2025, 219 W
Thu Aug 21 20:22:25 IDT 2025, 219 W
Thu Aug 21 20:22:26 IDT 2025, 222 W
Thu Aug 21 20:22:27 IDT 2025, 222 W
Thu Aug 21 20:22:28 IDT 2025, 222 W
Thu Aug 21 20:22:29 IDT 2025, 222 W
Thu Aug 21 20:22:30 IDT 2025, 222 W
Thu Aug 21 20:22:31 IDT 2025, 222 W
Thu Aug 21 20:22:32 IDT 2025, 222 W
Thu Aug 21 20:22:33 IDT 2025, 223 W
Thu Aug 21 20:22:34 IDT 2025, 223 W
Thu Aug 21 20:22:35 IDT 2025, 223 W
Thu Aug 21 20:22:36 IDT 2025, 223 W
Thu Aug 21 20:22:37 IDT 2025, 226 W
Thu Aug 21 20:22:38 IDT 2025, 226 W
Thu Aug 21 20:22:39 IDT 2025, 226 W
Thu Aug 21 20:22:40 IDT 2025, 226 W
Thu Aug 21 20:22:41 IDT 2025, 226 W
Thu Aug 21 20:22:42 IDT 2025, 226 W
Thu Aug 21 20:22:43 IDT 2025, 226 W
Thu Aug 21 20:22:44 IDT 2025, 226 W
Thu Aug 21 20:22:45 IDT 2025, 226 W
Thu Aug 21 20:22:46 IDT 2025, 226 W
Thu Aug 21 20:22:47 IDT 2025, 226 W
Thu Aug 21 20:22:48 IDT 2025, 226 W
Thu Aug 21 20:22:49 IDT 2025, 226 W
Thu Aug 21 20:22:50 IDT 2025, 226 W
Thu Aug 21 20:22:51 IDT 2025, 229 W
Thu Aug 21 20:22:52 IDT 2025, 231 W
Thu Aug 21 20:22:53 IDT 2025, 229 W
Thu Aug 21 20:22:54 IDT 2025, 230 W
Thu Aug 21 20:22:55 IDT 2025, 230 W
Thu Aug 21 20:22:56 IDT 2025, 230 W
Thu Aug 21 20:22:57 IDT 2025, 230 W
Thu Aug 21 20:22:58 IDT 2025, 230 W
Thu Aug 21 20:22:59 IDT 2025, 230 W
Thu Aug 21 20:23:00 IDT 2025, 230 W
Thu Aug 21 20:23:01 IDT 2025, 230 W
Thu Aug 21 20:23:02 IDT 2025, 230 W
Thu Aug 21 20:23:03 IDT 2025, 230 W
Thu Aug 21 20:23:04 IDT 2025, 231 W
Thu Aug 21 20:23:05 IDT 2025, 230 W
Thu Aug 21 20:23:06 IDT 2025, 229 W
Thu Aug 21 20:23:07 IDT 2025, 230 W
Thu Aug 21 20:23:08 IDT 2025, 229 W
Thu Aug 21 20:23:09 IDT 2025, 230 W
Thu Aug 21 20:23:10 IDT 2025, 251 W
Thu Aug 21 20:23:11 IDT 2025, 251 W
Thu Aug 21 20:23:12 IDT 2025, 253 W
Thu Aug 21 20:23:13 IDT 2025, 251 W
Thu Aug 21 20:23:14 IDT 2025, 252 W
Thu Aug 21 20:23:15 IDT 2025, 254 W
Thu Aug 21 20:23:16 IDT 2025, 252 W
Thu Aug 21 20:23:17 IDT 2025, 250 W
Thu Aug 21 20:23:18 IDT 2025, 250 W
Thu Aug 21 20:23:19 IDT 2025, 253 W
Thu Aug 21 20:23:20 IDT 2025, 248 W
Thu Aug 21 20:23:21 IDT 2025, 251 W
Thu Aug 21 20:23:22 IDT 2025, 246 W
Thu Aug 21 20:23:23 IDT 2025, 245 W
Thu Aug 21 20:23:24 IDT 2025, 246 W
Thu Aug 21 20:23:25 IDT 2025, 248 W
Thu Aug 21 20:23:26 IDT 2025, 249 W
Thu Aug 21 20:23:27 IDT 2025, 248 W
Thu Aug 21 20:23:28 IDT 2025, 254 W
Thu Aug 21 20:23:29 IDT 2025, 252 W
Thu Aug 21 20:23:30 IDT 2025, 247 W
Thu Aug 21 20:23:31 IDT 2025, 252 W
Thu Aug 21 20:23:32 IDT 2025, 248 W
Thu Aug 21 20:23:33 IDT 2025, 248 W
Thu Aug 21 20:23:34 IDT 2025, 246 W
Thu Aug 21 20:23:35 IDT 2025, 247 W
Thu Aug 21 20:23:36 IDT 2025, 251 W
Thu Aug 21 20:23:37 IDT 2025, 246 W
Thu Aug 21 20:23:38 IDT 2025, 250 W
Thu Aug 21 20:23:39 IDT 2025, 247 W
Thu Aug 21 20:23:40 IDT 2025, 247 W
Thu Aug 21 20:23:41 IDT 2025, 249 W
Thu Aug 21 20:23:42 IDT 2025, 250 W
Thu Aug 21 20:23:43 IDT 2025, 244 W
Thu Aug 21 20:23:44 IDT 2025, 249 W
Thu Aug 21 20:23:45 IDT 2025, 247 W
Thu Aug 21 20:23:46 IDT 2025, 248 W
Thu Aug 21 20:23:47 IDT 2025, 248 W
Thu Aug 21 20:23:48 IDT 2025, 248 W
Thu Aug 21 20:23:49 IDT 2025, 246 W
Thu Aug 21 20:23:50 IDT 2025, 246 W
Thu Aug 21 20:23:51 IDT 2025, 251 W
Thu Aug 21 20:23:52 IDT 2025, 249 W
Thu Aug 21 20:23:53 IDT 2025, 247 W
Thu Aug 21 20:23:54 IDT 2025, 248 W
