timestamp, power.draw [W]
Thu Aug 21 20:39:18 IDT 2025, 224 W
Thu Aug 21 20:39:18 IDT 2025, 224 W
Thu Aug 21 20:39:18 IDT 2025, 226 W
Thu Aug 21 20:39:18 IDT 2025, 227 W
Thu Aug 21 20:39:19 IDT 2025, 224 W
Thu Aug 21 20:39:19 IDT 2025, 224 W
Thu Aug 21 20:39:19 IDT 2025, 226 W
Thu Aug 21 20:39:19 IDT 2025, 227 W
Thu Aug 21 20:39:20 IDT 2025, 224 W
Thu Aug 21 20:39:20 IDT 2025, 224 W
Thu Aug 21 20:39:20 IDT 2025, 226 W
Thu Aug 21 20:39:20 IDT 2025, 227 W
Thu Aug 21 20:39:21 IDT 2025, 224 W
Thu Aug 21 20:39:21 IDT 2025, 224 W
Thu Aug 21 20:39:21 IDT 2025, 226 W
Thu Aug 21 20:39:21 IDT 2025, 227 W
Thu Aug 21 20:39:22 IDT 2025, 224 W
Thu Aug 21 20:39:22 IDT 2025, 224 W
Thu Aug 21 20:39:22 IDT 2025, 226 W
Thu Aug 21 20:39:22 IDT 2025, 227 W
Thu Aug 21 20:39:23 IDT 2025, 224 W
Thu Aug 21 20:39:23 IDT 2025, 224 W
Thu Aug 21 20:39:23 IDT 2025, 226 W
Thu Aug 21 20:39:23 IDT 2025, 227 W
Thu Aug 21 20:39:24 IDT 2025, 224 W
Thu Aug 21 20:39:24 IDT 2025, 224 W
Thu Aug 21 20:39:24 IDT 2025, 226 W
Thu Aug 21 20:39:24 IDT 2025, 227 W
Thu Aug 21 20:39:25 IDT 2025, 224 W
Thu Aug 21 20:39:25 IDT 2025, 224 W
Thu Aug 21 20:39:25 IDT 2025, 226 W
Thu Aug 21 20:39:25 IDT 2025, 227 W
Thu Aug 21 20:39:26 IDT 2025, 224 W
Thu Aug 21 20:39:26 IDT 2025, 224 W
Thu Aug 21 20:39:26 IDT 2025, 226 W
Thu Aug 21 20:39:26 IDT 2025, 227 W
Thu Aug 21 20:39:27 IDT 2025, 224 W
Thu Aug 21 20:39:27 IDT 2025, 224 W
Thu Aug 21 20:39:27 IDT 2025, 226 W
Thu Aug 21 20:39:27 IDT 2025, 227 W
Thu Aug 21 20:39:28 IDT 2025, 224 W
Thu Aug 21 20:39:28 IDT 2025, 224 W
Thu Aug 21 20:39:28 IDT 2025, 226 W
Thu Aug 21 20:39:28 IDT 2025, 227 W
Thu Aug 21 20:39:29 IDT 2025, 224 W
Thu Aug 21 20:39:29 IDT 2025, 224 W
Thu Aug 21 20:39:29 IDT 2025, 226 W
Thu Aug 21 20:39:29 IDT 2025, 227 W
Thu Aug 21 20:39:30 IDT 2025, 224 W
Thu Aug 21 20:39:30 IDT 2025, 224 W
Thu Aug 21 20:39:30 IDT 2025, 226 W
Thu Aug 21 20:39:30 IDT 2025, 227 W
Thu Aug 21 20:39:31 IDT 2025, 224 W
Thu Aug 21 20:39:31 IDT 2025, 224 W
Thu Aug 21 20:39:31 IDT 2025, 226 W
Thu Aug 21 20:39:31 IDT 2025, 227 W
Thu Aug 21 20:39:32 IDT 2025, 224 W
Thu Aug 21 20:39:32 IDT 2025, 224 W
Thu Aug 21 20:39:32 IDT 2025, 226 W
Thu Aug 21 20:39:32 IDT 2025, 227 W
Thu Aug 21 20:39:33 IDT 2025, 224 W
Thu Aug 21 20:39:33 IDT 2025, 224 W
Thu Aug 21 20:39:33 IDT 2025, 226 W
Thu Aug 21 20:39:33 IDT 2025, 227 W
Thu Aug 21 20:39:34 IDT 2025, 224 W
Thu Aug 21 20:39:34 IDT 2025, 224 W
Thu Aug 21 20:39:34 IDT 2025, 226 W
Thu Aug 21 20:39:34 IDT 2025, 227 W
Thu Aug 21 20:39:35 IDT 2025, 224 W
Thu Aug 21 20:39:35 IDT 2025, 224 W
Thu Aug 21 20:39:35 IDT 2025, 226 W
Thu Aug 21 20:39:35 IDT 2025, 227 W
Thu Aug 21 20:39:36 IDT 2025, 224 W
Thu Aug 21 20:39:36 IDT 2025, 224 W
Thu Aug 21 20:39:36 IDT 2025, 226 W
Thu Aug 21 20:39:36 IDT 2025, 227 W
Thu Aug 21 20:39:37 IDT 2025, 224 W
Thu Aug 21 20:39:37 IDT 2025, 224 W
Thu Aug 21 20:39:37 IDT 2025, 226 W
Thu Aug 21 20:39:37 IDT 2025, 227 W
Thu Aug 21 20:39:38 IDT 2025, 224 W
Thu Aug 21 20:39:38 IDT 2025, 224 W
Thu Aug 21 20:39:38 IDT 2025, 226 W
Thu Aug 21 20:39:38 IDT 2025, 227 W
Thu Aug 21 20:39:39 IDT 2025, 224 W
Thu Aug 21 20:39:39 IDT 2025, 224 W
Thu Aug 21 20:39:39 IDT 2025, 226 W
Thu Aug 21 20:39:39 IDT 2025, 227 W
Thu Aug 21 20:39:40 IDT 2025, 224 W
Thu Aug 21 20:39:40 IDT 2025, 224 W
Thu Aug 21 20:39:40 IDT 2025, 226 W
Thu Aug 21 20:39:40 IDT 2025, 227 W
Thu Aug 21 20:39:41 IDT 2025, 224 W
Thu Aug 21 20:39:41 IDT 2025, 224 W
Thu Aug 21 20:39:41 IDT 2025, 226 W
Thu Aug 21 20:39:41 IDT 2025, 227 W
Thu Aug 21 20:39:42 IDT 2025, 224 W
Thu Aug 21 20:39:42 IDT 2025, 224 W
Thu Aug 21 20:39:42 IDT 2025, 226 W
Thu Aug 21 20:39:42 IDT 2025, 227 W
Thu Aug 21 20:39:43 IDT 2025, 224 W
Thu Aug 21 20:39:43 IDT 2025, 224 W
Thu Aug 21 20:39:43 IDT 2025, 226 W
Thu Aug 21 20:39:43 IDT 2025, 227 W
Thu Aug 21 20:39:44 IDT 2025, 224 W
Thu Aug 21 20:39:44 IDT 2025, 224 W
Thu Aug 21 20:39:44 IDT 2025, 226 W
Thu Aug 21 20:39:44 IDT 2025, 227 W
Thu Aug 21 20:39:45 IDT 2025, 224 W
Thu Aug 21 20:39:45 IDT 2025, 224 W
Thu Aug 21 20:39:45 IDT 2025, 226 W
Thu Aug 21 20:39:45 IDT 2025, 227 W
Thu Aug 21 20:39:46 IDT 2025, 224 W
Thu Aug 21 20:39:46 IDT 2025, 224 W
Thu Aug 21 20:39:46 IDT 2025, 226 W
Thu Aug 21 20:39:46 IDT 2025, 227 W
Thu Aug 21 20:39:47 IDT 2025, 224 W
Thu Aug 21 20:39:47 IDT 2025, 224 W
Thu Aug 21 20:39:47 IDT 2025, 226 W
Thu Aug 21 20:39:47 IDT 2025, 227 W
Thu Aug 21 20:39:48 IDT 2025, 224 W
Thu Aug 21 20:39:48 IDT 2025, 224 W
Thu Aug 21 20:39:48 IDT 2025, 226 W
Thu Aug 21 20:39:48 IDT 2025, 227 W
Thu Aug 21 20:39:49 IDT 2025, 224 W
Thu Aug 21 20:39:49 IDT 2025, 224 W
Thu Aug 21 20:39:49 IDT 2025, 226 W
Thu Aug 21 20:39:49 IDT 2025, 227 W
Thu Aug 21 20:39:50 IDT 2025, 224 W
Thu Aug 21 20:39:50 IDT 2025, 224 W
Thu Aug 21 20:39:50 IDT 2025, 226 W
Thu Aug 21 20:39:50 IDT 2025, 227 W
Thu Aug 21 20:39:51 IDT 2025, 224 W
Thu Aug 21 20:39:51 IDT 2025, 224 W
Thu Aug 21 20:39:51 IDT 2025, 226 W
Thu Aug 21 20:39:51 IDT 2025, 227 W
Thu Aug 21 20:39:52 IDT 2025, 224 W
Thu Aug 21 20:39:52 IDT 2025, 224 W
Thu Aug 21 20:39:52 IDT 2025, 226 W
Thu Aug 21 20:39:52 IDT 2025, 227 W
Thu Aug 21 20:39:53 IDT 2025, 224 W
Thu Aug 21 20:39:53 IDT 2025, 224 W
Thu Aug 21 20:39:53 IDT 2025, 226 W
Thu Aug 21 20:39:53 IDT 2025, 227 W
Thu Aug 21 20:39:54 IDT 2025, 224 W
Thu Aug 21 20:39:54 IDT 2025, 224 W
Thu Aug 21 20:39:54 IDT 2025, 226 W
Thu Aug 21 20:39:54 IDT 2025, 227 W
Thu Aug 21 20:39:55 IDT 2025, 224 W
Thu Aug 21 20:39:55 IDT 2025, 224 W
Thu Aug 21 20:39:55 IDT 2025, 226 W
Thu Aug 21 20:39:55 IDT 2025, 227 W
Thu Aug 21 20:39:56 IDT 2025, 224 W
Thu Aug 21 20:39:56 IDT 2025, 224 W
Thu Aug 21 20:39:56 IDT 2025, 226 W
Thu Aug 21 20:39:56 IDT 2025, 227 W
Thu Aug 21 20:39:57 IDT 2025, 224 W
Thu Aug 21 20:39:57 IDT 2025, 224 W
Thu Aug 21 20:39:57 IDT 2025, 226 W
Thu Aug 21 20:39:57 IDT 2025, 227 W
Thu Aug 21 20:39:58 IDT 2025, 224 W
Thu Aug 21 20:39:58 IDT 2025, 224 W
Thu Aug 21 20:39:58 IDT 2025, 226 W
Thu Aug 21 20:39:58 IDT 2025, 227 W
Thu Aug 21 20:39:59 IDT 2025, 224 W
Thu Aug 21 20:39:59 IDT 2025, 224 W
Thu Aug 21 20:39:59 IDT 2025, 226 W
Thu Aug 21 20:39:59 IDT 2025, 227 W
Thu Aug 21 20:40:00 IDT 2025, 224 W
Thu Aug 21 20:40:00 IDT 2025, 224 W
Thu Aug 21 20:40:00 IDT 2025, 226 W
Thu Aug 21 20:40:00 IDT 2025, 227 W
Thu Aug 21 20:40:01 IDT 2025, 224 W
Thu Aug 21 20:40:01 IDT 2025, 224 W
Thu Aug 21 20:40:01 IDT 2025, 226 W
Thu Aug 21 20:40:01 IDT 2025, 227 W
Thu Aug 21 20:40:02 IDT 2025, 224 W
Thu Aug 21 20:40:02 IDT 2025, 224 W
Thu Aug 21 20:40:02 IDT 2025, 226 W
Thu Aug 21 20:40:02 IDT 2025, 227 W
Thu Aug 21 20:40:03 IDT 2025, 224 W
Thu Aug 21 20:40:03 IDT 2025, 224 W
Thu Aug 21 20:40:03 IDT 2025, 226 W
Thu Aug 21 20:40:03 IDT 2025, 227 W
Thu Aug 21 20:40:04 IDT 2025, 224 W
Thu Aug 21 20:40:04 IDT 2025, 224 W
Thu Aug 21 20:40:04 IDT 2025, 226 W
Thu Aug 21 20:40:04 IDT 2025, 227 W
Thu Aug 21 20:40:05 IDT 2025, 224 W
Thu Aug 21 20:40:05 IDT 2025, 224 W
Thu Aug 21 20:40:05 IDT 2025, 226 W
Thu Aug 21 20:40:05 IDT 2025, 227 W
Thu Aug 21 20:40:06 IDT 2025, 224 W
Thu Aug 21 20:40:06 IDT 2025, 224 W
Thu Aug 21 20:40:06 IDT 2025, 226 W
Thu Aug 21 20:40:06 IDT 2025, 227 W
Thu Aug 21 20:40:07 IDT 2025, 224 W
Thu Aug 21 20:40:07 IDT 2025, 224 W
Thu Aug 21 20:40:07 IDT 2025, 226 W
Thu Aug 21 20:40:07 IDT 2025, 227 W
Thu Aug 21 20:40:08 IDT 2025, 224 W
Thu Aug 21 20:40:08 IDT 2025, 224 W
Thu Aug 21 20:40:08 IDT 2025, 226 W
Thu Aug 21 20:40:08 IDT 2025, 227 W
Thu Aug 21 20:40:09 IDT 2025, 224 W
Thu Aug 21 20:40:09 IDT 2025, 224 W
Thu Aug 21 20:40:09 IDT 2025, 226 W
Thu Aug 21 20:40:09 IDT 2025, 227 W
Thu Aug 21 20:40:10 IDT 2025, 224 W
Thu Aug 21 20:40:10 IDT 2025, 224 W
Thu Aug 21 20:40:10 IDT 2025, 226 W
Thu Aug 21 20:40:10 IDT 2025, 227 W
Thu Aug 21 20:40:11 IDT 2025, 224 W
Thu Aug 21 20:40:11 IDT 2025, 224 W
Thu Aug 21 20:40:11 IDT 2025, 226 W
Thu Aug 21 20:40:11 IDT 2025, 227 W
Thu Aug 21 20:40:12 IDT 2025, 224 W
Thu Aug 21 20:40:12 IDT 2025, 224 W
Thu Aug 21 20:40:12 IDT 2025, 226 W
Thu Aug 21 20:40:12 IDT 2025, 227 W
Thu Aug 21 20:40:13 IDT 2025, 224 W
Thu Aug 21 20:40:13 IDT 2025, 224 W
Thu Aug 21 20:40:13 IDT 2025, 226 W
Thu Aug 21 20:40:13 IDT 2025, 227 W
Thu Aug 21 20:40:14 IDT 2025, 224 W
Thu Aug 21 20:40:14 IDT 2025, 224 W
Thu Aug 21 20:40:14 IDT 2025, 226 W
Thu Aug 21 20:40:14 IDT 2025, 227 W
Thu Aug 21 20:40:15 IDT 2025, 224 W
Thu Aug 21 20:40:15 IDT 2025, 224 W
Thu Aug 21 20:40:15 IDT 2025, 226 W
Thu Aug 21 20:40:15 IDT 2025, 227 W
Thu Aug 21 20:40:16 IDT 2025, 224 W
Thu Aug 21 20:40:16 IDT 2025, 224 W
Thu Aug 21 20:40:16 IDT 2025, 226 W
Thu Aug 21 20:40:16 IDT 2025, 227 W
Thu Aug 21 20:40:17 IDT 2025, 224 W
Thu Aug 21 20:40:17 IDT 2025, 224 W
Thu Aug 21 20:40:17 IDT 2025, 226 W
Thu Aug 21 20:40:17 IDT 2025, 227 W
Thu Aug 21 20:40:18 IDT 2025, 224 W
Thu Aug 21 20:40:18 IDT 2025, 224 W
Thu Aug 21 20:40:18 IDT 2025, 226 W
Thu Aug 21 20:40:18 IDT 2025, 227 W
Thu Aug 21 20:40:19 IDT 2025, 224 W
Thu Aug 21 20:40:19 IDT 2025, 224 W
Thu Aug 21 20:40:19 IDT 2025, 226 W
Thu Aug 21 20:40:19 IDT 2025, 227 W
Thu Aug 21 20:40:20 IDT 2025, 224 W
