timestamp, power.draw [W]
Sat Aug 16 00:29:56 IDT 2025, 227 W
Sat Aug 16 00:29:57 IDT 2025, 227 W
Sat Aug 16 00:29:58 IDT 2025, 227 W
Sat Aug 16 00:29:59 IDT 2025, 226 W
Sat Aug 16 00:30:00 IDT 2025, 228 W
Sat Aug 16 00:30:01 IDT 2025, 227 W
Sat Aug 16 00:30:02 IDT 2025, 232 W
Sat Aug 16 00:30:03 IDT 2025, 230 W
Sat Aug 16 00:30:04 IDT 2025, 230 W
Sat Aug 16 00:30:05 IDT 2025, 229 W
Sat Aug 16 00:30:06 IDT 2025, 231 W
Sat Aug 16 00:30:07 IDT 2025, 231 W
Sat Aug 16 00:30:08 IDT 2025, 230 W
Sat Aug 16 00:30:09 IDT 2025, 229 W
Sat Aug 16 00:30:10 IDT 2025, 231 W
Sat Aug 16 00:30:11 IDT 2025, 230 W
Sat Aug 16 00:30:12 IDT 2025, 231 W
Sat Aug 16 00:30:13 IDT 2025, 230 W
Sat Aug 16 00:30:14 IDT 2025, 231 W
Sat Aug 16 00:30:15 IDT 2025, 230 W
Sat Aug 16 00:30:16 IDT 2025, 229 W
Sat Aug 16 00:30:17 IDT 2025, 232 W
Sat Aug 16 00:30:18 IDT 2025, 231 W
Sat Aug 16 00:30:19 IDT 2025, 232 W
Sat Aug 16 00:30:20 IDT 2025, 230 W
Sat Aug 16 00:30:21 IDT 2025, 229 W
Sat Aug 16 00:30:22 IDT 2025, 231 W
Sat Aug 16 00:30:23 IDT 2025, 231 W
Sat Aug 16 00:30:24 IDT 2025, 230 W
Sat Aug 16 00:30:25 IDT 2025, 232 W
Sat Aug 16 00:30:26 IDT 2025, 229 W
Sat Aug 16 00:30:27 IDT 2025, 230 W
Sat Aug 16 00:30:28 IDT 2025, 230 W
Sat Aug 16 00:30:29 IDT 2025, 230 W
Sat Aug 16 00:30:30 IDT 2025, 229 W
Sat Aug 16 00:30:31 IDT 2025, 230 W
Sat Aug 16 00:30:32 IDT 2025, 231 W
Sat Aug 16 00:30:33 IDT 2025, 229 W
Sat Aug 16 00:30:34 IDT 2025, 232 W
Sat Aug 16 00:30:35 IDT 2025, 231 W
Sat Aug 16 00:30:36 IDT 2025, 228 W
Sat Aug 16 00:30:37 IDT 2025, 230 W
Sat Aug 16 00:30:38 IDT 2025, 232 W
Sat Aug 16 00:30:39 IDT 2025, 231 W
Sat Aug 16 00:30:40 IDT 2025, 230 W
Sat Aug 16 00:30:41 IDT 2025, 229 W
Sat Aug 16 00:30:42 IDT 2025, 230 W
Sat Aug 16 00:30:43 IDT 2025, 229 W
Sat Aug 16 00:30:44 IDT 2025, 232 W
Sat Aug 16 00:30:45 IDT 2025, 230 W
Sat Aug 16 00:30:46 IDT 2025, 230 W
Sat Aug 16 00:30:47 IDT 2025, 232 W
Sat Aug 16 00:30:48 IDT 2025, 230 W
Sat Aug 16 00:30:49 IDT 2025, 231 W
Sat Aug 16 00:30:50 IDT 2025, 231 W
Sat Aug 16 00:30:51 IDT 2025, 230 W
Sat Aug 16 00:30:52 IDT 2025, 232 W
Sat Aug 16 00:30:53 IDT 2025, 231 W
Sat Aug 16 00:30:54 IDT 2025, 230 W
Sat Aug 16 00:30:55 IDT 2025, 231 W
Sat Aug 16 00:30:56 IDT 2025, 229 W
Sat Aug 16 00:30:57 IDT 2025, 231 W
Sat Aug 16 00:30:58 IDT 2025, 231 W
Sat Aug 16 00:30:59 IDT 2025, 229 W
Sat Aug 16 00:31:00 IDT 2025, 230 W
Sat Aug 16 00:31:01 IDT 2025, 229 W
Sat Aug 16 00:31:02 IDT 2025, 229 W
Sat Aug 16 00:31:03 IDT 2025, 232 W
Sat Aug 16 00:31:04 IDT 2025, 230 W
Sat Aug 16 00:31:05 IDT 2025, 229 W
Sat Aug 16 00:31:06 IDT 2025, 230 W
Sat Aug 16 00:31:07 IDT 2025, 230 W
Sat Aug 16 00:31:08 IDT 2025, 229 W
Sat Aug 16 00:31:09 IDT 2025, 230 W
Sat Aug 16 00:31:10 IDT 2025, 231 W
Sat Aug 16 00:31:11 IDT 2025, 228 W
Sat Aug 16 00:31:12 IDT 2025, 231 W
Sat Aug 16 00:31:13 IDT 2025, 230 W
Sat Aug 16 00:31:14 IDT 2025, 230 W
Sat Aug 16 00:31:15 IDT 2025, 230 W
Sat Aug 16 00:31:16 IDT 2025, 230 W
Sat Aug 16 00:31:17 IDT 2025, 231 W
Sat Aug 16 00:31:18 IDT 2025, 229 W
Sat Aug 16 00:31:19 IDT 2025, 229 W
Sat Aug 16 00:31:20 IDT 2025, 230 W
Sat Aug 16 00:31:21 IDT 2025, 232 W
Sat Aug 16 00:31:22 IDT 2025, 233 W
Sat Aug 16 00:31:23 IDT 2025, 229 W
Sat Aug 16 00:31:24 IDT 2025, 232 W
Sat Aug 16 00:31:25 IDT 2025, 231 W
Sat Aug 16 00:31:26 IDT 2025, 229 W
