timestamp, power.draw [W]
Sat Aug 16 00:21:57 IDT 2025, 228 W
Sat Aug 16 00:21:57 IDT 2025, 228 W
Sat Aug 16 00:21:57 IDT 2025, 228 W
Sat Aug 16 00:21:57 IDT 2025, 229 W
Sat Aug 16 00:21:57 IDT 2025, 229 W
Sat Aug 16 00:21:57 IDT 2025, 230 W
Sat Aug 16 00:21:57 IDT 2025, 229 W
Sat Aug 16 00:21:57 IDT 2025, 224 W
Sat Aug 16 00:21:58 IDT 2025, 228 W
Sat Aug 16 00:21:58 IDT 2025, 228 W
Sat Aug 16 00:21:58 IDT 2025, 228 W
Sat Aug 16 00:21:58 IDT 2025, 229 W
Sat Aug 16 00:21:58 IDT 2025, 229 W
Sat Aug 16 00:21:58 IDT 2025, 229 W
Sat Aug 16 00:21:58 IDT 2025, 229 W
Sat Aug 16 00:21:58 IDT 2025, 224 W
Sat Aug 16 00:21:59 IDT 2025, 227 W
Sat Aug 16 00:21:59 IDT 2025, 228 W
Sat Aug 16 00:21:59 IDT 2025, 228 W
Sat Aug 16 00:21:59 IDT 2025, 229 W
Sat Aug 16 00:21:59 IDT 2025, 229 W
Sat Aug 16 00:21:59 IDT 2025, 230 W
Sat Aug 16 00:21:59 IDT 2025, 229 W
Sat Aug 16 00:21:59 IDT 2025, 224 W
Sat Aug 16 00:22:00 IDT 2025, 227 W
Sat Aug 16 00:22:00 IDT 2025, 228 W
Sat Aug 16 00:22:00 IDT 2025, 228 W
Sat Aug 16 00:22:00 IDT 2025, 229 W
Sat Aug 16 00:22:00 IDT 2025, 229 W
Sat Aug 16 00:22:00 IDT 2025, 229 W
Sat Aug 16 00:22:00 IDT 2025, 229 W
Sat Aug 16 00:22:00 IDT 2025, 224 W
Sat Aug 16 00:22:01 IDT 2025, 227 W
Sat Aug 16 00:22:01 IDT 2025, 228 W
Sat Aug 16 00:22:01 IDT 2025, 228 W
Sat Aug 16 00:22:01 IDT 2025, 229 W
Sat Aug 16 00:22:01 IDT 2025, 229 W
Sat Aug 16 00:22:01 IDT 2025, 228 W
Sat Aug 16 00:22:01 IDT 2025, 229 W
Sat Aug 16 00:22:01 IDT 2025, 224 W
Sat Aug 16 00:22:02 IDT 2025, 227 W
Sat Aug 16 00:22:02 IDT 2025, 228 W
Sat Aug 16 00:22:02 IDT 2025, 228 W
Sat Aug 16 00:22:02 IDT 2025, 229 W
Sat Aug 16 00:22:02 IDT 2025, 229 W
Sat Aug 16 00:22:02 IDT 2025, 229 W
Sat Aug 16 00:22:02 IDT 2025, 229 W
Sat Aug 16 00:22:02 IDT 2025, 224 W
Sat Aug 16 00:22:03 IDT 2025, 227 W
Sat Aug 16 00:22:03 IDT 2025, 228 W
Sat Aug 16 00:22:03 IDT 2025, 228 W
Sat Aug 16 00:22:03 IDT 2025, 229 W
Sat Aug 16 00:22:03 IDT 2025, 229 W
Sat Aug 16 00:22:03 IDT 2025, 229 W
Sat Aug 16 00:22:03 IDT 2025, 229 W
Sat Aug 16 00:22:03 IDT 2025, 224 W
Sat Aug 16 00:22:04 IDT 2025, 227 W
Sat Aug 16 00:22:04 IDT 2025, 228 W
Sat Aug 16 00:22:04 IDT 2025, 228 W
Sat Aug 16 00:22:04 IDT 2025, 229 W
Sat Aug 16 00:22:04 IDT 2025, 229 W
Sat Aug 16 00:22:04 IDT 2025, 228 W
Sat Aug 16 00:22:04 IDT 2025, 229 W
Sat Aug 16 00:22:04 IDT 2025, 224 W
Sat Aug 16 00:22:05 IDT 2025, 229 W
Sat Aug 16 00:22:05 IDT 2025, 229 W
Sat Aug 16 00:22:05 IDT 2025, 230 W
Sat Aug 16 00:22:05 IDT 2025, 230 W
Sat Aug 16 00:22:05 IDT 2025, 231 W
Sat Aug 16 00:22:05 IDT 2025, 231 W
Sat Aug 16 00:22:05 IDT 2025, 231 W
Sat Aug 16 00:22:05 IDT 2025, 226 W
Sat Aug 16 00:22:06 IDT 2025, 229 W
Sat Aug 16 00:22:06 IDT 2025, 229 W
Sat Aug 16 00:22:06 IDT 2025, 230 W
Sat Aug 16 00:22:06 IDT 2025, 231 W
Sat Aug 16 00:22:06 IDT 2025, 231 W
Sat Aug 16 00:22:06 IDT 2025, 230 W
Sat Aug 16 00:22:06 IDT 2025, 231 W
Sat Aug 16 00:22:06 IDT 2025, 226 W
Sat Aug 16 00:22:07 IDT 2025, 229 W
Sat Aug 16 00:22:07 IDT 2025, 229 W
Sat Aug 16 00:22:07 IDT 2025, 230 W
Sat Aug 16 00:22:07 IDT 2025, 231 W
Sat Aug 16 00:22:07 IDT 2025, 231 W
Sat Aug 16 00:22:07 IDT 2025, 231 W
Sat Aug 16 00:22:07 IDT 2025, 231 W
Sat Aug 16 00:22:07 IDT 2025, 226 W
Sat Aug 16 00:22:08 IDT 2025, 230 W
Sat Aug 16 00:22:08 IDT 2025, 230 W
Sat Aug 16 00:22:08 IDT 2025, 230 W
Sat Aug 16 00:22:08 IDT 2025, 231 W
Sat Aug 16 00:22:08 IDT 2025, 232 W
Sat Aug 16 00:22:08 IDT 2025, 232 W
Sat Aug 16 00:22:08 IDT 2025, 231 W
Sat Aug 16 00:22:08 IDT 2025, 226 W
Sat Aug 16 00:22:09 IDT 2025, 231 W
Sat Aug 16 00:22:09 IDT 2025, 231 W
Sat Aug 16 00:22:09 IDT 2025, 231 W
Sat Aug 16 00:22:09 IDT 2025, 233 W
