timestamp, power.draw [W]
Fri Aug 15 23:43:53 IDT 2025, 228 W
Fri Aug 15 23:43:53 IDT 2025, 227 W
Fri Aug 15 23:43:53 IDT 2025, 227 W
Fri Aug 15 23:43:53 IDT 2025, 227 W
Fri Aug 15 23:43:54 IDT 2025, 228 W
Fri Aug 15 23:43:54 IDT 2025, 228 W
Fri Aug 15 23:43:54 IDT 2025, 227 W
Fri Aug 15 23:43:54 IDT 2025, 227 W
Fri Aug 15 23:43:55 IDT 2025, 228 W
Fri Aug 15 23:43:55 IDT 2025, 228 W
Fri Aug 15 23:43:55 IDT 2025, 227 W
Fri Aug 15 23:43:55 IDT 2025, 227 W
Fri Aug 15 23:43:56 IDT 2025, 228 W
Fri Aug 15 23:43:56 IDT 2025, 227 W
Fri Aug 15 23:43:56 IDT 2025, 227 W
Fri Aug 15 23:43:56 IDT 2025, 227 W
Fri Aug 15 23:43:57 IDT 2025, 228 W
Fri Aug 15 23:43:57 IDT 2025, 228 W
Fri Aug 15 23:43:57 IDT 2025, 227 W
Fri Aug 15 23:43:57 IDT 2025, 227 W
Fri Aug 15 23:43:58 IDT 2025, 228 W
Fri Aug 15 23:43:58 IDT 2025, 227 W
Fri Aug 15 23:43:58 IDT 2025, 227 W
Fri Aug 15 23:43:58 IDT 2025, 227 W
Fri Aug 15 23:43:59 IDT 2025, 228 W
Fri Aug 15 23:43:59 IDT 2025, 228 W
Fri Aug 15 23:43:59 IDT 2025, 227 W
Fri Aug 15 23:43:59 IDT 2025, 227 W
Fri Aug 15 23:44:00 IDT 2025, 228 W
Fri Aug 15 23:44:00 IDT 2025, 228 W
Fri Aug 15 23:44:00 IDT 2025, 228 W
Fri Aug 15 23:44:00 IDT 2025, 227 W
Fri Aug 15 23:44:01 IDT 2025, 228 W
Fri Aug 15 23:44:01 IDT 2025, 227 W
Fri Aug 15 23:44:01 IDT 2025, 228 W
Fri Aug 15 23:44:01 IDT 2025, 227 W
