timestamp, power.draw [W]
Fri Aug 15 23:42:51 IDT 2025, 223 W
Fri Aug 15 23:42:51 IDT 2025, 226 W
Fri Aug 15 23:42:52 IDT 2025, 223 W
Fri Aug 15 23:42:52 IDT 2025, 226 W
Fri Aug 15 23:42:53 IDT 2025, 223 W
Fri Aug 15 23:42:53 IDT 2025, 226 W
Fri Aug 15 23:42:54 IDT 2025, 223 W
Fri Aug 15 23:42:54 IDT 2025, 226 W
Fri Aug 15 23:42:55 IDT 2025, 223 W
Fri Aug 15 23:42:55 IDT 2025, 225 W
Fri Aug 15 23:42:56 IDT 2025, 223 W
Fri Aug 15 23:42:56 IDT 2025, 225 W
Fri Aug 15 23:42:57 IDT 2025, 224 W
Fri Aug 15 23:42:57 IDT 2025, 224 W
Fri Aug 15 23:42:58 IDT 2025, 226 W
Fri Aug 15 23:42:58 IDT 2025, 229 W
Fri Aug 15 23:42:59 IDT 2025, 227 W
Fri Aug 15 23:42:59 IDT 2025, 229 W
Fri Aug 15 23:43:00 IDT 2025, 227 W
Fri Aug 15 23:43:00 IDT 2025, 228 W
Fri Aug 15 23:43:01 IDT 2025, 248 W
Fri Aug 15 23:43:01 IDT 2025, 252 W
Fri Aug 15 23:43:02 IDT 2025, 249 W
Fri Aug 15 23:43:02 IDT 2025, 249 W
Fri Aug 15 23:43:03 IDT 2025, 253 W
Fri Aug 15 23:43:03 IDT 2025, 251 W
Fri Aug 15 23:43:04 IDT 2025, 250 W
Fri Aug 15 23:43:04 IDT 2025, 251 W
Fri Aug 15 23:43:05 IDT 2025, 246 W
Fri Aug 15 23:43:05 IDT 2025, 253 W
Fri Aug 15 23:43:06 IDT 2025, 251 W
Fri Aug 15 23:43:06 IDT 2025, 244 W
Fri Aug 15 23:43:07 IDT 2025, 248 W
Fri Aug 15 23:43:07 IDT 2025, 247 W
Fri Aug 15 23:43:08 IDT 2025, 249 W
Fri Aug 15 23:43:08 IDT 2025, 255 W
Fri Aug 15 23:43:09 IDT 2025, 254 W
Fri Aug 15 23:43:09 IDT 2025, 253 W
Fri Aug 15 23:43:10 IDT 2025, 251 W
Fri Aug 15 23:43:10 IDT 2025, 252 W
Fri Aug 15 23:43:11 IDT 2025, 248 W
Fri Aug 15 23:43:11 IDT 2025, 254 W
Fri Aug 15 23:43:12 IDT 2025, 249 W
Fri Aug 15 23:43:12 IDT 2025, 251 W
Fri Aug 15 23:43:13 IDT 2025, 248 W
Fri Aug 15 23:43:13 IDT 2025, 250 W
Fri Aug 15 23:43:14 IDT 2025, 248 W
Fri Aug 15 23:43:14 IDT 2025, 256 W
Fri Aug 15 23:43:15 IDT 2025, 255 W
Fri Aug 15 23:43:15 IDT 2025, 255 W
Fri Aug 15 23:43:16 IDT 2025, 250 W
Fri Aug 15 23:43:16 IDT 2025, 249 W
Fri Aug 15 23:43:17 IDT 2025, 250 W
Fri Aug 15 23:43:17 IDT 2025, 254 W
Fri Aug 15 23:43:18 IDT 2025, 253 W
Fri Aug 15 23:43:18 IDT 2025, 250 W
Fri Aug 15 23:43:19 IDT 2025, 244 W
Fri Aug 15 23:43:19 IDT 2025, 247 W
Fri Aug 15 23:43:20 IDT 2025, 249 W
Fri Aug 15 23:43:20 IDT 2025, 252 W
Fri Aug 15 23:43:21 IDT 2025, 250 W
Fri Aug 15 23:43:21 IDT 2025, 252 W
Fri Aug 15 23:43:22 IDT 2025, 250 W
Fri Aug 15 23:43:22 IDT 2025, 251 W
Fri Aug 15 23:43:23 IDT 2025, 258 W
Fri Aug 15 23:43:23 IDT 2025, 245 W
Fri Aug 15 23:43:24 IDT 2025, 250 W
Fri Aug 15 23:43:24 IDT 2025, 251 W
Fri Aug 15 23:43:25 IDT 2025, 249 W
Fri Aug 15 23:43:25 IDT 2025, 250 W
Fri Aug 15 23:43:26 IDT 2025, 251 W
Fri Aug 15 23:43:26 IDT 2025, 254 W
Fri Aug 15 23:43:27 IDT 2025, 247 W
Fri Aug 15 23:43:27 IDT 2025, 252 W
Fri Aug 15 23:43:28 IDT 2025, 252 W
Fri Aug 15 23:43:28 IDT 2025, 249 W
Fri Aug 15 23:43:29 IDT 2025, 254 W
Fri Aug 15 23:43:29 IDT 2025, 251 W
Fri Aug 15 23:43:30 IDT 2025, 244 W
Fri Aug 15 23:43:30 IDT 2025, 253 W
Fri Aug 15 23:43:31 IDT 2025, 248 W
Fri Aug 15 23:43:31 IDT 2025, 254 W
Fri Aug 15 23:43:32 IDT 2025, 249 W
Fri Aug 15 23:43:32 IDT 2025, 251 W
Fri Aug 15 23:43:33 IDT 2025, 256 W
Fri Aug 15 23:43:33 IDT 2025, 251 W
Fri Aug 15 23:43:34 IDT 2025, 250 W
Fri Aug 15 23:43:34 IDT 2025, 250 W
Fri Aug 15 23:43:35 IDT 2025, 253 W
Fri Aug 15 23:43:35 IDT 2025, 254 W
Fri Aug 15 23:43:36 IDT 2025, 251 W
Fri Aug 15 23:43:36 IDT 2025, 253 W
Fri Aug 15 23:43:37 IDT 2025, 251 W
Fri Aug 15 23:43:37 IDT 2025, 254 W
Fri Aug 15 23:43:38 IDT 2025, 253 W
Fri Aug 15 23:43:38 IDT 2025, 252 W
Fri Aug 15 23:43:39 IDT 2025, 246 W
Fri Aug 15 23:43:39 IDT 2025, 249 W
Fri Aug 15 23:43:40 IDT 2025, 250 W
Fri Aug 15 23:43:40 IDT 2025, 250 W
Fri Aug 15 23:43:41 IDT 2025, 250 W
Fri Aug 15 23:43:41 IDT 2025, 253 W
Fri Aug 15 23:43:42 IDT 2025, 250 W
Fri Aug 15 23:43:42 IDT 2025, 252 W
Fri Aug 15 23:43:43 IDT 2025, 249 W
Fri Aug 15 23:43:43 IDT 2025, 250 W
Fri Aug 15 23:43:44 IDT 2025, 246 W
Fri Aug 15 23:43:44 IDT 2025, 253 W
Fri Aug 15 23:43:45 IDT 2025, 256 W
Fri Aug 15 23:43:45 IDT 2025, 248 W
Fri Aug 15 23:43:46 IDT 2025, 253 W
Fri Aug 15 23:43:46 IDT 2025, 245 W
Fri Aug 15 23:43:47 IDT 2025, 251 W
Fri Aug 15 23:43:47 IDT 2025, 257 W
Fri Aug 15 23:43:48 IDT 2025, 250 W
Fri Aug 15 23:43:48 IDT 2025, 256 W
Fri Aug 15 23:43:49 IDT 2025, 250 W
Fri Aug 15 23:43:49 IDT 2025, 252 W
Fri Aug 15 23:43:50 IDT 2025, 250 W
Fri Aug 15 23:43:50 IDT 2025, 253 W
Fri Aug 15 23:43:51 IDT 2025, 249 W
Fri Aug 15 23:43:51 IDT 2025, 252 W
Fri Aug 15 23:43:52 IDT 2025, 247 W
Fri Aug 15 23:43:52 IDT 2025, 249 W
Fri Aug 15 23:43:53 IDT 2025, 250 W
Fri Aug 15 23:43:53 IDT 2025, 246 W
Fri Aug 15 23:43:54 IDT 2025, 246 W
Fri Aug 15 23:43:54 IDT 2025, 248 W
Fri Aug 15 23:43:55 IDT 2025, 252 W
Fri Aug 15 23:43:55 IDT 2025, 251 W
Fri Aug 15 23:43:56 IDT 2025, 248 W
Fri Aug 15 23:43:56 IDT 2025, 246 W
Fri Aug 15 23:43:57 IDT 2025, 246 W
Fri Aug 15 23:43:57 IDT 2025, 250 W
Fri Aug 15 23:43:58 IDT 2025, 250 W
Fri Aug 15 23:43:58 IDT 2025, 248 W
Fri Aug 15 23:43:59 IDT 2025, 249 W
Fri Aug 15 23:43:59 IDT 2025, 249 W
Fri Aug 15 23:44:00 IDT 2025, 248 W
Fri Aug 15 23:44:00 IDT 2025, 248 W
Fri Aug 15 23:44:01 IDT 2025, 248 W
Fri Aug 15 23:44:01 IDT 2025, 248 W
Fri Aug 15 23:44:02 IDT 2025, 248 W
Fri Aug 15 23:44:02 IDT 2025, 252 W
Fri Aug 15 23:44:03 IDT 2025, 247 W
Fri Aug 15 23:44:03 IDT 2025, 255 W
Fri Aug 15 23:44:04 IDT 2025, 250 W
Fri Aug 15 23:44:04 IDT 2025, 249 W
Fri Aug 15 23:44:05 IDT 2025, 248 W
Fri Aug 15 23:44:05 IDT 2025, 253 W
Fri Aug 15 23:44:06 IDT 2025, 248 W
Fri Aug 15 23:44:06 IDT 2025, 253 W
Fri Aug 15 23:44:07 IDT 2025, 253 W
Fri Aug 15 23:44:07 IDT 2025, 255 W
Fri Aug 15 23:44:08 IDT 2025, 245 W
Fri Aug 15 23:44:08 IDT 2025, 253 W
Fri Aug 15 23:44:09 IDT 2025, 248 W
Fri Aug 15 23:44:09 IDT 2025, 251 W
Fri Aug 15 23:44:10 IDT 2025, 245 W
Fri Aug 15 23:44:10 IDT 2025, 250 W
Fri Aug 15 23:44:11 IDT 2025, 252 W
Fri Aug 15 23:44:11 IDT 2025, 250 W
Fri Aug 15 23:44:12 IDT 2025, 250 W
Fri Aug 15 23:44:12 IDT 2025, 253 W
Fri Aug 15 23:44:13 IDT 2025, 248 W
Fri Aug 15 23:44:13 IDT 2025, 250 W
Fri Aug 15 23:44:14 IDT 2025, 251 W
Fri Aug 15 23:44:14 IDT 2025, 251 W
Fri Aug 15 23:44:15 IDT 2025, 250 W
Fri Aug 15 23:44:15 IDT 2025, 258 W
Fri Aug 15 23:44:16 IDT 2025, 253 W
Fri Aug 15 23:44:16 IDT 2025, 254 W
Fri Aug 15 23:44:17 IDT 2025, 246 W
Fri Aug 15 23:44:17 IDT 2025, 250 W
Fri Aug 15 23:44:18 IDT 2025, 250 W
Fri Aug 15 23:44:18 IDT 2025, 252 W
Fri Aug 15 23:44:19 IDT 2025, 254 W
Fri Aug 15 23:44:19 IDT 2025, 248 W
Fri Aug 15 23:44:20 IDT 2025, 249 W
Fri Aug 15 23:44:20 IDT 2025, 256 W
Fri Aug 15 23:44:21 IDT 2025, 250 W
Fri Aug 15 23:44:21 IDT 2025, 255 W
Fri Aug 15 23:44:22 IDT 2025, 250 W
Fri Aug 15 23:44:22 IDT 2025, 255 W
Fri Aug 15 23:44:23 IDT 2025, 249 W
Fri Aug 15 23:44:23 IDT 2025, 257 W
Fri Aug 15 23:44:24 IDT 2025, 250 W
Fri Aug 15 23:44:24 IDT 2025, 255 W
Fri Aug 15 23:44:25 IDT 2025, 251 W
Fri Aug 15 23:44:25 IDT 2025, 248 W
Fri Aug 15 23:44:26 IDT 2025, 255 W
Fri Aug 15 23:44:26 IDT 2025, 252 W
Fri Aug 15 23:44:27 IDT 2025, 251 W
Fri Aug 15 23:44:27 IDT 2025, 250 W
Fri Aug 15 23:44:28 IDT 2025, 249 W
Fri Aug 15 23:44:28 IDT 2025, 250 W
Fri Aug 15 23:44:29 IDT 2025, 249 W
Fri Aug 15 23:44:29 IDT 2025, 248 W
Fri Aug 15 23:44:30 IDT 2025, 250 W
Fri Aug 15 23:44:30 IDT 2025, 251 W
Fri Aug 15 23:44:31 IDT 2025, 251 W
Fri Aug 15 23:44:31 IDT 2025, 253 W
Fri Aug 15 23:44:32 IDT 2025, 247 W
Fri Aug 15 23:44:32 IDT 2025, 250 W
Fri Aug 15 23:44:33 IDT 2025, 254 W
Fri Aug 15 23:44:33 IDT 2025, 250 W
Fri Aug 15 23:44:34 IDT 2025, 251 W
Fri Aug 15 23:44:34 IDT 2025, 252 W
Fri Aug 15 23:44:35 IDT 2025, 243 W
Fri Aug 15 23:44:35 IDT 2025, 254 W
Fri Aug 15 23:44:36 IDT 2025, 249 W
Fri Aug 15 23:44:36 IDT 2025, 257 W
Fri Aug 15 23:44:37 IDT 2025, 254 W
