timestamp, power.draw [W]
Tue Jul 29 19:20:08 IDT 2025, 99 W
Tue Jul 29 19:20:09 IDT 2025, 92 W
Tue Jul 29 19:20:10 IDT 2025, 97 W
Tue Jul 29 19:20:11 IDT 2025, 98 W
Tue Jul 29 19:20:12 IDT 2025, 97 W
Tue Jul 29 19:20:13 IDT 2025, 100 W
Tue Jul 29 19:20:14 IDT 2025, 100 W
Tue Jul 29 19:20:15 IDT 2025, 96 W
Tue Jul 29 19:20:16 IDT 2025, 104 W
Tue Jul 29 19:20:17 IDT 2025, 104 W
Tue Jul 29 19:20:18 IDT 2025, 99 W
Tue Jul 29 19:20:19 IDT 2025, 100 W
Tue Jul 29 19:20:20 IDT 2025, 129 W
Tue Jul 29 19:20:21 IDT 2025, 120 W
Tue Jul 29 19:20:22 IDT 2025, 115 W
Tue Jul 29 19:20:23 IDT 2025, 126 W
Tue Jul 29 19:20:24 IDT 2025, 122 W
Tue Jul 29 19:20:25 IDT 2025, 114 W
Tue Jul 29 19:20:26 IDT 2025, 119 W
Tue Jul 29 19:20:27 IDT 2025, 124 W
Tue Jul 29 19:20:28 IDT 2025, 132 W
Tue Jul 29 19:20:29 IDT 2025, 127 W
Tue Jul 29 19:20:30 IDT 2025, 119 W
Tue Jul 29 19:20:31 IDT 2025, 138 W
Tue Jul 29 19:20:32 IDT 2025, 136 W
Tue Jul 29 19:20:33 IDT 2025, 142 W
Tue Jul 29 19:20:34 IDT 2025, 133 W
Tue Jul 29 19:20:35 IDT 2025, 146 W
Tue Jul 29 19:20:36 IDT 2025, 136 W
Tue Jul 29 19:20:37 IDT 2025, 146 W
Tue Jul 29 19:20:38 IDT 2025, 134 W
Tue Jul 29 19:20:39 IDT 2025, 154 W
Tue Jul 29 19:20:40 IDT 2025, 155 W
Tue Jul 29 19:20:41 IDT 2025, 146 W
Tue Jul 29 19:20:42 IDT 2025, 150 W
Tue Jul 29 19:20:43 IDT 2025, 156 W
Tue Jul 29 19:20:44 IDT 2025, 152 W
Tue Jul 29 19:20:45 IDT 2025, 153 W
Tue Jul 29 19:20:46 IDT 2025, 168 W
Tue Jul 29 19:20:47 IDT 2025, 147 W
Tue Jul 29 19:20:48 IDT 2025, 149 W
Tue Jul 29 19:20:49 IDT 2025, 136 W
Tue Jul 29 19:20:50 IDT 2025, 161 W
Tue Jul 29 19:20:51 IDT 2025, 158 W
Tue Jul 29 19:20:52 IDT 2025, 156 W
Tue Jul 29 19:20:53 IDT 2025, 174 W
Tue Jul 29 19:20:54 IDT 2025, 163 W
Tue Jul 29 19:20:55 IDT 2025, 175 W
Tue Jul 29 19:20:56 IDT 2025, 159 W
Tue Jul 29 19:20:57 IDT 2025, 176 W
Tue Jul 29 19:20:58 IDT 2025, 147 W
Tue Jul 29 19:20:59 IDT 2025, 176 W
Tue Jul 29 19:21:00 IDT 2025, 177 W
Tue Jul 29 19:21:01 IDT 2025, 173 W
Tue Jul 29 19:21:02 IDT 2025, 163 W
Tue Jul 29 19:21:03 IDT 2025, 183 W
Tue Jul 29 19:21:04 IDT 2025, 194 W
Tue Jul 29 19:21:05 IDT 2025, 193 W
Tue Jul 29 19:21:06 IDT 2025, 186 W
Tue Jul 29 19:21:07 IDT 2025, 181 W
Tue Jul 29 19:21:08 IDT 2025, 170 W
Tue Jul 29 19:21:09 IDT 2025, 184 W
Tue Jul 29 19:21:10 IDT 2025, 180 W
Tue Jul 29 19:21:11 IDT 2025, 164 W
Tue Jul 29 19:21:12 IDT 2025, 195 W
Tue Jul 29 19:21:13 IDT 2025, 178 W
Tue Jul 29 19:21:14 IDT 2025, 97 W
Tue Jul 29 19:21:15 IDT 2025, 96 W
Tue Jul 29 19:21:16 IDT 2025, 99 W
