timestamp, power.draw [W]
Mon Jul 28 20:35:37 IDT 2025, 221 W
Mon Jul 28 20:35:38 IDT 2025, 222 W
Mon Jul 28 20:35:39 IDT 2025, 222 W
Mon Jul 28 20:35:40 IDT 2025, 221 W
Mon Jul 28 20:35:41 IDT 2025, 221 W
Mon Jul 28 20:35:42 IDT 2025, 222 W
Mon Jul 28 20:35:43 IDT 2025, 222 W
Mon Jul 28 20:35:44 IDT 2025, 226 W
Mon Jul 28 20:35:45 IDT 2025, 271 W
Mon Jul 28 20:35:46 IDT 2025, 284 W
Mon Jul 28 20:35:47 IDT 2025, 288 W
Mon Jul 28 20:35:48 IDT 2025, 292 W
Mon Jul 28 20:35:49 IDT 2025, 297 W
Mon Jul 28 20:35:50 IDT 2025, 297 W
Mon Jul 28 20:35:51 IDT 2025, 302 W
Mon Jul 28 20:35:52 IDT 2025, 323 W
Mon Jul 28 20:35:53 IDT 2025, 307 W
Mon Jul 28 20:35:54 IDT 2025, 314 W
Mon Jul 28 20:35:55 IDT 2025, 317 W
Mon Jul 28 20:35:56 IDT 2025, 323 W
Mon Jul 28 20:35:57 IDT 2025, 323 W
Mon Jul 28 20:35:58 IDT 2025, 328 W
Mon Jul 28 20:35:59 IDT 2025, 336 W
Mon Jul 28 20:36:00 IDT 2025, 337 W
Mon Jul 28 20:36:01 IDT 2025, 350 W
Mon Jul 28 20:36:02 IDT 2025, 360 W
Mon Jul 28 20:36:03 IDT 2025, 355 W
Mon Jul 28 20:36:04 IDT 2025, 364 W
Mon Jul 28 20:36:05 IDT 2025, 374 W
Mon Jul 28 20:36:06 IDT 2025, 381 W
Mon Jul 28 20:36:07 IDT 2025, 384 W
Mon Jul 28 20:36:08 IDT 2025, 391 W
Mon Jul 28 20:36:09 IDT 2025, 391 W
Mon Jul 28 20:36:10 IDT 2025, 398 W
Mon Jul 28 20:36:11 IDT 2025, 397 W
Mon Jul 28 20:36:12 IDT 2025, 384 W
Mon Jul 28 20:36:13 IDT 2025, 403 W
Mon Jul 28 20:36:14 IDT 2025, 407 W
Mon Jul 28 20:36:15 IDT 2025, 410 W
Mon Jul 28 20:36:16 IDT 2025, 415 W
Mon Jul 28 20:36:17 IDT 2025, 421 W
Mon Jul 28 20:36:18 IDT 2025, 418 W
Mon Jul 28 20:36:19 IDT 2025, 417 W
Mon Jul 28 20:36:20 IDT 2025, 404 W
Mon Jul 28 20:36:21 IDT 2025, 410 W
Mon Jul 28 20:36:22 IDT 2025, 413 W
Mon Jul 28 20:36:23 IDT 2025, 409 W
Mon Jul 28 20:36:24 IDT 2025, 414 W
Mon Jul 28 20:36:25 IDT 2025, 406 W
Mon Jul 28 20:36:26 IDT 2025, 413 W
Mon Jul 28 20:36:27 IDT 2025, 411 W
Mon Jul 28 20:36:28 IDT 2025, 411 W
Mon Jul 28 20:36:29 IDT 2025, 406 W
Mon Jul 28 20:36:30 IDT 2025, 413 W
Mon Jul 28 20:36:31 IDT 2025, 414 W
Mon Jul 28 20:36:32 IDT 2025, 415 W
Mon Jul 28 20:36:33 IDT 2025, 414 W
Mon Jul 28 20:36:34 IDT 2025, 408 W
Mon Jul 28 20:36:35 IDT 2025, 412 W
Mon Jul 28 20:36:36 IDT 2025, 414 W
Mon Jul 28 20:36:37 IDT 2025, 416 W
Mon Jul 28 20:36:38 IDT 2025, 412 W
Mon Jul 28 20:36:39 IDT 2025, 225 W
Mon Jul 28 20:36:40 IDT 2025, 0 W
Mon Jul 28 20:36:41 IDT 2025, 225 W
