timestamp, power.draw [W]
Sat Aug 16 14:55:21 IDT 2025, 102 W
Sat Aug 16 14:55:22 IDT 2025, 104 W
Sat Aug 16 14:55:23 IDT 2025, 103 W
Sat Aug 16 14:55:24 IDT 2025, 102 W
Sat Aug 16 14:55:25 IDT 2025, 105 W
Sat Aug 16 14:55:26 IDT 2025, 99 W
Sat Aug 16 14:55:27 IDT 2025, 99 W
Sat Aug 16 14:55:28 IDT 2025, 104 W
Sat Aug 16 14:55:29 IDT 2025, 102 W
Sat Aug 16 14:55:30 IDT 2025, 106 W
Sat Aug 16 14:55:31 IDT 2025, 104 W
Sat Aug 16 14:55:32 IDT 2025, 114 W
Sat Aug 16 14:55:33 IDT 2025, 111 W
Sat Aug 16 14:55:34 IDT 2025, 111 W
Sat Aug 16 14:55:35 IDT 2025, 109 W
Sat Aug 16 14:55:36 IDT 2025, 112 W
Sat Aug 16 14:55:37 IDT 2025, 107 W
Sat Aug 16 14:55:38 IDT 2025, 108 W
Sat Aug 16 14:55:39 IDT 2025, 106 W
Sat Aug 16 14:55:40 IDT 2025, 110 W
Sat Aug 16 14:55:41 IDT 2025, 112 W
Sat Aug 16 14:55:42 IDT 2025, 104 W
Sat Aug 16 14:55:43 IDT 2025, 115 W
Sat Aug 16 14:55:44 IDT 2025, 112 W
Sat Aug 16 14:55:45 IDT 2025, 110 W
Sat Aug 16 14:55:46 IDT 2025, 110 W
Sat Aug 16 14:55:47 IDT 2025, 106 W
Sat Aug 16 14:55:48 IDT 2025, 112 W
Sat Aug 16 14:55:49 IDT 2025, 104 W
Sat Aug 16 14:55:50 IDT 2025, 115 W
Sat Aug 16 14:55:51 IDT 2025, 112 W
Sat Aug 16 14:55:52 IDT 2025, 107 W
Sat Aug 16 14:55:53 IDT 2025, 109 W
Sat Aug 16 14:55:54 IDT 2025, 112 W
Sat Aug 16 14:55:55 IDT 2025, 107 W
Sat Aug 16 14:55:56 IDT 2025, 116 W
Sat Aug 16 14:55:57 IDT 2025, 111 W
Sat Aug 16 14:55:58 IDT 2025, 110 W
Sat Aug 16 14:55:59 IDT 2025, 113 W
Sat Aug 16 14:56:00 IDT 2025, 105 W
Sat Aug 16 14:56:01 IDT 2025, 115 W
Sat Aug 16 14:56:02 IDT 2025, 111 W
Sat Aug 16 14:56:03 IDT 2025, 107 W
Sat Aug 16 14:56:04 IDT 2025, 114 W
Sat Aug 16 14:56:05 IDT 2025, 111 W
Sat Aug 16 14:56:06 IDT 2025, 110 W
Sat Aug 16 14:56:07 IDT 2025, 106 W
Sat Aug 16 14:56:08 IDT 2025, 107 W
Sat Aug 16 14:56:09 IDT 2025, 108 W
Sat Aug 16 14:56:10 IDT 2025, 114 W
Sat Aug 16 14:56:11 IDT 2025, 110 W
Sat Aug 16 14:56:12 IDT 2025, 104 W
Sat Aug 16 14:56:13 IDT 2025, 105 W
Sat Aug 16 14:56:14 IDT 2025, 109 W
Sat Aug 16 14:56:15 IDT 2025, 105 W
Sat Aug 16 14:56:16 IDT 2025, 110 W
Sat Aug 16 14:56:17 IDT 2025, 113 W
Sat Aug 16 14:56:18 IDT 2025, 111 W
Sat Aug 16 14:56:19 IDT 2025, 110 W
Sat Aug 16 14:56:20 IDT 2025, 110 W
Sat Aug 16 14:56:21 IDT 2025, 108 W
Sat Aug 16 14:56:22 IDT 2025, 111 W
Sat Aug 16 14:56:23 IDT 2025, 116 W
Sat Aug 16 14:56:24 IDT 2025, 107 W
Sat Aug 16 14:56:25 IDT 2025, 106 W
Sat Aug 16 14:56:26 IDT 2025, 104 W
Sat Aug 16 14:56:27 IDT 2025, 111 W
Sat Aug 16 14:56:28 IDT 2025, 107 W
Sat Aug 16 14:56:29 IDT 2025, 110 W
Sat Aug 16 14:56:30 IDT 2025, 106 W
Sat Aug 16 14:56:31 IDT 2025, 109 W
Sat Aug 16 14:56:32 IDT 2025, 110 W
Sat Aug 16 14:56:33 IDT 2025, 106 W
Sat Aug 16 14:56:34 IDT 2025, 112 W
Sat Aug 16 14:56:35 IDT 2025, 108 W
Sat Aug 16 14:56:36 IDT 2025, 108 W
Sat Aug 16 14:56:37 IDT 2025, 109 W
Sat Aug 16 14:56:38 IDT 2025, 104 W
Sat Aug 16 14:56:39 IDT 2025, 102 W
Sat Aug 16 14:56:40 IDT 2025, 110 W
Sat Aug 16 14:56:41 IDT 2025, 112 W
Sat Aug 16 14:56:42 IDT 2025, 114 W
Sat Aug 16 14:56:43 IDT 2025, 104 W
Sat Aug 16 14:56:44 IDT 2025, 106 W
Sat Aug 16 14:56:45 IDT 2025, 114 W
Sat Aug 16 14:56:46 IDT 2025, 113 W
Sat Aug 16 14:56:47 IDT 2025, 112 W
Sat Aug 16 14:56:48 IDT 2025, 116 W
Sat Aug 16 14:56:49 IDT 2025, 115 W
Sat Aug 16 14:56:50 IDT 2025, 104 W
Sat Aug 16 14:56:51 IDT 2025, 110 W
Sat Aug 16 14:56:52 IDT 2025, 109 W
Sat Aug 16 14:56:53 IDT 2025, 111 W
Sat Aug 16 14:56:54 IDT 2025, 112 W
Sat Aug 16 14:56:55 IDT 2025, 108 W
Sat Aug 16 14:56:56 IDT 2025, 107 W
Sat Aug 16 14:56:57 IDT 2025, 111 W
Sat Aug 16 14:56:58 IDT 2025, 111 W
Sat Aug 16 14:56:59 IDT 2025, 110 W
Sat Aug 16 14:57:00 IDT 2025, 109 W
Sat Aug 16 14:57:01 IDT 2025, 108 W
Sat Aug 16 14:57:02 IDT 2025, 114 W
Sat Aug 16 14:57:03 IDT 2025, 110 W
Sat Aug 16 14:57:04 IDT 2025, 116 W
Sat Aug 16 14:57:05 IDT 2025, 110 W
Sat Aug 16 14:57:06 IDT 2025, 106 W
Sat Aug 16 14:57:07 IDT 2025, 110 W
Sat Aug 16 14:57:08 IDT 2025, 103 W
Sat Aug 16 14:57:09 IDT 2025, 107 W
Sat Aug 16 14:57:10 IDT 2025, 107 W
Sat Aug 16 14:57:11 IDT 2025, 118 W
Sat Aug 16 14:57:12 IDT 2025, 107 W
Sat Aug 16 14:57:13 IDT 2025, 109 W
Sat Aug 16 14:57:14 IDT 2025, 115 W
Sat Aug 16 14:57:15 IDT 2025, 107 W
