timestamp, power.draw [W]
Sat Aug 16 00:15:49 IDT 2025, 118 W
Sat Aug 16 00:15:49 IDT 2025, 136 W
Sat Aug 16 00:15:49 IDT 2025, 120 W
Sat Aug 16 00:15:49 IDT 2025, 120 W
Sat Aug 16 00:15:49 IDT 2025, 121 W
Sat Aug 16 00:15:49 IDT 2025, 121 W
Sat Aug 16 00:15:49 IDT 2025, 123 W
Sat Aug 16 00:15:49 IDT 2025, 96 W
Sat Aug 16 00:15:50 IDT 2025, 115 W
Sat Aug 16 00:15:50 IDT 2025, 130 W
Sat Aug 16 00:15:50 IDT 2025, 117 W
Sat Aug 16 00:15:50 IDT 2025, 110 W
Sat Aug 16 00:15:50 IDT 2025, 127 W
Sat Aug 16 00:15:50 IDT 2025, 129 W
Sat Aug 16 00:15:50 IDT 2025, 127 W
Sat Aug 16 00:15:50 IDT 2025, 100 W
Sat Aug 16 00:15:51 IDT 2025, 123 W
Sat Aug 16 00:15:51 IDT 2025, 129 W
Sat Aug 16 00:15:51 IDT 2025, 118 W
Sat Aug 16 00:15:51 IDT 2025, 118 W
Sat Aug 16 00:15:51 IDT 2025, 116 W
Sat Aug 16 00:15:51 IDT 2025, 129 W
Sat Aug 16 00:15:51 IDT 2025, 130 W
Sat Aug 16 00:15:51 IDT 2025, 97 W
Sat Aug 16 00:15:52 IDT 2025, 117 W
Sat Aug 16 00:15:52 IDT 2025, 130 W
Sat Aug 16 00:15:52 IDT 2025, 115 W
Sat Aug 16 00:15:52 IDT 2025, 111 W
Sat Aug 16 00:15:52 IDT 2025, 117 W
Sat Aug 16 00:15:52 IDT 2025, 130 W
Sat Aug 16 00:15:52 IDT 2025, 128 W
Sat Aug 16 00:15:52 IDT 2025, 99 W
Sat Aug 16 00:15:53 IDT 2025, 114 W
Sat Aug 16 00:15:53 IDT 2025, 131 W
Sat Aug 16 00:15:53 IDT 2025, 116 W
Sat Aug 16 00:15:53 IDT 2025, 112 W
Sat Aug 16 00:15:53 IDT 2025, 119 W
Sat Aug 16 00:15:53 IDT 2025, 124 W
Sat Aug 16 00:15:53 IDT 2025, 128 W
Sat Aug 16 00:15:53 IDT 2025, 97 W
Sat Aug 16 00:15:54 IDT 2025, 124 W
Sat Aug 16 00:15:54 IDT 2025, 134 W
Sat Aug 16 00:15:54 IDT 2025, 121 W
Sat Aug 16 00:15:54 IDT 2025, 117 W
Sat Aug 16 00:15:54 IDT 2025, 120 W
Sat Aug 16 00:15:54 IDT 2025, 125 W
Sat Aug 16 00:15:54 IDT 2025, 120 W
Sat Aug 16 00:15:54 IDT 2025, 94 W
Sat Aug 16 00:15:55 IDT 2025, 109 W
Sat Aug 16 00:15:55 IDT 2025, 137 W
Sat Aug 16 00:15:55 IDT 2025, 121 W
Sat Aug 16 00:15:55 IDT 2025, 110 W
Sat Aug 16 00:15:55 IDT 2025, 125 W
Sat Aug 16 00:15:55 IDT 2025, 127 W
Sat Aug 16 00:15:55 IDT 2025, 129 W
Sat Aug 16 00:15:55 IDT 2025, 91 W
Sat Aug 16 00:15:56 IDT 2025, 113 W
Sat Aug 16 00:15:56 IDT 2025, 137 W
Sat Aug 16 00:15:56 IDT 2025, 117 W
Sat Aug 16 00:15:56 IDT 2025, 109 W
Sat Aug 16 00:15:56 IDT 2025, 124 W
Sat Aug 16 00:15:56 IDT 2025, 124 W
Sat Aug 16 00:15:56 IDT 2025, 126 W
Sat Aug 16 00:15:56 IDT 2025, 94 W
Sat Aug 16 00:15:57 IDT 2025, 115 W
Sat Aug 16 00:15:57 IDT 2025, 127 W
Sat Aug 16 00:15:57 IDT 2025, 115 W
Sat Aug 16 00:15:57 IDT 2025, 116 W
Sat Aug 16 00:15:57 IDT 2025, 120 W
Sat Aug 16 00:15:57 IDT 2025, 132 W
Sat Aug 16 00:15:57 IDT 2025, 125 W
Sat Aug 16 00:15:57 IDT 2025, 93 W
Sat Aug 16 00:15:58 IDT 2025, 113 W
Sat Aug 16 00:15:58 IDT 2025, 130 W
Sat Aug 16 00:15:58 IDT 2025, 122 W
Sat Aug 16 00:15:58 IDT 2025, 120 W
