timestamp, power.draw [W]
Mon Aug 11 20:04:51 IDT 2025, 87 W
Mon Aug 11 20:04:51 IDT 2025, 88 W
Mon Aug 11 20:04:52 IDT 2025, 93 W
Mon Aug 11 20:04:52 IDT 2025, 87 W
Mon Aug 11 20:04:53 IDT 2025, 84 W
Mon Aug 11 20:04:53 IDT 2025, 89 W
Mon Aug 11 20:04:54 IDT 2025, 89 W
Mon Aug 11 20:04:54 IDT 2025, 89 W
Mon Aug 11 20:04:55 IDT 2025, 95 W
Mon Aug 11 20:04:55 IDT 2025, 93 W
Mon Aug 11 20:04:56 IDT 2025, 91 W
Mon Aug 11 20:04:56 IDT 2025, 98 W
Mon Aug 11 20:04:57 IDT 2025, 96 W
Mon Aug 11 20:04:57 IDT 2025, 89 W
Mon Aug 11 20:04:58 IDT 2025, 98 W
Mon Aug 11 20:04:58 IDT 2025, 97 W
Mon Aug 11 20:04:59 IDT 2025, 97 W
Mon Aug 11 20:04:59 IDT 2025, 102 W
Mon Aug 11 20:05:00 IDT 2025, 90 W
Mon Aug 11 20:05:00 IDT 2025, 101 W
Mon Aug 11 20:05:01 IDT 2025, 93 W
Mon Aug 11 20:05:01 IDT 2025, 96 W
Mon Aug 11 20:05:03 IDT 2025, 97 W
Mon Aug 11 20:05:03 IDT 2025, 98 W
Mon Aug 11 20:05:03 IDT 2025, 187 W
Mon Aug 11 20:05:03 IDT 2025, 228 W
Mon Aug 11 20:05:04 IDT 2025, 103 W
Mon Aug 11 20:05:04 IDT 2025, 98 W
Mon Aug 11 20:05:05 IDT 2025, 113 W
Mon Aug 11 20:05:05 IDT 2025, 104 W
Mon Aug 11 20:05:06 IDT 2025, 97 W
Mon Aug 11 20:05:06 IDT 2025, 104 W
Mon Aug 11 20:05:07 IDT 2025, 97 W
Mon Aug 11 20:05:07 IDT 2025, 107 W
Mon Aug 11 20:05:08 IDT 2025, 95 W
Mon Aug 11 20:05:08 IDT 2025, 104 W
Mon Aug 11 20:05:09 IDT 2025, 92 W
Mon Aug 11 20:05:09 IDT 2025, 102 W
Mon Aug 11 20:05:10 IDT 2025, 105 W
Mon Aug 11 20:05:10 IDT 2025, 107 W
Mon Aug 11 20:05:11 IDT 2025, 104 W
Mon Aug 11 20:05:11 IDT 2025, 106 W
Mon Aug 11 20:05:12 IDT 2025, 101 W
Mon Aug 11 20:05:12 IDT 2025, 101 W
Mon Aug 11 20:05:13 IDT 2025, 108 W
Mon Aug 11 20:05:13 IDT 2025, 100 W
Mon Aug 11 20:05:14 IDT 2025, 100 W
Mon Aug 11 20:05:14 IDT 2025, 108 W
Mon Aug 11 20:05:15 IDT 2025, 94 W
Mon Aug 11 20:05:15 IDT 2025, 107 W
Mon Aug 11 20:05:16 IDT 2025, 98 W
Mon Aug 11 20:05:16 IDT 2025, 93 W
Mon Aug 11 20:05:17 IDT 2025, 98 W
Mon Aug 11 20:05:17 IDT 2025, 104 W
Mon Aug 11 20:05:18 IDT 2025, 103 W
Mon Aug 11 20:05:18 IDT 2025, 98 W
Mon Aug 11 20:05:19 IDT 2025, 97 W
Mon Aug 11 20:05:19 IDT 2025, 107 W
Mon Aug 11 20:05:20 IDT 2025, 98 W
Mon Aug 11 20:05:20 IDT 2025, 107 W
Mon Aug 11 20:05:21 IDT 2025, 108 W
Mon Aug 11 20:05:21 IDT 2025, 97 W
Mon Aug 11 20:05:22 IDT 2025, 108 W
Mon Aug 11 20:05:22 IDT 2025, 102 W
Mon Aug 11 20:05:23 IDT 2025, 107 W
Mon Aug 11 20:05:23 IDT 2025, 101 W
Mon Aug 11 20:05:24 IDT 2025, 108 W
Mon Aug 11 20:05:24 IDT 2025, 99 W
Mon Aug 11 20:05:25 IDT 2025, 100 W
Mon Aug 11 20:05:25 IDT 2025, 107 W
Mon Aug 11 20:05:26 IDT 2025, 104 W
Mon Aug 11 20:05:26 IDT 2025, 100 W
Mon Aug 11 20:05:27 IDT 2025, 100 W
Mon Aug 11 20:05:27 IDT 2025, 101 W
Mon Aug 11 20:05:28 IDT 2025, 103 W
Mon Aug 11 20:05:28 IDT 2025, 100 W
Mon Aug 11 20:05:29 IDT 2025, 109 W
Mon Aug 11 20:05:29 IDT 2025, 102 W
Mon Aug 11 20:05:30 IDT 2025, 103 W
Mon Aug 11 20:05:30 IDT 2025, 103 W
Mon Aug 11 20:05:31 IDT 2025, 106 W
Mon Aug 11 20:05:31 IDT 2025, 109 W
Mon Aug 11 20:05:32 IDT 2025, 102 W
Mon Aug 11 20:05:32 IDT 2025, 102 W
Mon Aug 11 20:05:33 IDT 2025, 96 W
Mon Aug 11 20:05:33 IDT 2025, 97 W
Mon Aug 11 20:05:34 IDT 2025, 94 W
Mon Aug 11 20:05:34 IDT 2025, 105 W
Mon Aug 11 20:05:35 IDT 2025, 103 W
Mon Aug 11 20:05:35 IDT 2025, 101 W
Mon Aug 11 20:05:36 IDT 2025, 99 W
Mon Aug 11 20:05:36 IDT 2025, 98 W
Mon Aug 11 20:05:37 IDT 2025, 104 W
Mon Aug 11 20:05:37 IDT 2025, 106 W
Mon Aug 11 20:05:38 IDT 2025, 104 W
Mon Aug 11 20:05:38 IDT 2025, 115 W
Mon Aug 11 20:05:39 IDT 2025, 104 W
Mon Aug 11 20:05:39 IDT 2025, 97 W
Mon Aug 11 20:05:40 IDT 2025, 99 W
Mon Aug 11 20:05:40 IDT 2025, 103 W
Mon Aug 11 20:05:41 IDT 2025, 96 W
Mon Aug 11 20:05:41 IDT 2025, 101 W
Mon Aug 11 20:05:42 IDT 2025, 101 W
Mon Aug 11 20:05:42 IDT 2025, 103 W
Mon Aug 11 20:05:43 IDT 2025, 94 W
Mon Aug 11 20:05:43 IDT 2025, 102 W
Mon Aug 11 20:05:44 IDT 2025, 103 W
Mon Aug 11 20:05:44 IDT 2025, 101 W
Mon Aug 11 20:05:45 IDT 2025, 109 W
Mon Aug 11 20:05:45 IDT 2025, 106 W
Mon Aug 11 20:05:46 IDT 2025, 95 W
Mon Aug 11 20:05:46 IDT 2025, 107 W
Mon Aug 11 20:05:47 IDT 2025, 109 W
Mon Aug 11 20:05:47 IDT 2025, 107 W
Mon Aug 11 20:05:48 IDT 2025, 100 W
Mon Aug 11 20:05:48 IDT 2025, 106 W
Mon Aug 11 20:05:49 IDT 2025, 98 W
Mon Aug 11 20:05:49 IDT 2025, 106 W
Mon Aug 11 20:05:50 IDT 2025, 98 W
Mon Aug 11 20:05:50 IDT 2025, 100 W
Mon Aug 11 20:05:51 IDT 2025, 97 W
Mon Aug 11 20:05:51 IDT 2025, 107 W
Mon Aug 11 20:05:52 IDT 2025, 94 W
Mon Aug 11 20:05:52 IDT 2025, 92 W
Mon Aug 11 20:05:53 IDT 2025, 103 W
Mon Aug 11 20:05:53 IDT 2025, 99 W
Mon Aug 11 20:05:54 IDT 2025, 96 W
Mon Aug 11 20:05:54 IDT 2025, 102 W
Mon Aug 11 20:05:55 IDT 2025, 99 W
Mon Aug 11 20:05:55 IDT 2025, 101 W
Mon Aug 11 20:05:56 IDT 2025, 102 W
Mon Aug 11 20:05:56 IDT 2025, 106 W
Mon Aug 11 20:05:57 IDT 2025, 96 W
Mon Aug 11 20:05:57 IDT 2025, 99 W
Mon Aug 11 20:05:58 IDT 2025, 102 W
Mon Aug 11 20:05:58 IDT 2025, 107 W
Mon Aug 11 20:05:59 IDT 2025, 97 W
Mon Aug 11 20:05:59 IDT 2025, 103 W
Mon Aug 11 20:06:00 IDT 2025, 102 W
Mon Aug 11 20:06:00 IDT 2025, 102 W
Mon Aug 11 20:06:01 IDT 2025, 97 W
Mon Aug 11 20:06:01 IDT 2025, 98 W
Mon Aug 11 20:06:02 IDT 2025, 103 W
Mon Aug 11 20:06:02 IDT 2025, 98 W
Mon Aug 11 20:06:03 IDT 2025, 102 W
Mon Aug 11 20:06:03 IDT 2025, 101 W
Mon Aug 11 20:06:04 IDT 2025, 106 W
Mon Aug 11 20:06:04 IDT 2025, 102 W
Mon Aug 11 20:06:05 IDT 2025, 100 W
Mon Aug 11 20:06:05 IDT 2025, 99 W
Mon Aug 11 20:06:06 IDT 2025, 109 W
Mon Aug 11 20:06:06 IDT 2025, 114 W
Mon Aug 11 20:06:07 IDT 2025, 100 W
Mon Aug 11 20:06:07 IDT 2025, 98 W
Mon Aug 11 20:06:08 IDT 2025, 104 W
Mon Aug 11 20:06:08 IDT 2025, 98 W
Mon Aug 11 20:06:09 IDT 2025, 92 W
Mon Aug 11 20:06:09 IDT 2025, 100 W
Mon Aug 11 20:06:10 IDT 2025, 102 W
Mon Aug 11 20:06:10 IDT 2025, 101 W
Mon Aug 11 20:06:11 IDT 2025, 97 W
Mon Aug 11 20:06:11 IDT 2025, 104 W
Mon Aug 11 20:06:12 IDT 2025, 108 W
Mon Aug 11 20:06:12 IDT 2025, 103 W
Mon Aug 11 20:06:13 IDT 2025, 97 W
Mon Aug 11 20:06:13 IDT 2025, 102 W
Mon Aug 11 20:06:14 IDT 2025, 99 W
Mon Aug 11 20:06:14 IDT 2025, 108 W
Mon Aug 11 20:06:15 IDT 2025, 104 W
Mon Aug 11 20:06:15 IDT 2025, 98 W
Mon Aug 11 20:06:16 IDT 2025, 106 W
Mon Aug 11 20:06:16 IDT 2025, 101 W
Mon Aug 11 20:06:17 IDT 2025, 104 W
Mon Aug 11 20:06:17 IDT 2025, 110 W
Mon Aug 11 20:06:18 IDT 2025, 104 W
Mon Aug 11 20:06:18 IDT 2025, 99 W
Mon Aug 11 20:06:19 IDT 2025, 96 W
Mon Aug 11 20:06:19 IDT 2025, 98 W
Mon Aug 11 20:06:20 IDT 2025, 109 W
Mon Aug 11 20:06:20 IDT 2025, 109 W
Mon Aug 11 20:06:21 IDT 2025, 98 W
Mon Aug 11 20:06:21 IDT 2025, 107 W
Mon Aug 11 20:06:22 IDT 2025, 97 W
Mon Aug 11 20:06:22 IDT 2025, 102 W
Mon Aug 11 20:06:23 IDT 2025, 101 W
Mon Aug 11 20:06:23 IDT 2025, 100 W
Mon Aug 11 20:06:24 IDT 2025, 97 W
Mon Aug 11 20:06:24 IDT 2025, 99 W
Mon Aug 11 20:06:25 IDT 2025, 103 W
Mon Aug 11 20:06:25 IDT 2025, 93 W
Mon Aug 11 20:06:26 IDT 2025, 93 W
Mon Aug 11 20:06:26 IDT 2025, 109 W
Mon Aug 11 20:06:27 IDT 2025, 97 W
Mon Aug 11 20:06:27 IDT 2025, 104 W
Mon Aug 11 20:06:28 IDT 2025, 93 W
Mon Aug 11 20:06:28 IDT 2025, 104 W
Mon Aug 11 20:06:29 IDT 2025, 105 W
Mon Aug 11 20:06:29 IDT 2025, 99 W
Mon Aug 11 20:06:30 IDT 2025, 98 W
Mon Aug 11 20:06:30 IDT 2025, 105 W
Mon Aug 11 20:06:31 IDT 2025, 97 W
Mon Aug 11 20:06:31 IDT 2025, 101 W
Mon Aug 11 20:06:32 IDT 2025, 96 W
Mon Aug 11 20:06:32 IDT 2025, 106 W
Mon Aug 11 20:06:33 IDT 2025, 98 W
Mon Aug 11 20:06:33 IDT 2025, 96 W
Mon Aug 11 20:06:34 IDT 2025, 104 W
Mon Aug 11 20:06:34 IDT 2025, 98 W
Mon Aug 11 20:06:35 IDT 2025, 96 W
Mon Aug 11 20:06:35 IDT 2025, 104 W
Mon Aug 11 20:06:36 IDT 2025, 100 W
Mon Aug 11 20:06:36 IDT 2025, 109 W
Mon Aug 11 20:06:37 IDT 2025, 104 W
