timestamp, power.draw [W]
Fri Aug 15 11:31:43 IDT 2025, 112 W
Fri Aug 15 11:31:44 IDT 2025, 103 W
Fri Aug 15 11:31:45 IDT 2025, 113 W
Fri Aug 15 11:31:46 IDT 2025, 248 W
Fri Aug 15 11:31:47 IDT 2025, 249 W
Fri Aug 15 11:31:48 IDT 2025, 249 W
Fri Aug 15 11:31:49 IDT 2025, 252 W
Fri Aug 15 11:31:50 IDT 2025, 245 W
Fri Aug 15 11:31:51 IDT 2025, 249 W
Fri Aug 15 11:31:52 IDT 2025, 255 W
Fri Aug 15 11:31:53 IDT 2025, 241 W
Fri Aug 15 11:31:54 IDT 2025, 250 W
Fri Aug 15 11:31:55 IDT 2025, 251 W
Fri Aug 15 11:31:56 IDT 2025, 245 W
Fri Aug 15 11:31:57 IDT 2025, 247 W
Fri Aug 15 11:31:58 IDT 2025, 244 W
Fri Aug 15 11:31:59 IDT 2025, 247 W
Fri Aug 15 11:32:00 IDT 2025, 254 W
Fri Aug 15 11:32:01 IDT 2025, 247 W
Fri Aug 15 11:32:02 IDT 2025, 249 W
Fri Aug 15 11:32:03 IDT 2025, 252 W
Fri Aug 15 11:32:04 IDT 2025, 248 W
Fri Aug 15 11:32:05 IDT 2025, 250 W
Fri Aug 15 11:32:06 IDT 2025, 254 W
Fri Aug 15 11:32:07 IDT 2025, 252 W
Fri Aug 15 11:32:08 IDT 2025, 249 W
Fri Aug 15 11:32:09 IDT 2025, 250 W
Fri Aug 15 11:32:10 IDT 2025, 253 W
Fri Aug 15 11:32:11 IDT 2025, 253 W
Fri Aug 15 11:32:12 IDT 2025, 249 W
Fri Aug 15 11:32:13 IDT 2025, 248 W
Fri Aug 15 11:32:14 IDT 2025, 249 W
Fri Aug 15 11:32:15 IDT 2025, 249 W
Fri Aug 15 11:32:16 IDT 2025, 256 W
Fri Aug 15 11:32:17 IDT 2025, 249 W
Fri Aug 15 11:32:18 IDT 2025, 248 W
Fri Aug 15 11:32:19 IDT 2025, 242 W
Fri Aug 15 11:32:20 IDT 2025, 250 W
Fri Aug 15 11:32:21 IDT 2025, 248 W
Fri Aug 15 11:32:22 IDT 2025, 249 W
Fri Aug 15 11:32:23 IDT 2025, 253 W
Fri Aug 15 11:32:24 IDT 2025, 249 W
Fri Aug 15 11:32:25 IDT 2025, 256 W
Fri Aug 15 11:32:26 IDT 2025, 245 W
Fri Aug 15 11:32:27 IDT 2025, 248 W
Fri Aug 15 11:32:28 IDT 2025, 251 W
Fri Aug 15 11:32:29 IDT 2025, 250 W
Fri Aug 15 11:32:30 IDT 2025, 253 W
Fri Aug 15 11:32:31 IDT 2025, 253 W
Fri Aug 15 11:32:32 IDT 2025, 246 W
Fri Aug 15 11:32:33 IDT 2025, 244 W
Fri Aug 15 11:32:34 IDT 2025, 253 W
Fri Aug 15 11:32:35 IDT 2025, 257 W
Fri Aug 15 11:32:36 IDT 2025, 250 W
Fri Aug 15 11:32:37 IDT 2025, 251 W
Fri Aug 15 11:32:38 IDT 2025, 243 W
Fri Aug 15 11:32:39 IDT 2025, 248 W
Fri Aug 15 11:32:40 IDT 2025, 254 W
Fri Aug 15 11:32:41 IDT 2025, 250 W
Fri Aug 15 11:32:42 IDT 2025, 252 W
Fri Aug 15 11:32:43 IDT 2025, 243 W
