timestamp, power.draw [W]
Sun Oct 19 18:41:05 IDT 2025, 91 W
Sun Oct 19 18:41:06 IDT 2025, 91 W
Sun Oct 19 18:41:07 IDT 2025, 88 W
Sun Oct 19 18:41:08 IDT 2025, 92 W
Sun Oct 19 18:41:09 IDT 2025, 91 W
Sun Oct 19 18:41:10 IDT 2025, 90 W
Sun Oct 19 18:41:11 IDT 2025, 101 W
Sun Oct 19 18:41:12 IDT 2025, 93 W
Sun Oct 19 18:41:13 IDT 2025, 91 W
Sun Oct 19 18:41:14 IDT 2025, 93 W
Sun Oct 19 18:41:15 IDT 2025, 99 W
Sun Oct 19 18:41:16 IDT 2025, 95 W
Sun Oct 19 18:41:17 IDT 2025, 94 W
Sun Oct 19 18:41:18 IDT 2025, 97 W
Sun Oct 19 18:41:19 IDT 2025, 89 W
Sun Oct 19 18:41:20 IDT 2025, 238 W
Sun Oct 19 18:41:21 IDT 2025, 240 W
Sun Oct 19 18:41:22 IDT 2025, 242 W
Sun Oct 19 18:41:23 IDT 2025, 88 W
Sun Oct 19 18:41:24 IDT 2025, 234 W
Sun Oct 19 18:41:25 IDT 2025, 240 W
Sun Oct 19 18:41:26 IDT 2025, 98 W
Sun Oct 19 18:41:27 IDT 2025, 244 W
Sun Oct 19 18:41:28 IDT 2025, 237 W
Sun Oct 19 18:41:29 IDT 2025, 96 W
Sun Oct 19 18:41:30 IDT 2025, 237 W
Sun Oct 19 18:41:31 IDT 2025, 236 W
Sun Oct 19 18:41:32 IDT 2025, 91 W
Sun Oct 19 18:41:33 IDT 2025, 96 W
Sun Oct 19 18:41:34 IDT 2025, 90 W
Sun Oct 19 18:41:35 IDT 2025, 93 W
Sun Oct 19 18:41:36 IDT 2025, 101 W
Sun Oct 19 18:41:37 IDT 2025, 95 W
Sun Oct 19 18:41:38 IDT 2025, 241 W
Sun Oct 19 18:41:39 IDT 2025, 241 W
Sun Oct 19 18:41:40 IDT 2025, 240 W
Sun Oct 19 18:41:41 IDT 2025, 238 W
Sun Oct 19 18:41:42 IDT 2025, 246 W
Sun Oct 19 18:41:43 IDT 2025, 237 W
Sun Oct 19 18:41:44 IDT 2025, 241 W
Sun Oct 19 18:41:45 IDT 2025, 241 W
Sun Oct 19 18:41:46 IDT 2025, 230 W
Sun Oct 19 18:41:47 IDT 2025, 233 W
Sun Oct 19 18:41:48 IDT 2025, 235 W
Sun Oct 19 18:41:49 IDT 2025, 240 W
Sun Oct 19 18:41:50 IDT 2025, 237 W
Sun Oct 19 18:41:51 IDT 2025, 95 W
Sun Oct 19 18:41:52 IDT 2025, 93 W
Sun Oct 19 18:41:53 IDT 2025, 94 W
Sun Oct 19 18:41:54 IDT 2025, 91 W
Sun Oct 19 18:41:55 IDT 2025, 246 W
Sun Oct 19 18:41:56 IDT 2025, 237 W
Sun Oct 19 18:41:57 IDT 2025, 242 W
Sun Oct 19 18:41:58 IDT 2025, 247 W
Sun Oct 19 18:41:59 IDT 2025, 243 W
Sun Oct 19 18:42:00 IDT 2025, 241 W
Sun Oct 19 18:42:01 IDT 2025, 235 W
Sun Oct 19 18:42:02 IDT 2025, 235 W
Sun Oct 19 18:42:03 IDT 2025, 233 W
Sun Oct 19 18:42:04 IDT 2025, 236 W
Sun Oct 19 18:42:05 IDT 2025, 245 W
Sun Oct 19 18:42:06 IDT 2025, 245 W
Sun Oct 19 18:42:07 IDT 2025, 237 W
Sun Oct 19 18:42:08 IDT 2025, 89 W
Sun Oct 19 18:42:09 IDT 2025, 93 W
Sun Oct 19 18:42:10 IDT 2025, 96 W
Sun Oct 19 18:42:11 IDT 2025, 96 W
Sun Oct 19 18:42:12 IDT 2025, 242 W
Sun Oct 19 18:42:13 IDT 2025, 239 W
Sun Oct 19 18:42:14 IDT 2025, 242 W
Sun Oct 19 18:42:15 IDT 2025, 233 W
Sun Oct 19 18:42:16 IDT 2025, 244 W
Sun Oct 19 18:42:17 IDT 2025, 238 W
Sun Oct 19 18:42:18 IDT 2025, 235 W
Sun Oct 19 18:42:19 IDT 2025, 239 W
Sun Oct 19 18:42:20 IDT 2025, 240 W
Sun Oct 19 18:42:21 IDT 2025, 239 W
Sun Oct 19 18:42:22 IDT 2025, 238 W
Sun Oct 19 18:42:23 IDT 2025, 238 W
Sun Oct 19 18:42:24 IDT 2025, 236 W
Sun Oct 19 18:42:25 IDT 2025, 104 W
Sun Oct 19 18:42:26 IDT 2025, 94 W
Sun Oct 19 18:42:27 IDT 2025, 92 W
Sun Oct 19 18:42:28 IDT 2025, 91 W
Sun Oct 19 18:42:29 IDT 2025, 318 W
Sun Oct 19 18:42:30 IDT 2025, 239 W
Sun Oct 19 18:42:31 IDT 2025, 239 W
Sun Oct 19 18:42:32 IDT 2025, 244 W
Sun Oct 19 18:42:33 IDT 2025, 240 W
Sun Oct 19 18:42:34 IDT 2025, 245 W
Sun Oct 19 18:42:35 IDT 2025, 247 W
Sun Oct 19 18:42:36 IDT 2025, 238 W
Sun Oct 19 18:42:37 IDT 2025, 240 W
Sun Oct 19 18:42:38 IDT 2025, 234 W
Sun Oct 19 18:42:39 IDT 2025, 243 W
Sun Oct 19 18:42:40 IDT 2025, 237 W
Sun Oct 19 18:42:41 IDT 2025, 239 W
Sun Oct 19 18:42:42 IDT 2025, 239 W
Sun Oct 19 18:42:43 IDT 2025, 93 W
Sun Oct 19 18:42:44 IDT 2025, 94 W
Sun Oct 19 18:42:45 IDT 2025, 94 W
Sun Oct 19 18:42:46 IDT 2025, 102 W
Sun Oct 19 18:42:47 IDT 2025, 235 W
Sun Oct 19 18:42:48 IDT 2025, 239 W
Sun Oct 19 18:42:49 IDT 2025, 241 W
Sun Oct 19 18:42:50 IDT 2025, 233 W
Sun Oct 19 18:42:51 IDT 2025, 243 W
Sun Oct 19 18:42:52 IDT 2025, 240 W
Sun Oct 19 18:42:53 IDT 2025, 247 W
Sun Oct 19 18:42:54 IDT 2025, 245 W
Sun Oct 19 18:42:55 IDT 2025, 92 W
Sun Oct 19 18:42:56 IDT 2025, 98 W
Sun Oct 19 18:42:57 IDT 2025, 92 W
Sun Oct 19 18:42:58 IDT 2025, 89 W
Sun Oct 19 18:42:59 IDT 2025, 307 W
Sun Oct 19 18:43:00 IDT 2025, 241 W
Sun Oct 19 18:43:01 IDT 2025, 237 W
Sun Oct 19 18:43:02 IDT 2025, 236 W
Sun Oct 19 18:43:03 IDT 2025, 95 W
Sun Oct 19 18:43:04 IDT 2025, 99 W
Sun Oct 19 18:43:05 IDT 2025, 97 W
Sun Oct 19 18:43:06 IDT 2025, 88 W
Sun Oct 19 18:43:07 IDT 2025, 239 W
Sun Oct 19 18:43:08 IDT 2025, 240 W
Sun Oct 19 18:43:09 IDT 2025, 237 W
Sun Oct 19 18:43:10 IDT 2025, 236 W
Sun Oct 19 18:43:11 IDT 2025, 241 W
Sun Oct 19 18:43:12 IDT 2025, 229 W
Sun Oct 19 18:43:13 IDT 2025, 238 W
Sun Oct 19 18:43:14 IDT 2025, 234 W
Sun Oct 19 18:43:15 IDT 2025, 244 W
Sun Oct 19 18:43:16 IDT 2025, 238 W
Sun Oct 19 18:43:17 IDT 2025, 240 W
Sun Oct 19 18:43:18 IDT 2025, 238 W
Sun Oct 19 18:43:19 IDT 2025, 247 W
Sun Oct 19 18:43:20 IDT 2025, 94 W
Sun Oct 19 18:43:21 IDT 2025, 92 W
Sun Oct 19 18:43:22 IDT 2025, 91 W
Sun Oct 19 18:43:23 IDT 2025, 99 W
Sun Oct 19 18:43:24 IDT 2025, 237 W
Sun Oct 19 18:43:25 IDT 2025, 238 W
Sun Oct 19 18:43:26 IDT 2025, 241 W
