timestamp, power.draw [W]
Sat Aug  9 12:48:27 IDT 2025, 96 W
Sat Aug  9 12:48:27 IDT 2025, 82 W
Sat Aug  9 12:48:27 IDT 2025, 116 W
Sat Aug  9 12:48:27 IDT 2025, 97 W
Sat Aug  9 12:48:28 IDT 2025, 93 W
Sat Aug  9 12:48:28 IDT 2025, 85 W
Sat Aug  9 12:48:28 IDT 2025, 117 W
Sat Aug  9 12:48:28 IDT 2025, 103 W
Sat Aug  9 12:48:29 IDT 2025, 94 W
Sat Aug  9 12:48:29 IDT 2025, 88 W
Sat Aug  9 12:48:29 IDT 2025, 113 W
Sat Aug  9 12:48:29 IDT 2025, 112 W
Sat Aug  9 12:48:30 IDT 2025, 98 W
Sat Aug  9 12:48:30 IDT 2025, 90 W
Sat Aug  9 12:48:30 IDT 2025, 110 W
Sat Aug  9 12:48:30 IDT 2025, 116 W
Sat Aug  9 12:48:31 IDT 2025, 91 W
Sat Aug  9 12:48:31 IDT 2025, 87 W
Sat Aug  9 12:48:31 IDT 2025, 110 W
Sat Aug  9 12:48:31 IDT 2025, 113 W
Sat Aug  9 12:48:32 IDT 2025, 91 W
Sat Aug  9 12:48:32 IDT 2025, 92 W
Sat Aug  9 12:48:32 IDT 2025, 115 W
Sat Aug  9 12:48:32 IDT 2025, 118 W
Sat Aug  9 12:48:33 IDT 2025, 146 W
Sat Aug  9 12:48:33 IDT 2025, 135 W
Sat Aug  9 12:48:33 IDT 2025, 161 W
Sat Aug  9 12:48:33 IDT 2025, 148 W
Sat Aug  9 12:48:34 IDT 2025, 143 W
Sat Aug  9 12:48:34 IDT 2025, 140 W
Sat Aug  9 12:48:34 IDT 2025, 163 W
Sat Aug  9 12:48:34 IDT 2025, 138 W
Sat Aug  9 12:48:35 IDT 2025, 132 W
Sat Aug  9 12:48:35 IDT 2025, 137 W
Sat Aug  9 12:48:35 IDT 2025, 165 W
Sat Aug  9 12:48:35 IDT 2025, 148 W
Sat Aug  9 12:48:36 IDT 2025, 148 W
Sat Aug  9 12:48:36 IDT 2025, 136 W
Sat Aug  9 12:48:36 IDT 2025, 168 W
Sat Aug  9 12:48:36 IDT 2025, 143 W
Sat Aug  9 12:48:37 IDT 2025, 144 W
Sat Aug  9 12:48:37 IDT 2025, 138 W
Sat Aug  9 12:48:37 IDT 2025, 168 W
