timestamp, power.draw [W]
Sat Oct 18 16:56:41 IDT 2025, 113 W
Sat Oct 18 16:56:41 IDT 2025, 126 W
Sat Oct 18 16:56:42 IDT 2025, 106 W
Sat Oct 18 16:56:42 IDT 2025, 124 W
Sat Oct 18 16:56:43 IDT 2025, 109 W
Sat Oct 18 16:56:43 IDT 2025, 125 W
Sat Oct 18 16:56:44 IDT 2025, 110 W
Sat Oct 18 16:56:44 IDT 2025, 131 W
Sat Oct 18 16:56:45 IDT 2025, 107 W
Sat Oct 18 16:56:45 IDT 2025, 123 W
Sat Oct 18 16:56:46 IDT 2025, 109 W
Sat Oct 18 16:56:46 IDT 2025, 121 W
Sat Oct 18 16:56:47 IDT 2025, 109 W
Sat Oct 18 16:56:47 IDT 2025, 123 W
Sat Oct 18 16:56:48 IDT 2025, 110 W
Sat Oct 18 16:56:48 IDT 2025, 124 W
Sat Oct 18 16:56:49 IDT 2025, 106 W
Sat Oct 18 16:56:49 IDT 2025, 126 W
Sat Oct 18 16:56:50 IDT 2025, 108 W
Sat Oct 18 16:56:50 IDT 2025, 124 W
Sat Oct 18 16:56:51 IDT 2025, 110 W
Sat Oct 18 16:56:51 IDT 2025, 128 W
Sat Oct 18 16:56:52 IDT 2025, 103 W
Sat Oct 18 16:56:52 IDT 2025, 126 W
Sat Oct 18 16:56:53 IDT 2025, 112 W
Sat Oct 18 16:56:53 IDT 2025, 129 W
Sat Oct 18 16:56:54 IDT 2025, 105 W
Sat Oct 18 16:56:54 IDT 2025, 125 W
Sat Oct 18 16:56:55 IDT 2025, 183 W
Sat Oct 18 16:56:55 IDT 2025, 210 W
Sat Oct 18 16:56:56 IDT 2025, 192 W
Sat Oct 18 16:56:56 IDT 2025, 217 W
Sat Oct 18 16:56:57 IDT 2025, 187 W
Sat Oct 18 16:56:57 IDT 2025, 201 W
Sat Oct 18 16:56:58 IDT 2025, 195 W
Sat Oct 18 16:56:58 IDT 2025, 217 W
Sat Oct 18 16:56:59 IDT 2025, 197 W
Sat Oct 18 16:56:59 IDT 2025, 221 W
Sat Oct 18 16:57:00 IDT 2025, 106 W
Sat Oct 18 16:57:00 IDT 2025, 125 W
Sat Oct 18 16:57:01 IDT 2025, 189 W
Sat Oct 18 16:57:01 IDT 2025, 202 W
Sat Oct 18 16:57:02 IDT 2025, 202 W
Sat Oct 18 16:57:02 IDT 2025, 214 W
Sat Oct 18 16:57:03 IDT 2025, 199 W
Sat Oct 18 16:57:03 IDT 2025, 208 W
Sat Oct 18 16:57:04 IDT 2025, 199 W
Sat Oct 18 16:57:04 IDT 2025, 211 W
