timestamp, power.draw [W]
Thu Jul 31 20:10:48 IDT 2025, 232 W
Thu Jul 31 20:10:49 IDT 2025, 232 W
Thu Jul 31 20:10:50 IDT 2025, 231 W
Thu Jul 31 20:10:51 IDT 2025, 595 W
Thu Jul 31 20:10:52 IDT 2025, 237 W
Thu Jul 31 20:10:53 IDT 2025, 595 W
Thu Jul 31 20:10:54 IDT 2025, 240 W
Thu Jul 31 20:10:55 IDT 2025, 600 W
Thu Jul 31 20:10:56 IDT 2025, 601 W
Thu Jul 31 20:10:57 IDT 2025, 599 W
Thu Jul 31 20:10:58 IDT 2025, 600 W
Thu Jul 31 20:10:59 IDT 2025, 598 W
Thu Jul 31 20:11:00 IDT 2025, 600 W
Thu Jul 31 20:11:01 IDT 2025, 600 W
Thu Jul 31 20:11:02 IDT 2025, 469 W
Thu Jul 31 20:11:03 IDT 2025, 598 W
Thu Jul 31 20:11:04 IDT 2025, 237 W
Thu Jul 31 20:11:05 IDT 2025, 600 W
Thu Jul 31 20:11:06 IDT 2025, 600 W
Thu Jul 31 20:11:07 IDT 2025, 598 W
Thu Jul 31 20:11:08 IDT 2025, 598 W
Thu Jul 31 20:11:09 IDT 2025, 521 W
Thu Jul 31 20:11:10 IDT 2025, 469 W
Thu Jul 31 20:11:11 IDT 2025, 554 W
Thu Jul 31 20:11:12 IDT 2025, 598 W
Thu Jul 31 20:11:13 IDT 2025, 601 W
Thu Jul 31 20:11:14 IDT 2025, 240 W
Thu Jul 31 20:11:15 IDT 2025, 599 W
Thu Jul 31 20:11:16 IDT 2025, 598 W
Thu Jul 31 20:11:17 IDT 2025, 600 W
Thu Jul 31 20:11:18 IDT 2025, 601 W
Thu Jul 31 20:11:19 IDT 2025, 602 W
Thu Jul 31 20:11:20 IDT 2025, 600 W
Thu Jul 31 20:11:21 IDT 2025, 599 W
Thu Jul 31 20:11:22 IDT 2025, 597 W
Thu Jul 31 20:11:23 IDT 2025, 602 W
Thu Jul 31 20:11:24 IDT 2025, 588 W
Thu Jul 31 20:11:25 IDT 2025, 604 W
Thu Jul 31 20:11:26 IDT 2025, 602 W
Thu Jul 31 20:11:27 IDT 2025, 602 W
Thu Jul 31 20:11:28 IDT 2025, 600 W
Thu Jul 31 20:11:29 IDT 2025, 601 W
Thu Jul 31 20:11:30 IDT 2025, 600 W
Thu Jul 31 20:11:31 IDT 2025, 568 W
Thu Jul 31 20:11:32 IDT 2025, 603 W
Thu Jul 31 20:11:33 IDT 2025, 600 W
Thu Jul 31 20:11:34 IDT 2025, 582 W
Thu Jul 31 20:11:35 IDT 2025, 602 W
Thu Jul 31 20:11:36 IDT 2025, 601 W
Thu Jul 31 20:11:37 IDT 2025, 602 W
Thu Jul 31 20:11:38 IDT 2025, 602 W
Thu Jul 31 20:11:39 IDT 2025, 601 W
Thu Jul 31 20:11:40 IDT 2025, 600 W
Thu Jul 31 20:11:41 IDT 2025, 600 W
Thu Jul 31 20:11:42 IDT 2025, 603 W
Thu Jul 31 20:11:43 IDT 2025, 600 W
Thu Jul 31 20:11:44 IDT 2025, 510 W
Thu Jul 31 20:11:45 IDT 2025, 602 W
Thu Jul 31 20:11:46 IDT 2025, 602 W
Thu Jul 31 20:11:47 IDT 2025, 601 W
Thu Jul 31 20:11:48 IDT 2025, 602 W
Thu Jul 31 20:11:49 IDT 2025, 602 W
Thu Jul 31 20:11:50 IDT 2025, 601 W
Thu Jul 31 20:11:51 IDT 2025, 603 W
Thu Jul 31 20:11:52 IDT 2025, 564 W
Thu Jul 31 20:11:53 IDT 2025, 604 W
Thu Jul 31 20:11:54 IDT 2025, 306 W
