timestamp, power.draw [W]
Sun Oct 19 19:27:36 IDT 2025, 216 W
Sun Oct 19 19:27:37 IDT 2025, 217 W
Sun Oct 19 19:27:38 IDT 2025, 216 W
Sun Oct 19 19:27:39 IDT 2025, 216 W
Sun Oct 19 19:27:40 IDT 2025, 216 W
Sun Oct 19 19:27:41 IDT 2025, 216 W
Sun Oct 19 19:27:42 IDT 2025, 217 W
Sun Oct 19 19:27:43 IDT 2025, 216 W
Sun Oct 19 19:27:44 IDT 2025, 216 W
Sun Oct 19 19:27:45 IDT 2025, 217 W
Sun Oct 19 19:27:46 IDT 2025, 216 W
Sun Oct 19 19:27:47 IDT 2025, 217 W
Sun Oct 19 19:27:48 IDT 2025, 216 W
Sun Oct 19 19:27:49 IDT 2025, 216 W
Sun Oct 19 19:27:50 IDT 2025, 217 W
Sun Oct 19 19:27:51 IDT 2025, 216 W
Sun Oct 19 19:27:52 IDT 2025, 216 W
Sun Oct 19 19:27:53 IDT 2025, 216 W
Sun Oct 19 19:27:54 IDT 2025, 217 W
Sun Oct 19 19:27:55 IDT 2025, 216 W
Sun Oct 19 19:27:56 IDT 2025, 216 W
Sun Oct 19 19:27:57 IDT 2025, 216 W
Sun Oct 19 19:27:58 IDT 2025, 216 W
Sun Oct 19 19:27:59 IDT 2025, 219 W
Sun Oct 19 19:28:00 IDT 2025, 224 W
Sun Oct 19 19:28:01 IDT 2025, 223 W
Sun Oct 19 19:28:02 IDT 2025, 217 W
Sun Oct 19 19:28:03 IDT 2025, 567 W
Sun Oct 19 19:28:04 IDT 2025, 571 W
Sun Oct 19 19:28:05 IDT 2025, 577 W
Sun Oct 19 19:28:06 IDT 2025, 220 W
Sun Oct 19 19:28:07 IDT 2025, 563 W
Sun Oct 19 19:28:08 IDT 2025, 572 W
Sun Oct 19 19:28:09 IDT 2025, 574 W
Sun Oct 19 19:28:10 IDT 2025, 223 W
Sun Oct 19 19:28:11 IDT 2025, 554 W
Sun Oct 19 19:28:12 IDT 2025, 224 W
Sun Oct 19 19:28:13 IDT 2025, 557 W
Sun Oct 19 19:28:14 IDT 2025, 587 W
Sun Oct 19 19:28:15 IDT 2025, 588 W
Sun Oct 19 19:28:16 IDT 2025, 219 W
Sun Oct 19 19:28:17 IDT 2025, 218 W
Sun Oct 19 19:28:18 IDT 2025, 218 W
Sun Oct 19 19:28:19 IDT 2025, 218 W
Sun Oct 19 19:28:20 IDT 2025, 218 W
Sun Oct 19 19:28:21 IDT 2025, 218 W
Sun Oct 19 19:28:22 IDT 2025, 574 W
Sun Oct 19 19:28:23 IDT 2025, 575 W
Sun Oct 19 19:28:24 IDT 2025, 580 W
Sun Oct 19 19:28:25 IDT 2025, 582 W
Sun Oct 19 19:28:26 IDT 2025, 580 W
Sun Oct 19 19:28:27 IDT 2025, 579 W
Sun Oct 19 19:28:28 IDT 2025, 579 W
Sun Oct 19 19:28:29 IDT 2025, 579 W
Sun Oct 19 19:28:30 IDT 2025, 586 W
Sun Oct 19 19:28:31 IDT 2025, 584 W
Sun Oct 19 19:28:32 IDT 2025, 219 W
Sun Oct 19 19:28:33 IDT 2025, 218 W
Sun Oct 19 19:28:34 IDT 2025, 218 W
Sun Oct 19 19:28:35 IDT 2025, 218 W
Sun Oct 19 19:28:36 IDT 2025, 218 W
Sun Oct 19 19:28:37 IDT 2025, 218 W
Sun Oct 19 19:28:38 IDT 2025, 219 W
Sun Oct 19 19:28:39 IDT 2025, 581 W
Sun Oct 19 19:28:40 IDT 2025, 578 W
Sun Oct 19 19:28:41 IDT 2025, 574 W
Sun Oct 19 19:28:42 IDT 2025, 586 W
Sun Oct 19 19:28:43 IDT 2025, 584 W
Sun Oct 19 19:28:44 IDT 2025, 585 W
Sun Oct 19 19:28:45 IDT 2025, 593 W
Sun Oct 19 19:28:46 IDT 2025, 220 W
Sun Oct 19 19:28:47 IDT 2025, 219 W
Sun Oct 19 19:28:48 IDT 2025, 219 W
Sun Oct 19 19:28:49 IDT 2025, 219 W
Sun Oct 19 19:28:50 IDT 2025, 218 W
Sun Oct 19 19:28:51 IDT 2025, 335 W
Sun Oct 19 19:28:52 IDT 2025, 504 W
Sun Oct 19 19:28:53 IDT 2025, 582 W
Sun Oct 19 19:28:54 IDT 2025, 582 W
Sun Oct 19 19:28:55 IDT 2025, 591 W
Sun Oct 19 19:28:56 IDT 2025, 591 W
Sun Oct 19 19:28:57 IDT 2025, 593 W
Sun Oct 19 19:28:58 IDT 2025, 591 W
Sun Oct 19 19:28:59 IDT 2025, 590 W
Sun Oct 19 19:29:00 IDT 2025, 593 W
Sun Oct 19 19:29:01 IDT 2025, 593 W
Sun Oct 19 19:29:02 IDT 2025, 220 W
Sun Oct 19 19:29:03 IDT 2025, 219 W
Sun Oct 19 19:29:04 IDT 2025, 219 W
Sun Oct 19 19:29:05 IDT 2025, 219 W
Sun Oct 19 19:29:06 IDT 2025, 218 W
Sun Oct 19 19:29:07 IDT 2025, 539 W
Sun Oct 19 19:29:08 IDT 2025, 580 W
Sun Oct 19 19:29:09 IDT 2025, 577 W
Sun Oct 19 19:29:10 IDT 2025, 580 W
Sun Oct 19 19:29:11 IDT 2025, 580 W
Sun Oct 19 19:29:12 IDT 2025, 579 W
Sun Oct 19 19:29:13 IDT 2025, 578 W
Sun Oct 19 19:29:14 IDT 2025, 580 W
Sun Oct 19 19:29:15 IDT 2025, 577 W
Sun Oct 19 19:29:16 IDT 2025, 579 W
Sun Oct 19 19:29:17 IDT 2025, 220 W
Sun Oct 19 19:29:18 IDT 2025, 219 W
Sun Oct 19 19:29:19 IDT 2025, 219 W
Sun Oct 19 19:29:20 IDT 2025, 219 W
Sun Oct 19 19:29:21 IDT 2025, 219 W
Sun Oct 19 19:29:22 IDT 2025, 218 W
Sun Oct 19 19:29:23 IDT 2025, 582 W
Sun Oct 19 19:29:24 IDT 2025, 580 W
Sun Oct 19 19:29:25 IDT 2025, 586 W
Sun Oct 19 19:29:26 IDT 2025, 583 W
Sun Oct 19 19:29:27 IDT 2025, 588 W
Sun Oct 19 19:29:28 IDT 2025, 584 W
Sun Oct 19 19:29:29 IDT 2025, 589 W
Sun Oct 19 19:29:30 IDT 2025, 587 W
Sun Oct 19 19:29:31 IDT 2025, 594 W
Sun Oct 19 19:29:32 IDT 2025, 593 W
Sun Oct 19 19:29:33 IDT 2025, 220 W
Sun Oct 19 19:29:34 IDT 2025, 219 W
Sun Oct 19 19:29:35 IDT 2025, 219 W
Sun Oct 19 19:29:36 IDT 2025, 219 W
Sun Oct 19 19:29:37 IDT 2025, 586 W
Sun Oct 19 19:29:38 IDT 2025, 586 W
Sun Oct 19 19:29:39 IDT 2025, 583 W
Sun Oct 19 19:29:40 IDT 2025, 581 W
Sun Oct 19 19:29:41 IDT 2025, 588 W
Sun Oct 19 19:29:42 IDT 2025, 586 W
Sun Oct 19 19:29:43 IDT 2025, 589 W
Sun Oct 19 19:29:44 IDT 2025, 586 W
Sun Oct 19 19:29:45 IDT 2025, 589 W
Sun Oct 19 19:29:46 IDT 2025, 595 W
Sun Oct 19 19:29:47 IDT 2025, 305 W
Sun Oct 19 19:29:48 IDT 2025, 219 W
Sun Oct 19 19:29:49 IDT 2025, 219 W
Sun Oct 19 19:29:50 IDT 2025, 219 W
Sun Oct 19 19:29:51 IDT 2025, 219 W
Sun Oct 19 19:29:52 IDT 2025, 219 W
