timestamp, power.draw [W]
Sun Oct 19 19:08:28 IDT 2025, 217 W
Sun Oct 19 19:08:29 IDT 2025, 217 W
Sun Oct 19 19:08:30 IDT 2025, 217 W
Sun Oct 19 19:08:31 IDT 2025, 217 W
Sun Oct 19 19:08:32 IDT 2025, 216 W
Sun Oct 19 19:08:33 IDT 2025, 216 W
Sun Oct 19 19:08:34 IDT 2025, 217 W
Sun Oct 19 19:08:35 IDT 2025, 216 W
Sun Oct 19 19:08:36 IDT 2025, 216 W
Sun Oct 19 19:08:37 IDT 2025, 216 W
Sun Oct 19 19:08:38 IDT 2025, 216 W
Sun Oct 19 19:08:39 IDT 2025, 217 W
Sun Oct 19 19:08:40 IDT 2025, 217 W
Sun Oct 19 19:08:41 IDT 2025, 216 W
Sun Oct 19 19:08:42 IDT 2025, 217 W
Sun Oct 19 19:08:43 IDT 2025, 216 W
Sun Oct 19 19:08:44 IDT 2025, 217 W
Sun Oct 19 19:08:45 IDT 2025, 217 W
Sun Oct 19 19:08:46 IDT 2025, 216 W
Sun Oct 19 19:08:47 IDT 2025, 217 W
Sun Oct 19 19:08:48 IDT 2025, 217 W
Sun Oct 19 19:08:49 IDT 2025, 217 W
Sun Oct 19 19:08:50 IDT 2025, 216 W
Sun Oct 19 19:08:51 IDT 2025, 217 W
Sun Oct 19 19:08:52 IDT 2025, 216 W
Sun Oct 19 19:08:53 IDT 2025, 217 W
Sun Oct 19 19:08:54 IDT 2025, 216 W
Sun Oct 19 19:08:55 IDT 2025, 216 W
Sun Oct 19 19:08:56 IDT 2025, 216 W
Sun Oct 19 19:08:57 IDT 2025, 217 W
Sun Oct 19 19:08:58 IDT 2025, 217 W
Sun Oct 19 19:08:59 IDT 2025, 216 W
Sun Oct 19 19:09:00 IDT 2025, 217 W
Sun Oct 19 19:09:01 IDT 2025, 217 W
Sun Oct 19 19:09:02 IDT 2025, 216 W
Sun Oct 19 19:09:03 IDT 2025, 217 W
Sun Oct 19 19:09:04 IDT 2025, 217 W
Sun Oct 19 19:09:05 IDT 2025, 217 W
Sun Oct 19 19:09:06 IDT 2025, 216 W
Sun Oct 19 19:09:07 IDT 2025, 217 W
Sun Oct 19 19:09:08 IDT 2025, 217 W
Sun Oct 19 19:09:09 IDT 2025, 217 W
Sun Oct 19 19:09:10 IDT 2025, 217 W
