timestamp, power.draw [W]
Fri Oct 31 13:41:29 IST 2025, 232 W
Fri Oct 31 13:41:29 IST 2025, 230 W
Fri Oct 31 13:41:29 IST 2025, 229 W
Fri Oct 31 13:41:29 IST 2025, 225 W
Fri Oct 31 13:41:29 IST 2025, 230 W
Fri Oct 31 13:41:29 IST 2025, 229 W
Fri Oct 31 13:41:29 IST 2025, 225 W
Fri Oct 31 13:41:29 IST 2025, 232 W
Fri Oct 31 13:41:30 IST 2025, 232 W
Fri Oct 31 13:41:30 IST 2025, 231 W
Fri Oct 31 13:41:30 IST 2025, 229 W
Fri Oct 31 13:41:30 IST 2025, 227 W
Fri Oct 31 13:41:30 IST 2025, 230 W
Fri Oct 31 13:41:30 IST 2025, 229 W
Fri Oct 31 13:41:30 IST 2025, 225 W
Fri Oct 31 13:41:30 IST 2025, 232 W
Fri Oct 31 13:41:31 IST 2025, 232 W
Fri Oct 31 13:41:31 IST 2025, 231 W
Fri Oct 31 13:41:31 IST 2025, 229 W
Fri Oct 31 13:41:31 IST 2025, 227 W
Fri Oct 31 13:41:31 IST 2025, 230 W
Fri Oct 31 13:41:31 IST 2025, 230 W
Fri Oct 31 13:41:31 IST 2025, 225 W
Fri Oct 31 13:41:31 IST 2025, 232 W
Fri Oct 31 13:41:32 IST 2025, 232 W
Fri Oct 31 13:41:32 IST 2025, 231 W
Fri Oct 31 13:41:32 IST 2025, 229 W
Fri Oct 31 13:41:32 IST 2025, 227 W
Fri Oct 31 13:41:32 IST 2025, 230 W
Fri Oct 31 13:41:32 IST 2025, 229 W
Fri Oct 31 13:41:32 IST 2025, 225 W
Fri Oct 31 13:41:32 IST 2025, 232 W
Fri Oct 31 13:41:33 IST 2025, 232 W
Fri Oct 31 13:41:33 IST 2025, 231 W
Fri Oct 31 13:41:33 IST 2025, 229 W
Fri Oct 31 13:41:33 IST 2025, 227 W
Fri Oct 31 13:41:33 IST 2025, 230 W
Fri Oct 31 13:41:33 IST 2025, 229 W
Fri Oct 31 13:41:33 IST 2025, 225 W
Fri Oct 31 13:41:33 IST 2025, 232 W
Fri Oct 31 13:41:34 IST 2025, 232 W
Fri Oct 31 13:41:34 IST 2025, 230 W
Fri Oct 31 13:41:34 IST 2025, 229 W
Fri Oct 31 13:41:34 IST 2025, 227 W
Fri Oct 31 13:41:34 IST 2025, 230 W
Fri Oct 31 13:41:34 IST 2025, 229 W
Fri Oct 31 13:41:34 IST 2025, 225 W
Fri Oct 31 13:41:34 IST 2025, 232 W
Fri Oct 31 13:41:35 IST 2025, 232 W
Fri Oct 31 13:41:35 IST 2025, 230 W
Fri Oct 31 13:41:35 IST 2025, 230 W
Fri Oct 31 13:41:35 IST 2025, 227 W
Fri Oct 31 13:41:35 IST 2025, 230 W
Fri Oct 31 13:41:35 IST 2025, 229 W
Fri Oct 31 13:41:35 IST 2025, 225 W
Fri Oct 31 13:41:35 IST 2025, 232 W
Fri Oct 31 13:41:36 IST 2025, 232 W
Fri Oct 31 13:41:36 IST 2025, 231 W
Fri Oct 31 13:41:36 IST 2025, 229 W
Fri Oct 31 13:41:36 IST 2025, 227 W
Fri Oct 31 13:41:36 IST 2025, 229 W
Fri Oct 31 13:41:36 IST 2025, 229 W
Fri Oct 31 13:41:36 IST 2025, 225 W
Fri Oct 31 13:41:36 IST 2025, 232 W
Fri Oct 31 13:41:37 IST 2025, 232 W
Fri Oct 31 13:41:37 IST 2025, 231 W
Fri Oct 31 13:41:37 IST 2025, 229 W
