timestamp, power.draw [W]
Fri Oct 31 10:33:55 IST 2025, 226 W
Fri Oct 31 10:33:55 IST 2025, 229 W
Fri Oct 31 10:33:55 IST 2025, 226 W
Fri Oct 31 10:33:55 IST 2025, 225 W
Fri Oct 31 10:33:56 IST 2025, 227 W
Fri Oct 31 10:33:56 IST 2025, 229 W
Fri Oct 31 10:33:56 IST 2025, 227 W
Fri Oct 31 10:33:56 IST 2025, 225 W
Fri Oct 31 10:33:57 IST 2025, 227 W
Fri Oct 31 10:33:57 IST 2025, 228 W
Fri Oct 31 10:33:57 IST 2025, 227 W
Fri Oct 31 10:33:57 IST 2025, 226 W
Fri Oct 31 10:33:58 IST 2025, 226 W
Fri Oct 31 10:33:58 IST 2025, 228 W
Fri Oct 31 10:33:58 IST 2025, 227 W
Fri Oct 31 10:33:58 IST 2025, 226 W
Fri Oct 31 10:33:59 IST 2025, 226 W
Fri Oct 31 10:33:59 IST 2025, 229 W
Fri Oct 31 10:33:59 IST 2025, 226 W
Fri Oct 31 10:33:59 IST 2025, 225 W
Fri Oct 31 10:34:00 IST 2025, 226 W
Fri Oct 31 10:34:00 IST 2025, 229 W
Fri Oct 31 10:34:00 IST 2025, 227 W
Fri Oct 31 10:34:00 IST 2025, 226 W
Fri Oct 31 10:34:01 IST 2025, 227 W
Fri Oct 31 10:34:01 IST 2025, 228 W
Fri Oct 31 10:34:01 IST 2025, 227 W
Fri Oct 31 10:34:01 IST 2025, 226 W
Fri Oct 31 10:34:02 IST 2025, 226 W
Fri Oct 31 10:34:02 IST 2025, 229 W
Fri Oct 31 10:34:02 IST 2025, 226 W
Fri Oct 31 10:34:02 IST 2025, 226 W
Fri Oct 31 10:34:03 IST 2025, 226 W
Fri Oct 31 10:34:03 IST 2025, 228 W
Fri Oct 31 10:34:03 IST 2025, 227 W
Fri Oct 31 10:34:03 IST 2025, 226 W
Fri Oct 31 10:34:04 IST 2025, 227 W
Fri Oct 31 10:34:04 IST 2025, 229 W
Fri Oct 31 10:34:04 IST 2025, 226 W
Fri Oct 31 10:34:04 IST 2025, 226 W
Fri Oct 31 10:34:05 IST 2025, 226 W
Fri Oct 31 10:34:05 IST 2025, 229 W
Fri Oct 31 10:34:05 IST 2025, 227 W
Fri Oct 31 10:34:05 IST 2025, 226 W
Fri Oct 31 10:34:06 IST 2025, 226 W
Fri Oct 31 10:34:06 IST 2025, 228 W
Fri Oct 31 10:34:06 IST 2025, 227 W
Fri Oct 31 10:34:06 IST 2025, 226 W
Fri Oct 31 10:34:07 IST 2025, 226 W
Fri Oct 31 10:34:07 IST 2025, 229 W
Fri Oct 31 10:34:07 IST 2025, 227 W
Fri Oct 31 10:34:07 IST 2025, 226 W
Fri Oct 31 10:34:08 IST 2025, 227 W
Fri Oct 31 10:34:08 IST 2025, 228 W
Fri Oct 31 10:34:08 IST 2025, 226 W
Fri Oct 31 10:34:08 IST 2025, 226 W
Fri Oct 31 10:34:09 IST 2025, 226 W
Fri Oct 31 10:34:09 IST 2025, 229 W
Fri Oct 31 10:34:09 IST 2025, 227 W
Fri Oct 31 10:34:09 IST 2025, 226 W
Fri Oct 31 10:34:10 IST 2025, 227 W
Fri Oct 31 10:34:10 IST 2025, 228 W
Fri Oct 31 10:34:10 IST 2025, 227 W
Fri Oct 31 10:34:10 IST 2025, 226 W
Fri Oct 31 10:34:11 IST 2025, 226 W
Fri Oct 31 10:34:11 IST 2025, 229 W
Fri Oct 31 10:34:11 IST 2025, 226 W
Fri Oct 31 10:34:11 IST 2025, 226 W
Fri Oct 31 10:34:12 IST 2025, 227 W
Fri Oct 31 10:34:12 IST 2025, 229 W
Fri Oct 31 10:34:12 IST 2025, 227 W
Fri Oct 31 10:34:12 IST 2025, 226 W
Fri Oct 31 10:34:13 IST 2025, 227 W
Fri Oct 31 10:34:13 IST 2025, 228 W
Fri Oct 31 10:34:13 IST 2025, 227 W
Fri Oct 31 10:34:13 IST 2025, 226 W
Fri Oct 31 10:34:14 IST 2025, 226 W
Fri Oct 31 10:34:14 IST 2025, 227 W
Fri Oct 31 10:34:14 IST 2025, 226 W
Fri Oct 31 10:34:14 IST 2025, 226 W
Fri Oct 31 10:34:15 IST 2025, 226 W
Fri Oct 31 10:34:15 IST 2025, 227 W
Fri Oct 31 10:34:15 IST 2025, 226 W
Fri Oct 31 10:34:15 IST 2025, 226 W
Fri Oct 31 10:34:16 IST 2025, 226 W
Fri Oct 31 10:34:16 IST 2025, 228 W
Fri Oct 31 10:34:16 IST 2025, 226 W
Fri Oct 31 10:34:16 IST 2025, 225 W
Fri Oct 31 10:34:17 IST 2025, 226 W
Fri Oct 31 10:34:17 IST 2025, 229 W
Fri Oct 31 10:34:17 IST 2025, 227 W
Fri Oct 31 10:34:17 IST 2025, 226 W
Fri Oct 31 10:34:18 IST 2025, 226 W
Fri Oct 31 10:34:18 IST 2025, 228 W
Fri Oct 31 10:34:18 IST 2025, 227 W
Fri Oct 31 10:34:18 IST 2025, 225 W
Fri Oct 31 10:34:19 IST 2025, 227 W
Fri Oct 31 10:34:19 IST 2025, 229 W
Fri Oct 31 10:34:19 IST 2025, 227 W
Fri Oct 31 10:34:19 IST 2025, 226 W
Fri Oct 31 10:34:20 IST 2025, 227 W
Fri Oct 31 10:34:20 IST 2025, 228 W
Fri Oct 31 10:34:20 IST 2025, 227 W
Fri Oct 31 10:34:20 IST 2025, 226 W
Fri Oct 31 10:34:21 IST 2025, 227 W
Fri Oct 31 10:34:21 IST 2025, 228 W
Fri Oct 31 10:34:21 IST 2025, 227 W
Fri Oct 31 10:34:21 IST 2025, 226 W
Fri Oct 31 10:34:22 IST 2025, 227 W
Fri Oct 31 10:34:22 IST 2025, 228 W
Fri Oct 31 10:34:22 IST 2025, 226 W
Fri Oct 31 10:34:22 IST 2025, 226 W
Fri Oct 31 10:34:23 IST 2025, 227 W
Fri Oct 31 10:34:23 IST 2025, 229 W
Fri Oct 31 10:34:23 IST 2025, 226 W
Fri Oct 31 10:34:23 IST 2025, 226 W
Fri Oct 31 10:34:24 IST 2025, 227 W
Fri Oct 31 10:34:24 IST 2025, 229 W
Fri Oct 31 10:34:24 IST 2025, 227 W
Fri Oct 31 10:34:24 IST 2025, 225 W
Fri Oct 31 10:34:25 IST 2025, 226 W
Fri Oct 31 10:34:25 IST 2025, 228 W
Fri Oct 31 10:34:25 IST 2025, 227 W
Fri Oct 31 10:34:25 IST 2025, 226 W
Fri Oct 31 10:34:26 IST 2025, 226 W
Fri Oct 31 10:34:26 IST 2025, 228 W
Fri Oct 31 10:34:26 IST 2025, 226 W
Fri Oct 31 10:34:26 IST 2025, 226 W
Fri Oct 31 10:34:27 IST 2025, 227 W
Fri Oct 31 10:34:27 IST 2025, 228 W
Fri Oct 31 10:34:27 IST 2025, 227 W
Fri Oct 31 10:34:27 IST 2025, 226 W
Fri Oct 31 10:34:28 IST 2025, 227 W
Fri Oct 31 10:34:28 IST 2025, 229 W
Fri Oct 31 10:34:28 IST 2025, 227 W
Fri Oct 31 10:34:28 IST 2025, 226 W
Fri Oct 31 10:34:29 IST 2025, 227 W
Fri Oct 31 10:34:29 IST 2025, 229 W
Fri Oct 31 10:34:29 IST 2025, 226 W
Fri Oct 31 10:34:29 IST 2025, 226 W
Fri Oct 31 10:34:30 IST 2025, 226 W
Fri Oct 31 10:34:30 IST 2025, 228 W
Fri Oct 31 10:34:30 IST 2025, 226 W
Fri Oct 31 10:34:30 IST 2025, 226 W
Fri Oct 31 10:34:31 IST 2025, 227 W
Fri Oct 31 10:34:31 IST 2025, 229 W
Fri Oct 31 10:34:31 IST 2025, 227 W
Fri Oct 31 10:34:31 IST 2025, 226 W
Fri Oct 31 10:34:32 IST 2025, 227 W
Fri Oct 31 10:34:32 IST 2025, 229 W
Fri Oct 31 10:34:32 IST 2025, 227 W
Fri Oct 31 10:34:32 IST 2025, 226 W
Fri Oct 31 10:34:33 IST 2025, 226 W
Fri Oct 31 10:34:33 IST 2025, 228 W
Fri Oct 31 10:34:33 IST 2025, 227 W
Fri Oct 31 10:34:33 IST 2025, 226 W
Fri Oct 31 10:34:34 IST 2025, 227 W
Fri Oct 31 10:34:34 IST 2025, 229 W
Fri Oct 31 10:34:34 IST 2025, 226 W
Fri Oct 31 10:34:34 IST 2025, 226 W
Fri Oct 31 10:34:35 IST 2025, 226 W
Fri Oct 31 10:34:35 IST 2025, 229 W
Fri Oct 31 10:34:35 IST 2025, 227 W
Fri Oct 31 10:34:35 IST 2025, 225 W
Fri Oct 31 10:34:36 IST 2025, 226 W
Fri Oct 31 10:34:36 IST 2025, 227 W
Fri Oct 31 10:34:36 IST 2025, 227 W
Fri Oct 31 10:34:36 IST 2025, 225 W
Fri Oct 31 10:34:37 IST 2025, 227 W
Fri Oct 31 10:34:37 IST 2025, 228 W
Fri Oct 31 10:34:37 IST 2025, 227 W
Fri Oct 31 10:34:37 IST 2025, 226 W
Fri Oct 31 10:34:38 IST 2025, 227 W
Fri Oct 31 10:34:38 IST 2025, 228 W
