timestamp, power.draw [W]
Fri Oct 31 09:31:40 IST 2025, 226 W
Fri Oct 31 09:31:40 IST 2025, 229 W
Fri Oct 31 09:31:40 IST 2025, 229 W
Fri Oct 31 09:31:40 IST 2025, 225 W
Fri Oct 31 09:31:41 IST 2025, 225 W
Fri Oct 31 09:31:41 IST 2025, 228 W
Fri Oct 31 09:31:41 IST 2025, 229 W
Fri Oct 31 09:31:41 IST 2025, 225 W
Fri Oct 31 09:31:42 IST 2025, 226 W
Fri Oct 31 09:31:42 IST 2025, 229 W
Fri Oct 31 09:31:42 IST 2025, 229 W
Fri Oct 31 09:31:42 IST 2025, 224 W
Fri Oct 31 09:31:43 IST 2025, 226 W
Fri Oct 31 09:31:43 IST 2025, 229 W
Fri Oct 31 09:31:43 IST 2025, 230 W
Fri Oct 31 09:31:43 IST 2025, 225 W
Fri Oct 31 09:31:44 IST 2025, 226 W
Fri Oct 31 09:31:44 IST 2025, 229 W
Fri Oct 31 09:31:44 IST 2025, 230 W
Fri Oct 31 09:31:44 IST 2025, 224 W
Fri Oct 31 09:31:45 IST 2025, 226 W
Fri Oct 31 09:31:45 IST 2025, 229 W
Fri Oct 31 09:31:45 IST 2025, 229 W
Fri Oct 31 09:31:45 IST 2025, 225 W
Fri Oct 31 09:31:46 IST 2025, 225 W
Fri Oct 31 09:31:46 IST 2025, 228 W
Fri Oct 31 09:31:46 IST 2025, 228 W
Fri Oct 31 09:31:46 IST 2025, 224 W
Fri Oct 31 09:31:47 IST 2025, 226 W
Fri Oct 31 09:31:47 IST 2025, 228 W
Fri Oct 31 09:31:47 IST 2025, 230 W
Fri Oct 31 09:31:47 IST 2025, 224 W
Fri Oct 31 09:31:48 IST 2025, 226 W
Fri Oct 31 09:31:48 IST 2025, 228 W
Fri Oct 31 09:31:48 IST 2025, 229 W
Fri Oct 31 09:31:48 IST 2025, 224 W
Fri Oct 31 09:31:49 IST 2025, 226 W
Fri Oct 31 09:31:49 IST 2025, 228 W
Fri Oct 31 09:31:49 IST 2025, 229 W
Fri Oct 31 09:31:49 IST 2025, 224 W
Fri Oct 31 09:31:50 IST 2025, 226 W
Fri Oct 31 09:31:50 IST 2025, 228 W
Fri Oct 31 09:31:50 IST 2025, 230 W
Fri Oct 31 09:31:50 IST 2025, 225 W
Fri Oct 31 09:31:51 IST 2025, 225 W
Fri Oct 31 09:31:51 IST 2025, 229 W
Fri Oct 31 09:31:51 IST 2025, 229 W
Fri Oct 31 09:31:51 IST 2025, 225 W
