timestamp, power.draw [W]
Sat Aug  9 14:05:19 IDT 2025, 229 W
Sat Aug  9 14:05:19 IDT 2025, 231 W
Sat Aug  9 14:05:20 IDT 2025, 228 W
Sat Aug  9 14:05:20 IDT 2025, 231 W
Sat Aug  9 14:05:21 IDT 2025, 228 W
Sat Aug  9 14:05:21 IDT 2025, 231 W
Sat Aug  9 14:05:22 IDT 2025, 227 W
Sat Aug  9 14:05:22 IDT 2025, 341 W
Sat Aug  9 14:05:23 IDT 2025, 227 W
Sat Aug  9 14:05:23 IDT 2025, 342 W
Sat Aug  9 14:05:24 IDT 2025, 429 W
Sat Aug  9 14:05:24 IDT 2025, 433 W
Sat Aug  9 14:05:25 IDT 2025, 435 W
Sat Aug  9 14:05:25 IDT 2025, 458 W
Sat Aug  9 14:05:26 IDT 2025, 458 W
Sat Aug  9 14:05:26 IDT 2025, 466 W
Sat Aug  9 14:05:27 IDT 2025, 431 W
Sat Aug  9 14:05:27 IDT 2025, 439 W
Sat Aug  9 14:05:28 IDT 2025, 470 W
Sat Aug  9 14:05:28 IDT 2025, 478 W
Sat Aug  9 14:05:29 IDT 2025, 463 W
Sat Aug  9 14:05:29 IDT 2025, 480 W
Sat Aug  9 14:05:30 IDT 2025, 457 W
Sat Aug  9 14:05:30 IDT 2025, 474 W
Sat Aug  9 14:05:31 IDT 2025, 462 W
Sat Aug  9 14:05:31 IDT 2025, 464 W
Sat Aug  9 14:05:32 IDT 2025, 381 W
Sat Aug  9 14:05:32 IDT 2025, 412 W
Sat Aug  9 14:05:33 IDT 2025, 440 W
Sat Aug  9 14:05:33 IDT 2025, 451 W
Sat Aug  9 14:05:34 IDT 2025, 447 W
Sat Aug  9 14:05:34 IDT 2025, 452 W
Sat Aug  9 14:05:35 IDT 2025, 459 W
Sat Aug  9 14:05:35 IDT 2025, 477 W
Sat Aug  9 14:05:36 IDT 2025, 455 W
Sat Aug  9 14:05:36 IDT 2025, 470 W
Sat Aug  9 14:05:37 IDT 2025, 477 W
Sat Aug  9 14:05:37 IDT 2025, 472 W
Sat Aug  9 14:05:38 IDT 2025, 457 W
Sat Aug  9 14:05:38 IDT 2025, 481 W
Sat Aug  9 14:05:39 IDT 2025, 460 W
Sat Aug  9 14:05:39 IDT 2025, 470 W
Sat Aug  9 14:05:40 IDT 2025, 449 W
