timestamp, power.draw [W]
Thu Aug 28 20:42:41 IDT 2025, 112 W
Thu Aug 28 20:42:41 IDT 2025, 98 W
Thu Aug 28 20:42:41 IDT 2025, 99 W
Thu Aug 28 20:42:41 IDT 2025, 95 W
Thu Aug 28 20:42:41 IDT 2025, 120 W
Thu Aug 28 20:42:41 IDT 2025, 104 W
Thu Aug 28 20:42:41 IDT 2025, 110 W
Thu Aug 28 20:42:41 IDT 2025, 88 W
Thu Aug 28 20:42:42 IDT 2025, 108 W
Thu Aug 28 20:42:42 IDT 2025, 103 W
Thu Aug 28 20:42:42 IDT 2025, 98 W
Thu Aug 28 20:42:42 IDT 2025, 88 W
Thu Aug 28 20:42:42 IDT 2025, 122 W
Thu Aug 28 20:42:42 IDT 2025, 106 W
Thu Aug 28 20:42:42 IDT 2025, 110 W
Thu Aug 28 20:42:42 IDT 2025, 93 W
Thu Aug 28 20:42:43 IDT 2025, 110 W
Thu Aug 28 20:42:43 IDT 2025, 103 W
Thu Aug 28 20:42:43 IDT 2025, 94 W
Thu Aug 28 20:42:43 IDT 2025, 91 W
Thu Aug 28 20:42:43 IDT 2025, 117 W
Thu Aug 28 20:42:43 IDT 2025, 102 W
Thu Aug 28 20:42:43 IDT 2025, 97 W
Thu Aug 28 20:42:43 IDT 2025, 88 W
Thu Aug 28 20:42:44 IDT 2025, 106 W
Thu Aug 28 20:42:44 IDT 2025, 107 W
Thu Aug 28 20:42:44 IDT 2025, 94 W
Thu Aug 28 20:42:44 IDT 2025, 96 W
Thu Aug 28 20:42:44 IDT 2025, 112 W
Thu Aug 28 20:42:44 IDT 2025, 101 W
Thu Aug 28 20:42:44 IDT 2025, 108 W
Thu Aug 28 20:42:44 IDT 2025, 87 W
Thu Aug 28 20:42:45 IDT 2025, 107 W
Thu Aug 28 20:42:45 IDT 2025, 103 W
Thu Aug 28 20:42:45 IDT 2025, 94 W
Thu Aug 28 20:42:45 IDT 2025, 91 W
Thu Aug 28 20:42:45 IDT 2025, 117 W
Thu Aug 28 20:42:45 IDT 2025, 102 W
Thu Aug 28 20:42:45 IDT 2025, 103 W
Thu Aug 28 20:42:45 IDT 2025, 90 W
Thu Aug 28 20:42:46 IDT 2025, 107 W
Thu Aug 28 20:42:46 IDT 2025, 106 W
Thu Aug 28 20:42:46 IDT 2025, 92 W
Thu Aug 28 20:42:46 IDT 2025, 96 W
Thu Aug 28 20:42:46 IDT 2025, 115 W
Thu Aug 28 20:42:46 IDT 2025, 97 W
Thu Aug 28 20:42:46 IDT 2025, 101 W
Thu Aug 28 20:42:46 IDT 2025, 91 W
Thu Aug 28 20:42:47 IDT 2025, 108 W
Thu Aug 28 20:42:47 IDT 2025, 112 W
Thu Aug 28 20:42:47 IDT 2025, 93 W
Thu Aug 28 20:42:47 IDT 2025, 97 W
Thu Aug 28 20:42:47 IDT 2025, 118 W
Thu Aug 28 20:42:47 IDT 2025, 100 W
Thu Aug 28 20:42:47 IDT 2025, 100 W
Thu Aug 28 20:42:47 IDT 2025, 93 W
Thu Aug 28 20:42:48 IDT 2025, 109 W
Thu Aug 28 20:42:48 IDT 2025, 107 W
Thu Aug 28 20:42:48 IDT 2025, 90 W
Thu Aug 28 20:42:48 IDT 2025, 92 W
Thu Aug 28 20:42:48 IDT 2025, 124 W
Thu Aug 28 20:42:48 IDT 2025, 102 W
Thu Aug 28 20:42:48 IDT 2025, 106 W
Thu Aug 28 20:42:48 IDT 2025, 94 W
Thu Aug 28 20:42:49 IDT 2025, 115 W
Thu Aug 28 20:42:49 IDT 2025, 104 W
Thu Aug 28 20:42:49 IDT 2025, 93 W
Thu Aug 28 20:42:49 IDT 2025, 93 W
Thu Aug 28 20:42:49 IDT 2025, 113 W
Thu Aug 28 20:42:49 IDT 2025, 98 W
Thu Aug 28 20:42:49 IDT 2025, 99 W
Thu Aug 28 20:42:49 IDT 2025, 86 W
Thu Aug 28 20:42:50 IDT 2025, 105 W
Thu Aug 28 20:42:50 IDT 2025, 99 W
Thu Aug 28 20:42:50 IDT 2025, 101 W
Thu Aug 28 20:42:50 IDT 2025, 93 W
Thu Aug 28 20:42:50 IDT 2025, 113 W
Thu Aug 28 20:42:50 IDT 2025, 95 W
Thu Aug 28 20:42:50 IDT 2025, 98 W
Thu Aug 28 20:42:50 IDT 2025, 96 W
Thu Aug 28 20:42:51 IDT 2025, 106 W
Thu Aug 28 20:42:51 IDT 2025, 106 W
Thu Aug 28 20:42:51 IDT 2025, 95 W
Thu Aug 28 20:42:51 IDT 2025, 95 W
Thu Aug 28 20:42:51 IDT 2025, 113 W
Thu Aug 28 20:42:51 IDT 2025, 96 W
Thu Aug 28 20:42:51 IDT 2025, 104 W
Thu Aug 28 20:42:51 IDT 2025, 90 W
Thu Aug 28 20:42:52 IDT 2025, 107 W
Thu Aug 28 20:42:52 IDT 2025, 107 W
Thu Aug 28 20:42:52 IDT 2025, 94 W
Thu Aug 28 20:42:52 IDT 2025, 98 W
Thu Aug 28 20:42:52 IDT 2025, 114 W
Thu Aug 28 20:42:52 IDT 2025, 94 W
Thu Aug 28 20:42:52 IDT 2025, 105 W
Thu Aug 28 20:42:52 IDT 2025, 87 W
Thu Aug 28 20:42:53 IDT 2025, 117 W
Thu Aug 28 20:42:53 IDT 2025, 106 W
Thu Aug 28 20:42:53 IDT 2025, 97 W
Thu Aug 28 20:42:53 IDT 2025, 95 W
Thu Aug 28 20:42:53 IDT 2025, 114 W
Thu Aug 28 20:42:53 IDT 2025, 101 W
Thu Aug 28 20:42:53 IDT 2025, 105 W
Thu Aug 28 20:42:53 IDT 2025, 88 W
Thu Aug 28 20:42:54 IDT 2025, 109 W
Thu Aug 28 20:42:54 IDT 2025, 97 W
Thu Aug 28 20:42:54 IDT 2025, 96 W
Thu Aug 28 20:42:54 IDT 2025, 92 W
Thu Aug 28 20:42:54 IDT 2025, 116 W
Thu Aug 28 20:42:54 IDT 2025, 95 W
Thu Aug 28 20:42:54 IDT 2025, 96 W
Thu Aug 28 20:42:54 IDT 2025, 90 W
Thu Aug 28 20:42:55 IDT 2025, 102 W
Thu Aug 28 20:42:55 IDT 2025, 106 W
Thu Aug 28 20:42:55 IDT 2025, 93 W
Thu Aug 28 20:42:55 IDT 2025, 88 W
Thu Aug 28 20:42:55 IDT 2025, 115 W
Thu Aug 28 20:42:55 IDT 2025, 95 W
Thu Aug 28 20:42:55 IDT 2025, 102 W
Thu Aug 28 20:42:55 IDT 2025, 89 W
Thu Aug 28 20:42:56 IDT 2025, 110 W
Thu Aug 28 20:42:56 IDT 2025, 107 W
Thu Aug 28 20:42:56 IDT 2025, 98 W
Thu Aug 28 20:42:56 IDT 2025, 91 W
Thu Aug 28 20:42:56 IDT 2025, 119 W
Thu Aug 28 20:42:56 IDT 2025, 93 W
Thu Aug 28 20:42:56 IDT 2025, 103 W
Thu Aug 28 20:42:56 IDT 2025, 96 W
Thu Aug 28 20:42:57 IDT 2025, 112 W
Thu Aug 28 20:42:57 IDT 2025, 103 W
Thu Aug 28 20:42:57 IDT 2025, 94 W
Thu Aug 28 20:42:57 IDT 2025, 89 W
Thu Aug 28 20:42:57 IDT 2025, 118 W
Thu Aug 28 20:42:57 IDT 2025, 94 W
Thu Aug 28 20:42:57 IDT 2025, 103 W
Thu Aug 28 20:42:57 IDT 2025, 93 W
Thu Aug 28 20:42:58 IDT 2025, 102 W
Thu Aug 28 20:42:58 IDT 2025, 98 W
Thu Aug 28 20:42:58 IDT 2025, 104 W
Thu Aug 28 20:42:58 IDT 2025, 89 W
Thu Aug 28 20:42:58 IDT 2025, 116 W
Thu Aug 28 20:42:58 IDT 2025, 102 W
Thu Aug 28 20:42:58 IDT 2025, 99 W
Thu Aug 28 20:42:58 IDT 2025, 88 W
Thu Aug 28 20:42:59 IDT 2025, 110 W
Thu Aug 28 20:42:59 IDT 2025, 100 W
Thu Aug 28 20:42:59 IDT 2025, 93 W
Thu Aug 28 20:42:59 IDT 2025, 93 W
Thu Aug 28 20:42:59 IDT 2025, 121 W
Thu Aug 28 20:42:59 IDT 2025, 99 W
Thu Aug 28 20:42:59 IDT 2025, 109 W
Thu Aug 28 20:42:59 IDT 2025, 89 W
Thu Aug 28 20:43:00 IDT 2025, 109 W
Thu Aug 28 20:43:00 IDT 2025, 100 W
Thu Aug 28 20:43:00 IDT 2025, 95 W
Thu Aug 28 20:43:00 IDT 2025, 90 W
Thu Aug 28 20:43:00 IDT 2025, 118 W
Thu Aug 28 20:43:00 IDT 2025, 96 W
Thu Aug 28 20:43:00 IDT 2025, 104 W
Thu Aug 28 20:43:00 IDT 2025, 90 W
Thu Aug 28 20:43:01 IDT 2025, 105 W
