timestamp, power.draw [W]
Wed Aug 27 20:01:32 IDT 2025, 89 W
Wed Aug 27 20:01:32 IDT 2025, 88 W
Wed Aug 27 20:01:33 IDT 2025, 93 W
Wed Aug 27 20:01:33 IDT 2025, 92 W
Wed Aug 27 20:01:34 IDT 2025, 91 W
Wed Aug 27 20:01:34 IDT 2025, 88 W
Wed Aug 27 20:01:35 IDT 2025, 94 W
Wed Aug 27 20:01:35 IDT 2025, 97 W
Wed Aug 27 20:01:36 IDT 2025, 91 W
Wed Aug 27 20:01:36 IDT 2025, 88 W
Wed Aug 27 20:01:37 IDT 2025, 93 W
Wed Aug 27 20:01:37 IDT 2025, 93 W
Wed Aug 27 20:01:38 IDT 2025, 85 W
Wed Aug 27 20:01:38 IDT 2025, 96 W
Wed Aug 27 20:01:39 IDT 2025, 94 W
Wed Aug 27 20:01:39 IDT 2025, 88 W
Wed Aug 27 20:01:40 IDT 2025, 91 W
Wed Aug 27 20:01:40 IDT 2025, 88 W
Wed Aug 27 20:01:41 IDT 2025, 85 W
Wed Aug 27 20:01:41 IDT 2025, 89 W
Wed Aug 27 20:01:42 IDT 2025, 95 W
Wed Aug 27 20:01:42 IDT 2025, 88 W
Wed Aug 27 20:01:43 IDT 2025, 90 W
Wed Aug 27 20:01:43 IDT 2025, 91 W
Wed Aug 27 20:01:44 IDT 2025, 88 W
Wed Aug 27 20:01:44 IDT 2025, 98 W
Wed Aug 27 20:01:45 IDT 2025, 88 W
Wed Aug 27 20:01:45 IDT 2025, 89 W
Wed Aug 27 20:01:46 IDT 2025, 95 W
Wed Aug 27 20:01:46 IDT 2025, 88 W
Wed Aug 27 20:01:47 IDT 2025, 93 W
Wed Aug 27 20:01:47 IDT 2025, 88 W
Wed Aug 27 20:01:48 IDT 2025, 91 W
Wed Aug 27 20:01:48 IDT 2025, 89 W
Wed Aug 27 20:01:49 IDT 2025, 93 W
Wed Aug 27 20:01:49 IDT 2025, 88 W
Wed Aug 27 20:01:50 IDT 2025, 93 W
Wed Aug 27 20:01:50 IDT 2025, 102 W
Wed Aug 27 20:01:51 IDT 2025, 93 W
Wed Aug 27 20:01:51 IDT 2025, 95 W
Wed Aug 27 20:01:52 IDT 2025, 93 W
Wed Aug 27 20:01:52 IDT 2025, 91 W
Wed Aug 27 20:01:53 IDT 2025, 92 W
Wed Aug 27 20:01:53 IDT 2025, 90 W
Wed Aug 27 20:01:54 IDT 2025, 95 W
Wed Aug 27 20:01:54 IDT 2025, 93 W
Wed Aug 27 20:01:55 IDT 2025, 96 W
Wed Aug 27 20:01:55 IDT 2025, 112 W
Wed Aug 27 20:01:56 IDT 2025, 109 W
Wed Aug 27 20:01:56 IDT 2025, 99 W
