timestamp, power.draw [W]
Fri Sep 12 22:06:25 IDT 2025, 226 W
Fri Sep 12 22:06:25 IDT 2025, 224 W
Fri Sep 12 22:06:25 IDT 2025, 227 W
Fri Sep 12 22:06:25 IDT 2025, 225 W
Fri Sep 12 22:06:26 IDT 2025, 226 W
Fri Sep 12 22:06:26 IDT 2025, 225 W
Fri Sep 12 22:06:26 IDT 2025, 227 W
Fri Sep 12 22:06:26 IDT 2025, 225 W
Fri Sep 12 22:06:27 IDT 2025, 226 W
Fri Sep 12 22:06:27 IDT 2025, 224 W
Fri Sep 12 22:06:27 IDT 2025, 227 W
Fri Sep 12 22:06:27 IDT 2025, 225 W
Fri Sep 12 22:06:28 IDT 2025, 226 W
Fri Sep 12 22:06:28 IDT 2025, 224 W
Fri Sep 12 22:06:28 IDT 2025, 227 W
Fri Sep 12 22:06:28 IDT 2025, 227 W
Fri Sep 12 22:06:29 IDT 2025, 226 W
Fri Sep 12 22:06:29 IDT 2025, 224 W
Fri Sep 12 22:06:29 IDT 2025, 228 W
Fri Sep 12 22:06:29 IDT 2025, 225 W
Fri Sep 12 22:06:30 IDT 2025, 226 W
Fri Sep 12 22:06:30 IDT 2025, 224 W
Fri Sep 12 22:06:30 IDT 2025, 227 W
Fri Sep 12 22:06:30 IDT 2025, 226 W
Fri Sep 12 22:06:31 IDT 2025, 226 W
Fri Sep 12 22:06:31 IDT 2025, 224 W
Fri Sep 12 22:06:31 IDT 2025, 227 W
Fri Sep 12 22:06:31 IDT 2025, 225 W
Fri Sep 12 22:06:32 IDT 2025, 226 W
Fri Sep 12 22:06:32 IDT 2025, 224 W
Fri Sep 12 22:06:32 IDT 2025, 228 W
Fri Sep 12 22:06:32 IDT 2025, 226 W
Fri Sep 12 22:06:33 IDT 2025, 226 W
Fri Sep 12 22:06:33 IDT 2025, 224 W
Fri Sep 12 22:06:33 IDT 2025, 227 W
Fri Sep 12 22:06:33 IDT 2025, 226 W
Fri Sep 12 22:06:34 IDT 2025, 226 W
Fri Sep 12 22:06:34 IDT 2025, 224 W
Fri Sep 12 22:06:34 IDT 2025, 227 W
Fri Sep 12 22:06:34 IDT 2025, 225 W
Fri Sep 12 22:06:35 IDT 2025, 226 W
Fri Sep 12 22:06:35 IDT 2025, 223 W
Fri Sep 12 22:06:35 IDT 2025, 227 W
Fri Sep 12 22:06:35 IDT 2025, 225 W
Fri Sep 12 22:06:36 IDT 2025, 226 W
Fri Sep 12 22:06:36 IDT 2025, 224 W
