timestamp, power.draw [W]
Mon Aug 25 19:47:06 IDT 2025, 88 W
Mon Aug 25 19:47:06 IDT 2025, 97 W
Mon Aug 25 19:47:06 IDT 2025, 91 W
Mon Aug 25 19:47:06 IDT 2025, 87 W
Mon Aug 25 19:47:07 IDT 2025, 94 W
Mon Aug 25 19:47:07 IDT 2025, 99 W
Mon Aug 25 19:47:07 IDT 2025, 93 W
Mon Aug 25 19:47:07 IDT 2025, 90 W
Mon Aug 25 19:47:08 IDT 2025, 93 W
Mon Aug 25 19:47:08 IDT 2025, 98 W
Mon Aug 25 19:47:08 IDT 2025, 92 W
Mon Aug 25 19:47:08 IDT 2025, 91 W
Mon Aug 25 19:47:09 IDT 2025, 90 W
Mon Aug 25 19:47:09 IDT 2025, 96 W
Mon Aug 25 19:47:09 IDT 2025, 92 W
Mon Aug 25 19:47:09 IDT 2025, 88 W
Mon Aug 25 19:47:10 IDT 2025, 89 W
Mon Aug 25 19:47:10 IDT 2025, 98 W
Mon Aug 25 19:47:10 IDT 2025, 89 W
Mon Aug 25 19:47:10 IDT 2025, 88 W
Mon Aug 25 19:47:11 IDT 2025, 92 W
Mon Aug 25 19:47:11 IDT 2025, 99 W
Mon Aug 25 19:47:11 IDT 2025, 89 W
Mon Aug 25 19:47:11 IDT 2025, 88 W
Mon Aug 25 19:47:12 IDT 2025, 92 W
Mon Aug 25 19:47:12 IDT 2025, 97 W
Mon Aug 25 19:47:12 IDT 2025, 90 W
Mon Aug 25 19:47:12 IDT 2025, 88 W
Mon Aug 25 19:47:13 IDT 2025, 92 W
Mon Aug 25 19:47:13 IDT 2025, 96 W
Mon Aug 25 19:47:13 IDT 2025, 89 W
Mon Aug 25 19:47:13 IDT 2025, 90 W
Mon Aug 25 19:47:14 IDT 2025, 93 W
Mon Aug 25 19:47:14 IDT 2025, 98 W
Mon Aug 25 19:47:14 IDT 2025, 89 W
Mon Aug 25 19:47:14 IDT 2025, 88 W
Mon Aug 25 19:47:15 IDT 2025, 89 W
Mon Aug 25 19:47:15 IDT 2025, 101 W
Mon Aug 25 19:47:15 IDT 2025, 91 W
Mon Aug 25 19:47:15 IDT 2025, 86 W
Mon Aug 25 19:47:16 IDT 2025, 91 W
Mon Aug 25 19:47:16 IDT 2025, 99 W
Mon Aug 25 19:47:16 IDT 2025, 91 W
Mon Aug 25 19:47:16 IDT 2025, 86 W
Mon Aug 25 19:47:17 IDT 2025, 89 W
Mon Aug 25 19:47:17 IDT 2025, 95 W
Mon Aug 25 19:47:17 IDT 2025, 87 W
Mon Aug 25 19:47:17 IDT 2025, 90 W
Mon Aug 25 19:47:18 IDT 2025, 91 W
Mon Aug 25 19:47:18 IDT 2025, 98 W
Mon Aug 25 19:47:18 IDT 2025, 92 W
Mon Aug 25 19:47:18 IDT 2025, 88 W
Mon Aug 25 19:47:19 IDT 2025, 96 W
Mon Aug 25 19:47:19 IDT 2025, 102 W
Mon Aug 25 19:47:19 IDT 2025, 96 W
Mon Aug 25 19:47:19 IDT 2025, 93 W
Mon Aug 25 19:47:20 IDT 2025, 89 W
Mon Aug 25 19:47:20 IDT 2025, 100 W
Mon Aug 25 19:47:20 IDT 2025, 95 W
Mon Aug 25 19:47:20 IDT 2025, 94 W
Mon Aug 25 19:47:21 IDT 2025, 88 W
Mon Aug 25 19:47:21 IDT 2025, 98 W
Mon Aug 25 19:47:21 IDT 2025, 94 W
Mon Aug 25 19:47:21 IDT 2025, 88 W
Mon Aug 25 19:47:22 IDT 2025, 92 W
Mon Aug 25 19:47:22 IDT 2025, 99 W
Mon Aug 25 19:47:22 IDT 2025, 91 W
Mon Aug 25 19:47:22 IDT 2025, 88 W
Mon Aug 25 19:47:23 IDT 2025, 91 W
Mon Aug 25 19:47:23 IDT 2025, 96 W
Mon Aug 25 19:47:23 IDT 2025, 89 W
Mon Aug 25 19:47:23 IDT 2025, 91 W
Mon Aug 25 19:47:24 IDT 2025, 96 W
Mon Aug 25 19:47:24 IDT 2025, 99 W
Mon Aug 25 19:47:24 IDT 2025, 91 W
Mon Aug 25 19:47:24 IDT 2025, 91 W
Mon Aug 25 19:47:25 IDT 2025, 91 W
Mon Aug 25 19:47:25 IDT 2025, 100 W
Mon Aug 25 19:47:25 IDT 2025, 92 W
Mon Aug 25 19:47:25 IDT 2025, 90 W
Mon Aug 25 19:47:26 IDT 2025, 94 W
Mon Aug 25 19:47:26 IDT 2025, 98 W
Mon Aug 25 19:47:26 IDT 2025, 91 W
Mon Aug 25 19:47:26 IDT 2025, 91 W
Mon Aug 25 19:47:27 IDT 2025, 93 W
Mon Aug 25 19:47:27 IDT 2025, 98 W
Mon Aug 25 19:47:27 IDT 2025, 92 W
Mon Aug 25 19:47:27 IDT 2025, 89 W
Mon Aug 25 19:47:28 IDT 2025, 93 W
Mon Aug 25 19:47:28 IDT 2025, 98 W
Mon Aug 25 19:47:28 IDT 2025, 90 W
Mon Aug 25 19:47:28 IDT 2025, 90 W
Mon Aug 25 19:47:29 IDT 2025, 94 W
Mon Aug 25 19:47:29 IDT 2025, 98 W
Mon Aug 25 19:47:29 IDT 2025, 89 W
Mon Aug 25 19:47:29 IDT 2025, 88 W
Mon Aug 25 19:47:30 IDT 2025, 94 W
Mon Aug 25 19:47:30 IDT 2025, 101 W
Mon Aug 25 19:47:30 IDT 2025, 95 W
Mon Aug 25 19:47:30 IDT 2025, 90 W
Mon Aug 25 19:47:31 IDT 2025, 94 W
Mon Aug 25 19:47:31 IDT 2025, 103 W
Mon Aug 25 19:47:31 IDT 2025, 89 W
Mon Aug 25 19:47:31 IDT 2025, 94 W
Mon Aug 25 19:47:32 IDT 2025, 93 W
Mon Aug 25 19:47:32 IDT 2025, 96 W
Mon Aug 25 19:47:32 IDT 2025, 91 W
Mon Aug 25 19:47:32 IDT 2025, 91 W
Mon Aug 25 19:47:33 IDT 2025, 93 W
Mon Aug 25 19:47:33 IDT 2025, 98 W
Mon Aug 25 19:47:33 IDT 2025, 92 W
Mon Aug 25 19:47:33 IDT 2025, 94 W
Mon Aug 25 19:47:34 IDT 2025, 93 W
Mon Aug 25 19:47:34 IDT 2025, 100 W
Mon Aug 25 19:47:34 IDT 2025, 91 W
Mon Aug 25 19:47:34 IDT 2025, 88 W
Mon Aug 25 19:47:35 IDT 2025, 93 W
Mon Aug 25 19:47:35 IDT 2025, 98 W
Mon Aug 25 19:47:35 IDT 2025, 93 W
Mon Aug 25 19:47:35 IDT 2025, 91 W
Mon Aug 25 19:47:36 IDT 2025, 88 W
Mon Aug 25 19:47:36 IDT 2025, 100 W
Mon Aug 25 19:47:36 IDT 2025, 93 W
Mon Aug 25 19:47:36 IDT 2025, 91 W
Mon Aug 25 19:47:37 IDT 2025, 93 W
Mon Aug 25 19:47:37 IDT 2025, 99 W
Mon Aug 25 19:47:37 IDT 2025, 90 W
Mon Aug 25 19:47:37 IDT 2025, 93 W
Mon Aug 25 19:47:38 IDT 2025, 95 W
Mon Aug 25 19:47:38 IDT 2025, 101 W
Mon Aug 25 19:47:38 IDT 2025, 92 W
Mon Aug 25 19:47:38 IDT 2025, 95 W
Mon Aug 25 19:47:39 IDT 2025, 95 W
Mon Aug 25 19:47:39 IDT 2025, 100 W
Mon Aug 25 19:47:39 IDT 2025, 91 W
Mon Aug 25 19:47:39 IDT 2025, 92 W
Mon Aug 25 19:47:40 IDT 2025, 90 W
Mon Aug 25 19:47:40 IDT 2025, 98 W
Mon Aug 25 19:47:40 IDT 2025, 94 W
Mon Aug 25 19:47:40 IDT 2025, 91 W
Mon Aug 25 19:47:41 IDT 2025, 96 W
Mon Aug 25 19:47:41 IDT 2025, 99 W
Mon Aug 25 19:47:41 IDT 2025, 92 W
Mon Aug 25 19:47:41 IDT 2025, 92 W
Mon Aug 25 19:47:42 IDT 2025, 97 W
Mon Aug 25 19:47:42 IDT 2025, 97 W
Mon Aug 25 19:47:42 IDT 2025, 94 W
Mon Aug 25 19:47:42 IDT 2025, 90 W
Mon Aug 25 19:47:43 IDT 2025, 95 W
Mon Aug 25 19:47:43 IDT 2025, 100 W
Mon Aug 25 19:47:43 IDT 2025, 90 W
Mon Aug 25 19:47:43 IDT 2025, 91 W
Mon Aug 25 19:47:44 IDT 2025, 90 W
Mon Aug 25 19:47:44 IDT 2025, 99 W
Mon Aug 25 19:47:44 IDT 2025, 93 W
Mon Aug 25 19:47:44 IDT 2025, 93 W
Mon Aug 25 19:47:45 IDT 2025, 90 W
Mon Aug 25 19:47:45 IDT 2025, 98 W
Mon Aug 25 19:47:45 IDT 2025, 92 W
Mon Aug 25 19:47:45 IDT 2025, 89 W
Mon Aug 25 19:47:46 IDT 2025, 92 W
Mon Aug 25 19:47:46 IDT 2025, 100 W
Mon Aug 25 19:47:46 IDT 2025, 95 W
Mon Aug 25 19:47:46 IDT 2025, 88 W
Mon Aug 25 19:47:47 IDT 2025, 90 W
Mon Aug 25 19:47:47 IDT 2025, 99 W
Mon Aug 25 19:47:47 IDT 2025, 93 W
Mon Aug 25 19:47:47 IDT 2025, 89 W
Mon Aug 25 19:47:48 IDT 2025, 94 W
Mon Aug 25 19:47:48 IDT 2025, 100 W
Mon Aug 25 19:47:48 IDT 2025, 94 W
Mon Aug 25 19:47:48 IDT 2025, 91 W
Mon Aug 25 19:47:49 IDT 2025, 92 W
Mon Aug 25 19:47:49 IDT 2025, 97 W
Mon Aug 25 19:47:49 IDT 2025, 92 W
Mon Aug 25 19:47:49 IDT 2025, 90 W
Mon Aug 25 19:47:50 IDT 2025, 90 W
Mon Aug 25 19:47:50 IDT 2025, 98 W
Mon Aug 25 19:47:50 IDT 2025, 92 W
Mon Aug 25 19:47:50 IDT 2025, 94 W
Mon Aug 25 19:47:51 IDT 2025, 93 W
Mon Aug 25 19:47:51 IDT 2025, 102 W
Mon Aug 25 19:47:51 IDT 2025, 90 W
Mon Aug 25 19:47:51 IDT 2025, 91 W
Mon Aug 25 19:47:52 IDT 2025, 93 W
Mon Aug 25 19:47:52 IDT 2025, 96 W
Mon Aug 25 19:47:52 IDT 2025, 91 W
Mon Aug 25 19:47:52 IDT 2025, 99 W
Mon Aug 25 19:47:53 IDT 2025, 131 W
Mon Aug 25 19:47:53 IDT 2025, 131 W
Mon Aug 25 19:47:53 IDT 2025, 144 W
Mon Aug 25 19:47:53 IDT 2025, 127 W
Mon Aug 25 19:47:54 IDT 2025, 132 W
Mon Aug 25 19:47:54 IDT 2025, 131 W
Mon Aug 25 19:47:54 IDT 2025, 131 W
Mon Aug 25 19:47:54 IDT 2025, 133 W
Mon Aug 25 19:47:55 IDT 2025, 140 W
Mon Aug 25 19:47:55 IDT 2025, 133 W
Mon Aug 25 19:47:55 IDT 2025, 142 W
Mon Aug 25 19:47:55 IDT 2025, 122 W
Mon Aug 25 19:47:56 IDT 2025, 143 W
Mon Aug 25 19:47:56 IDT 2025, 126 W
Mon Aug 25 19:47:56 IDT 2025, 135 W
Mon Aug 25 19:47:56 IDT 2025, 125 W
Mon Aug 25 19:47:57 IDT 2025, 139 W
Mon Aug 25 19:47:57 IDT 2025, 133 W
Mon Aug 25 19:47:57 IDT 2025, 135 W
Mon Aug 25 19:47:57 IDT 2025, 124 W
Mon Aug 25 19:47:58 IDT 2025, 130 W
Mon Aug 25 19:47:58 IDT 2025, 128 W
Mon Aug 25 19:47:58 IDT 2025, 127 W
Mon Aug 25 19:47:58 IDT 2025, 123 W
Mon Aug 25 19:47:59 IDT 2025, 136 W
Mon Aug 25 19:47:59 IDT 2025, 137 W
Mon Aug 25 19:47:59 IDT 2025, 133 W
Mon Aug 25 19:47:59 IDT 2025, 125 W
Mon Aug 25 19:48:00 IDT 2025, 134 W
Mon Aug 25 19:48:00 IDT 2025, 136 W
Mon Aug 25 19:48:00 IDT 2025, 143 W
Mon Aug 25 19:48:00 IDT 2025, 121 W
Mon Aug 25 19:48:01 IDT 2025, 138 W
Mon Aug 25 19:48:01 IDT 2025, 133 W
Mon Aug 25 19:48:01 IDT 2025, 143 W
Mon Aug 25 19:48:01 IDT 2025, 125 W
Mon Aug 25 19:48:02 IDT 2025, 137 W
Mon Aug 25 19:48:02 IDT 2025, 132 W
Mon Aug 25 19:48:02 IDT 2025, 131 W
Mon Aug 25 19:48:02 IDT 2025, 134 W
Mon Aug 25 19:48:03 IDT 2025, 144 W
Mon Aug 25 19:48:03 IDT 2025, 137 W
Mon Aug 25 19:48:03 IDT 2025, 132 W
Mon Aug 25 19:48:03 IDT 2025, 119 W
Mon Aug 25 19:48:04 IDT 2025, 129 W
Mon Aug 25 19:48:04 IDT 2025, 133 W
Mon Aug 25 19:48:04 IDT 2025, 142 W
Mon Aug 25 19:48:04 IDT 2025, 127 W
Mon Aug 25 19:48:05 IDT 2025, 136 W
Mon Aug 25 19:48:05 IDT 2025, 137 W
Mon Aug 25 19:48:05 IDT 2025, 139 W
Mon Aug 25 19:48:05 IDT 2025, 127 W
Mon Aug 25 19:48:06 IDT 2025, 141 W
Mon Aug 25 19:48:06 IDT 2025, 138 W
Mon Aug 25 19:48:06 IDT 2025, 138 W
Mon Aug 25 19:48:06 IDT 2025, 123 W
Mon Aug 25 19:48:07 IDT 2025, 137 W
Mon Aug 25 19:48:07 IDT 2025, 133 W
Mon Aug 25 19:48:07 IDT 2025, 135 W
Mon Aug 25 19:48:07 IDT 2025, 124 W
Mon Aug 25 19:48:08 IDT 2025, 149 W
Mon Aug 25 19:48:08 IDT 2025, 130 W
Mon Aug 25 19:48:08 IDT 2025, 139 W
Mon Aug 25 19:48:08 IDT 2025, 125 W
Mon Aug 25 19:48:09 IDT 2025, 136 W
Mon Aug 25 19:48:09 IDT 2025, 125 W
Mon Aug 25 19:48:09 IDT 2025, 144 W
Mon Aug 25 19:48:09 IDT 2025, 125 W
Mon Aug 25 19:48:10 IDT 2025, 139 W
Mon Aug 25 19:48:10 IDT 2025, 137 W
Mon Aug 25 19:48:10 IDT 2025, 140 W
Mon Aug 25 19:48:10 IDT 2025, 126 W
Mon Aug 25 19:48:11 IDT 2025, 138 W
Mon Aug 25 19:48:11 IDT 2025, 129 W
Mon Aug 25 19:48:11 IDT 2025, 144 W
Mon Aug 25 19:48:11 IDT 2025, 124 W
Mon Aug 25 19:48:12 IDT 2025, 135 W
Mon Aug 25 19:48:12 IDT 2025, 132 W
Mon Aug 25 19:48:12 IDT 2025, 136 W
Mon Aug 25 19:48:12 IDT 2025, 128 W
Mon Aug 25 19:48:13 IDT 2025, 132 W
Mon Aug 25 19:48:13 IDT 2025, 131 W
Mon Aug 25 19:48:13 IDT 2025, 143 W
Mon Aug 25 19:48:13 IDT 2025, 127 W
Mon Aug 25 19:48:14 IDT 2025, 140 W
Mon Aug 25 19:48:14 IDT 2025, 136 W
Mon Aug 25 19:48:14 IDT 2025, 140 W
Mon Aug 25 19:48:14 IDT 2025, 128 W
Mon Aug 25 19:48:15 IDT 2025, 137 W
Mon Aug 25 19:48:15 IDT 2025, 130 W
Mon Aug 25 19:48:15 IDT 2025, 137 W
Mon Aug 25 19:48:15 IDT 2025, 122 W
Mon Aug 25 19:48:16 IDT 2025, 137 W
Mon Aug 25 19:48:16 IDT 2025, 128 W
Mon Aug 25 19:48:16 IDT 2025, 135 W
Mon Aug 25 19:48:16 IDT 2025, 125 W
Mon Aug 25 19:48:17 IDT 2025, 131 W
Mon Aug 25 19:48:17 IDT 2025, 130 W
Mon Aug 25 19:48:17 IDT 2025, 140 W
Mon Aug 25 19:48:17 IDT 2025, 124 W
Mon Aug 25 19:48:18 IDT 2025, 126 W
Mon Aug 25 19:48:18 IDT 2025, 133 W
Mon Aug 25 19:48:18 IDT 2025, 120 W
Mon Aug 25 19:48:18 IDT 2025, 129 W
Mon Aug 25 19:48:19 IDT 2025, 139 W
Mon Aug 25 19:48:19 IDT 2025, 128 W
Mon Aug 25 19:48:19 IDT 2025, 143 W
Mon Aug 25 19:48:19 IDT 2025, 125 W
Mon Aug 25 19:48:20 IDT 2025, 142 W
Mon Aug 25 19:48:20 IDT 2025, 136 W
Mon Aug 25 19:48:20 IDT 2025, 143 W
Mon Aug 25 19:48:20 IDT 2025, 123 W
Mon Aug 25 19:48:21 IDT 2025, 133 W
Mon Aug 25 19:48:21 IDT 2025, 132 W
Mon Aug 25 19:48:21 IDT 2025, 142 W
Mon Aug 25 19:48:21 IDT 2025, 132 W
Mon Aug 25 19:48:22 IDT 2025, 137 W
Mon Aug 25 19:48:22 IDT 2025, 136 W
Mon Aug 25 19:48:22 IDT 2025, 140 W
Mon Aug 25 19:48:22 IDT 2025, 124 W
Mon Aug 25 19:48:23 IDT 2025, 143 W
Mon Aug 25 19:48:23 IDT 2025, 123 W
Mon Aug 25 19:48:23 IDT 2025, 132 W
Mon Aug 25 19:48:23 IDT 2025, 121 W
Mon Aug 25 19:48:24 IDT 2025, 138 W
Mon Aug 25 19:48:24 IDT 2025, 136 W
Mon Aug 25 19:48:24 IDT 2025, 131 W
Mon Aug 25 19:48:24 IDT 2025, 117 W
Mon Aug 25 19:48:25 IDT 2025, 138 W
Mon Aug 25 19:48:25 IDT 2025, 128 W
Mon Aug 25 19:48:25 IDT 2025, 131 W
Mon Aug 25 19:48:25 IDT 2025, 130 W
Mon Aug 25 19:48:26 IDT 2025, 134 W
Mon Aug 25 19:48:26 IDT 2025, 130 W
Mon Aug 25 19:48:26 IDT 2025, 138 W
Mon Aug 25 19:48:26 IDT 2025, 118 W
Mon Aug 25 19:48:27 IDT 2025, 135 W
Mon Aug 25 19:48:27 IDT 2025, 133 W
Mon Aug 25 19:48:27 IDT 2025, 129 W
Mon Aug 25 19:48:27 IDT 2025, 118 W
Mon Aug 25 19:48:28 IDT 2025, 135 W
Mon Aug 25 19:48:28 IDT 2025, 141 W
Mon Aug 25 19:48:28 IDT 2025, 147 W
Mon Aug 25 19:48:28 IDT 2025, 130 W
Mon Aug 25 19:48:29 IDT 2025, 93 W
Mon Aug 25 19:48:29 IDT 2025, 135 W
Mon Aug 25 19:48:29 IDT 2025, 89 W
Mon Aug 25 19:48:29 IDT 2025, 116 W
Mon Aug 25 19:48:30 IDT 2025, 94 W
Mon Aug 25 19:48:30 IDT 2025, 126 W
Mon Aug 25 19:48:30 IDT 2025, 93 W
Mon Aug 25 19:48:30 IDT 2025, 125 W
Mon Aug 25 19:48:31 IDT 2025, 93 W
Mon Aug 25 19:48:31 IDT 2025, 127 W
Mon Aug 25 19:48:31 IDT 2025, 92 W
Mon Aug 25 19:48:31 IDT 2025, 125 W
Mon Aug 25 19:48:32 IDT 2025, 93 W
Mon Aug 25 19:48:32 IDT 2025, 130 W
Mon Aug 25 19:48:32 IDT 2025, 90 W
Mon Aug 25 19:48:32 IDT 2025, 125 W
Mon Aug 25 19:48:33 IDT 2025, 90 W
Mon Aug 25 19:48:33 IDT 2025, 129 W
Mon Aug 25 19:48:33 IDT 2025, 88 W
Mon Aug 25 19:48:33 IDT 2025, 119 W
Mon Aug 25 19:48:34 IDT 2025, 95 W
Mon Aug 25 19:48:34 IDT 2025, 131 W
Mon Aug 25 19:48:34 IDT 2025, 88 W
Mon Aug 25 19:48:34 IDT 2025, 126 W
Mon Aug 25 19:48:35 IDT 2025, 94 W
Mon Aug 25 19:48:35 IDT 2025, 126 W
Mon Aug 25 19:48:35 IDT 2025, 93 W
Mon Aug 25 19:48:35 IDT 2025, 127 W
Mon Aug 25 19:48:36 IDT 2025, 90 W
Mon Aug 25 19:48:36 IDT 2025, 127 W
Mon Aug 25 19:48:36 IDT 2025, 92 W
Mon Aug 25 19:48:36 IDT 2025, 123 W
Mon Aug 25 19:48:37 IDT 2025, 95 W
Mon Aug 25 19:48:37 IDT 2025, 130 W
Mon Aug 25 19:48:37 IDT 2025, 93 W
Mon Aug 25 19:48:37 IDT 2025, 123 W
