timestamp, power.draw [W]
Mon Aug 25 19:38:07 IDT 2025, 131 W
Mon Aug 25 19:38:07 IDT 2025, 122 W
Mon Aug 25 19:38:08 IDT 2025, 123 W
Mon Aug 25 19:38:08 IDT 2025, 122 W
Mon Aug 25 19:38:09 IDT 2025, 123 W
Mon Aug 25 19:38:09 IDT 2025, 127 W
Mon Aug 25 19:38:10 IDT 2025, 126 W
Mon Aug 25 19:38:10 IDT 2025, 129 W
Mon Aug 25 19:38:11 IDT 2025, 128 W
Mon Aug 25 19:38:11 IDT 2025, 124 W
Mon Aug 25 19:38:12 IDT 2025, 128 W
Mon Aug 25 19:38:12 IDT 2025, 119 W
Mon Aug 25 19:38:13 IDT 2025, 123 W
Mon Aug 25 19:38:13 IDT 2025, 128 W
Mon Aug 25 19:38:14 IDT 2025, 130 W
Mon Aug 25 19:38:14 IDT 2025, 124 W
Mon Aug 25 19:38:15 IDT 2025, 130 W
Mon Aug 25 19:38:15 IDT 2025, 123 W
Mon Aug 25 19:38:16 IDT 2025, 125 W
Mon Aug 25 19:38:16 IDT 2025, 134 W
Mon Aug 25 19:38:17 IDT 2025, 133 W
Mon Aug 25 19:38:17 IDT 2025, 132 W
Mon Aug 25 19:38:18 IDT 2025, 126 W
Mon Aug 25 19:38:18 IDT 2025, 122 W
Mon Aug 25 19:38:19 IDT 2025, 131 W
Mon Aug 25 19:38:19 IDT 2025, 135 W
Mon Aug 25 19:38:20 IDT 2025, 131 W
Mon Aug 25 19:38:20 IDT 2025, 132 W
Mon Aug 25 19:38:21 IDT 2025, 127 W
Mon Aug 25 19:38:21 IDT 2025, 126 W
Mon Aug 25 19:38:22 IDT 2025, 129 W
Mon Aug 25 19:38:22 IDT 2025, 129 W
Mon Aug 25 19:38:23 IDT 2025, 129 W
Mon Aug 25 19:38:23 IDT 2025, 124 W
Mon Aug 25 19:38:24 IDT 2025, 135 W
Mon Aug 25 19:38:24 IDT 2025, 125 W
Mon Aug 25 19:38:25 IDT 2025, 127 W
Mon Aug 25 19:38:25 IDT 2025, 129 W
Mon Aug 25 19:38:26 IDT 2025, 139 W
Mon Aug 25 19:38:26 IDT 2025, 132 W
Mon Aug 25 19:38:27 IDT 2025, 129 W
Mon Aug 25 19:38:27 IDT 2025, 125 W
Mon Aug 25 19:38:28 IDT 2025, 134 W
Mon Aug 25 19:38:28 IDT 2025, 141 W
Mon Aug 25 19:38:29 IDT 2025, 136 W
Mon Aug 25 19:38:29 IDT 2025, 133 W
Mon Aug 25 19:38:30 IDT 2025, 138 W
Mon Aug 25 19:38:30 IDT 2025, 135 W
Mon Aug 25 19:38:31 IDT 2025, 144 W
Mon Aug 25 19:38:31 IDT 2025, 139 W
Mon Aug 25 19:38:32 IDT 2025, 130 W
Mon Aug 25 19:38:32 IDT 2025, 138 W
Mon Aug 25 19:38:33 IDT 2025, 133 W
Mon Aug 25 19:38:33 IDT 2025, 144 W
Mon Aug 25 19:38:34 IDT 2025, 132 W
Mon Aug 25 19:38:34 IDT 2025, 136 W
Mon Aug 25 19:38:35 IDT 2025, 142 W
Mon Aug 25 19:38:35 IDT 2025, 138 W
Mon Aug 25 19:38:36 IDT 2025, 138 W
Mon Aug 25 19:38:36 IDT 2025, 136 W
Mon Aug 25 19:38:37 IDT 2025, 138 W
Mon Aug 25 19:38:37 IDT 2025, 142 W
Mon Aug 25 19:38:38 IDT 2025, 134 W
Mon Aug 25 19:38:38 IDT 2025, 135 W
Mon Aug 25 19:38:39 IDT 2025, 138 W
Mon Aug 25 19:38:39 IDT 2025, 138 W
Mon Aug 25 19:38:40 IDT 2025, 140 W
Mon Aug 25 19:38:40 IDT 2025, 134 W
Mon Aug 25 19:38:41 IDT 2025, 139 W
Mon Aug 25 19:38:41 IDT 2025, 135 W
Mon Aug 25 19:38:42 IDT 2025, 135 W
Mon Aug 25 19:38:42 IDT 2025, 138 W
Mon Aug 25 19:38:43 IDT 2025, 137 W
Mon Aug 25 19:38:43 IDT 2025, 137 W
Mon Aug 25 19:38:44 IDT 2025, 141 W
Mon Aug 25 19:38:44 IDT 2025, 140 W
Mon Aug 25 19:38:45 IDT 2025, 146 W
