timestamp, power.draw [W]
Mon Aug 25 19:56:08 IDT 2025, 228 W
Mon Aug 25 19:56:09 IDT 2025, 228 W
Mon Aug 25 19:56:10 IDT 2025, 228 W
Mon Aug 25 19:56:11 IDT 2025, 229 W
Mon Aug 25 19:56:12 IDT 2025, 228 W
Mon Aug 25 19:56:13 IDT 2025, 228 W
Mon Aug 25 19:56:14 IDT 2025, 229 W
Mon Aug 25 19:56:15 IDT 2025, 229 W
Mon Aug 25 19:56:16 IDT 2025, 228 W
Mon Aug 25 19:56:17 IDT 2025, 229 W
Mon Aug 25 19:56:18 IDT 2025, 229 W
Mon Aug 25 19:56:19 IDT 2025, 233 W
Mon Aug 25 19:56:20 IDT 2025, 234 W
Mon Aug 25 19:56:21 IDT 2025, 235 W
Mon Aug 25 19:56:22 IDT 2025, 234 W
Mon Aug 25 19:56:23 IDT 2025, 234 W
Mon Aug 25 19:56:24 IDT 2025, 234 W
Mon Aug 25 19:56:25 IDT 2025, 231 W
Mon Aug 25 19:56:26 IDT 2025, 310 W
Mon Aug 25 19:56:27 IDT 2025, 268 W
Mon Aug 25 19:56:28 IDT 2025, 280 W
Mon Aug 25 19:56:29 IDT 2025, 287 W
Mon Aug 25 19:56:30 IDT 2025, 268 W
Mon Aug 25 19:56:31 IDT 2025, 264 W
Mon Aug 25 19:56:32 IDT 2025, 292 W
Mon Aug 25 19:56:33 IDT 2025, 291 W
Mon Aug 25 19:56:34 IDT 2025, 295 W
Mon Aug 25 19:56:35 IDT 2025, 258 W
Mon Aug 25 19:56:36 IDT 2025, 270 W
Mon Aug 25 19:56:37 IDT 2025, 281 W
Mon Aug 25 19:56:38 IDT 2025, 261 W
Mon Aug 25 19:56:39 IDT 2025, 256 W
Mon Aug 25 19:56:40 IDT 2025, 259 W
Mon Aug 25 19:56:41 IDT 2025, 267 W
Mon Aug 25 19:56:42 IDT 2025, 259 W
Mon Aug 25 19:56:43 IDT 2025, 268 W
Mon Aug 25 19:56:44 IDT 2025, 279 W
Mon Aug 25 19:56:45 IDT 2025, 290 W
Mon Aug 25 19:56:46 IDT 2025, 260 W
Mon Aug 25 19:56:47 IDT 2025, 263 W
Mon Aug 25 19:56:48 IDT 2025, 271 W
Mon Aug 25 19:56:49 IDT 2025, 268 W
Mon Aug 25 19:56:50 IDT 2025, 275 W
Mon Aug 25 19:56:51 IDT 2025, 277 W
Mon Aug 25 19:56:52 IDT 2025, 265 W
Mon Aug 25 19:56:53 IDT 2025, 264 W
Mon Aug 25 19:56:54 IDT 2025, 286 W
Mon Aug 25 19:56:55 IDT 2025, 297 W
Mon Aug 25 19:56:56 IDT 2025, 260 W
Mon Aug 25 19:56:57 IDT 2025, 257 W
