timestamp, power.draw [W]
Fri Sep 12 23:02:47 IDT 2025, 227 W
Fri Sep 12 23:02:47 IDT 2025, 227 W
Fri Sep 12 23:02:47 IDT 2025, 229 W
Fri Sep 12 23:02:47 IDT 2025, 227 W
Fri Sep 12 23:02:47 IDT 2025, 225 W
Fri Sep 12 23:02:47 IDT 2025, 227 W
Fri Sep 12 23:02:47 IDT 2025, 223 W
Fri Sep 12 23:02:47 IDT 2025, 224 W
Fri Sep 12 23:02:48 IDT 2025, 227 W
Fri Sep 12 23:02:48 IDT 2025, 227 W
Fri Sep 12 23:02:48 IDT 2025, 229 W
Fri Sep 12 23:02:48 IDT 2025, 227 W
Fri Sep 12 23:02:48 IDT 2025, 225 W
Fri Sep 12 23:02:48 IDT 2025, 227 W
Fri Sep 12 23:02:48 IDT 2025, 224 W
Fri Sep 12 23:02:48 IDT 2025, 224 W
Fri Sep 12 23:02:49 IDT 2025, 226 W
Fri Sep 12 23:02:49 IDT 2025, 227 W
Fri Sep 12 23:02:49 IDT 2025, 229 W
Fri Sep 12 23:02:49 IDT 2025, 227 W
Fri Sep 12 23:02:49 IDT 2025, 225 W
Fri Sep 12 23:02:49 IDT 2025, 227 W
Fri Sep 12 23:02:49 IDT 2025, 224 W
Fri Sep 12 23:02:49 IDT 2025, 224 W
Fri Sep 12 23:02:50 IDT 2025, 227 W
Fri Sep 12 23:02:50 IDT 2025, 227 W
Fri Sep 12 23:02:50 IDT 2025, 229 W
Fri Sep 12 23:02:50 IDT 2025, 227 W
Fri Sep 12 23:02:50 IDT 2025, 225 W
Fri Sep 12 23:02:50 IDT 2025, 227 W
Fri Sep 12 23:02:50 IDT 2025, 223 W
Fri Sep 12 23:02:50 IDT 2025, 224 W
Fri Sep 12 23:02:51 IDT 2025, 226 W
Fri Sep 12 23:02:51 IDT 2025, 227 W
Fri Sep 12 23:02:51 IDT 2025, 229 W
Fri Sep 12 23:02:51 IDT 2025, 227 W
Fri Sep 12 23:02:51 IDT 2025, 225 W
Fri Sep 12 23:02:51 IDT 2025, 227 W
Fri Sep 12 23:02:51 IDT 2025, 223 W
Fri Sep 12 23:02:51 IDT 2025, 224 W
Fri Sep 12 23:02:52 IDT 2025, 227 W
Fri Sep 12 23:02:52 IDT 2025, 227 W
Fri Sep 12 23:02:52 IDT 2025, 229 W
Fri Sep 12 23:02:52 IDT 2025, 227 W
Fri Sep 12 23:02:52 IDT 2025, 225 W
