timestamp, power.draw [W]
Thu Sep  4 21:06:31 IDT 2025, 224 W
Thu Sep  4 21:06:31 IDT 2025, 225 W
Thu Sep  4 21:06:31 IDT 2025, 221 W
Thu Sep  4 21:06:31 IDT 2025, 225 W
Thu Sep  4 21:06:32 IDT 2025, 224 W
Thu Sep  4 21:06:32 IDT 2025, 225 W
Thu Sep  4 21:06:32 IDT 2025, 221 W
Thu Sep  4 21:06:32 IDT 2025, 225 W
Thu Sep  4 21:06:33 IDT 2025, 224 W
Thu Sep  4 21:06:33 IDT 2025, 225 W
Thu Sep  4 21:06:33 IDT 2025, 221 W
Thu Sep  4 21:06:33 IDT 2025, 224 W
Thu Sep  4 21:06:34 IDT 2025, 226 W
Thu Sep  4 21:06:34 IDT 2025, 227 W
Thu Sep  4 21:06:34 IDT 2025, 223 W
Thu Sep  4 21:06:34 IDT 2025, 226 W
Thu Sep  4 21:06:35 IDT 2025, 225 W
Thu Sep  4 21:06:35 IDT 2025, 226 W
Thu Sep  4 21:06:35 IDT 2025, 222 W
Thu Sep  4 21:06:35 IDT 2025, 226 W
Thu Sep  4 21:06:36 IDT 2025, 344 W
Thu Sep  4 21:06:36 IDT 2025, 337 W
Thu Sep  4 21:06:36 IDT 2025, 330 W
Thu Sep  4 21:06:36 IDT 2025, 328 W
Thu Sep  4 21:06:37 IDT 2025, 352 W
Thu Sep  4 21:06:37 IDT 2025, 350 W
Thu Sep  4 21:06:37 IDT 2025, 340 W
Thu Sep  4 21:06:37 IDT 2025, 365 W
Thu Sep  4 21:06:38 IDT 2025, 358 W
Thu Sep  4 21:06:38 IDT 2025, 355 W
Thu Sep  4 21:06:38 IDT 2025, 355 W
Thu Sep  4 21:06:38 IDT 2025, 374 W
Thu Sep  4 21:06:39 IDT 2025, 353 W
Thu Sep  4 21:06:39 IDT 2025, 357 W
Thu Sep  4 21:06:39 IDT 2025, 350 W
Thu Sep  4 21:06:39 IDT 2025, 374 W
Thu Sep  4 21:06:40 IDT 2025, 357 W
Thu Sep  4 21:06:40 IDT 2025, 358 W
Thu Sep  4 21:06:40 IDT 2025, 350 W
Thu Sep  4 21:06:40 IDT 2025, 374 W
Thu Sep  4 21:06:41 IDT 2025, 368 W
Thu Sep  4 21:06:41 IDT 2025, 353 W
Thu Sep  4 21:06:41 IDT 2025, 354 W
Thu Sep  4 21:06:41 IDT 2025, 381 W
Thu Sep  4 21:06:42 IDT 2025, 384 W
Thu Sep  4 21:06:42 IDT 2025, 340 W
Thu Sep  4 21:06:42 IDT 2025, 376 W
Thu Sep  4 21:06:42 IDT 2025, 392 W
Thu Sep  4 21:06:43 IDT 2025, 355 W
Thu Sep  4 21:06:43 IDT 2025, 357 W
Thu Sep  4 21:06:43 IDT 2025, 360 W
Thu Sep  4 21:06:43 IDT 2025, 374 W
Thu Sep  4 21:06:44 IDT 2025, 361 W
Thu Sep  4 21:06:44 IDT 2025, 345 W
Thu Sep  4 21:06:44 IDT 2025, 358 W
Thu Sep  4 21:06:44 IDT 2025, 383 W
Thu Sep  4 21:06:45 IDT 2025, 350 W
Thu Sep  4 21:06:45 IDT 2025, 351 W
Thu Sep  4 21:06:45 IDT 2025, 343 W
Thu Sep  4 21:06:45 IDT 2025, 358 W
Thu Sep  4 21:06:46 IDT 2025, 353 W
Thu Sep  4 21:06:46 IDT 2025, 355 W
Thu Sep  4 21:06:46 IDT 2025, 339 W
Thu Sep  4 21:06:46 IDT 2025, 368 W
Thu Sep  4 21:06:47 IDT 2025, 353 W
Thu Sep  4 21:06:47 IDT 2025, 350 W
Thu Sep  4 21:06:47 IDT 2025, 338 W
Thu Sep  4 21:06:47 IDT 2025, 364 W
Thu Sep  4 21:06:48 IDT 2025, 363 W
Thu Sep  4 21:06:48 IDT 2025, 361 W
Thu Sep  4 21:06:48 IDT 2025, 353 W
Thu Sep  4 21:06:48 IDT 2025, 381 W
Thu Sep  4 21:06:49 IDT 2025, 361 W
Thu Sep  4 21:06:49 IDT 2025, 366 W
Thu Sep  4 21:06:49 IDT 2025, 358 W
Thu Sep  4 21:06:49 IDT 2025, 379 W
Thu Sep  4 21:06:50 IDT 2025, 351 W
Thu Sep  4 21:06:50 IDT 2025, 357 W
Thu Sep  4 21:06:50 IDT 2025, 351 W
Thu Sep  4 21:06:50 IDT 2025, 366 W
Thu Sep  4 21:06:51 IDT 2025, 346 W
Thu Sep  4 21:06:51 IDT 2025, 349 W
Thu Sep  4 21:06:51 IDT 2025, 340 W
Thu Sep  4 21:06:51 IDT 2025, 328 W
Thu Sep  4 21:06:52 IDT 2025, 346 W
Thu Sep  4 21:06:52 IDT 2025, 350 W
Thu Sep  4 21:06:52 IDT 2025, 340 W
Thu Sep  4 21:06:52 IDT 2025, 330 W
Thu Sep  4 21:06:53 IDT 2025, 349 W
Thu Sep  4 21:06:53 IDT 2025, 326 W
Thu Sep  4 21:06:53 IDT 2025, 348 W
Thu Sep  4 21:06:53 IDT 2025, 345 W
Thu Sep  4 21:06:54 IDT 2025, 346 W
Thu Sep  4 21:06:54 IDT 2025, 351 W
Thu Sep  4 21:06:54 IDT 2025, 347 W
Thu Sep  4 21:06:54 IDT 2025, 359 W
Thu Sep  4 21:06:55 IDT 2025, 337 W
Thu Sep  4 21:06:55 IDT 2025, 350 W
Thu Sep  4 21:06:55 IDT 2025, 338 W
Thu Sep  4 21:06:55 IDT 2025, 328 W
Thu Sep  4 21:06:56 IDT 2025, 347 W
Thu Sep  4 21:06:56 IDT 2025, 347 W
Thu Sep  4 21:06:56 IDT 2025, 350 W
Thu Sep  4 21:06:56 IDT 2025, 361 W
Thu Sep  4 21:06:57 IDT 2025, 345 W
Thu Sep  4 21:06:57 IDT 2025, 344 W
Thu Sep  4 21:06:57 IDT 2025, 346 W
Thu Sep  4 21:06:57 IDT 2025, 357 W
Thu Sep  4 21:06:58 IDT 2025, 347 W
Thu Sep  4 21:06:58 IDT 2025, 350 W
Thu Sep  4 21:06:58 IDT 2025, 337 W
Thu Sep  4 21:06:58 IDT 2025, 356 W
Thu Sep  4 21:06:59 IDT 2025, 346 W
Thu Sep  4 21:06:59 IDT 2025, 343 W
Thu Sep  4 21:06:59 IDT 2025, 340 W
Thu Sep  4 21:06:59 IDT 2025, 332 W
Thu Sep  4 21:07:00 IDT 2025, 352 W
Thu Sep  4 21:07:00 IDT 2025, 347 W
Thu Sep  4 21:07:00 IDT 2025, 339 W
Thu Sep  4 21:07:00 IDT 2025, 341 W
Thu Sep  4 21:07:01 IDT 2025, 353 W
Thu Sep  4 21:07:01 IDT 2025, 353 W
Thu Sep  4 21:07:01 IDT 2025, 343 W
Thu Sep  4 21:07:01 IDT 2025, 348 W
Thu Sep  4 21:07:02 IDT 2025, 354 W
Thu Sep  4 21:07:02 IDT 2025, 348 W
Thu Sep  4 21:07:02 IDT 2025, 343 W
Thu Sep  4 21:07:02 IDT 2025, 343 W
Thu Sep  4 21:07:03 IDT 2025, 347 W
Thu Sep  4 21:07:03 IDT 2025, 349 W
Thu Sep  4 21:07:03 IDT 2025, 341 W
Thu Sep  4 21:07:03 IDT 2025, 346 W
Thu Sep  4 21:07:04 IDT 2025, 350 W
Thu Sep  4 21:07:04 IDT 2025, 349 W
Thu Sep  4 21:07:04 IDT 2025, 342 W
Thu Sep  4 21:07:04 IDT 2025, 349 W
Thu Sep  4 21:07:05 IDT 2025, 344 W
Thu Sep  4 21:07:05 IDT 2025, 348 W
Thu Sep  4 21:07:05 IDT 2025, 341 W
Thu Sep  4 21:07:05 IDT 2025, 341 W
Thu Sep  4 21:07:06 IDT 2025, 340 W
Thu Sep  4 21:07:06 IDT 2025, 343 W
Thu Sep  4 21:07:06 IDT 2025, 343 W
Thu Sep  4 21:07:06 IDT 2025, 339 W
Thu Sep  4 21:07:07 IDT 2025, 341 W
Thu Sep  4 21:07:07 IDT 2025, 342 W
Thu Sep  4 21:07:07 IDT 2025, 342 W
