timestamp, power.draw [W]
Sat Oct 18 17:39:39 IDT 2025, 103 W
Sat Oct 18 17:39:39 IDT 2025, 122 W
Sat Oct 18 17:39:40 IDT 2025, 108 W
Sat Oct 18 17:39:40 IDT 2025, 125 W
Sat Oct 18 17:39:41 IDT 2025, 105 W
Sat Oct 18 17:39:41 IDT 2025, 124 W
Sat Oct 18 17:39:42 IDT 2025, 107 W
Sat Oct 18 17:39:42 IDT 2025, 131 W
Sat Oct 18 17:39:43 IDT 2025, 104 W
Sat Oct 18 17:39:43 IDT 2025, 123 W
Sat Oct 18 17:39:44 IDT 2025, 101 W
Sat Oct 18 17:39:44 IDT 2025, 125 W
Sat Oct 18 17:39:45 IDT 2025, 103 W
Sat Oct 18 17:39:45 IDT 2025, 122 W
Sat Oct 18 17:39:46 IDT 2025, 108 W
Sat Oct 18 17:39:46 IDT 2025, 129 W
Sat Oct 18 17:39:47 IDT 2025, 113 W
Sat Oct 18 17:39:47 IDT 2025, 124 W
Sat Oct 18 17:39:48 IDT 2025, 109 W
Sat Oct 18 17:39:48 IDT 2025, 125 W
Sat Oct 18 17:39:49 IDT 2025, 122 W
Sat Oct 18 17:39:49 IDT 2025, 138 W
Sat Oct 18 17:39:50 IDT 2025, 112 W
Sat Oct 18 17:39:50 IDT 2025, 123 W
Sat Oct 18 17:39:51 IDT 2025, 223 W
Sat Oct 18 17:39:51 IDT 2025, 241 W
Sat Oct 18 17:39:52 IDT 2025, 102 W
Sat Oct 18 17:39:52 IDT 2025, 132 W
Sat Oct 18 17:39:53 IDT 2025, 167 W
Sat Oct 18 17:39:53 IDT 2025, 187 W
Sat Oct 18 17:39:54 IDT 2025, 180 W
Sat Oct 18 17:39:54 IDT 2025, 187 W
Sat Oct 18 17:39:55 IDT 2025, 186 W
Sat Oct 18 17:39:55 IDT 2025, 187 W
Sat Oct 18 17:39:56 IDT 2025, 186 W
Sat Oct 18 17:39:56 IDT 2025, 191 W
Sat Oct 18 17:39:57 IDT 2025, 183 W
Sat Oct 18 17:39:57 IDT 2025, 193 W
