timestamp, power.draw [W]
Wed Oct 22 20:38:36 IDT 2025, 232 W
Wed Oct 22 20:38:37 IDT 2025, 232 W
Wed Oct 22 20:38:38 IDT 2025, 232 W
Wed Oct 22 20:38:39 IDT 2025, 232 W
Wed Oct 22 20:38:40 IDT 2025, 232 W
Wed Oct 22 20:38:41 IDT 2025, 232 W
Wed Oct 22 20:38:42 IDT 2025, 232 W
Wed Oct 22 20:38:43 IDT 2025, 232 W
Wed Oct 22 20:38:44 IDT 2025, 232 W
Wed Oct 22 20:38:45 IDT 2025, 232 W
Wed Oct 22 20:38:46 IDT 2025, 232 W
Wed Oct 22 20:38:47 IDT 2025, 232 W
Wed Oct 22 20:38:48 IDT 2025, 232 W
Wed Oct 22 20:38:49 IDT 2025, 232 W
Wed Oct 22 20:38:50 IDT 2025, 232 W
Wed Oct 22 20:38:51 IDT 2025, 232 W
Wed Oct 22 20:38:52 IDT 2025, 232 W
Wed Oct 22 20:38:53 IDT 2025, 232 W
Wed Oct 22 20:38:54 IDT 2025, 232 W
Wed Oct 22 20:38:55 IDT 2025, 232 W
Wed Oct 22 20:38:56 IDT 2025, 232 W
Wed Oct 22 20:38:57 IDT 2025, 232 W
Wed Oct 22 20:38:58 IDT 2025, 232 W
Wed Oct 22 20:38:59 IDT 2025, 232 W
Wed Oct 22 20:39:00 IDT 2025, 232 W
Wed Oct 22 20:39:01 IDT 2025, 706 W
Wed Oct 22 20:39:02 IDT 2025, 252 W
Wed Oct 22 20:39:03 IDT 2025, 233 W
Wed Oct 22 20:39:04 IDT 2025, 233 W
Wed Oct 22 20:39:05 IDT 2025, 232 W
Wed Oct 22 20:39:06 IDT 2025, 232 W
Wed Oct 22 20:39:07 IDT 2025, 232 W
Wed Oct 22 20:39:08 IDT 2025, 232 W
Wed Oct 22 20:39:09 IDT 2025, 232 W
Wed Oct 22 20:39:10 IDT 2025, 232 W
Wed Oct 22 20:39:11 IDT 2025, 232 W
Wed Oct 22 20:39:12 IDT 2025, 232 W
Wed Oct 22 20:39:13 IDT 2025, 232 W
Wed Oct 22 20:39:14 IDT 2025, 232 W
Wed Oct 22 20:39:15 IDT 2025, 232 W
Wed Oct 22 20:39:16 IDT 2025, 232 W
Wed Oct 22 20:39:17 IDT 2025, 232 W
Wed Oct 22 20:39:18 IDT 2025, 232 W
Wed Oct 22 20:39:19 IDT 2025, 232 W
Wed Oct 22 20:39:20 IDT 2025, 232 W
Wed Oct 22 20:39:21 IDT 2025, 232 W
Wed Oct 22 20:39:22 IDT 2025, 232 W
Wed Oct 22 20:39:23 IDT 2025, 232 W
Wed Oct 22 20:39:24 IDT 2025, 232 W
Wed Oct 22 20:39:25 IDT 2025, 232 W
Wed Oct 22 20:39:26 IDT 2025, 232 W
Wed Oct 22 20:39:27 IDT 2025, 232 W
Wed Oct 22 20:39:28 IDT 2025, 232 W
Wed Oct 22 20:39:29 IDT 2025, 232 W
Wed Oct 22 20:39:30 IDT 2025, 232 W
Wed Oct 22 20:39:31 IDT 2025, 232 W
Wed Oct 22 20:39:32 IDT 2025, 232 W
Wed Oct 22 20:39:33 IDT 2025, 232 W
Wed Oct 22 20:39:34 IDT 2025, 232 W
Wed Oct 22 20:39:35 IDT 2025, 232 W
Wed Oct 22 20:39:36 IDT 2025, 232 W
