timestamp, power.draw [W]
Fri Sep  5 14:22:03 IDT 2025, 230 W
Fri Sep  5 14:22:03 IDT 2025, 232 W
Fri Sep  5 14:22:04 IDT 2025, 230 W
Fri Sep  5 14:22:04 IDT 2025, 232 W
Fri Sep  5 14:22:05 IDT 2025, 230 W
Fri Sep  5 14:22:05 IDT 2025, 232 W
Fri Sep  5 14:22:06 IDT 2025, 443 W
Fri Sep  5 14:22:06 IDT 2025, 466 W
Fri Sep  5 14:22:07 IDT 2025, 429 W
Fri Sep  5 14:22:07 IDT 2025, 451 W
Fri Sep  5 14:22:08 IDT 2025, 419 W
Fri Sep  5 14:22:08 IDT 2025, 446 W
Fri Sep  5 14:22:09 IDT 2025, 392 W
Fri Sep  5 14:22:09 IDT 2025, 416 W
Fri Sep  5 14:22:10 IDT 2025, 408 W
Fri Sep  5 14:22:10 IDT 2025, 411 W
Fri Sep  5 14:22:11 IDT 2025, 399 W
Fri Sep  5 14:22:11 IDT 2025, 420 W
Fri Sep  5 14:22:12 IDT 2025, 409 W
Fri Sep  5 14:22:12 IDT 2025, 416 W
Fri Sep  5 14:22:13 IDT 2025, 416 W
Fri Sep  5 14:22:13 IDT 2025, 424 W
Fri Sep  5 14:22:14 IDT 2025, 425 W
Fri Sep  5 14:22:14 IDT 2025, 442 W
Fri Sep  5 14:22:15 IDT 2025, 426 W
Fri Sep  5 14:22:15 IDT 2025, 455 W
Fri Sep  5 14:22:16 IDT 2025, 435 W
Fri Sep  5 14:22:16 IDT 2025, 454 W
Fri Sep  5 14:22:17 IDT 2025, 424 W
Fri Sep  5 14:22:17 IDT 2025, 446 W
Fri Sep  5 14:22:18 IDT 2025, 417 W
Fri Sep  5 14:22:18 IDT 2025, 419 W
Fri Sep  5 14:22:19 IDT 2025, 422 W
Fri Sep  5 14:22:19 IDT 2025, 442 W
Fri Sep  5 14:22:20 IDT 2025, 445 W
Fri Sep  5 14:22:20 IDT 2025, 466 W
Fri Sep  5 14:22:21 IDT 2025, 452 W
Fri Sep  5 14:22:21 IDT 2025, 479 W
Fri Sep  5 14:22:22 IDT 2025, 440 W
Fri Sep  5 14:22:22 IDT 2025, 475 W
Fri Sep  5 14:22:23 IDT 2025, 447 W
Fri Sep  5 14:22:23 IDT 2025, 466 W
Fri Sep  5 14:22:24 IDT 2025, 440 W
Fri Sep  5 14:22:24 IDT 2025, 464 W
Fri Sep  5 14:22:25 IDT 2025, 436 W
Fri Sep  5 14:22:25 IDT 2025, 455 W
Fri Sep  5 14:22:26 IDT 2025, 434 W
Fri Sep  5 14:22:26 IDT 2025, 463 W
Fri Sep  5 14:22:27 IDT 2025, 427 W
Fri Sep  5 14:22:27 IDT 2025, 442 W
