timestamp, power.draw [W]
Thu Nov 13 19:45:41 IST 2025, 231 W
Thu Nov 13 19:45:41 IST 2025, 234 W
Thu Nov 13 19:45:42 IST 2025, 231 W
Thu Nov 13 19:45:42 IST 2025, 233 W
Thu Nov 13 19:45:43 IST 2025, 231 W
Thu Nov 13 19:45:43 IST 2025, 234 W
Thu Nov 13 19:45:44 IST 2025, 231 W
Thu Nov 13 19:45:44 IST 2025, 233 W
Thu Nov 13 19:45:45 IST 2025, 231 W
Thu Nov 13 19:45:45 IST 2025, 233 W
Thu Nov 13 19:45:46 IST 2025, 230 W
Thu Nov 13 19:45:46 IST 2025, 232 W
Thu Nov 13 19:45:47 IST 2025, 227 W
Thu Nov 13 19:45:47 IST 2025, 230 W
Thu Nov 13 19:45:48 IST 2025, 227 W
Thu Nov 13 19:45:48 IST 2025, 230 W
Thu Nov 13 19:45:49 IST 2025, 227 W
Thu Nov 13 19:45:49 IST 2025, 230 W
Thu Nov 13 19:45:50 IST 2025, 227 W
Thu Nov 13 19:45:50 IST 2025, 230 W
Thu Nov 13 19:45:51 IST 2025, 227 W
Thu Nov 13 19:45:51 IST 2025, 230 W
Thu Nov 13 19:45:52 IST 2025, 227 W
Thu Nov 13 19:45:52 IST 2025, 230 W
Thu Nov 13 19:45:53 IST 2025, 227 W
Thu Nov 13 19:45:53 IST 2025, 230 W
Thu Nov 13 19:45:54 IST 2025, 227 W
Thu Nov 13 19:45:54 IST 2025, 230 W
Thu Nov 13 19:45:55 IST 2025, 227 W
Thu Nov 13 19:45:55 IST 2025, 229 W
Thu Nov 13 19:45:56 IST 2025, 227 W
Thu Nov 13 19:45:56 IST 2025, 230 W
Thu Nov 13 19:45:57 IST 2025, 227 W
Thu Nov 13 19:45:57 IST 2025, 230 W
Thu Nov 13 19:45:58 IST 2025, 227 W
Thu Nov 13 19:45:58 IST 2025, 230 W
Thu Nov 13 19:45:59 IST 2025, 227 W
Thu Nov 13 19:45:59 IST 2025, 230 W
Thu Nov 13 19:46:00 IST 2025, 227 W
Thu Nov 13 19:46:00 IST 2025, 230 W
Thu Nov 13 19:46:01 IST 2025, 227 W
Thu Nov 13 19:46:01 IST 2025, 230 W
Thu Nov 13 19:46:02 IST 2025, 227 W
Thu Nov 13 19:46:02 IST 2025, 230 W
Thu Nov 13 19:46:03 IST 2025, 227 W
Thu Nov 13 19:46:03 IST 2025, 230 W
Thu Nov 13 19:46:04 IST 2025, 227 W
Thu Nov 13 19:46:04 IST 2025, 229 W
Thu Nov 13 19:46:05 IST 2025, 227 W
Thu Nov 13 19:46:05 IST 2025, 230 W
Thu Nov 13 19:46:06 IST 2025, 227 W
Thu Nov 13 19:46:06 IST 2025, 230 W
Thu Nov 13 19:46:07 IST 2025, 227 W
Thu Nov 13 19:46:07 IST 2025, 230 W
Thu Nov 13 19:46:08 IST 2025, 227 W
Thu Nov 13 19:46:08 IST 2025, 230 W
Thu Nov 13 19:46:09 IST 2025, 229 W
Thu Nov 13 19:46:09 IST 2025, 231 W
Thu Nov 13 19:46:10 IST 2025, 299 W
Thu Nov 13 19:46:10 IST 2025, 273 W
Thu Nov 13 19:46:11 IST 2025, 229 W
Thu Nov 13 19:46:11 IST 2025, 231 W
Thu Nov 13 19:46:12 IST 2025, 406 W
Thu Nov 13 19:46:12 IST 2025, 442 W
Thu Nov 13 19:46:13 IST 2025, 411 W
Thu Nov 13 19:46:13 IST 2025, 450 W
Thu Nov 13 19:46:14 IST 2025, 414 W
Thu Nov 13 19:46:14 IST 2025, 458 W
Thu Nov 13 19:46:15 IST 2025, 416 W
Thu Nov 13 19:46:15 IST 2025, 461 W
Thu Nov 13 19:46:16 IST 2025, 417 W
Thu Nov 13 19:46:16 IST 2025, 452 W
Thu Nov 13 19:46:17 IST 2025, 389 W
Thu Nov 13 19:46:17 IST 2025, 455 W
Thu Nov 13 19:46:18 IST 2025, 357 W
Thu Nov 13 19:46:18 IST 2025, 356 W
Thu Nov 13 19:46:19 IST 2025, 411 W
Thu Nov 13 19:46:19 IST 2025, 447 W
Thu Nov 13 19:46:20 IST 2025, 407 W
Thu Nov 13 19:46:20 IST 2025, 440 W
Thu Nov 13 19:46:21 IST 2025, 248 W
Thu Nov 13 19:46:21 IST 2025, 284 W
Thu Nov 13 19:46:22 IST 2025, 232 W
Thu Nov 13 19:46:22 IST 2025, 235 W
Thu Nov 13 19:46:23 IST 2025, 431 W
Thu Nov 13 19:46:23 IST 2025, 479 W
Thu Nov 13 19:46:24 IST 2025, 232 W
Thu Nov 13 19:46:24 IST 2025, 234 W
Thu Nov 13 19:46:25 IST 2025, 232 W
Thu Nov 13 19:46:25 IST 2025, 233 W
Thu Nov 13 19:46:26 IST 2025, 232 W
Thu Nov 13 19:46:26 IST 2025, 234 W
Thu Nov 13 19:46:27 IST 2025, 232 W
Thu Nov 13 19:46:27 IST 2025, 234 W
Thu Nov 13 19:46:28 IST 2025, 232 W
Thu Nov 13 19:46:28 IST 2025, 235 W
Thu Nov 13 19:46:29 IST 2025, 406 W
Thu Nov 13 19:46:29 IST 2025, 424 W
Thu Nov 13 19:46:30 IST 2025, 386 W
Thu Nov 13 19:46:30 IST 2025, 407 W
Thu Nov 13 19:46:31 IST 2025, 385 W
Thu Nov 13 19:46:31 IST 2025, 421 W
Thu Nov 13 19:46:32 IST 2025, 378 W
Thu Nov 13 19:46:32 IST 2025, 363 W
Thu Nov 13 19:46:33 IST 2025, 430 W
Thu Nov 13 19:46:33 IST 2025, 464 W
Thu Nov 13 19:46:34 IST 2025, 385 W
Thu Nov 13 19:46:34 IST 2025, 380 W
Thu Nov 13 19:46:35 IST 2025, 428 W
Thu Nov 13 19:46:35 IST 2025, 458 W
Thu Nov 13 19:46:36 IST 2025, 378 W
Thu Nov 13 19:46:36 IST 2025, 371 W
Thu Nov 13 19:46:37 IST 2025, 411 W
Thu Nov 13 19:46:37 IST 2025, 452 W
Thu Nov 13 19:46:38 IST 2025, 421 W
Thu Nov 13 19:46:38 IST 2025, 470 W
Thu Nov 13 19:46:39 IST 2025, 423 W
Thu Nov 13 19:46:39 IST 2025, 469 W
Thu Nov 13 19:46:40 IST 2025, 406 W
Thu Nov 13 19:46:40 IST 2025, 446 W
Thu Nov 13 19:46:41 IST 2025, 233 W
Thu Nov 13 19:46:41 IST 2025, 235 W
Thu Nov 13 19:46:42 IST 2025, 232 W
Thu Nov 13 19:46:42 IST 2025, 235 W
Thu Nov 13 19:46:43 IST 2025, 232 W
Thu Nov 13 19:46:43 IST 2025, 235 W
Thu Nov 13 19:46:44 IST 2025, 259 W
Thu Nov 13 19:46:44 IST 2025, 245 W
Thu Nov 13 19:46:45 IST 2025, 232 W
Thu Nov 13 19:46:45 IST 2025, 236 W
Thu Nov 13 19:46:46 IST 2025, 383 W
Thu Nov 13 19:46:46 IST 2025, 383 W
Thu Nov 13 19:46:47 IST 2025, 422 W
Thu Nov 13 19:46:47 IST 2025, 450 W
Thu Nov 13 19:46:48 IST 2025, 420 W
Thu Nov 13 19:46:48 IST 2025, 460 W
Thu Nov 13 19:46:49 IST 2025, 378 W
Thu Nov 13 19:46:49 IST 2025, 372 W
Thu Nov 13 19:46:50 IST 2025, 418 W
Thu Nov 13 19:46:50 IST 2025, 465 W
Thu Nov 13 19:46:51 IST 2025, 432 W
