timestamp, power.draw [W]
Mon Mar 23 19:55:35 IST 2026, 91 W
Mon Mar 23 19:55:35 IST 2026, 118 W
Mon Mar 23 19:55:35 IST 2026, 90 W
Mon Mar 23 19:55:35 IST 2026, 101 W
Mon Mar 23 19:55:35 IST 2026, 91 W
Mon Mar 23 19:55:35 IST 2026, 103 W
Mon Mar 23 19:55:35 IST 2026, 94 W
Mon Mar 23 19:55:35 IST 2026, 97 W
Mon Mar 23 19:55:36 IST 2026, 98 W
Mon Mar 23 19:55:36 IST 2026, 121 W
Mon Mar 23 19:55:36 IST 2026, 93 W
Mon Mar 23 19:55:36 IST 2026, 95 W
Mon Mar 23 19:55:36 IST 2026, 86 W
Mon Mar 23 19:55:36 IST 2026, 109 W
Mon Mar 23 19:55:36 IST 2026, 96 W
Mon Mar 23 19:55:36 IST 2026, 96 W
Mon Mar 23 19:55:37 IST 2026, 94 W
Mon Mar 23 19:55:37 IST 2026, 116 W
Mon Mar 23 19:55:37 IST 2026, 90 W
Mon Mar 23 19:55:37 IST 2026, 95 W
Mon Mar 23 19:55:37 IST 2026, 91 W
Mon Mar 23 19:55:37 IST 2026, 103 W
Mon Mar 23 19:55:37 IST 2026, 102 W
Mon Mar 23 19:55:37 IST 2026, 98 W
Mon Mar 23 19:55:38 IST 2026, 95 W
Mon Mar 23 19:55:38 IST 2026, 126 W
Mon Mar 23 19:55:38 IST 2026, 88 W
Mon Mar 23 19:55:38 IST 2026, 105 W
Mon Mar 23 19:55:38 IST 2026, 86 W
Mon Mar 23 19:55:38 IST 2026, 109 W
Mon Mar 23 19:55:38 IST 2026, 98 W
Mon Mar 23 19:55:38 IST 2026, 97 W
Mon Mar 23 19:55:39 IST 2026, 89 W
Mon Mar 23 19:55:39 IST 2026, 117 W
Mon Mar 23 19:55:39 IST 2026, 88 W
Mon Mar 23 19:55:39 IST 2026, 94 W
Mon Mar 23 19:55:39 IST 2026, 89 W
Mon Mar 23 19:55:39 IST 2026, 107 W
Mon Mar 23 19:55:39 IST 2026, 92 W
Mon Mar 23 19:55:39 IST 2026, 104 W
Mon Mar 23 19:55:40 IST 2026, 96 W
Mon Mar 23 19:55:40 IST 2026, 122 W
Mon Mar 23 19:55:40 IST 2026, 96 W
Mon Mar 23 19:55:40 IST 2026, 96 W
Mon Mar 23 19:55:40 IST 2026, 86 W
Mon Mar 23 19:55:40 IST 2026, 113 W
Mon Mar 23 19:55:40 IST 2026, 94 W
Mon Mar 23 19:55:40 IST 2026, 99 W
Mon Mar 23 19:55:41 IST 2026, 93 W
Mon Mar 23 19:55:41 IST 2026, 127 W
Mon Mar 23 19:55:41 IST 2026, 109 W
Mon Mar 23 19:55:41 IST 2026, 102 W
Mon Mar 23 19:55:41 IST 2026, 98 W
Mon Mar 23 19:55:41 IST 2026, 114 W
Mon Mar 23 19:55:41 IST 2026, 105 W
Mon Mar 23 19:55:41 IST 2026, 98 W
Mon Mar 23 19:55:42 IST 2026, 142 W
Mon Mar 23 19:55:42 IST 2026, 173 W
Mon Mar 23 19:55:42 IST 2026, 148 W
Mon Mar 23 19:55:42 IST 2026, 147 W
Mon Mar 23 19:55:42 IST 2026, 144 W
Mon Mar 23 19:55:42 IST 2026, 167 W
Mon Mar 23 19:55:42 IST 2026, 155 W
Mon Mar 23 19:55:42 IST 2026, 153 W
Mon Mar 23 19:55:43 IST 2026, 142 W
Mon Mar 23 19:55:43 IST 2026, 164 W
Mon Mar 23 19:55:43 IST 2026, 142 W
Mon Mar 23 19:55:43 IST 2026, 145 W
Mon Mar 23 19:55:43 IST 2026, 133 W
Mon Mar 23 19:55:43 IST 2026, 160 W
Mon Mar 23 19:55:43 IST 2026, 139 W
Mon Mar 23 19:55:43 IST 2026, 151 W
Mon Mar 23 19:55:44 IST 2026, 144 W
Mon Mar 23 19:55:44 IST 2026, 174 W
Mon Mar 23 19:55:44 IST 2026, 144 W
Mon Mar 23 19:55:44 IST 2026, 147 W
Mon Mar 23 19:55:44 IST 2026, 144 W
Mon Mar 23 19:55:44 IST 2026, 162 W
Mon Mar 23 19:55:44 IST 2026, 149 W
Mon Mar 23 19:55:44 IST 2026, 150 W
Mon Mar 23 19:55:45 IST 2026, 129 W
Mon Mar 23 19:55:45 IST 2026, 165 W
Mon Mar 23 19:55:45 IST 2026, 137 W
Mon Mar 23 19:55:45 IST 2026, 145 W
Mon Mar 23 19:55:45 IST 2026, 138 W
Mon Mar 23 19:55:45 IST 2026, 154 W
Mon Mar 23 19:55:45 IST 2026, 150 W
Mon Mar 23 19:55:45 IST 2026, 152 W
Mon Mar 23 19:55:46 IST 2026, 152 W
Mon Mar 23 19:55:46 IST 2026, 183 W
Mon Mar 23 19:55:46 IST 2026, 141 W
Mon Mar 23 19:55:46 IST 2026, 152 W
Mon Mar 23 19:55:46 IST 2026, 147 W
Mon Mar 23 19:55:46 IST 2026, 164 W
Mon Mar 23 19:55:46 IST 2026, 157 W
Mon Mar 23 19:55:46 IST 2026, 156 W
Mon Mar 23 19:55:47 IST 2026, 151 W
Mon Mar 23 19:55:47 IST 2026, 177 W
Mon Mar 23 19:55:47 IST 2026, 140 W
Mon Mar 23 19:55:47 IST 2026, 155 W
Mon Mar 23 19:55:47 IST 2026, 143 W
Mon Mar 23 19:55:47 IST 2026, 166 W
Mon Mar 23 19:55:47 IST 2026, 160 W
Mon Mar 23 19:55:47 IST 2026, 160 W
Mon Mar 23 19:55:48 IST 2026, 150 W
Mon Mar 23 19:55:48 IST 2026, 166 W
Mon Mar 23 19:55:48 IST 2026, 150 W
Mon Mar 23 19:55:48 IST 2026, 151 W
Mon Mar 23 19:55:48 IST 2026, 143 W
Mon Mar 23 19:55:48 IST 2026, 155 W
Mon Mar 23 19:55:48 IST 2026, 150 W
Mon Mar 23 19:55:48 IST 2026, 151 W
Mon Mar 23 19:55:49 IST 2026, 143 W
Mon Mar 23 19:55:49 IST 2026, 175 W
Mon Mar 23 19:55:49 IST 2026, 145 W
Mon Mar 23 19:55:49 IST 2026, 148 W
Mon Mar 23 19:55:49 IST 2026, 139 W
Mon Mar 23 19:55:49 IST 2026, 150 W
Mon Mar 23 19:55:49 IST 2026, 148 W
Mon Mar 23 19:55:49 IST 2026, 149 W
Mon Mar 23 19:55:50 IST 2026, 152 W
Mon Mar 23 19:55:50 IST 2026, 176 W
Mon Mar 23 19:55:50 IST 2026, 145 W
Mon Mar 23 19:55:50 IST 2026, 153 W
Mon Mar 23 19:55:50 IST 2026, 143 W
Mon Mar 23 19:55:50 IST 2026, 162 W
Mon Mar 23 19:55:50 IST 2026, 156 W
Mon Mar 23 19:55:50 IST 2026, 163 W
Mon Mar 23 19:55:51 IST 2026, 157 W
Mon Mar 23 19:55:51 IST 2026, 174 W
Mon Mar 23 19:55:51 IST 2026, 157 W
Mon Mar 23 19:55:51 IST 2026, 157 W
Mon Mar 23 19:55:51 IST 2026, 145 W
Mon Mar 23 19:55:51 IST 2026, 168 W
Mon Mar 23 19:55:51 IST 2026, 161 W
Mon Mar 23 19:55:51 IST 2026, 159 W
Mon Mar 23 19:55:52 IST 2026, 138 W
Mon Mar 23 19:55:52 IST 2026, 158 W
Mon Mar 23 19:55:52 IST 2026, 141 W
Mon Mar 23 19:55:52 IST 2026, 143 W
Mon Mar 23 19:55:52 IST 2026, 130 W
