timestamp, power.draw [W]
Tue Mar 31 15:09:06 IDT 2026, 227 W
Tue Mar 31 15:09:06 IDT 2026, 232 W
Tue Mar 31 15:09:06 IDT 2026, 227 W
Tue Mar 31 15:09:06 IDT 2026, 227 W
Tue Mar 31 15:09:06 IDT 2026, 227 W
Tue Mar 31 15:09:06 IDT 2026, 228 W
Tue Mar 31 15:09:06 IDT 2026, 229 W
Tue Mar 31 15:09:06 IDT 2026, 227 W
Tue Mar 31 15:09:07 IDT 2026, 227 W
Tue Mar 31 15:09:07 IDT 2026, 232 W
Tue Mar 31 15:09:07 IDT 2026, 227 W
Tue Mar 31 15:09:07 IDT 2026, 227 W
Tue Mar 31 15:09:07 IDT 2026, 227 W
Tue Mar 31 15:09:07 IDT 2026, 228 W
Tue Mar 31 15:09:07 IDT 2026, 229 W
Tue Mar 31 15:09:07 IDT 2026, 228 W
Tue Mar 31 15:09:08 IDT 2026, 227 W
Tue Mar 31 15:09:08 IDT 2026, 232 W
Tue Mar 31 15:09:08 IDT 2026, 227 W
Tue Mar 31 15:09:08 IDT 2026, 226 W
Tue Mar 31 15:09:08 IDT 2026, 227 W
Tue Mar 31 15:09:08 IDT 2026, 228 W
Tue Mar 31 15:09:08 IDT 2026, 229 W
Tue Mar 31 15:09:08 IDT 2026, 228 W
Tue Mar 31 15:09:09 IDT 2026, 227 W
Tue Mar 31 15:09:09 IDT 2026, 232 W
Tue Mar 31 15:09:09 IDT 2026, 227 W
Tue Mar 31 15:09:09 IDT 2026, 227 W
Tue Mar 31 15:09:09 IDT 2026, 227 W
Tue Mar 31 15:09:09 IDT 2026, 228 W
Tue Mar 31 15:09:09 IDT 2026, 229 W
Tue Mar 31 15:09:09 IDT 2026, 228 W
Tue Mar 31 15:09:10 IDT 2026, 227 W
Tue Mar 31 15:09:10 IDT 2026, 232 W
Tue Mar 31 15:09:10 IDT 2026, 227 W
Tue Mar 31 15:09:10 IDT 2026, 227 W
Tue Mar 31 15:09:10 IDT 2026, 227 W
Tue Mar 31 15:09:10 IDT 2026, 228 W
Tue Mar 31 15:09:10 IDT 2026, 229 W
Tue Mar 31 15:09:10 IDT 2026, 228 W
Tue Mar 31 15:09:11 IDT 2026, 227 W
Tue Mar 31 15:09:11 IDT 2026, 232 W
Tue Mar 31 15:09:11 IDT 2026, 227 W
Tue Mar 31 15:09:11 IDT 2026, 226 W
Tue Mar 31 15:09:11 IDT 2026, 227 W
Tue Mar 31 15:09:11 IDT 2026, 228 W
Tue Mar 31 15:09:11 IDT 2026, 229 W
Tue Mar 31 15:09:11 IDT 2026, 228 W
Tue Mar 31 15:09:12 IDT 2026, 229 W
Tue Mar 31 15:09:12 IDT 2026, 235 W
Tue Mar 31 15:09:12 IDT 2026, 228 W
Tue Mar 31 15:09:12 IDT 2026, 228 W
Tue Mar 31 15:09:12 IDT 2026, 229 W
Tue Mar 31 15:09:12 IDT 2026, 229 W
Tue Mar 31 15:09:12 IDT 2026, 230 W
Tue Mar 31 15:09:12 IDT 2026, 229 W
Tue Mar 31 15:09:13 IDT 2026, 228 W
Tue Mar 31 15:09:13 IDT 2026, 233 W
Tue Mar 31 15:09:13 IDT 2026, 299 W
Tue Mar 31 15:09:13 IDT 2026, 228 W
Tue Mar 31 15:09:13 IDT 2026, 230 W
Tue Mar 31 15:09:13 IDT 2026, 314 W
Tue Mar 31 15:09:13 IDT 2026, 229 W
Tue Mar 31 15:09:13 IDT 2026, 228 W
Tue Mar 31 15:09:14 IDT 2026, 229 W
Tue Mar 31 15:09:14 IDT 2026, 234 W
Tue Mar 31 15:09:14 IDT 2026, 229 W
Tue Mar 31 15:09:14 IDT 2026, 228 W
Tue Mar 31 15:09:14 IDT 2026, 229 W
Tue Mar 31 15:09:14 IDT 2026, 229 W
Tue Mar 31 15:09:14 IDT 2026, 230 W
Tue Mar 31 15:09:14 IDT 2026, 230 W
Tue Mar 31 15:09:15 IDT 2026, 274 W
Tue Mar 31 15:09:15 IDT 2026, 345 W
Tue Mar 31 15:09:15 IDT 2026, 517 W
Tue Mar 31 15:09:15 IDT 2026, 229 W
Tue Mar 31 15:09:15 IDT 2026, 320 W
Tue Mar 31 15:09:15 IDT 2026, 336 W
Tue Mar 31 15:09:15 IDT 2026, 453 W
Tue Mar 31 15:09:15 IDT 2026, 563 W
Tue Mar 31 15:09:16 IDT 2026, 228 W
Tue Mar 31 15:09:16 IDT 2026, 234 W
Tue Mar 31 15:09:16 IDT 2026, 227 W
Tue Mar 31 15:09:16 IDT 2026, 227 W
Tue Mar 31 15:09:16 IDT 2026, 228 W
Tue Mar 31 15:09:16 IDT 2026, 228 W
Tue Mar 31 15:09:16 IDT 2026, 229 W
Tue Mar 31 15:09:16 IDT 2026, 229 W
Tue Mar 31 15:09:17 IDT 2026, 318 W
Tue Mar 31 15:09:17 IDT 2026, 324 W
Tue Mar 31 15:09:17 IDT 2026, 229 W
Tue Mar 31 15:09:17 IDT 2026, 309 W
Tue Mar 31 15:09:17 IDT 2026, 299 W
Tue Mar 31 15:09:17 IDT 2026, 230 W
Tue Mar 31 15:09:17 IDT 2026, 231 W
Tue Mar 31 15:09:17 IDT 2026, 289 W
Tue Mar 31 15:09:18 IDT 2026, 522 W
Tue Mar 31 15:09:18 IDT 2026, 531 W
Tue Mar 31 15:09:18 IDT 2026, 524 W
Tue Mar 31 15:09:18 IDT 2026, 525 W
Tue Mar 31 15:09:18 IDT 2026, 531 W
Tue Mar 31 15:09:18 IDT 2026, 526 W
Tue Mar 31 15:09:18 IDT 2026, 528 W
Tue Mar 31 15:09:18 IDT 2026, 526 W
Tue Mar 31 15:09:19 IDT 2026, 528 W
Tue Mar 31 15:09:19 IDT 2026, 539 W
Tue Mar 31 15:09:19 IDT 2026, 527 W
Tue Mar 31 15:09:19 IDT 2026, 531 W
Tue Mar 31 15:09:19 IDT 2026, 529 W
Tue Mar 31 15:09:19 IDT 2026, 531 W
Tue Mar 31 15:09:19 IDT 2026, 532 W
Tue Mar 31 15:09:19 IDT 2026, 527 W
Tue Mar 31 15:09:20 IDT 2026, 528 W
Tue Mar 31 15:09:20 IDT 2026, 532 W
Tue Mar 31 15:09:20 IDT 2026, 526 W
Tue Mar 31 15:09:20 IDT 2026, 531 W
Tue Mar 31 15:09:20 IDT 2026, 532 W
Tue Mar 31 15:09:20 IDT 2026, 534 W
Tue Mar 31 15:09:20 IDT 2026, 530 W
Tue Mar 31 15:09:20 IDT 2026, 530 W
Tue Mar 31 15:09:21 IDT 2026, 527 W
Tue Mar 31 15:09:21 IDT 2026, 538 W
Tue Mar 31 15:09:21 IDT 2026, 524 W
Tue Mar 31 15:09:21 IDT 2026, 527 W
Tue Mar 31 15:09:21 IDT 2026, 529 W
Tue Mar 31 15:09:21 IDT 2026, 535 W
Tue Mar 31 15:09:21 IDT 2026, 537 W
Tue Mar 31 15:09:21 IDT 2026, 523 W
Tue Mar 31 15:09:22 IDT 2026, 440 W
Tue Mar 31 15:09:22 IDT 2026, 388 W
Tue Mar 31 15:09:22 IDT 2026, 438 W
Tue Mar 31 15:09:22 IDT 2026, 447 W
Tue Mar 31 15:09:22 IDT 2026, 422 W
Tue Mar 31 15:09:22 IDT 2026, 420 W
Tue Mar 31 15:09:22 IDT 2026, 456 W
Tue Mar 31 15:09:22 IDT 2026, 427 W
Tue Mar 31 15:09:23 IDT 2026, 523 W
Tue Mar 31 15:09:23 IDT 2026, 532 W
Tue Mar 31 15:09:23 IDT 2026, 527 W
Tue Mar 31 15:09:23 IDT 2026, 527 W
Tue Mar 31 15:09:23 IDT 2026, 523 W
Tue Mar 31 15:09:23 IDT 2026, 527 W
Tue Mar 31 15:09:23 IDT 2026, 531 W
Tue Mar 31 15:09:23 IDT 2026, 525 W
Tue Mar 31 15:09:24 IDT 2026, 525 W
Tue Mar 31 15:09:24 IDT 2026, 531 W
Tue Mar 31 15:09:24 IDT 2026, 523 W
Tue Mar 31 15:09:24 IDT 2026, 521 W
Tue Mar 31 15:09:24 IDT 2026, 524 W
Tue Mar 31 15:09:24 IDT 2026, 529 W
Tue Mar 31 15:09:24 IDT 2026, 524 W
Tue Mar 31 15:09:24 IDT 2026, 526 W
Tue Mar 31 15:09:25 IDT 2026, 523 W
Tue Mar 31 15:09:25 IDT 2026, 473 W
Tue Mar 31 15:09:25 IDT 2026, 447 W
Tue Mar 31 15:09:25 IDT 2026, 524 W
Tue Mar 31 15:09:25 IDT 2026, 461 W
Tue Mar 31 15:09:25 IDT 2026, 431 W
Tue Mar 31 15:09:25 IDT 2026, 433 W
Tue Mar 31 15:09:25 IDT 2026, 434 W
