timestamp, power.draw [W]
Wed Apr  1 18:57:39 IDT 2026, 227 W
Wed Apr  1 18:57:39 IDT 2026, 230 W
Wed Apr  1 18:57:39 IDT 2026, 226 W
Wed Apr  1 18:57:39 IDT 2026, 228 W
Wed Apr  1 18:57:40 IDT 2026, 227 W
Wed Apr  1 18:57:40 IDT 2026, 230 W
Wed Apr  1 18:57:40 IDT 2026, 226 W
Wed Apr  1 18:57:40 IDT 2026, 228 W
Wed Apr  1 18:57:41 IDT 2026, 227 W
Wed Apr  1 18:57:41 IDT 2026, 230 W
Wed Apr  1 18:57:41 IDT 2026, 226 W
Wed Apr  1 18:57:41 IDT 2026, 229 W
Wed Apr  1 18:57:42 IDT 2026, 231 W
Wed Apr  1 18:57:42 IDT 2026, 236 W
Wed Apr  1 18:57:42 IDT 2026, 230 W
Wed Apr  1 18:57:42 IDT 2026, 231 W
Wed Apr  1 18:57:43 IDT 2026, 229 W
Wed Apr  1 18:57:43 IDT 2026, 233 W
Wed Apr  1 18:57:43 IDT 2026, 229 W
Wed Apr  1 18:57:43 IDT 2026, 231 W
Wed Apr  1 18:57:44 IDT 2026, 228 W
Wed Apr  1 18:57:44 IDT 2026, 232 W
Wed Apr  1 18:57:44 IDT 2026, 227 W
Wed Apr  1 18:57:44 IDT 2026, 230 W
Wed Apr  1 18:57:45 IDT 2026, 490 W
Wed Apr  1 18:57:45 IDT 2026, 496 W
Wed Apr  1 18:57:45 IDT 2026, 486 W
Wed Apr  1 18:57:45 IDT 2026, 494 W
Wed Apr  1 18:57:46 IDT 2026, 490 W
Wed Apr  1 18:57:46 IDT 2026, 496 W
Wed Apr  1 18:57:46 IDT 2026, 485 W
Wed Apr  1 18:57:46 IDT 2026, 490 W
Wed Apr  1 18:57:47 IDT 2026, 488 W
Wed Apr  1 18:57:47 IDT 2026, 499 W
Wed Apr  1 18:57:47 IDT 2026, 486 W
Wed Apr  1 18:57:47 IDT 2026, 492 W
Wed Apr  1 18:57:48 IDT 2026, 491 W
Wed Apr  1 18:57:48 IDT 2026, 497 W
Wed Apr  1 18:57:48 IDT 2026, 489 W
Wed Apr  1 18:57:48 IDT 2026, 493 W
Wed Apr  1 18:57:49 IDT 2026, 492 W
Wed Apr  1 18:57:49 IDT 2026, 495 W
Wed Apr  1 18:57:49 IDT 2026, 485 W
Wed Apr  1 18:57:49 IDT 2026, 495 W
Wed Apr  1 18:57:50 IDT 2026, 489 W
Wed Apr  1 18:57:50 IDT 2026, 496 W
Wed Apr  1 18:57:50 IDT 2026, 486 W
Wed Apr  1 18:57:50 IDT 2026, 491 W
Wed Apr  1 18:57:51 IDT 2026, 491 W
Wed Apr  1 18:57:51 IDT 2026, 496 W
Wed Apr  1 18:57:51 IDT 2026, 488 W
Wed Apr  1 18:57:51 IDT 2026, 491 W
Wed Apr  1 18:57:52 IDT 2026, 493 W
Wed Apr  1 18:57:52 IDT 2026, 496 W
Wed Apr  1 18:57:52 IDT 2026, 486 W
Wed Apr  1 18:57:52 IDT 2026, 493 W
Wed Apr  1 18:57:53 IDT 2026, 490 W
Wed Apr  1 18:57:53 IDT 2026, 496 W
Wed Apr  1 18:57:53 IDT 2026, 486 W
Wed Apr  1 18:57:53 IDT 2026, 490 W
Wed Apr  1 18:57:54 IDT 2026, 413 W
Wed Apr  1 18:57:54 IDT 2026, 407 W
Wed Apr  1 18:57:54 IDT 2026, 415 W
Wed Apr  1 18:57:54 IDT 2026, 423 W
Wed Apr  1 18:57:55 IDT 2026, 413 W
Wed Apr  1 18:57:55 IDT 2026, 386 W
Wed Apr  1 18:57:55 IDT 2026, 419 W
Wed Apr  1 18:57:55 IDT 2026, 415 W
Wed Apr  1 18:57:56 IDT 2026, 419 W
Wed Apr  1 18:57:56 IDT 2026, 401 W
Wed Apr  1 18:57:56 IDT 2026, 419 W
Wed Apr  1 18:57:56 IDT 2026, 412 W
Wed Apr  1 18:57:57 IDT 2026, 416 W
Wed Apr  1 18:57:57 IDT 2026, 402 W
Wed Apr  1 18:57:57 IDT 2026, 415 W
Wed Apr  1 18:57:57 IDT 2026, 426 W
Wed Apr  1 18:57:58 IDT 2026, 489 W
Wed Apr  1 18:57:58 IDT 2026, 494 W
Wed Apr  1 18:57:58 IDT 2026, 484 W
Wed Apr  1 18:57:58 IDT 2026, 494 W
Wed Apr  1 18:57:59 IDT 2026, 492 W
Wed Apr  1 18:57:59 IDT 2026, 497 W
Wed Apr  1 18:57:59 IDT 2026, 486 W
Wed Apr  1 18:57:59 IDT 2026, 498 W
Wed Apr  1 18:58:00 IDT 2026, 493 W
Wed Apr  1 18:58:00 IDT 2026, 499 W
Wed Apr  1 18:58:00 IDT 2026, 487 W
Wed Apr  1 18:58:00 IDT 2026, 490 W
Wed Apr  1 18:58:01 IDT 2026, 472 W
Wed Apr  1 18:58:01 IDT 2026, 477 W
Wed Apr  1 18:58:01 IDT 2026, 481 W
Wed Apr  1 18:58:01 IDT 2026, 482 W
Wed Apr  1 18:58:02 IDT 2026, 537 W
Wed Apr  1 18:58:02 IDT 2026, 541 W
Wed Apr  1 18:58:02 IDT 2026, 562 W
Wed Apr  1 18:58:02 IDT 2026, 594 W
Wed Apr  1 18:58:03 IDT 2026, 493 W
Wed Apr  1 18:58:03 IDT 2026, 497 W
Wed Apr  1 18:58:03 IDT 2026, 487 W
Wed Apr  1 18:58:03 IDT 2026, 492 W
Wed Apr  1 18:58:04 IDT 2026, 491 W
Wed Apr  1 18:58:04 IDT 2026, 499 W
Wed Apr  1 18:58:04 IDT 2026, 488 W
Wed Apr  1 18:58:04 IDT 2026, 499 W
Wed Apr  1 18:58:05 IDT 2026, 490 W
Wed Apr  1 18:58:05 IDT 2026, 497 W
Wed Apr  1 18:58:05 IDT 2026, 487 W
Wed Apr  1 18:58:05 IDT 2026, 493 W
Wed Apr  1 18:58:06 IDT 2026, 492 W
Wed Apr  1 18:58:06 IDT 2026, 498 W
Wed Apr  1 18:58:06 IDT 2026, 489 W
Wed Apr  1 18:58:06 IDT 2026, 492 W
Wed Apr  1 18:58:07 IDT 2026, 494 W
Wed Apr  1 18:58:07 IDT 2026, 497 W
Wed Apr  1 18:58:07 IDT 2026, 489 W
Wed Apr  1 18:58:07 IDT 2026, 498 W
Wed Apr  1 18:58:08 IDT 2026, 490 W
Wed Apr  1 18:58:08 IDT 2026, 498 W
Wed Apr  1 18:58:08 IDT 2026, 487 W
Wed Apr  1 18:58:08 IDT 2026, 494 W
Wed Apr  1 18:58:09 IDT 2026, 492 W
Wed Apr  1 18:58:09 IDT 2026, 498 W
Wed Apr  1 18:58:09 IDT 2026, 488 W
Wed Apr  1 18:58:09 IDT 2026, 496 W
Wed Apr  1 18:58:10 IDT 2026, 491 W
Wed Apr  1 18:58:10 IDT 2026, 497 W
Wed Apr  1 18:58:10 IDT 2026, 489 W
Wed Apr  1 18:58:10 IDT 2026, 492 W
Wed Apr  1 18:58:11 IDT 2026, 493 W
