timestamp, power.draw [W]
Wed Apr  1 20:17:45 IDT 2026, 231 W
Wed Apr  1 20:17:45 IDT 2026, 234 W
Wed Apr  1 20:17:45 IDT 2026, 228 W
Wed Apr  1 20:17:45 IDT 2026, 233 W
Wed Apr  1 20:17:46 IDT 2026, 231 W
Wed Apr  1 20:17:46 IDT 2026, 234 W
Wed Apr  1 20:17:46 IDT 2026, 228 W
Wed Apr  1 20:17:46 IDT 2026, 233 W
Wed Apr  1 20:17:47 IDT 2026, 231 W
Wed Apr  1 20:17:47 IDT 2026, 234 W
Wed Apr  1 20:17:47 IDT 2026, 228 W
Wed Apr  1 20:17:47 IDT 2026, 233 W
Wed Apr  1 20:17:48 IDT 2026, 231 W
Wed Apr  1 20:17:48 IDT 2026, 234 W
Wed Apr  1 20:17:48 IDT 2026, 228 W
Wed Apr  1 20:17:48 IDT 2026, 233 W
Wed Apr  1 20:17:49 IDT 2026, 231 W
Wed Apr  1 20:17:49 IDT 2026, 234 W
Wed Apr  1 20:17:49 IDT 2026, 228 W
Wed Apr  1 20:17:49 IDT 2026, 233 W
Wed Apr  1 20:17:50 IDT 2026, 231 W
Wed Apr  1 20:17:50 IDT 2026, 234 W
Wed Apr  1 20:17:50 IDT 2026, 228 W
Wed Apr  1 20:17:50 IDT 2026, 233 W
Wed Apr  1 20:17:51 IDT 2026, 231 W
Wed Apr  1 20:17:51 IDT 2026, 234 W
Wed Apr  1 20:17:51 IDT 2026, 228 W
Wed Apr  1 20:17:51 IDT 2026, 233 W
Wed Apr  1 20:17:52 IDT 2026, 232 W
Wed Apr  1 20:17:52 IDT 2026, 236 W
Wed Apr  1 20:17:52 IDT 2026, 230 W
Wed Apr  1 20:17:52 IDT 2026, 234 W
Wed Apr  1 20:17:53 IDT 2026, 688 W
Wed Apr  1 20:17:53 IDT 2026, 482 W
Wed Apr  1 20:17:53 IDT 2026, 637 W
Wed Apr  1 20:17:53 IDT 2026, 527 W
Wed Apr  1 20:17:54 IDT 2026, 232 W
Wed Apr  1 20:17:54 IDT 2026, 252 W
Wed Apr  1 20:17:54 IDT 2026, 228 W
Wed Apr  1 20:17:54 IDT 2026, 245 W
Wed Apr  1 20:17:55 IDT 2026, 235 W
Wed Apr  1 20:17:55 IDT 2026, 237 W
Wed Apr  1 20:17:55 IDT 2026, 234 W
Wed Apr  1 20:17:55 IDT 2026, 238 W
Wed Apr  1 20:17:56 IDT 2026, 233 W
Wed Apr  1 20:17:56 IDT 2026, 236 W
Wed Apr  1 20:17:56 IDT 2026, 230 W
Wed Apr  1 20:17:56 IDT 2026, 237 W
Wed Apr  1 20:17:57 IDT 2026, 605 W
Wed Apr  1 20:17:57 IDT 2026, 610 W
Wed Apr  1 20:17:57 IDT 2026, 603 W
Wed Apr  1 20:17:57 IDT 2026, 606 W
Wed Apr  1 20:17:58 IDT 2026, 609 W
Wed Apr  1 20:17:58 IDT 2026, 616 W
Wed Apr  1 20:17:58 IDT 2026, 604 W
Wed Apr  1 20:17:58 IDT 2026, 610 W
Wed Apr  1 20:17:59 IDT 2026, 609 W
Wed Apr  1 20:17:59 IDT 2026, 615 W
Wed Apr  1 20:17:59 IDT 2026, 603 W
Wed Apr  1 20:17:59 IDT 2026, 609 W
Wed Apr  1 20:18:00 IDT 2026, 610 W
Wed Apr  1 20:18:00 IDT 2026, 614 W
Wed Apr  1 20:18:00 IDT 2026, 605 W
Wed Apr  1 20:18:00 IDT 2026, 614 W
Wed Apr  1 20:18:01 IDT 2026, 607 W
Wed Apr  1 20:18:01 IDT 2026, 613 W
Wed Apr  1 20:18:01 IDT 2026, 606 W
Wed Apr  1 20:18:01 IDT 2026, 613 W
Wed Apr  1 20:18:02 IDT 2026, 608 W
Wed Apr  1 20:18:02 IDT 2026, 613 W
Wed Apr  1 20:18:02 IDT 2026, 606 W
Wed Apr  1 20:18:02 IDT 2026, 611 W
Wed Apr  1 20:18:03 IDT 2026, 609 W
Wed Apr  1 20:18:03 IDT 2026, 613 W
Wed Apr  1 20:18:03 IDT 2026, 603 W
Wed Apr  1 20:18:03 IDT 2026, 613 W
Wed Apr  1 20:18:04 IDT 2026, 609 W
Wed Apr  1 20:18:04 IDT 2026, 613 W
Wed Apr  1 20:18:04 IDT 2026, 606 W
Wed Apr  1 20:18:04 IDT 2026, 615 W
Wed Apr  1 20:18:05 IDT 2026, 611 W
Wed Apr  1 20:18:05 IDT 2026, 617 W
Wed Apr  1 20:18:05 IDT 2026, 605 W
Wed Apr  1 20:18:05 IDT 2026, 616 W
Wed Apr  1 20:18:06 IDT 2026, 608 W
Wed Apr  1 20:18:06 IDT 2026, 616 W
Wed Apr  1 20:18:06 IDT 2026, 606 W
Wed Apr  1 20:18:06 IDT 2026, 612 W
Wed Apr  1 20:18:07 IDT 2026, 610 W
Wed Apr  1 20:18:07 IDT 2026, 616 W
Wed Apr  1 20:18:07 IDT 2026, 606 W
Wed Apr  1 20:18:07 IDT 2026, 613 W
Wed Apr  1 20:18:08 IDT 2026, 607 W
Wed Apr  1 20:18:08 IDT 2026, 615 W
Wed Apr  1 20:18:08 IDT 2026, 606 W
Wed Apr  1 20:18:08 IDT 2026, 613 W
Wed Apr  1 20:18:09 IDT 2026, 608 W
Wed Apr  1 20:18:09 IDT 2026, 616 W
Wed Apr  1 20:18:09 IDT 2026, 603 W
Wed Apr  1 20:18:09 IDT 2026, 611 W
Wed Apr  1 20:18:10 IDT 2026, 607 W
Wed Apr  1 20:18:10 IDT 2026, 614 W
Wed Apr  1 20:18:10 IDT 2026, 600 W
Wed Apr  1 20:18:10 IDT 2026, 609 W
Wed Apr  1 20:18:11 IDT 2026, 234 W
Wed Apr  1 20:18:11 IDT 2026, 238 W
Wed Apr  1 20:18:11 IDT 2026, 231 W
Wed Apr  1 20:18:11 IDT 2026, 239 W
Wed Apr  1 20:18:12 IDT 2026, 235 W
Wed Apr  1 20:18:12 IDT 2026, 237 W
Wed Apr  1 20:18:12 IDT 2026, 231 W
Wed Apr  1 20:18:12 IDT 2026, 237 W
Wed Apr  1 20:18:13 IDT 2026, 598 W
Wed Apr  1 20:18:13 IDT 2026, 606 W
Wed Apr  1 20:18:13 IDT 2026, 595 W
Wed Apr  1 20:18:13 IDT 2026, 603 W
Wed Apr  1 20:18:14 IDT 2026, 601 W
Wed Apr  1 20:18:14 IDT 2026, 607 W
Wed Apr  1 20:18:14 IDT 2026, 596 W
Wed Apr  1 20:18:14 IDT 2026, 603 W
Wed Apr  1 20:18:15 IDT 2026, 598 W
Wed Apr  1 20:18:15 IDT 2026, 605 W
Wed Apr  1 20:18:15 IDT 2026, 591 W
Wed Apr  1 20:18:15 IDT 2026, 606 W
Wed Apr  1 20:18:16 IDT 2026, 598 W
Wed Apr  1 20:18:16 IDT 2026, 609 W
Wed Apr  1 20:18:16 IDT 2026, 594 W
Wed Apr  1 20:18:16 IDT 2026, 605 W
Wed Apr  1 20:18:17 IDT 2026, 598 W
Wed Apr  1 20:18:17 IDT 2026, 604 W
Wed Apr  1 20:18:17 IDT 2026, 594 W
Wed Apr  1 20:18:17 IDT 2026, 602 W
Wed Apr  1 20:18:18 IDT 2026, 591 W
Wed Apr  1 20:18:18 IDT 2026, 598 W
Wed Apr  1 20:18:18 IDT 2026, 588 W
Wed Apr  1 20:18:18 IDT 2026, 597 W
Wed Apr  1 20:18:19 IDT 2026, 594 W
Wed Apr  1 20:18:19 IDT 2026, 598 W
Wed Apr  1 20:18:19 IDT 2026, 589 W
Wed Apr  1 20:18:19 IDT 2026, 599 W
Wed Apr  1 20:18:20 IDT 2026, 592 W
Wed Apr  1 20:18:20 IDT 2026, 600 W
Wed Apr  1 20:18:20 IDT 2026, 587 W
Wed Apr  1 20:18:20 IDT 2026, 600 W
Wed Apr  1 20:18:21 IDT 2026, 594 W
Wed Apr  1 20:18:21 IDT 2026, 598 W
Wed Apr  1 20:18:21 IDT 2026, 589 W
Wed Apr  1 20:18:21 IDT 2026, 599 W
Wed Apr  1 20:18:22 IDT 2026, 592 W
Wed Apr  1 20:18:22 IDT 2026, 598 W
Wed Apr  1 20:18:22 IDT 2026, 588 W
Wed Apr  1 20:18:22 IDT 2026, 594 W
Wed Apr  1 20:18:23 IDT 2026, 235 W
Wed Apr  1 20:18:23 IDT 2026, 237 W
Wed Apr  1 20:18:23 IDT 2026, 230 W
Wed Apr  1 20:18:23 IDT 2026, 237 W
Wed Apr  1 20:18:24 IDT 2026, 254 W
Wed Apr  1 20:18:24 IDT 2026, 284 W
Wed Apr  1 20:18:24 IDT 2026, 306 W
Wed Apr  1 20:18:24 IDT 2026, 346 W
Wed Apr  1 20:18:25 IDT 2026, 580 W
Wed Apr  1 20:18:25 IDT 2026, 582 W
Wed Apr  1 20:18:25 IDT 2026, 571 W
Wed Apr  1 20:18:25 IDT 2026, 581 W
Wed Apr  1 20:18:26 IDT 2026, 581 W
Wed Apr  1 20:18:26 IDT 2026, 584 W
Wed Apr  1 20:18:26 IDT 2026, 577 W
Wed Apr  1 20:18:26 IDT 2026, 587 W
Wed Apr  1 20:18:27 IDT 2026, 583 W
Wed Apr  1 20:18:27 IDT 2026, 589 W
Wed Apr  1 20:18:27 IDT 2026, 577 W
Wed Apr  1 20:18:27 IDT 2026, 585 W
Wed Apr  1 20:18:28 IDT 2026, 584 W
Wed Apr  1 20:18:28 IDT 2026, 587 W
Wed Apr  1 20:18:28 IDT 2026, 579 W
Wed Apr  1 20:18:28 IDT 2026, 586 W
Wed Apr  1 20:18:29 IDT 2026, 582 W
Wed Apr  1 20:18:29 IDT 2026, 582 W
Wed Apr  1 20:18:29 IDT 2026, 577 W
Wed Apr  1 20:18:29 IDT 2026, 579 W
Wed Apr  1 20:18:30 IDT 2026, 588 W
Wed Apr  1 20:18:30 IDT 2026, 590 W
Wed Apr  1 20:18:30 IDT 2026, 580 W
Wed Apr  1 20:18:30 IDT 2026, 588 W
Wed Apr  1 20:18:31 IDT 2026, 579 W
Wed Apr  1 20:18:31 IDT 2026, 582 W
Wed Apr  1 20:18:31 IDT 2026, 569 W
Wed Apr  1 20:18:31 IDT 2026, 585 W
Wed Apr  1 20:18:32 IDT 2026, 769 W
Wed Apr  1 20:18:32 IDT 2026, 822 W
Wed Apr  1 20:18:32 IDT 2026, 833 W
Wed Apr  1 20:18:32 IDT 2026, 805 W
Wed Apr  1 20:18:33 IDT 2026, 235 W
Wed Apr  1 20:18:33 IDT 2026, 238 W
Wed Apr  1 20:18:33 IDT 2026, 231 W
Wed Apr  1 20:18:33 IDT 2026, 238 W
Wed Apr  1 20:18:34 IDT 2026, 235 W
Wed Apr  1 20:18:34 IDT 2026, 236 W
Wed Apr  1 20:18:34 IDT 2026, 231 W
Wed Apr  1 20:18:34 IDT 2026, 238 W
Wed Apr  1 20:18:35 IDT 2026, 519 W
Wed Apr  1 20:18:35 IDT 2026, 437 W
Wed Apr  1 20:18:35 IDT 2026, 423 W
Wed Apr  1 20:18:35 IDT 2026, 476 W
Wed Apr  1 20:18:36 IDT 2026, 609 W
Wed Apr  1 20:18:36 IDT 2026, 617 W
Wed Apr  1 20:18:36 IDT 2026, 605 W
Wed Apr  1 20:18:36 IDT 2026, 618 W
Wed Apr  1 20:18:37 IDT 2026, 609 W
Wed Apr  1 20:18:37 IDT 2026, 617 W
Wed Apr  1 20:18:37 IDT 2026, 606 W
Wed Apr  1 20:18:37 IDT 2026, 614 W
Wed Apr  1 20:18:38 IDT 2026, 610 W
Wed Apr  1 20:18:38 IDT 2026, 618 W
