timestamp, power.draw [W]
Wed Apr  1 19:42:39 IDT 2026, 228 W
Wed Apr  1 19:42:39 IDT 2026, 230 W
Wed Apr  1 19:42:39 IDT 2026, 226 W
Wed Apr  1 19:42:39 IDT 2026, 228 W
Wed Apr  1 19:42:41 IDT 2026, 228 W
Wed Apr  1 19:42:41 IDT 2026, 230 W
Wed Apr  1 19:42:41 IDT 2026, 226 W
Wed Apr  1 19:42:41 IDT 2026, 228 W
Wed Apr  1 19:42:41 IDT 2026, 228 W
Wed Apr  1 19:42:41 IDT 2026, 230 W
Wed Apr  1 19:42:41 IDT 2026, 226 W
Wed Apr  1 19:42:41 IDT 2026, 228 W
Wed Apr  1 19:42:42 IDT 2026, 228 W
Wed Apr  1 19:42:42 IDT 2026, 230 W
Wed Apr  1 19:42:42 IDT 2026, 226 W
Wed Apr  1 19:42:42 IDT 2026, 228 W
Wed Apr  1 19:42:43 IDT 2026, 228 W
Wed Apr  1 19:42:43 IDT 2026, 230 W
Wed Apr  1 19:42:43 IDT 2026, 226 W
Wed Apr  1 19:42:43 IDT 2026, 228 W
Wed Apr  1 19:42:44 IDT 2026, 228 W
Wed Apr  1 19:42:44 IDT 2026, 230 W
Wed Apr  1 19:42:44 IDT 2026, 226 W
Wed Apr  1 19:42:44 IDT 2026, 228 W
Wed Apr  1 19:42:45 IDT 2026, 228 W
Wed Apr  1 19:42:45 IDT 2026, 230 W
Wed Apr  1 19:42:45 IDT 2026, 226 W
Wed Apr  1 19:42:45 IDT 2026, 228 W
Wed Apr  1 19:42:46 IDT 2026, 229 W
Wed Apr  1 19:42:46 IDT 2026, 230 W
Wed Apr  1 19:42:46 IDT 2026, 226 W
Wed Apr  1 19:42:46 IDT 2026, 228 W
Wed Apr  1 19:42:47 IDT 2026, 228 W
Wed Apr  1 19:42:47 IDT 2026, 230 W
Wed Apr  1 19:42:47 IDT 2026, 226 W
Wed Apr  1 19:42:47 IDT 2026, 228 W
Wed Apr  1 19:42:48 IDT 2026, 228 W
Wed Apr  1 19:42:48 IDT 2026, 230 W
Wed Apr  1 19:42:48 IDT 2026, 226 W
Wed Apr  1 19:42:48 IDT 2026, 228 W
Wed Apr  1 19:42:49 IDT 2026, 228 W
Wed Apr  1 19:42:49 IDT 2026, 230 W
Wed Apr  1 19:42:49 IDT 2026, 226 W
Wed Apr  1 19:42:49 IDT 2026, 228 W
Wed Apr  1 19:42:51 IDT 2026, 230 W
Wed Apr  1 19:42:51 IDT 2026, 232 W
Wed Apr  1 19:42:51 IDT 2026, 227 W
Wed Apr  1 19:42:51 IDT 2026, 230 W
Wed Apr  1 19:42:51 IDT 2026, 230 W
Wed Apr  1 19:42:51 IDT 2026, 231 W
Wed Apr  1 19:42:51 IDT 2026, 227 W
Wed Apr  1 19:42:51 IDT 2026, 231 W
Wed Apr  1 19:42:53 IDT 2026, 229 W
Wed Apr  1 19:42:53 IDT 2026, 231 W
Wed Apr  1 19:42:53 IDT 2026, 226 W
Wed Apr  1 19:42:53 IDT 2026, 230 W
Wed Apr  1 19:42:53 IDT 2026, 229 W
Wed Apr  1 19:42:53 IDT 2026, 231 W
Wed Apr  1 19:42:53 IDT 2026, 228 W
Wed Apr  1 19:42:53 IDT 2026, 229 W
Wed Apr  1 19:42:54 IDT 2026, 230 W
Wed Apr  1 19:42:54 IDT 2026, 232 W
Wed Apr  1 19:42:54 IDT 2026, 228 W
Wed Apr  1 19:42:54 IDT 2026, 230 W
Wed Apr  1 19:42:55 IDT 2026, 592 W
Wed Apr  1 19:42:55 IDT 2026, 600 W
Wed Apr  1 19:42:55 IDT 2026, 588 W
Wed Apr  1 19:42:55 IDT 2026, 595 W
Wed Apr  1 19:42:56 IDT 2026, 593 W
Wed Apr  1 19:42:56 IDT 2026, 601 W
Wed Apr  1 19:42:56 IDT 2026, 588 W
Wed Apr  1 19:42:56 IDT 2026, 596 W
Wed Apr  1 19:42:57 IDT 2026, 592 W
Wed Apr  1 19:42:57 IDT 2026, 596 W
Wed Apr  1 19:42:57 IDT 2026, 587 W
Wed Apr  1 19:42:57 IDT 2026, 596 W
Wed Apr  1 19:42:58 IDT 2026, 595 W
Wed Apr  1 19:42:58 IDT 2026, 599 W
Wed Apr  1 19:42:58 IDT 2026, 590 W
Wed Apr  1 19:42:58 IDT 2026, 596 W
Wed Apr  1 19:42:59 IDT 2026, 587 W
Wed Apr  1 19:42:59 IDT 2026, 594 W
Wed Apr  1 19:42:59 IDT 2026, 585 W
Wed Apr  1 19:42:59 IDT 2026, 592 W
Wed Apr  1 19:43:00 IDT 2026, 593 W
Wed Apr  1 19:43:00 IDT 2026, 601 W
Wed Apr  1 19:43:00 IDT 2026, 587 W
Wed Apr  1 19:43:00 IDT 2026, 595 W
Wed Apr  1 19:43:01 IDT 2026, 591 W
Wed Apr  1 19:43:01 IDT 2026, 598 W
Wed Apr  1 19:43:01 IDT 2026, 587 W
Wed Apr  1 19:43:01 IDT 2026, 595 W
Wed Apr  1 19:43:02 IDT 2026, 595 W
Wed Apr  1 19:43:02 IDT 2026, 598 W
Wed Apr  1 19:43:02 IDT 2026, 588 W
Wed Apr  1 19:43:02 IDT 2026, 595 W
Wed Apr  1 19:43:03 IDT 2026, 591 W
Wed Apr  1 19:43:03 IDT 2026, 598 W
Wed Apr  1 19:43:03 IDT 2026, 587 W
Wed Apr  1 19:43:03 IDT 2026, 595 W
Wed Apr  1 19:43:04 IDT 2026, 591 W
Wed Apr  1 19:43:04 IDT 2026, 600 W
Wed Apr  1 19:43:04 IDT 2026, 588 W
Wed Apr  1 19:43:04 IDT 2026, 596 W
Wed Apr  1 19:43:05 IDT 2026, 596 W
Wed Apr  1 19:43:05 IDT 2026, 599 W
Wed Apr  1 19:43:05 IDT 2026, 588 W
Wed Apr  1 19:43:05 IDT 2026, 595 W
Wed Apr  1 19:43:06 IDT 2026, 593 W
Wed Apr  1 19:43:06 IDT 2026, 600 W
Wed Apr  1 19:43:06 IDT 2026, 588 W
Wed Apr  1 19:43:06 IDT 2026, 596 W
Wed Apr  1 19:43:07 IDT 2026, 586 W
Wed Apr  1 19:43:07 IDT 2026, 594 W
Wed Apr  1 19:43:07 IDT 2026, 581 W
Wed Apr  1 19:43:07 IDT 2026, 591 W
Wed Apr  1 19:43:08 IDT 2026, 588 W
Wed Apr  1 19:43:08 IDT 2026, 596 W
Wed Apr  1 19:43:08 IDT 2026, 584 W
Wed Apr  1 19:43:08 IDT 2026, 591 W
Wed Apr  1 19:43:09 IDT 2026, 589 W
Wed Apr  1 19:43:09 IDT 2026, 593 W
Wed Apr  1 19:43:09 IDT 2026, 582 W
Wed Apr  1 19:43:09 IDT 2026, 589 W
Wed Apr  1 19:43:10 IDT 2026, 585 W
Wed Apr  1 19:43:10 IDT 2026, 593 W
Wed Apr  1 19:43:10 IDT 2026, 581 W
Wed Apr  1 19:43:10 IDT 2026, 589 W
Wed Apr  1 19:43:12 IDT 2026, 589 W
Wed Apr  1 19:43:12 IDT 2026, 596 W
Wed Apr  1 19:43:12 IDT 2026, 584 W
Wed Apr  1 19:43:12 IDT 2026, 595 W
Wed Apr  1 19:43:12 IDT 2026, 592 W
Wed Apr  1 19:43:12 IDT 2026, 598 W
Wed Apr  1 19:43:12 IDT 2026, 584 W
Wed Apr  1 19:43:12 IDT 2026, 591 W
Wed Apr  1 19:43:13 IDT 2026, 589 W
Wed Apr  1 19:43:13 IDT 2026, 593 W
Wed Apr  1 19:43:13 IDT 2026, 583 W
Wed Apr  1 19:43:13 IDT 2026, 593 W
Wed Apr  1 19:43:14 IDT 2026, 592 W
Wed Apr  1 19:43:14 IDT 2026, 599 W
Wed Apr  1 19:43:14 IDT 2026, 585 W
Wed Apr  1 19:43:14 IDT 2026, 591 W
Wed Apr  1 19:43:15 IDT 2026, 593 W
Wed Apr  1 19:43:15 IDT 2026, 597 W
Wed Apr  1 19:43:15 IDT 2026, 584 W
Wed Apr  1 19:43:15 IDT 2026, 595 W
Wed Apr  1 19:43:16 IDT 2026, 586 W
Wed Apr  1 19:43:16 IDT 2026, 593 W
Wed Apr  1 19:43:16 IDT 2026, 584 W
Wed Apr  1 19:43:16 IDT 2026, 585 W
Wed Apr  1 19:43:17 IDT 2026, 589 W
Wed Apr  1 19:43:17 IDT 2026, 596 W
Wed Apr  1 19:43:17 IDT 2026, 582 W
Wed Apr  1 19:43:17 IDT 2026, 593 W
Wed Apr  1 19:43:18 IDT 2026, 587 W
Wed Apr  1 19:43:18 IDT 2026, 592 W
Wed Apr  1 19:43:18 IDT 2026, 582 W
Wed Apr  1 19:43:18 IDT 2026, 589 W
Wed Apr  1 19:43:19 IDT 2026, 591 W
Wed Apr  1 19:43:19 IDT 2026, 596 W
Wed Apr  1 19:43:19 IDT 2026, 585 W
Wed Apr  1 19:43:19 IDT 2026, 595 W
Wed Apr  1 19:43:20 IDT 2026, 232 W
Wed Apr  1 19:43:20 IDT 2026, 234 W
Wed Apr  1 19:43:20 IDT 2026, 229 W
Wed Apr  1 19:43:20 IDT 2026, 234 W
Wed Apr  1 19:43:21 IDT 2026, 231 W
Wed Apr  1 19:43:21 IDT 2026, 234 W
Wed Apr  1 19:43:21 IDT 2026, 230 W
Wed Apr  1 19:43:21 IDT 2026, 232 W
Wed Apr  1 19:43:22 IDT 2026, 580 W
Wed Apr  1 19:43:22 IDT 2026, 590 W
Wed Apr  1 19:43:22 IDT 2026, 575 W
Wed Apr  1 19:43:22 IDT 2026, 582 W
Wed Apr  1 19:43:23 IDT 2026, 576 W
Wed Apr  1 19:43:23 IDT 2026, 582 W
Wed Apr  1 19:43:23 IDT 2026, 573 W
Wed Apr  1 19:43:23 IDT 2026, 581 W
Wed Apr  1 19:43:24 IDT 2026, 577 W
Wed Apr  1 19:43:24 IDT 2026, 583 W
Wed Apr  1 19:43:24 IDT 2026, 576 W
Wed Apr  1 19:43:24 IDT 2026, 584 W
Wed Apr  1 19:43:25 IDT 2026, 579 W
Wed Apr  1 19:43:25 IDT 2026, 585 W
Wed Apr  1 19:43:25 IDT 2026, 576 W
Wed Apr  1 19:43:25 IDT 2026, 584 W
Wed Apr  1 19:43:26 IDT 2026, 459 W
Wed Apr  1 19:43:26 IDT 2026, 451 W
Wed Apr  1 19:43:26 IDT 2026, 393 W
Wed Apr  1 19:43:26 IDT 2026, 388 W
Wed Apr  1 19:43:27 IDT 2026, 233 W
Wed Apr  1 19:43:27 IDT 2026, 234 W
Wed Apr  1 19:43:27 IDT 2026, 230 W
Wed Apr  1 19:43:27 IDT 2026, 233 W
Wed Apr  1 19:43:28 IDT 2026, 231 W
Wed Apr  1 19:43:28 IDT 2026, 234 W
Wed Apr  1 19:43:28 IDT 2026, 229 W
Wed Apr  1 19:43:28 IDT 2026, 232 W
Wed Apr  1 19:43:29 IDT 2026, 594 W
Wed Apr  1 19:43:29 IDT 2026, 599 W
Wed Apr  1 19:43:29 IDT 2026, 589 W
Wed Apr  1 19:43:29 IDT 2026, 600 W
Wed Apr  1 19:43:30 IDT 2026, 597 W
Wed Apr  1 19:43:30 IDT 2026, 603 W
Wed Apr  1 19:43:30 IDT 2026, 592 W
Wed Apr  1 19:43:30 IDT 2026, 601 W
Wed Apr  1 19:43:31 IDT 2026, 590 W
Wed Apr  1 19:43:31 IDT 2026, 595 W
Wed Apr  1 19:43:31 IDT 2026, 593 W
Wed Apr  1 19:43:31 IDT 2026, 602 W
Wed Apr  1 19:43:32 IDT 2026, 599 W
Wed Apr  1 19:43:32 IDT 2026, 605 W
Wed Apr  1 19:43:32 IDT 2026, 597 W
Wed Apr  1 19:43:32 IDT 2026, 606 W
Wed Apr  1 19:43:33 IDT 2026, 596 W
Wed Apr  1 19:43:33 IDT 2026, 604 W
Wed Apr  1 19:43:33 IDT 2026, 590 W
Wed Apr  1 19:43:33 IDT 2026, 604 W
Wed Apr  1 19:43:34 IDT 2026, 595 W
Wed Apr  1 19:43:34 IDT 2026, 599 W
Wed Apr  1 19:43:34 IDT 2026, 590 W
Wed Apr  1 19:43:34 IDT 2026, 599 W
Wed Apr  1 19:43:35 IDT 2026, 590 W
Wed Apr  1 19:43:35 IDT 2026, 596 W
Wed Apr  1 19:43:35 IDT 2026, 587 W
Wed Apr  1 19:43:35 IDT 2026, 598 W
Wed Apr  1 19:43:36 IDT 2026, 597 W
Wed Apr  1 19:43:36 IDT 2026, 605 W
Wed Apr  1 19:43:36 IDT 2026, 595 W
Wed Apr  1 19:43:36 IDT 2026, 604 W
Wed Apr  1 19:43:37 IDT 2026, 594 W
Wed Apr  1 19:43:37 IDT 2026, 604 W
Wed Apr  1 19:43:37 IDT 2026, 592 W
Wed Apr  1 19:43:37 IDT 2026, 601 W
Wed Apr  1 19:43:39 IDT 2026, 600 W
Wed Apr  1 19:43:39 IDT 2026, 605 W
Wed Apr  1 19:43:39 IDT 2026, 594 W
Wed Apr  1 19:43:39 IDT 2026, 604 W
Wed Apr  1 19:43:39 IDT 2026, 597 W
Wed Apr  1 19:43:39 IDT 2026, 603 W
Wed Apr  1 19:43:39 IDT 2026, 593 W
Wed Apr  1 19:43:39 IDT 2026, 603 W
Wed Apr  1 19:43:40 IDT 2026, 595 W
Wed Apr  1 19:43:40 IDT 2026, 604 W
Wed Apr  1 19:43:40 IDT 2026, 595 W
Wed Apr  1 19:43:40 IDT 2026, 604 W
Wed Apr  1 19:43:41 IDT 2026, 594 W
Wed Apr  1 19:43:41 IDT 2026, 600 W
Wed Apr  1 19:43:41 IDT 2026, 586 W
Wed Apr  1 19:43:41 IDT 2026, 596 W
Wed Apr  1 19:43:42 IDT 2026, 590 W
Wed Apr  1 19:43:42 IDT 2026, 597 W
Wed Apr  1 19:43:42 IDT 2026, 585 W
Wed Apr  1 19:43:42 IDT 2026, 594 W
Wed Apr  1 19:43:43 IDT 2026, 592 W
Wed Apr  1 19:43:43 IDT 2026, 594 W
Wed Apr  1 19:43:43 IDT 2026, 584 W
Wed Apr  1 19:43:43 IDT 2026, 593 W
Wed Apr  1 19:43:44 IDT 2026, 580 W
Wed Apr  1 19:43:44 IDT 2026, 586 W
Wed Apr  1 19:43:44 IDT 2026, 575 W
Wed Apr  1 19:43:44 IDT 2026, 584 W
Wed Apr  1 19:43:45 IDT 2026, 575 W
Wed Apr  1 19:43:45 IDT 2026, 585 W
Wed Apr  1 19:43:45 IDT 2026, 570 W
Wed Apr  1 19:43:45 IDT 2026, 578 W
Wed Apr  1 19:43:47 IDT 2026, 581 W
Wed Apr  1 19:43:47 IDT 2026, 590 W
Wed Apr  1 19:43:47 IDT 2026, 575 W
Wed Apr  1 19:43:47 IDT 2026, 583 W
Wed Apr  1 19:43:47 IDT 2026, 582 W
Wed Apr  1 19:43:47 IDT 2026, 589 W
Wed Apr  1 19:43:47 IDT 2026, 578 W
Wed Apr  1 19:43:47 IDT 2026, 586 W
Wed Apr  1 19:43:48 IDT 2026, 232 W
Wed Apr  1 19:43:48 IDT 2026, 235 W
Wed Apr  1 19:43:48 IDT 2026, 231 W
Wed Apr  1 19:43:48 IDT 2026, 235 W
Wed Apr  1 19:43:49 IDT 2026, 231 W
Wed Apr  1 19:43:49 IDT 2026, 234 W
Wed Apr  1 19:43:49 IDT 2026, 229 W
Wed Apr  1 19:43:49 IDT 2026, 233 W
Wed Apr  1 19:43:50 IDT 2026, 549 W
Wed Apr  1 19:43:50 IDT 2026, 551 W
Wed Apr  1 19:43:50 IDT 2026, 542 W
Wed Apr  1 19:43:50 IDT 2026, 554 W
Wed Apr  1 19:43:51 IDT 2026, 544 W
Wed Apr  1 19:43:51 IDT 2026, 551 W
Wed Apr  1 19:43:51 IDT 2026, 541 W
Wed Apr  1 19:43:51 IDT 2026, 548 W
Wed Apr  1 19:43:52 IDT 2026, 544 W
Wed Apr  1 19:43:52 IDT 2026, 544 W
Wed Apr  1 19:43:52 IDT 2026, 538 W
Wed Apr  1 19:43:52 IDT 2026, 550 W
Wed Apr  1 19:43:53 IDT 2026, 547 W
Wed Apr  1 19:43:53 IDT 2026, 549 W
Wed Apr  1 19:43:53 IDT 2026, 536 W
Wed Apr  1 19:43:53 IDT 2026, 550 W
Wed Apr  1 19:43:54 IDT 2026, 548 W
Wed Apr  1 19:43:54 IDT 2026, 549 W
Wed Apr  1 19:43:54 IDT 2026, 542 W
Wed Apr  1 19:43:54 IDT 2026, 549 W
Wed Apr  1 19:43:55 IDT 2026, 546 W
Wed Apr  1 19:43:55 IDT 2026, 553 W
Wed Apr  1 19:43:55 IDT 2026, 542 W
Wed Apr  1 19:43:55 IDT 2026, 551 W
Wed Apr  1 19:43:56 IDT 2026, 545 W
Wed Apr  1 19:43:56 IDT 2026, 553 W
Wed Apr  1 19:43:56 IDT 2026, 541 W
Wed Apr  1 19:43:56 IDT 2026, 550 W
Wed Apr  1 19:43:57 IDT 2026, 234 W
Wed Apr  1 19:43:57 IDT 2026, 236 W
Wed Apr  1 19:43:57 IDT 2026, 231 W
Wed Apr  1 19:43:57 IDT 2026, 237 W
