timestamp, power.draw [W]
Tue Mar 31 14:33:20 IDT 2026, 227 W
Tue Mar 31 14:33:20 IDT 2026, 233 W
Tue Mar 31 14:33:20 IDT 2026, 227 W
Tue Mar 31 14:33:20 IDT 2026, 227 W
Tue Mar 31 14:33:20 IDT 2026, 229 W
Tue Mar 31 14:33:20 IDT 2026, 231 W
Tue Mar 31 14:33:20 IDT 2026, 231 W
Tue Mar 31 14:33:20 IDT 2026, 228 W
Tue Mar 31 14:33:21 IDT 2026, 227 W
Tue Mar 31 14:33:21 IDT 2026, 233 W
Tue Mar 31 14:33:21 IDT 2026, 227 W
Tue Mar 31 14:33:21 IDT 2026, 227 W
Tue Mar 31 14:33:21 IDT 2026, 229 W
Tue Mar 31 14:33:21 IDT 2026, 231 W
Tue Mar 31 14:33:21 IDT 2026, 231 W
Tue Mar 31 14:33:21 IDT 2026, 228 W
Tue Mar 31 14:33:22 IDT 2026, 227 W
Tue Mar 31 14:33:22 IDT 2026, 233 W
Tue Mar 31 14:33:22 IDT 2026, 227 W
Tue Mar 31 14:33:22 IDT 2026, 227 W
Tue Mar 31 14:33:22 IDT 2026, 229 W
Tue Mar 31 14:33:22 IDT 2026, 231 W
Tue Mar 31 14:33:22 IDT 2026, 231 W
Tue Mar 31 14:33:22 IDT 2026, 229 W
Tue Mar 31 14:33:23 IDT 2026, 227 W
Tue Mar 31 14:33:23 IDT 2026, 233 W
Tue Mar 31 14:33:23 IDT 2026, 227 W
Tue Mar 31 14:33:23 IDT 2026, 227 W
Tue Mar 31 14:33:23 IDT 2026, 229 W
Tue Mar 31 14:33:23 IDT 2026, 231 W
Tue Mar 31 14:33:23 IDT 2026, 231 W
Tue Mar 31 14:33:23 IDT 2026, 228 W
Tue Mar 31 14:33:24 IDT 2026, 227 W
Tue Mar 31 14:33:24 IDT 2026, 233 W
Tue Mar 31 14:33:24 IDT 2026, 227 W
Tue Mar 31 14:33:24 IDT 2026, 227 W
Tue Mar 31 14:33:24 IDT 2026, 230 W
Tue Mar 31 14:33:24 IDT 2026, 231 W
Tue Mar 31 14:33:24 IDT 2026, 231 W
Tue Mar 31 14:33:24 IDT 2026, 229 W
Tue Mar 31 14:33:25 IDT 2026, 227 W
Tue Mar 31 14:33:25 IDT 2026, 233 W
Tue Mar 31 14:33:25 IDT 2026, 227 W
Tue Mar 31 14:33:25 IDT 2026, 227 W
Tue Mar 31 14:33:25 IDT 2026, 230 W
Tue Mar 31 14:33:25 IDT 2026, 231 W
Tue Mar 31 14:33:25 IDT 2026, 231 W
Tue Mar 31 14:33:25 IDT 2026, 227 W
Tue Mar 31 14:33:26 IDT 2026, 227 W
Tue Mar 31 14:33:26 IDT 2026, 233 W
Tue Mar 31 14:33:26 IDT 2026, 227 W
Tue Mar 31 14:33:26 IDT 2026, 227 W
Tue Mar 31 14:33:26 IDT 2026, 229 W
Tue Mar 31 14:33:26 IDT 2026, 231 W
Tue Mar 31 14:33:26 IDT 2026, 231 W
Tue Mar 31 14:33:26 IDT 2026, 229 W
Tue Mar 31 14:33:27 IDT 2026, 227 W
Tue Mar 31 14:33:27 IDT 2026, 234 W
Tue Mar 31 14:33:27 IDT 2026, 228 W
Tue Mar 31 14:33:27 IDT 2026, 227 W
Tue Mar 31 14:33:27 IDT 2026, 232 W
Tue Mar 31 14:33:27 IDT 2026, 231 W
Tue Mar 31 14:33:27 IDT 2026, 232 W
Tue Mar 31 14:33:27 IDT 2026, 228 W
Tue Mar 31 14:33:28 IDT 2026, 234 W
Tue Mar 31 14:33:28 IDT 2026, 240 W
Tue Mar 31 14:33:28 IDT 2026, 232 W
Tue Mar 31 14:33:28 IDT 2026, 237 W
Tue Mar 31 14:33:28 IDT 2026, 247 W
Tue Mar 31 14:33:28 IDT 2026, 236 W
Tue Mar 31 14:33:28 IDT 2026, 239 W
Tue Mar 31 14:33:28 IDT 2026, 248 W
Tue Mar 31 14:33:29 IDT 2026, 229 W
Tue Mar 31 14:33:29 IDT 2026, 236 W
Tue Mar 31 14:33:29 IDT 2026, 228 W
Tue Mar 31 14:33:29 IDT 2026, 229 W
Tue Mar 31 14:33:29 IDT 2026, 231 W
Tue Mar 31 14:33:29 IDT 2026, 233 W
Tue Mar 31 14:33:29 IDT 2026, 233 W
Tue Mar 31 14:33:29 IDT 2026, 231 W
Tue Mar 31 14:33:30 IDT 2026, 229 W
Tue Mar 31 14:33:30 IDT 2026, 235 W
Tue Mar 31 14:33:30 IDT 2026, 228 W
Tue Mar 31 14:33:30 IDT 2026, 228 W
Tue Mar 31 14:33:30 IDT 2026, 232 W
Tue Mar 31 14:33:30 IDT 2026, 233 W
Tue Mar 31 14:33:30 IDT 2026, 233 W
Tue Mar 31 14:33:30 IDT 2026, 230 W
Tue Mar 31 14:33:31 IDT 2026, 230 W
Tue Mar 31 14:33:31 IDT 2026, 235 W
Tue Mar 31 14:33:31 IDT 2026, 229 W
Tue Mar 31 14:33:31 IDT 2026, 228 W
Tue Mar 31 14:33:31 IDT 2026, 232 W
Tue Mar 31 14:33:31 IDT 2026, 233 W
Tue Mar 31 14:33:31 IDT 2026, 232 W
Tue Mar 31 14:33:31 IDT 2026, 229 W
Tue Mar 31 14:33:32 IDT 2026, 524 W
Tue Mar 31 14:33:32 IDT 2026, 529 W
Tue Mar 31 14:33:32 IDT 2026, 521 W
Tue Mar 31 14:33:32 IDT 2026, 523 W
Tue Mar 31 14:33:32 IDT 2026, 523 W
Tue Mar 31 14:33:32 IDT 2026, 527 W
Tue Mar 31 14:33:32 IDT 2026, 524 W
Tue Mar 31 14:33:32 IDT 2026, 527 W
Tue Mar 31 14:33:33 IDT 2026, 526 W
Tue Mar 31 14:33:33 IDT 2026, 531 W
Tue Mar 31 14:33:33 IDT 2026, 522 W
Tue Mar 31 14:33:33 IDT 2026, 526 W
Tue Mar 31 14:33:33 IDT 2026, 524 W
Tue Mar 31 14:33:33 IDT 2026, 527 W
Tue Mar 31 14:33:33 IDT 2026, 527 W
Tue Mar 31 14:33:33 IDT 2026, 524 W
Tue Mar 31 14:33:34 IDT 2026, 523 W
Tue Mar 31 14:33:34 IDT 2026, 533 W
Tue Mar 31 14:33:34 IDT 2026, 523 W
Tue Mar 31 14:33:34 IDT 2026, 527 W
Tue Mar 31 14:33:34 IDT 2026, 527 W
Tue Mar 31 14:33:34 IDT 2026, 525 W
Tue Mar 31 14:33:34 IDT 2026, 529 W
Tue Mar 31 14:33:34 IDT 2026, 524 W
Tue Mar 31 14:33:35 IDT 2026, 527 W
