timestamp, power.draw [W]
Tue Mar 17 18:11:15 IST 2026, 84 W
Tue Mar 17 18:11:16 IST 2026, 82 W
Tue Mar 17 18:11:17 IST 2026, 86 W
Tue Mar 17 18:11:18 IST 2026, 90 W
Tue Mar 17 18:11:19 IST 2026, 84 W
Tue Mar 17 18:11:20 IST 2026, 89 W
Tue Mar 17 18:11:21 IST 2026, 86 W
Tue Mar 17 18:11:22 IST 2026, 86 W
Tue Mar 17 18:11:23 IST 2026, 82 W
Tue Mar 17 18:11:24 IST 2026, 89 W
Tue Mar 17 18:11:25 IST 2026, 92 W
Tue Mar 17 18:11:26 IST 2026, 81 W
Tue Mar 17 18:11:27 IST 2026, 86 W
Tue Mar 17 18:11:28 IST 2026, 90 W
Tue Mar 17 18:11:29 IST 2026, 86 W
Tue Mar 17 18:11:30 IST 2026, 82 W
Tue Mar 17 18:11:31 IST 2026, 84 W
Tue Mar 17 18:11:32 IST 2026, 89 W
Tue Mar 17 18:11:33 IST 2026, 89 W
Tue Mar 17 18:11:34 IST 2026, 83 W
Tue Mar 17 18:11:35 IST 2026, 91 W
Tue Mar 17 18:11:36 IST 2026, 92 W
Tue Mar 17 18:11:37 IST 2026, 86 W
Tue Mar 17 18:11:38 IST 2026, 86 W
Tue Mar 17 18:11:39 IST 2026, 92 W
Tue Mar 17 18:11:40 IST 2026, 91 W
Tue Mar 17 18:11:41 IST 2026, 93 W
Tue Mar 17 18:11:42 IST 2026, 84 W
Tue Mar 17 18:11:43 IST 2026, 85 W
Tue Mar 17 18:11:44 IST 2026, 85 W
Tue Mar 17 18:11:45 IST 2026, 83 W
Tue Mar 17 18:11:46 IST 2026, 87 W
Tue Mar 17 18:11:47 IST 2026, 86 W
Tue Mar 17 18:11:48 IST 2026, 88 W
Tue Mar 17 18:11:49 IST 2026, 89 W
Tue Mar 17 18:11:50 IST 2026, 87 W
Tue Mar 17 18:11:51 IST 2026, 92 W
Tue Mar 17 18:11:52 IST 2026, 87 W
Tue Mar 17 18:11:53 IST 2026, 86 W
Tue Mar 17 18:11:54 IST 2026, 93 W
Tue Mar 17 18:11:55 IST 2026, 90 W
Tue Mar 17 18:11:56 IST 2026, 84 W
Tue Mar 17 18:11:57 IST 2026, 88 W
Tue Mar 17 18:11:58 IST 2026, 84 W
Tue Mar 17 18:11:59 IST 2026, 85 W
Tue Mar 17 18:12:00 IST 2026, 83 W
Tue Mar 17 18:12:01 IST 2026, 86 W
Tue Mar 17 18:12:02 IST 2026, 84 W
Tue Mar 17 18:12:03 IST 2026, 91 W
Tue Mar 17 18:12:04 IST 2026, 86 W
Tue Mar 17 18:12:05 IST 2026, 88 W
Tue Mar 17 18:12:06 IST 2026, 86 W
Tue Mar 17 18:12:07 IST 2026, 87 W
Tue Mar 17 18:12:08 IST 2026, 83 W
Tue Mar 17 18:12:09 IST 2026, 85 W
Tue Mar 17 18:12:10 IST 2026, 90 W
Tue Mar 17 18:12:11 IST 2026, 86 W
Tue Mar 17 18:12:12 IST 2026, 83 W
Tue Mar 17 18:12:13 IST 2026, 87 W
Tue Mar 17 18:12:14 IST 2026, 86 W
Tue Mar 17 18:12:15 IST 2026, 89 W
Tue Mar 17 18:12:16 IST 2026, 94 W
Tue Mar 17 18:12:17 IST 2026, 89 W
Tue Mar 17 18:12:18 IST 2026, 89 W
Tue Mar 17 18:12:19 IST 2026, 89 W
Tue Mar 17 18:12:20 IST 2026, 91 W
Tue Mar 17 18:12:21 IST 2026, 86 W
Tue Mar 17 18:12:22 IST 2026, 88 W
Tue Mar 17 18:12:23 IST 2026, 89 W
Tue Mar 17 18:12:24 IST 2026, 88 W
Tue Mar 17 18:12:25 IST 2026, 89 W
Tue Mar 17 18:12:26 IST 2026, 87 W
Tue Mar 17 18:12:27 IST 2026, 85 W
Tue Mar 17 18:12:28 IST 2026, 94 W
Tue Mar 17 18:12:29 IST 2026, 84 W
Tue Mar 17 18:12:30 IST 2026, 92 W
Tue Mar 17 18:12:31 IST 2026, 87 W
Tue Mar 17 18:12:32 IST 2026, 84 W
Tue Mar 17 18:12:33 IST 2026, 82 W
Tue Mar 17 18:12:34 IST 2026, 90 W
Tue Mar 17 18:12:35 IST 2026, 93 W
Tue Mar 17 18:12:36 IST 2026, 85 W
Tue Mar 17 18:12:37 IST 2026, 87 W
Tue Mar 17 18:12:38 IST 2026, 89 W
Tue Mar 17 18:12:39 IST 2026, 82 W
Tue Mar 17 18:12:40 IST 2026, 82 W
Tue Mar 17 18:12:41 IST 2026, 87 W
Tue Mar 17 18:12:42 IST 2026, 89 W
Tue Mar 17 18:12:43 IST 2026, 89 W
Tue Mar 17 18:12:44 IST 2026, 93 W
Tue Mar 17 18:12:45 IST 2026, 88 W
Tue Mar 17 18:12:46 IST 2026, 82 W
Tue Mar 17 18:12:47 IST 2026, 85 W
Tue Mar 17 18:12:48 IST 2026, 88 W
Tue Mar 17 18:12:49 IST 2026, 89 W
Tue Mar 17 18:12:50 IST 2026, 84 W
Tue Mar 17 18:12:51 IST 2026, 85 W
Tue Mar 17 18:12:52 IST 2026, 86 W
Tue Mar 17 18:12:53 IST 2026, 86 W
Tue Mar 17 18:12:54 IST 2026, 85 W
Tue Mar 17 18:12:55 IST 2026, 90 W
Tue Mar 17 18:12:56 IST 2026, 87 W
Tue Mar 17 18:12:57 IST 2026, 88 W
Tue Mar 17 18:12:58 IST 2026, 87 W
Tue Mar 17 18:12:59 IST 2026, 88 W
Tue Mar 17 18:13:00 IST 2026, 92 W
Tue Mar 17 18:13:01 IST 2026, 87 W
Tue Mar 17 18:13:02 IST 2026, 89 W
Tue Mar 17 18:13:03 IST 2026, 86 W
Tue Mar 17 18:13:04 IST 2026, 92 W
Tue Mar 17 18:13:05 IST 2026, 88 W
Tue Mar 17 18:13:06 IST 2026, 83 W
Tue Mar 17 18:13:07 IST 2026, 82 W
Tue Mar 17 18:13:08 IST 2026, 84 W
Tue Mar 17 18:13:09 IST 2026, 86 W
Tue Mar 17 18:13:10 IST 2026, 86 W
Tue Mar 17 18:13:11 IST 2026, 88 W
Tue Mar 17 18:13:12 IST 2026, 90 W
Tue Mar 17 18:13:13 IST 2026, 87 W
Tue Mar 17 18:13:14 IST 2026, 86 W
Tue Mar 17 18:13:15 IST 2026, 84 W
Tue Mar 17 18:13:16 IST 2026, 88 W
Tue Mar 17 18:13:17 IST 2026, 86 W
Tue Mar 17 18:13:18 IST 2026, 89 W
Tue Mar 17 18:13:19 IST 2026, 88 W
Tue Mar 17 18:13:20 IST 2026, 87 W
Tue Mar 17 18:13:21 IST 2026, 87 W
Tue Mar 17 18:13:22 IST 2026, 84 W
Tue Mar 17 18:13:23 IST 2026, 85 W
Tue Mar 17 18:13:24 IST 2026, 88 W
Tue Mar 17 18:13:25 IST 2026, 88 W
Tue Mar 17 18:13:26 IST 2026, 82 W
Tue Mar 17 18:13:27 IST 2026, 87 W
Tue Mar 17 18:13:28 IST 2026, 84 W
Tue Mar 17 18:13:29 IST 2026, 84 W
Tue Mar 17 18:13:30 IST 2026, 86 W
Tue Mar 17 18:13:31 IST 2026, 91 W
Tue Mar 17 18:13:32 IST 2026, 88 W
Tue Mar 17 18:13:33 IST 2026, 84 W
Tue Mar 17 18:13:34 IST 2026, 87 W
Tue Mar 17 18:13:35 IST 2026, 87 W
Tue Mar 17 18:13:36 IST 2026, 85 W
Tue Mar 17 18:13:37 IST 2026, 86 W
Tue Mar 17 18:13:38 IST 2026, 88 W
Tue Mar 17 18:13:39 IST 2026, 85 W
Tue Mar 17 18:13:40 IST 2026, 89 W
Tue Mar 17 18:13:41 IST 2026, 92 W
Tue Mar 17 18:13:42 IST 2026, 90 W
Tue Mar 17 18:13:43 IST 2026, 90 W
Tue Mar 17 18:13:44 IST 2026, 86 W
Tue Mar 17 18:13:45 IST 2026, 84 W
Tue Mar 17 18:13:46 IST 2026, 87 W
Tue Mar 17 18:13:47 IST 2026, 84 W
Tue Mar 17 18:13:48 IST 2026, 87 W
Tue Mar 17 18:13:49 IST 2026, 86 W
Tue Mar 17 18:13:50 IST 2026, 93 W
Tue Mar 17 18:13:51 IST 2026, 83 W
Tue Mar 17 18:13:52 IST 2026, 83 W
Tue Mar 17 18:13:53 IST 2026, 85 W
Tue Mar 17 18:13:54 IST 2026, 84 W
Tue Mar 17 18:13:55 IST 2026, 85 W
Tue Mar 17 18:13:56 IST 2026, 85 W
Tue Mar 17 18:13:57 IST 2026, 84 W
Tue Mar 17 18:13:58 IST 2026, 87 W
Tue Mar 17 18:13:59 IST 2026, 82 W
Tue Mar 17 18:14:00 IST 2026, 82 W
Tue Mar 17 18:14:01 IST 2026, 92 W
Tue Mar 17 18:14:02 IST 2026, 87 W
Tue Mar 17 18:14:03 IST 2026, 89 W
Tue Mar 17 18:14:04 IST 2026, 90 W
Tue Mar 17 18:14:05 IST 2026, 83 W
Tue Mar 17 18:14:06 IST 2026, 87 W
Tue Mar 17 18:14:07 IST 2026, 88 W
Tue Mar 17 18:14:08 IST 2026, 88 W
Tue Mar 17 18:14:09 IST 2026, 83 W
Tue Mar 17 18:14:10 IST 2026, 94 W
Tue Mar 17 18:14:11 IST 2026, 90 W
Tue Mar 17 18:14:12 IST 2026, 90 W
Tue Mar 17 18:14:13 IST 2026, 88 W
Tue Mar 17 18:14:14 IST 2026, 88 W
Tue Mar 17 18:14:15 IST 2026, 84 W
Tue Mar 17 18:14:16 IST 2026, 83 W
Tue Mar 17 18:14:17 IST 2026, 82 W
Tue Mar 17 18:14:18 IST 2026, 89 W
Tue Mar 17 18:14:19 IST 2026, 86 W
Tue Mar 17 18:14:20 IST 2026, 87 W
Tue Mar 17 18:14:21 IST 2026, 81 W
Tue Mar 17 18:14:22 IST 2026, 91 W
Tue Mar 17 18:14:23 IST 2026, 89 W
Tue Mar 17 18:14:24 IST 2026, 91 W
Tue Mar 17 18:14:25 IST 2026, 87 W
Tue Mar 17 18:14:26 IST 2026, 88 W
Tue Mar 17 18:14:27 IST 2026, 85 W
Tue Mar 17 18:14:28 IST 2026, 89 W
Tue Mar 17 18:14:29 IST 2026, 83 W
Tue Mar 17 18:14:30 IST 2026, 90 W
Tue Mar 17 18:14:31 IST 2026, 84 W
Tue Mar 17 18:14:32 IST 2026, 88 W
Tue Mar 17 18:14:33 IST 2026, 89 W
Tue Mar 17 18:14:34 IST 2026, 88 W
Tue Mar 17 18:14:35 IST 2026, 91 W
Tue Mar 17 18:14:36 IST 2026, 84 W
Tue Mar 17 18:14:37 IST 2026, 89 W
Tue Mar 17 18:14:38 IST 2026, 90 W
Tue Mar 17 18:14:39 IST 2026, 91 W
Tue Mar 17 18:14:40 IST 2026, 89 W
Tue Mar 17 18:14:41 IST 2026, 90 W
Tue Mar 17 18:14:42 IST 2026, 86 W
Tue Mar 17 18:14:43 IST 2026, 85 W
Tue Mar 17 18:14:44 IST 2026, 89 W
Tue Mar 17 18:14:45 IST 2026, 87 W
Tue Mar 17 18:14:46 IST 2026, 93 W
Tue Mar 17 18:14:47 IST 2026, 84 W
Tue Mar 17 18:14:48 IST 2026, 87 W
