timestamp, power.draw [W]
Tue Mar 17 20:06:40 IST 2026, 81 W
Tue Mar 17 20:06:40 IST 2026, 112 W
Tue Mar 17 20:06:41 IST 2026, 87 W
Tue Mar 17 20:06:41 IST 2026, 112 W
Tue Mar 17 20:06:42 IST 2026, 88 W
Tue Mar 17 20:06:42 IST 2026, 113 W
Tue Mar 17 20:06:43 IST 2026, 83 W
Tue Mar 17 20:06:43 IST 2026, 116 W
Tue Mar 17 20:06:44 IST 2026, 85 W
Tue Mar 17 20:06:44 IST 2026, 119 W
Tue Mar 17 20:06:46 IST 2026, 82 W
Tue Mar 17 20:06:46 IST 2026, 120 W
Tue Mar 17 20:06:46 IST 2026, 81 W
Tue Mar 17 20:06:46 IST 2026, 112 W
Tue Mar 17 20:06:47 IST 2026, 81 W
Tue Mar 17 20:06:47 IST 2026, 117 W
Tue Mar 17 20:06:49 IST 2026, 85 W
Tue Mar 17 20:06:49 IST 2026, 112 W
Tue Mar 17 20:06:50 IST 2026, 79 W
Tue Mar 17 20:06:50 IST 2026, 117 W
Tue Mar 17 20:06:51 IST 2026, 89 W
Tue Mar 17 20:06:51 IST 2026, 110 W
Tue Mar 17 20:06:52 IST 2026, 85 W
Tue Mar 17 20:06:52 IST 2026, 108 W
Tue Mar 17 20:06:53 IST 2026, 92 W
Tue Mar 17 20:06:53 IST 2026, 117 W
Tue Mar 17 20:06:54 IST 2026, 89 W
Tue Mar 17 20:06:54 IST 2026, 119 W
Tue Mar 17 20:06:55 IST 2026, 85 W
Tue Mar 17 20:06:55 IST 2026, 113 W
Tue Mar 17 20:06:56 IST 2026, 88 W
Tue Mar 17 20:06:56 IST 2026, 115 W
Tue Mar 17 20:06:57 IST 2026, 88 W
Tue Mar 17 20:06:57 IST 2026, 116 W
Tue Mar 17 20:06:58 IST 2026, 86 W
Tue Mar 17 20:06:58 IST 2026, 121 W
Tue Mar 17 20:06:59 IST 2026, 84 W
Tue Mar 17 20:06:59 IST 2026, 116 W
Tue Mar 17 20:07:00 IST 2026, 85 W
Tue Mar 17 20:07:00 IST 2026, 122 W
Tue Mar 17 20:07:01 IST 2026, 85 W
Tue Mar 17 20:07:01 IST 2026, 116 W
Tue Mar 17 20:07:02 IST 2026, 90 W
Tue Mar 17 20:07:02 IST 2026, 123 W
Tue Mar 17 20:07:03 IST 2026, 88 W
Tue Mar 17 20:07:03 IST 2026, 116 W
Tue Mar 17 20:07:04 IST 2026, 83 W
Tue Mar 17 20:07:04 IST 2026, 112 W
Tue Mar 17 20:07:05 IST 2026, 91 W
Tue Mar 17 20:07:05 IST 2026, 121 W
Tue Mar 17 20:07:06 IST 2026, 90 W
Tue Mar 17 20:07:06 IST 2026, 117 W
Tue Mar 17 20:07:07 IST 2026, 85 W
Tue Mar 17 20:07:07 IST 2026, 115 W
Tue Mar 17 20:07:08 IST 2026, 84 W
Tue Mar 17 20:07:08 IST 2026, 112 W
Tue Mar 17 20:07:09 IST 2026, 84 W
Tue Mar 17 20:07:09 IST 2026, 119 W
Tue Mar 17 20:07:10 IST 2026, 90 W
Tue Mar 17 20:07:10 IST 2026, 116 W
Tue Mar 17 20:07:11 IST 2026, 85 W
Tue Mar 17 20:07:11 IST 2026, 123 W
Tue Mar 17 20:07:12 IST 2026, 86 W
Tue Mar 17 20:07:12 IST 2026, 117 W
Tue Mar 17 20:07:13 IST 2026, 85 W
Tue Mar 17 20:07:13 IST 2026, 117 W
Tue Mar 17 20:07:14 IST 2026, 85 W
Tue Mar 17 20:07:14 IST 2026, 116 W
Tue Mar 17 20:07:15 IST 2026, 92 W
Tue Mar 17 20:07:15 IST 2026, 110 W
Tue Mar 17 20:07:16 IST 2026, 91 W
Tue Mar 17 20:07:16 IST 2026, 118 W
Tue Mar 17 20:07:17 IST 2026, 88 W
Tue Mar 17 20:07:17 IST 2026, 111 W
Tue Mar 17 20:07:18 IST 2026, 83 W
Tue Mar 17 20:07:18 IST 2026, 112 W
Tue Mar 17 20:07:19 IST 2026, 91 W
Tue Mar 17 20:07:19 IST 2026, 120 W
Tue Mar 17 20:07:20 IST 2026, 86 W
Tue Mar 17 20:07:20 IST 2026, 112 W
Tue Mar 17 20:07:21 IST 2026, 85 W
Tue Mar 17 20:07:21 IST 2026, 109 W
Tue Mar 17 20:07:22 IST 2026, 90 W
Tue Mar 17 20:07:22 IST 2026, 115 W
Tue Mar 17 20:07:23 IST 2026, 85 W
Tue Mar 17 20:07:23 IST 2026, 120 W
Tue Mar 17 20:07:24 IST 2026, 84 W
Tue Mar 17 20:07:24 IST 2026, 118 W
Tue Mar 17 20:07:25 IST 2026, 89 W
Tue Mar 17 20:07:25 IST 2026, 111 W
Tue Mar 17 20:07:26 IST 2026, 89 W
Tue Mar 17 20:07:26 IST 2026, 116 W
Tue Mar 17 20:07:27 IST 2026, 87 W
Tue Mar 17 20:07:27 IST 2026, 112 W
Tue Mar 17 20:07:28 IST 2026, 86 W
Tue Mar 17 20:07:28 IST 2026, 114 W
Tue Mar 17 20:07:29 IST 2026, 85 W
Tue Mar 17 20:07:29 IST 2026, 113 W
Tue Mar 17 20:07:30 IST 2026, 89 W
Tue Mar 17 20:07:30 IST 2026, 109 W
Tue Mar 17 20:07:31 IST 2026, 87 W
Tue Mar 17 20:07:31 IST 2026, 113 W
Tue Mar 17 20:07:32 IST 2026, 83 W
Tue Mar 17 20:07:32 IST 2026, 118 W
Tue Mar 17 20:07:33 IST 2026, 85 W
Tue Mar 17 20:07:33 IST 2026, 111 W
Tue Mar 17 20:07:34 IST 2026, 94 W
Tue Mar 17 20:07:34 IST 2026, 112 W
Tue Mar 17 20:07:35 IST 2026, 91 W
Tue Mar 17 20:07:35 IST 2026, 107 W
Tue Mar 17 20:07:36 IST 2026, 85 W
Tue Mar 17 20:07:36 IST 2026, 116 W
Tue Mar 17 20:07:37 IST 2026, 82 W
Tue Mar 17 20:07:37 IST 2026, 119 W
Tue Mar 17 20:07:38 IST 2026, 86 W
Tue Mar 17 20:07:38 IST 2026, 110 W
Tue Mar 17 20:07:39 IST 2026, 84 W
Tue Mar 17 20:07:39 IST 2026, 113 W
Tue Mar 17 20:07:40 IST 2026, 87 W
Tue Mar 17 20:07:40 IST 2026, 115 W
Tue Mar 17 20:07:41 IST 2026, 87 W
Tue Mar 17 20:07:41 IST 2026, 118 W
Tue Mar 17 20:07:42 IST 2026, 88 W
Tue Mar 17 20:07:42 IST 2026, 114 W
Tue Mar 17 20:07:43 IST 2026, 84 W
Tue Mar 17 20:07:43 IST 2026, 115 W
Tue Mar 17 20:07:44 IST 2026, 84 W
Tue Mar 17 20:07:44 IST 2026, 114 W
Tue Mar 17 20:07:45 IST 2026, 84 W
Tue Mar 17 20:07:45 IST 2026, 111 W
Tue Mar 17 20:07:46 IST 2026, 81 W
Tue Mar 17 20:07:46 IST 2026, 114 W
Tue Mar 17 20:07:47 IST 2026, 94 W
Tue Mar 17 20:07:47 IST 2026, 118 W
Tue Mar 17 20:07:48 IST 2026, 92 W
Tue Mar 17 20:07:48 IST 2026, 113 W
Tue Mar 17 20:07:49 IST 2026, 90 W
Tue Mar 17 20:07:49 IST 2026, 117 W
Tue Mar 17 20:07:50 IST 2026, 89 W
Tue Mar 17 20:07:50 IST 2026, 114 W
Tue Mar 17 20:07:51 IST 2026, 86 W
Tue Mar 17 20:07:51 IST 2026, 118 W
Tue Mar 17 20:07:52 IST 2026, 91 W
Tue Mar 17 20:07:52 IST 2026, 112 W
Tue Mar 17 20:07:53 IST 2026, 88 W
Tue Mar 17 20:07:53 IST 2026, 108 W
Tue Mar 17 20:07:54 IST 2026, 89 W
Tue Mar 17 20:07:54 IST 2026, 110 W
Tue Mar 17 20:07:55 IST 2026, 87 W
Tue Mar 17 20:07:55 IST 2026, 113 W
Tue Mar 17 20:07:56 IST 2026, 92 W
Tue Mar 17 20:07:56 IST 2026, 111 W
Tue Mar 17 20:07:57 IST 2026, 92 W
Tue Mar 17 20:07:57 IST 2026, 116 W
Tue Mar 17 20:07:58 IST 2026, 92 W
Tue Mar 17 20:07:58 IST 2026, 114 W
Tue Mar 17 20:07:59 IST 2026, 93 W
Tue Mar 17 20:07:59 IST 2026, 116 W
Tue Mar 17 20:08:00 IST 2026, 92 W
Tue Mar 17 20:08:00 IST 2026, 113 W
Tue Mar 17 20:08:01 IST 2026, 87 W
Tue Mar 17 20:08:01 IST 2026, 112 W
Tue Mar 17 20:08:02 IST 2026, 88 W
Tue Mar 17 20:08:02 IST 2026, 115 W
Tue Mar 17 20:08:03 IST 2026, 86 W
Tue Mar 17 20:08:03 IST 2026, 112 W
Tue Mar 17 20:08:04 IST 2026, 86 W
Tue Mar 17 20:08:04 IST 2026, 114 W
Tue Mar 17 20:08:05 IST 2026, 87 W
Tue Mar 17 20:08:05 IST 2026, 121 W
Tue Mar 17 20:08:06 IST 2026, 86 W
Tue Mar 17 20:08:06 IST 2026, 117 W
Tue Mar 17 20:08:07 IST 2026, 90 W
Tue Mar 17 20:08:07 IST 2026, 117 W
Tue Mar 17 20:08:08 IST 2026, 87 W
Tue Mar 17 20:08:08 IST 2026, 124 W
Tue Mar 17 20:08:09 IST 2026, 87 W
Tue Mar 17 20:08:09 IST 2026, 113 W
Tue Mar 17 20:08:10 IST 2026, 90 W
Tue Mar 17 20:08:10 IST 2026, 116 W
Tue Mar 17 20:08:11 IST 2026, 88 W
Tue Mar 17 20:08:11 IST 2026, 114 W
Tue Mar 17 20:08:12 IST 2026, 86 W
Tue Mar 17 20:08:12 IST 2026, 112 W
Tue Mar 17 20:08:13 IST 2026, 86 W
Tue Mar 17 20:08:13 IST 2026, 115 W
Tue Mar 17 20:08:14 IST 2026, 88 W
Tue Mar 17 20:08:14 IST 2026, 110 W
Tue Mar 17 20:08:15 IST 2026, 85 W
Tue Mar 17 20:08:15 IST 2026, 118 W
Tue Mar 17 20:08:16 IST 2026, 94 W
Tue Mar 17 20:08:16 IST 2026, 119 W
Tue Mar 17 20:08:17 IST 2026, 89 W
Tue Mar 17 20:08:17 IST 2026, 113 W
Tue Mar 17 20:08:18 IST 2026, 89 W
Tue Mar 17 20:08:18 IST 2026, 112 W
Tue Mar 17 20:08:19 IST 2026, 89 W
Tue Mar 17 20:08:19 IST 2026, 120 W
Tue Mar 17 20:08:20 IST 2026, 90 W
Tue Mar 17 20:08:20 IST 2026, 116 W
Tue Mar 17 20:08:21 IST 2026, 85 W
Tue Mar 17 20:08:21 IST 2026, 114 W
Tue Mar 17 20:08:22 IST 2026, 89 W
Tue Mar 17 20:08:22 IST 2026, 116 W
Tue Mar 17 20:08:23 IST 2026, 89 W
Tue Mar 17 20:08:23 IST 2026, 121 W
Tue Mar 17 20:08:24 IST 2026, 86 W
Tue Mar 17 20:08:24 IST 2026, 116 W
Tue Mar 17 20:08:25 IST 2026, 85 W
Tue Mar 17 20:08:25 IST 2026, 109 W
Tue Mar 17 20:08:26 IST 2026, 95 W
Tue Mar 17 20:08:26 IST 2026, 113 W
Tue Mar 17 20:08:27 IST 2026, 91 W
Tue Mar 17 20:08:27 IST 2026, 111 W
Tue Mar 17 20:08:28 IST 2026, 90 W
Tue Mar 17 20:08:28 IST 2026, 117 W
Tue Mar 17 20:08:29 IST 2026, 91 W
Tue Mar 17 20:08:29 IST 2026, 111 W
Tue Mar 17 20:08:30 IST 2026, 85 W
Tue Mar 17 20:08:30 IST 2026, 114 W
Tue Mar 17 20:08:31 IST 2026, 93 W
Tue Mar 17 20:08:31 IST 2026, 116 W
Tue Mar 17 20:08:32 IST 2026, 84 W
Tue Mar 17 20:08:32 IST 2026, 113 W
Tue Mar 17 20:08:33 IST 2026, 92 W
Tue Mar 17 20:08:33 IST 2026, 112 W
Tue Mar 17 20:08:34 IST 2026, 87 W
Tue Mar 17 20:08:34 IST 2026, 114 W
Tue Mar 17 20:08:35 IST 2026, 85 W
Tue Mar 17 20:08:35 IST 2026, 118 W
Tue Mar 17 20:08:36 IST 2026, 90 W
Tue Mar 17 20:08:36 IST 2026, 117 W
Tue Mar 17 20:08:37 IST 2026, 86 W
Tue Mar 17 20:08:37 IST 2026, 110 W
Tue Mar 17 20:08:38 IST 2026, 91 W
Tue Mar 17 20:08:38 IST 2026, 112 W
Tue Mar 17 20:08:39 IST 2026, 88 W
Tue Mar 17 20:08:39 IST 2026, 116 W
Tue Mar 17 20:08:40 IST 2026, 90 W
Tue Mar 17 20:08:40 IST 2026, 112 W
Tue Mar 17 20:08:41 IST 2026, 86 W
Tue Mar 17 20:08:41 IST 2026, 113 W
Tue Mar 17 20:08:42 IST 2026, 87 W
Tue Mar 17 20:08:42 IST 2026, 118 W
Tue Mar 17 20:08:43 IST 2026, 96 W
Tue Mar 17 20:08:43 IST 2026, 122 W
Tue Mar 17 20:08:44 IST 2026, 89 W
Tue Mar 17 20:08:44 IST 2026, 110 W
Tue Mar 17 20:08:45 IST 2026, 85 W
Tue Mar 17 20:08:45 IST 2026, 108 W
Tue Mar 17 20:08:46 IST 2026, 82 W
Tue Mar 17 20:08:46 IST 2026, 114 W
Tue Mar 17 20:08:47 IST 2026, 84 W
Tue Mar 17 20:08:47 IST 2026, 109 W
Tue Mar 17 20:08:48 IST 2026, 86 W
Tue Mar 17 20:08:48 IST 2026, 112 W
Tue Mar 17 20:08:49 IST 2026, 89 W
Tue Mar 17 20:08:49 IST 2026, 113 W
Tue Mar 17 20:08:50 IST 2026, 88 W
Tue Mar 17 20:08:50 IST 2026, 113 W
Tue Mar 17 20:08:51 IST 2026, 87 W
Tue Mar 17 20:08:51 IST 2026, 113 W
Tue Mar 17 20:08:52 IST 2026, 88 W
Tue Mar 17 20:08:52 IST 2026, 112 W
Tue Mar 17 20:08:53 IST 2026, 92 W
Tue Mar 17 20:08:53 IST 2026, 119 W
Tue Mar 17 20:08:54 IST 2026, 88 W
Tue Mar 17 20:08:54 IST 2026, 112 W
Tue Mar 17 20:08:55 IST 2026, 89 W
Tue Mar 17 20:08:55 IST 2026, 117 W
Tue Mar 17 20:08:56 IST 2026, 93 W
Tue Mar 17 20:08:56 IST 2026, 115 W
Tue Mar 17 20:08:57 IST 2026, 92 W
Tue Mar 17 20:08:57 IST 2026, 112 W
Tue Mar 17 20:08:58 IST 2026, 94 W
Tue Mar 17 20:08:58 IST 2026, 115 W
Tue Mar 17 20:08:59 IST 2026, 83 W
Tue Mar 17 20:08:59 IST 2026, 114 W
