timestamp, power.draw [W]
Sun Mar 22 11:17:58 IST 2026, 227 W
Sun Mar 22 11:17:58 IST 2026, 229 W
Sun Mar 22 11:17:58 IST 2026, 227 W
Sun Mar 22 11:17:58 IST 2026, 231 W
Sun Mar 22 11:17:58 IST 2026, 228 W
Sun Mar 22 11:17:58 IST 2026, 230 W
Sun Mar 22 11:17:58 IST 2026, 226 W
Sun Mar 22 11:17:58 IST 2026, 228 W
Sun Mar 22 11:17:59 IST 2026, 227 W
Sun Mar 22 11:17:59 IST 2026, 229 W
Sun Mar 22 11:17:59 IST 2026, 227 W
Sun Mar 22 11:17:59 IST 2026, 231 W
Sun Mar 22 11:17:59 IST 2026, 227 W
Sun Mar 22 11:17:59 IST 2026, 230 W
Sun Mar 22 11:17:59 IST 2026, 226 W
Sun Mar 22 11:17:59 IST 2026, 227 W
Sun Mar 22 11:18:00 IST 2026, 227 W
Sun Mar 22 11:18:00 IST 2026, 229 W
Sun Mar 22 11:18:00 IST 2026, 227 W
Sun Mar 22 11:18:00 IST 2026, 231 W
Sun Mar 22 11:18:00 IST 2026, 228 W
Sun Mar 22 11:18:00 IST 2026, 231 W
Sun Mar 22 11:18:00 IST 2026, 226 W
Sun Mar 22 11:18:00 IST 2026, 227 W
Sun Mar 22 11:18:01 IST 2026, 227 W
Sun Mar 22 11:18:01 IST 2026, 229 W
Sun Mar 22 11:18:01 IST 2026, 227 W
Sun Mar 22 11:18:01 IST 2026, 231 W
Sun Mar 22 11:18:01 IST 2026, 227 W
Sun Mar 22 11:18:01 IST 2026, 230 W
Sun Mar 22 11:18:01 IST 2026, 226 W
Sun Mar 22 11:18:01 IST 2026, 228 W
Sun Mar 22 11:18:02 IST 2026, 227 W
Sun Mar 22 11:18:02 IST 2026, 229 W
Sun Mar 22 11:18:02 IST 2026, 227 W
Sun Mar 22 11:18:02 IST 2026, 231 W
Sun Mar 22 11:18:02 IST 2026, 228 W
Sun Mar 22 11:18:02 IST 2026, 230 W
Sun Mar 22 11:18:02 IST 2026, 226 W
