timestamp, power.draw [W]
Sat Mar 21 14:30:37 IST 2026, 231 W
Sat Mar 21 14:30:37 IST 2026, 227 W
Sat Mar 21 14:30:37 IST 2026, 227 W
Sat Mar 21 14:30:37 IST 2026, 231 W
Sat Mar 21 14:30:38 IST 2026, 231 W
Sat Mar 21 14:30:38 IST 2026, 227 W
Sat Mar 21 14:30:38 IST 2026, 227 W
Sat Mar 21 14:30:38 IST 2026, 231 W
Sat Mar 21 14:30:39 IST 2026, 231 W
Sat Mar 21 14:30:39 IST 2026, 227 W
Sat Mar 21 14:30:39 IST 2026, 227 W
Sat Mar 21 14:30:39 IST 2026, 231 W
Sat Mar 21 14:30:40 IST 2026, 231 W
Sat Mar 21 14:30:40 IST 2026, 227 W
Sat Mar 21 14:30:40 IST 2026, 227 W
Sat Mar 21 14:30:40 IST 2026, 231 W
Sat Mar 21 14:30:41 IST 2026, 231 W
Sat Mar 21 14:30:41 IST 2026, 227 W
Sat Mar 21 14:30:41 IST 2026, 227 W
Sat Mar 21 14:30:41 IST 2026, 231 W
Sat Mar 21 14:30:42 IST 2026, 231 W
Sat Mar 21 14:30:42 IST 2026, 227 W
Sat Mar 21 14:30:42 IST 2026, 227 W
Sat Mar 21 14:30:42 IST 2026, 231 W
Sat Mar 21 14:30:43 IST 2026, 231 W
Sat Mar 21 14:30:43 IST 2026, 227 W
Sat Mar 21 14:30:43 IST 2026, 227 W
Sat Mar 21 14:30:43 IST 2026, 231 W
Sat Mar 21 14:30:44 IST 2026, 231 W
Sat Mar 21 14:30:44 IST 2026, 227 W
Sat Mar 21 14:30:44 IST 2026, 227 W
Sat Mar 21 14:30:44 IST 2026, 231 W
Sat Mar 21 14:30:45 IST 2026, 233 W
Sat Mar 21 14:30:45 IST 2026, 233 W
Sat Mar 21 14:30:45 IST 2026, 228 W
Sat Mar 21 14:30:45 IST 2026, 232 W
Sat Mar 21 14:30:46 IST 2026, 237 W
Sat Mar 21 14:30:46 IST 2026, 232 W
Sat Mar 21 14:30:46 IST 2026, 233 W
Sat Mar 21 14:30:46 IST 2026, 238 W
Sat Mar 21 14:30:47 IST 2026, 237 W
Sat Mar 21 14:30:47 IST 2026, 232 W
Sat Mar 21 14:30:47 IST 2026, 233 W
Sat Mar 21 14:30:47 IST 2026, 239 W
Sat Mar 21 14:30:48 IST 2026, 237 W
Sat Mar 21 14:30:48 IST 2026, 234 W
Sat Mar 21 14:30:48 IST 2026, 232 W
Sat Mar 21 14:30:48 IST 2026, 237 W
Sat Mar 21 14:30:49 IST 2026, 237 W
Sat Mar 21 14:30:49 IST 2026, 230 W
Sat Mar 21 14:30:49 IST 2026, 230 W
Sat Mar 21 14:30:49 IST 2026, 237 W
Sat Mar 21 14:30:50 IST 2026, 237 W
Sat Mar 21 14:30:50 IST 2026, 233 W
Sat Mar 21 14:30:50 IST 2026, 233 W
Sat Mar 21 14:30:50 IST 2026, 237 W
Sat Mar 21 14:30:51 IST 2026, 237 W
Sat Mar 21 14:30:51 IST 2026, 233 W
Sat Mar 21 14:30:51 IST 2026, 232 W
Sat Mar 21 14:30:51 IST 2026, 236 W
Sat Mar 21 14:30:52 IST 2026, 236 W
Sat Mar 21 14:30:52 IST 2026, 233 W
Sat Mar 21 14:30:52 IST 2026, 232 W
Sat Mar 21 14:30:52 IST 2026, 236 W
Sat Mar 21 14:30:53 IST 2026, 235 W
Sat Mar 21 14:30:53 IST 2026, 233 W
Sat Mar 21 14:30:53 IST 2026, 232 W
Sat Mar 21 14:30:53 IST 2026, 235 W
Sat Mar 21 14:30:54 IST 2026, 236 W
Sat Mar 21 14:30:54 IST 2026, 230 W
Sat Mar 21 14:30:54 IST 2026, 230 W
Sat Mar 21 14:30:54 IST 2026, 235 W
Sat Mar 21 14:30:55 IST 2026, 238 W
Sat Mar 21 14:30:55 IST 2026, 233 W
Sat Mar 21 14:30:55 IST 2026, 232 W
Sat Mar 21 14:30:55 IST 2026, 237 W
Sat Mar 21 14:30:56 IST 2026, 236 W
Sat Mar 21 14:30:56 IST 2026, 233 W
Sat Mar 21 14:30:56 IST 2026, 233 W
Sat Mar 21 14:30:56 IST 2026, 237 W
Sat Mar 21 14:30:57 IST 2026, 237 W
Sat Mar 21 14:30:57 IST 2026, 234 W
Sat Mar 21 14:30:57 IST 2026, 233 W
Sat Mar 21 14:30:57 IST 2026, 237 W
Sat Mar 21 14:30:58 IST 2026, 237 W
Sat Mar 21 14:30:58 IST 2026, 233 W
Sat Mar 21 14:30:58 IST 2026, 232 W
Sat Mar 21 14:30:58 IST 2026, 236 W
Sat Mar 21 14:30:59 IST 2026, 236 W
Sat Mar 21 14:30:59 IST 2026, 232 W
Sat Mar 21 14:30:59 IST 2026, 232 W
Sat Mar 21 14:30:59 IST 2026, 237 W
Sat Mar 21 14:31:00 IST 2026, 237 W
Sat Mar 21 14:31:00 IST 2026, 233 W
Sat Mar 21 14:31:00 IST 2026, 232 W
Sat Mar 21 14:31:00 IST 2026, 237 W
Sat Mar 21 14:31:01 IST 2026, 237 W
Sat Mar 21 14:31:01 IST 2026, 233 W
Sat Mar 21 14:31:01 IST 2026, 232 W
Sat Mar 21 14:31:01 IST 2026, 237 W
Sat Mar 21 14:31:02 IST 2026, 238 W
Sat Mar 21 14:31:02 IST 2026, 233 W
Sat Mar 21 14:31:02 IST 2026, 233 W
Sat Mar 21 14:31:02 IST 2026, 237 W
Sat Mar 21 14:31:03 IST 2026, 237 W
Sat Mar 21 14:31:03 IST 2026, 233 W
Sat Mar 21 14:31:03 IST 2026, 232 W
Sat Mar 21 14:31:03 IST 2026, 237 W
Sat Mar 21 14:31:04 IST 2026, 237 W
Sat Mar 21 14:31:04 IST 2026, 235 W
Sat Mar 21 14:31:04 IST 2026, 232 W
Sat Mar 21 14:31:04 IST 2026, 237 W
