timestamp, power.draw [W]
Wed Mar 11 20:49:55 IST 2026, 99 W
Wed Mar 11 20:49:56 IST 2026, 106 W
Wed Mar 11 20:49:57 IST 2026, 108 W
Wed Mar 11 20:49:58 IST 2026, 107 W
Wed Mar 11 20:49:59 IST 2026, 110 W
Wed Mar 11 20:50:00 IST 2026, 98 W
Wed Mar 11 20:50:01 IST 2026, 98 W
Wed Mar 11 20:50:02 IST 2026, 99 W
Wed Mar 11 20:50:03 IST 2026, 104 W
Wed Mar 11 20:50:04 IST 2026, 109 W
Wed Mar 11 20:50:05 IST 2026, 108 W
Wed Mar 11 20:50:06 IST 2026, 103 W
Wed Mar 11 20:50:07 IST 2026, 99 W
Wed Mar 11 20:50:08 IST 2026, 309 W
Wed Mar 11 20:50:09 IST 2026, 309 W
Wed Mar 11 20:50:10 IST 2026, 310 W
Wed Mar 11 20:50:11 IST 2026, 307 W
Wed Mar 11 20:50:12 IST 2026, 309 W
Wed Mar 11 20:50:13 IST 2026, 312 W
Wed Mar 11 20:50:14 IST 2026, 313 W
Wed Mar 11 20:50:15 IST 2026, 307 W
Wed Mar 11 20:50:16 IST 2026, 301 W
Wed Mar 11 20:50:17 IST 2026, 303 W
Wed Mar 11 20:50:18 IST 2026, 107 W
Wed Mar 11 20:50:19 IST 2026, 104 W
Wed Mar 11 20:50:20 IST 2026, 297 W
Wed Mar 11 20:50:21 IST 2026, 292 W
Wed Mar 11 20:50:22 IST 2026, 304 W
Wed Mar 11 20:50:23 IST 2026, 292 W
Wed Mar 11 20:50:24 IST 2026, 299 W
Wed Mar 11 20:50:25 IST 2026, 108 W
Wed Mar 11 20:50:26 IST 2026, 98 W
Wed Mar 11 20:50:27 IST 2026, 289 W
Wed Mar 11 20:50:28 IST 2026, 282 W
Wed Mar 11 20:50:29 IST 2026, 282 W
Wed Mar 11 20:50:30 IST 2026, 221 W
Wed Mar 11 20:50:31 IST 2026, 104 W
Wed Mar 11 20:50:32 IST 2026, 275 W
Wed Mar 11 20:50:33 IST 2026, 101 W
Wed Mar 11 20:50:34 IST 2026, 99 W
Wed Mar 11 20:50:35 IST 2026, 264 W
Wed Mar 11 20:50:36 IST 2026, 261 W
Wed Mar 11 20:50:37 IST 2026, 260 W
Wed Mar 11 20:50:38 IST 2026, 271 W
Wed Mar 11 20:50:39 IST 2026, 109 W
Wed Mar 11 20:50:40 IST 2026, 98 W
Wed Mar 11 20:50:41 IST 2026, 309 W
Wed Mar 11 20:50:42 IST 2026, 314 W
Wed Mar 11 20:50:43 IST 2026, 303 W
Wed Mar 11 20:50:44 IST 2026, 303 W
Wed Mar 11 20:50:45 IST 2026, 309 W
Wed Mar 11 20:50:46 IST 2026, 309 W
Wed Mar 11 20:50:47 IST 2026, 309 W
Wed Mar 11 20:50:48 IST 2026, 298 W
