timestamp, power.draw [W]
Wed Feb 18 18:22:12 IST 2026, 88 W
Wed Feb 18 18:22:12 IST 2026, 84 W
Wed Feb 18 18:22:12 IST 2026, 99 W
Wed Feb 18 18:22:12 IST 2026, 94 W
Wed Feb 18 18:22:12 IST 2026, 77 W
Wed Feb 18 18:22:12 IST 2026, 92 W
Wed Feb 18 18:22:12 IST 2026, 90 W
Wed Feb 18 18:22:12 IST 2026, 102 W
Wed Feb 18 18:22:13 IST 2026, 84 W
Wed Feb 18 18:22:13 IST 2026, 86 W
Wed Feb 18 18:22:13 IST 2026, 100 W
Wed Feb 18 18:22:13 IST 2026, 92 W
Wed Feb 18 18:22:13 IST 2026, 78 W
Wed Feb 18 18:22:13 IST 2026, 94 W
Wed Feb 18 18:22:13 IST 2026, 87 W
Wed Feb 18 18:22:13 IST 2026, 100 W
Wed Feb 18 18:22:14 IST 2026, 85 W
Wed Feb 18 18:22:14 IST 2026, 88 W
Wed Feb 18 18:22:14 IST 2026, 95 W
Wed Feb 18 18:22:14 IST 2026, 92 W
Wed Feb 18 18:22:14 IST 2026, 75 W
Wed Feb 18 18:22:14 IST 2026, 92 W
Wed Feb 18 18:22:14 IST 2026, 89 W
Wed Feb 18 18:22:14 IST 2026, 100 W
Wed Feb 18 18:22:15 IST 2026, 87 W
Wed Feb 18 18:22:15 IST 2026, 88 W
Wed Feb 18 18:22:15 IST 2026, 97 W
Wed Feb 18 18:22:15 IST 2026, 97 W
Wed Feb 18 18:22:15 IST 2026, 75 W
Wed Feb 18 18:22:15 IST 2026, 94 W
Wed Feb 18 18:22:15 IST 2026, 90 W
Wed Feb 18 18:22:15 IST 2026, 104 W
Wed Feb 18 18:22:16 IST 2026, 210 W
Wed Feb 18 18:22:16 IST 2026, 204 W
Wed Feb 18 18:22:16 IST 2026, 206 W
Wed Feb 18 18:22:16 IST 2026, 203 W
Wed Feb 18 18:22:16 IST 2026, 193 W
Wed Feb 18 18:22:16 IST 2026, 202 W
Wed Feb 18 18:22:16 IST 2026, 193 W
Wed Feb 18 18:22:16 IST 2026, 208 W
Wed Feb 18 18:22:17 IST 2026, 85 W
Wed Feb 18 18:22:17 IST 2026, 88 W
Wed Feb 18 18:22:17 IST 2026, 98 W
Wed Feb 18 18:22:17 IST 2026, 93 W
Wed Feb 18 18:22:17 IST 2026, 77 W
Wed Feb 18 18:22:17 IST 2026, 92 W
Wed Feb 18 18:22:17 IST 2026, 89 W
Wed Feb 18 18:22:17 IST 2026, 103 W
Wed Feb 18 18:22:18 IST 2026, 86 W
Wed Feb 18 18:22:18 IST 2026, 88 W
Wed Feb 18 18:22:18 IST 2026, 99 W
Wed Feb 18 18:22:18 IST 2026, 92 W
Wed Feb 18 18:22:18 IST 2026, 80 W
Wed Feb 18 18:22:18 IST 2026, 91 W
Wed Feb 18 18:22:18 IST 2026, 86 W
Wed Feb 18 18:22:18 IST 2026, 98 W
Wed Feb 18 18:22:19 IST 2026, 119 W
Wed Feb 18 18:22:19 IST 2026, 113 W
Wed Feb 18 18:22:19 IST 2026, 125 W
Wed Feb 18 18:22:19 IST 2026, 112 W
Wed Feb 18 18:22:19 IST 2026, 104 W
Wed Feb 18 18:22:19 IST 2026, 113 W
Wed Feb 18 18:22:19 IST 2026, 118 W
Wed Feb 18 18:22:19 IST 2026, 137 W
Wed Feb 18 18:22:20 IST 2026, 126 W
Wed Feb 18 18:22:20 IST 2026, 121 W
Wed Feb 18 18:22:20 IST 2026, 125 W
Wed Feb 18 18:22:20 IST 2026, 120 W
Wed Feb 18 18:22:20 IST 2026, 111 W
Wed Feb 18 18:22:20 IST 2026, 118 W
Wed Feb 18 18:22:20 IST 2026, 119 W
Wed Feb 18 18:22:20 IST 2026, 134 W
Wed Feb 18 18:22:21 IST 2026, 111 W
Wed Feb 18 18:22:21 IST 2026, 114 W
Wed Feb 18 18:22:21 IST 2026, 130 W
Wed Feb 18 18:22:21 IST 2026, 119 W
Wed Feb 18 18:22:21 IST 2026, 107 W
Wed Feb 18 18:22:21 IST 2026, 125 W
Wed Feb 18 18:22:21 IST 2026, 122 W
Wed Feb 18 18:22:21 IST 2026, 140 W
Wed Feb 18 18:22:22 IST 2026, 120 W
Wed Feb 18 18:22:22 IST 2026, 116 W
Wed Feb 18 18:22:22 IST 2026, 127 W
Wed Feb 18 18:22:22 IST 2026, 117 W
Wed Feb 18 18:22:22 IST 2026, 107 W
Wed Feb 18 18:22:22 IST 2026, 128 W
Wed Feb 18 18:22:22 IST 2026, 117 W
Wed Feb 18 18:22:22 IST 2026, 138 W
Wed Feb 18 18:22:23 IST 2026, 116 W
Wed Feb 18 18:22:23 IST 2026, 114 W
Wed Feb 18 18:22:23 IST 2026, 124 W
Wed Feb 18 18:22:23 IST 2026, 118 W
Wed Feb 18 18:22:23 IST 2026, 108 W
Wed Feb 18 18:22:23 IST 2026, 123 W
Wed Feb 18 18:22:23 IST 2026, 115 W
Wed Feb 18 18:22:23 IST 2026, 132 W
Wed Feb 18 18:22:24 IST 2026, 117 W
Wed Feb 18 18:22:24 IST 2026, 117 W
Wed Feb 18 18:22:24 IST 2026, 127 W
Wed Feb 18 18:22:24 IST 2026, 120 W
Wed Feb 18 18:22:24 IST 2026, 114 W
Wed Feb 18 18:22:24 IST 2026, 120 W
Wed Feb 18 18:22:24 IST 2026, 114 W
Wed Feb 18 18:22:24 IST 2026, 139 W
Wed Feb 18 18:22:25 IST 2026, 121 W
Wed Feb 18 18:22:25 IST 2026, 115 W
Wed Feb 18 18:22:25 IST 2026, 125 W
Wed Feb 18 18:22:25 IST 2026, 120 W
Wed Feb 18 18:22:25 IST 2026, 110 W
Wed Feb 18 18:22:25 IST 2026, 125 W
Wed Feb 18 18:22:25 IST 2026, 123 W
Wed Feb 18 18:22:25 IST 2026, 143 W
Wed Feb 18 18:22:26 IST 2026, 121 W
Wed Feb 18 18:22:26 IST 2026, 117 W
Wed Feb 18 18:22:26 IST 2026, 131 W
Wed Feb 18 18:22:26 IST 2026, 116 W
Wed Feb 18 18:22:26 IST 2026, 109 W
Wed Feb 18 18:22:26 IST 2026, 126 W
Wed Feb 18 18:22:26 IST 2026, 124 W
Wed Feb 18 18:22:26 IST 2026, 135 W
Wed Feb 18 18:22:27 IST 2026, 124 W
Wed Feb 18 18:22:27 IST 2026, 120 W
Wed Feb 18 18:22:27 IST 2026, 136 W
Wed Feb 18 18:22:27 IST 2026, 118 W
Wed Feb 18 18:22:27 IST 2026, 107 W
Wed Feb 18 18:22:27 IST 2026, 124 W
Wed Feb 18 18:22:27 IST 2026, 126 W
Wed Feb 18 18:22:27 IST 2026, 136 W
Wed Feb 18 18:22:28 IST 2026, 111 W
Wed Feb 18 18:22:28 IST 2026, 113 W
Wed Feb 18 18:22:28 IST 2026, 123 W
Wed Feb 18 18:22:28 IST 2026, 111 W
Wed Feb 18 18:22:28 IST 2026, 102 W
Wed Feb 18 18:22:28 IST 2026, 116 W
Wed Feb 18 18:22:28 IST 2026, 110 W
Wed Feb 18 18:22:28 IST 2026, 129 W
Wed Feb 18 18:22:29 IST 2026, 115 W
Wed Feb 18 18:22:29 IST 2026, 112 W
Wed Feb 18 18:22:29 IST 2026, 122 W
Wed Feb 18 18:22:29 IST 2026, 113 W
Wed Feb 18 18:22:29 IST 2026, 105 W
Wed Feb 18 18:22:29 IST 2026, 120 W
Wed Feb 18 18:22:29 IST 2026, 110 W
Wed Feb 18 18:22:29 IST 2026, 129 W
Wed Feb 18 18:22:30 IST 2026, 117 W
Wed Feb 18 18:22:30 IST 2026, 113 W
Wed Feb 18 18:22:30 IST 2026, 125 W
Wed Feb 18 18:22:30 IST 2026, 119 W
Wed Feb 18 18:22:30 IST 2026, 106 W
Wed Feb 18 18:22:30 IST 2026, 123 W
Wed Feb 18 18:22:30 IST 2026, 110 W
Wed Feb 18 18:22:30 IST 2026, 128 W
Wed Feb 18 18:22:31 IST 2026, 118 W
Wed Feb 18 18:22:31 IST 2026, 116 W
Wed Feb 18 18:22:31 IST 2026, 127 W
Wed Feb 18 18:22:31 IST 2026, 119 W
Wed Feb 18 18:22:31 IST 2026, 108 W
Wed Feb 18 18:22:31 IST 2026, 122 W
Wed Feb 18 18:22:31 IST 2026, 121 W
Wed Feb 18 18:22:31 IST 2026, 128 W
Wed Feb 18 18:22:32 IST 2026, 114 W
Wed Feb 18 18:22:32 IST 2026, 113 W
Wed Feb 18 18:22:32 IST 2026, 132 W
Wed Feb 18 18:22:32 IST 2026, 125 W
Wed Feb 18 18:22:32 IST 2026, 105 W
Wed Feb 18 18:22:32 IST 2026, 122 W
Wed Feb 18 18:22:32 IST 2026, 118 W
Wed Feb 18 18:22:32 IST 2026, 132 W
Wed Feb 18 18:22:33 IST 2026, 121 W
Wed Feb 18 18:22:33 IST 2026, 121 W
Wed Feb 18 18:22:33 IST 2026, 131 W
Wed Feb 18 18:22:33 IST 2026, 119 W
Wed Feb 18 18:22:33 IST 2026, 111 W
Wed Feb 18 18:22:33 IST 2026, 127 W
Wed Feb 18 18:22:33 IST 2026, 119 W
Wed Feb 18 18:22:33 IST 2026, 140 W
Wed Feb 18 18:22:34 IST 2026, 120 W
Wed Feb 18 18:22:34 IST 2026, 122 W
Wed Feb 18 18:22:34 IST 2026, 129 W
Wed Feb 18 18:22:34 IST 2026, 120 W
Wed Feb 18 18:22:34 IST 2026, 110 W
Wed Feb 18 18:22:34 IST 2026, 126 W
Wed Feb 18 18:22:34 IST 2026, 121 W
Wed Feb 18 18:22:34 IST 2026, 142 W
Wed Feb 18 18:22:35 IST 2026, 117 W
Wed Feb 18 18:22:35 IST 2026, 116 W
Wed Feb 18 18:22:35 IST 2026, 123 W
Wed Feb 18 18:22:35 IST 2026, 118 W
Wed Feb 18 18:22:35 IST 2026, 107 W
Wed Feb 18 18:22:35 IST 2026, 125 W
Wed Feb 18 18:22:35 IST 2026, 125 W
Wed Feb 18 18:22:35 IST 2026, 138 W
Wed Feb 18 18:22:36 IST 2026, 119 W
Wed Feb 18 18:22:36 IST 2026, 115 W
Wed Feb 18 18:22:36 IST 2026, 129 W
Wed Feb 18 18:22:36 IST 2026, 115 W
Wed Feb 18 18:22:36 IST 2026, 105 W
Wed Feb 18 18:22:36 IST 2026, 123 W
Wed Feb 18 18:22:36 IST 2026, 115 W
Wed Feb 18 18:22:36 IST 2026, 133 W
Wed Feb 18 18:22:37 IST 2026, 115 W
Wed Feb 18 18:22:37 IST 2026, 119 W
Wed Feb 18 18:22:37 IST 2026, 131 W
Wed Feb 18 18:22:37 IST 2026, 116 W
Wed Feb 18 18:22:37 IST 2026, 106 W
Wed Feb 18 18:22:37 IST 2026, 120 W
Wed Feb 18 18:22:37 IST 2026, 121 W
Wed Feb 18 18:22:37 IST 2026, 141 W
Wed Feb 18 18:22:38 IST 2026, 119 W
Wed Feb 18 18:22:38 IST 2026, 125 W
Wed Feb 18 18:22:38 IST 2026, 128 W
Wed Feb 18 18:22:38 IST 2026, 121 W
Wed Feb 18 18:22:38 IST 2026, 110 W
Wed Feb 18 18:22:38 IST 2026, 128 W
Wed Feb 18 18:22:38 IST 2026, 128 W
Wed Feb 18 18:22:38 IST 2026, 139 W
Wed Feb 18 18:22:39 IST 2026, 119 W
Wed Feb 18 18:22:39 IST 2026, 111 W
Wed Feb 18 18:22:39 IST 2026, 121 W
Wed Feb 18 18:22:39 IST 2026, 115 W
Wed Feb 18 18:22:39 IST 2026, 108 W
Wed Feb 18 18:22:39 IST 2026, 118 W
Wed Feb 18 18:22:39 IST 2026, 112 W
Wed Feb 18 18:22:39 IST 2026, 135 W
Wed Feb 18 18:22:40 IST 2026, 125 W
Wed Feb 18 18:22:40 IST 2026, 123 W
Wed Feb 18 18:22:40 IST 2026, 137 W
Wed Feb 18 18:22:40 IST 2026, 117 W
Wed Feb 18 18:22:40 IST 2026, 107 W
Wed Feb 18 18:22:40 IST 2026, 125 W
Wed Feb 18 18:22:40 IST 2026, 115 W
Wed Feb 18 18:22:40 IST 2026, 131 W
Wed Feb 18 18:22:41 IST 2026, 123 W
Wed Feb 18 18:22:41 IST 2026, 118 W
Wed Feb 18 18:22:41 IST 2026, 135 W
Wed Feb 18 18:22:41 IST 2026, 120 W
Wed Feb 18 18:22:41 IST 2026, 108 W
Wed Feb 18 18:22:41 IST 2026, 119 W
Wed Feb 18 18:22:41 IST 2026, 118 W
Wed Feb 18 18:22:41 IST 2026, 136 W
Wed Feb 18 18:22:42 IST 2026, 113 W
Wed Feb 18 18:22:42 IST 2026, 115 W
Wed Feb 18 18:22:42 IST 2026, 126 W
Wed Feb 18 18:22:42 IST 2026, 115 W
Wed Feb 18 18:22:42 IST 2026, 105 W
Wed Feb 18 18:22:42 IST 2026, 120 W
Wed Feb 18 18:22:42 IST 2026, 112 W
Wed Feb 18 18:22:42 IST 2026, 138 W
Wed Feb 18 18:22:43 IST 2026, 122 W
Wed Feb 18 18:22:43 IST 2026, 118 W
Wed Feb 18 18:22:43 IST 2026, 138 W
Wed Feb 18 18:22:43 IST 2026, 120 W
Wed Feb 18 18:22:43 IST 2026, 108 W
Wed Feb 18 18:22:43 IST 2026, 126 W
Wed Feb 18 18:22:43 IST 2026, 114 W
Wed Feb 18 18:22:43 IST 2026, 142 W
Wed Feb 18 18:22:44 IST 2026, 116 W
Wed Feb 18 18:22:44 IST 2026, 110 W
Wed Feb 18 18:22:44 IST 2026, 124 W
