timestamp, power.draw [W]
Fri Mar 13 07:58:55 IST 2026, 227 W
Fri Mar 13 07:58:56 IST 2026, 225 W
Fri Mar 13 07:58:57 IST 2026, 225 W
Fri Mar 13 07:58:58 IST 2026, 227 W
Fri Mar 13 07:58:59 IST 2026, 225 W
Fri Mar 13 07:59:00 IST 2026, 225 W
Fri Mar 13 07:59:01 IST 2026, 225 W
Fri Mar 13 07:59:02 IST 2026, 226 W
Fri Mar 13 07:59:03 IST 2026, 226 W
Fri Mar 13 07:59:04 IST 2026, 226 W
Fri Mar 13 07:59:05 IST 2026, 242 W
Fri Mar 13 07:59:06 IST 2026, 227 W
Fri Mar 13 07:59:07 IST 2026, 227 W
Fri Mar 13 07:59:08 IST 2026, 226 W
Fri Mar 13 07:59:09 IST 2026, 227 W
Fri Mar 13 07:59:10 IST 2026, 227 W
Fri Mar 13 07:59:11 IST 2026, 668 W
Fri Mar 13 07:59:12 IST 2026, 668 W
Fri Mar 13 07:59:13 IST 2026, 668 W
Fri Mar 13 07:59:14 IST 2026, 669 W
Fri Mar 13 07:59:15 IST 2026, 667 W
Fri Mar 13 07:59:16 IST 2026, 665 W
Fri Mar 13 07:59:17 IST 2026, 228 W
Fri Mar 13 07:59:18 IST 2026, 227 W
Fri Mar 13 07:59:19 IST 2026, 228 W
Fri Mar 13 07:59:20 IST 2026, 228 W
Fri Mar 13 07:59:21 IST 2026, 451 W
Fri Mar 13 07:59:22 IST 2026, 228 W
Fri Mar 13 07:59:23 IST 2026, 226 W
Fri Mar 13 07:59:24 IST 2026, 227 W
Fri Mar 13 07:59:25 IST 2026, 319 W
Fri Mar 13 07:59:26 IST 2026, 228 W
Fri Mar 13 07:59:27 IST 2026, 226 W
Fri Mar 13 07:59:28 IST 2026, 227 W
Fri Mar 13 07:59:29 IST 2026, 228 W
Fri Mar 13 07:59:30 IST 2026, 416 W
Fri Mar 13 07:59:31 IST 2026, 452 W
Fri Mar 13 07:59:32 IST 2026, 431 W
Fri Mar 13 07:59:33 IST 2026, 453 W
Fri Mar 13 07:59:34 IST 2026, 419 W
Fri Mar 13 07:59:35 IST 2026, 447 W
Fri Mar 13 07:59:36 IST 2026, 228 W
Fri Mar 13 07:59:37 IST 2026, 228 W
Fri Mar 13 07:59:38 IST 2026, 231 W
Fri Mar 13 07:59:39 IST 2026, 229 W
Fri Mar 13 07:59:40 IST 2026, 227 W
Fri Mar 13 07:59:41 IST 2026, 227 W
Fri Mar 13 07:59:42 IST 2026, 228 W
Fri Mar 13 07:59:43 IST 2026, 228 W
Fri Mar 13 07:59:44 IST 2026, 670 W
Fri Mar 13 07:59:45 IST 2026, 667 W
Fri Mar 13 07:59:46 IST 2026, 648 W
Fri Mar 13 07:59:47 IST 2026, 653 W
Fri Mar 13 07:59:48 IST 2026, 643 W
Fri Mar 13 07:59:49 IST 2026, 652 W
Fri Mar 13 07:59:50 IST 2026, 539 W
Fri Mar 13 07:59:51 IST 2026, 541 W
Fri Mar 13 07:59:52 IST 2026, 536 W
Fri Mar 13 07:59:53 IST 2026, 560 W
Fri Mar 13 07:59:54 IST 2026, 514 W
Fri Mar 13 07:59:55 IST 2026, 426 W
Fri Mar 13 07:59:56 IST 2026, 229 W
Fri Mar 13 07:59:57 IST 2026, 668 W
Fri Mar 13 07:59:58 IST 2026, 670 W
Fri Mar 13 07:59:59 IST 2026, 668 W
Fri Mar 13 08:00:00 IST 2026, 665 W
Fri Mar 13 08:00:01 IST 2026, 667 W
Fri Mar 13 08:00:02 IST 2026, 666 W
Fri Mar 13 08:00:03 IST 2026, 668 W
Fri Mar 13 08:00:04 IST 2026, 653 W
Fri Mar 13 08:00:05 IST 2026, 655 W
Fri Mar 13 08:00:06 IST 2026, 535 W
Fri Mar 13 08:00:07 IST 2026, 552 W
