timestamp, power.draw [W]
Sat Mar  7 17:13:03 IST 2026, 228 W
Sat Mar  7 17:13:03 IST 2026, 229 W
Sat Mar  7 17:13:03 IST 2026, 226 W
Sat Mar  7 17:13:03 IST 2026, 229 W
Sat Mar  7 17:13:03 IST 2026, 231 W
Sat Mar  7 17:13:03 IST 2026, 228 W
Sat Mar  7 17:13:03 IST 2026, 226 W
Sat Mar  7 17:13:03 IST 2026, 229 W
Sat Mar  7 17:13:04 IST 2026, 227 W
Sat Mar  7 17:13:04 IST 2026, 229 W
Sat Mar  7 17:13:04 IST 2026, 226 W
Sat Mar  7 17:13:04 IST 2026, 229 W
Sat Mar  7 17:13:04 IST 2026, 231 W
Sat Mar  7 17:13:04 IST 2026, 228 W
Sat Mar  7 17:13:04 IST 2026, 226 W
Sat Mar  7 17:13:04 IST 2026, 228 W
Sat Mar  7 17:13:05 IST 2026, 227 W
Sat Mar  7 17:13:05 IST 2026, 229 W
Sat Mar  7 17:13:05 IST 2026, 226 W
Sat Mar  7 17:13:05 IST 2026, 229 W
Sat Mar  7 17:13:05 IST 2026, 231 W
Sat Mar  7 17:13:05 IST 2026, 228 W
Sat Mar  7 17:13:05 IST 2026, 226 W
Sat Mar  7 17:13:05 IST 2026, 229 W
Sat Mar  7 17:13:06 IST 2026, 228 W
Sat Mar  7 17:13:06 IST 2026, 229 W
Sat Mar  7 17:13:06 IST 2026, 226 W
Sat Mar  7 17:13:06 IST 2026, 229 W
Sat Mar  7 17:13:06 IST 2026, 231 W
Sat Mar  7 17:13:06 IST 2026, 228 W
Sat Mar  7 17:13:06 IST 2026, 226 W
Sat Mar  7 17:13:06 IST 2026, 228 W
Sat Mar  7 17:13:07 IST 2026, 228 W
Sat Mar  7 17:13:07 IST 2026, 229 W
Sat Mar  7 17:13:07 IST 2026, 226 W
Sat Mar  7 17:13:07 IST 2026, 229 W
Sat Mar  7 17:13:07 IST 2026, 231 W
Sat Mar  7 17:13:07 IST 2026, 228 W
Sat Mar  7 17:13:07 IST 2026, 226 W
Sat Mar  7 17:13:07 IST 2026, 228 W
Sat Mar  7 17:13:08 IST 2026, 227 W
Sat Mar  7 17:13:08 IST 2026, 229 W
Sat Mar  7 17:13:08 IST 2026, 226 W
Sat Mar  7 17:13:08 IST 2026, 229 W
Sat Mar  7 17:13:08 IST 2026, 231 W
Sat Mar  7 17:13:08 IST 2026, 228 W
Sat Mar  7 17:13:08 IST 2026, 226 W
Sat Mar  7 17:13:08 IST 2026, 228 W
Sat Mar  7 17:13:09 IST 2026, 227 W
Sat Mar  7 17:13:09 IST 2026, 229 W
Sat Mar  7 17:13:09 IST 2026, 226 W
Sat Mar  7 17:13:09 IST 2026, 229 W
Sat Mar  7 17:13:09 IST 2026, 231 W
Sat Mar  7 17:13:09 IST 2026, 228 W
Sat Mar  7 17:13:09 IST 2026, 226 W
Sat Mar  7 17:13:09 IST 2026, 228 W
Sat Mar  7 17:13:10 IST 2026, 227 W
Sat Mar  7 17:13:10 IST 2026, 229 W
Sat Mar  7 17:13:10 IST 2026, 226 W
Sat Mar  7 17:13:10 IST 2026, 229 W
Sat Mar  7 17:13:10 IST 2026, 231 W
Sat Mar  7 17:13:10 IST 2026, 228 W
Sat Mar  7 17:13:10 IST 2026, 226 W
Sat Mar  7 17:13:10 IST 2026, 228 W
Sat Mar  7 17:13:11 IST 2026, 227 W
Sat Mar  7 17:13:11 IST 2026, 229 W
Sat Mar  7 17:13:11 IST 2026, 226 W
Sat Mar  7 17:13:11 IST 2026, 229 W
Sat Mar  7 17:13:11 IST 2026, 231 W
Sat Mar  7 17:13:11 IST 2026, 228 W
Sat Mar  7 17:13:11 IST 2026, 226 W
Sat Mar  7 17:13:11 IST 2026, 228 W
Sat Mar  7 17:13:12 IST 2026, 227 W
Sat Mar  7 17:13:12 IST 2026, 229 W
Sat Mar  7 17:13:12 IST 2026, 226 W
Sat Mar  7 17:13:12 IST 2026, 231 W
Sat Mar  7 17:13:12 IST 2026, 231 W
Sat Mar  7 17:13:12 IST 2026, 229 W
Sat Mar  7 17:13:12 IST 2026, 227 W
Sat Mar  7 17:13:12 IST 2026, 228 W
Sat Mar  7 17:13:13 IST 2026, 229 W
Sat Mar  7 17:13:13 IST 2026, 231 W
Sat Mar  7 17:13:13 IST 2026, 227 W
Sat Mar  7 17:13:13 IST 2026, 230 W
Sat Mar  7 17:13:13 IST 2026, 233 W
Sat Mar  7 17:13:13 IST 2026, 229 W
Sat Mar  7 17:13:13 IST 2026, 227 W
Sat Mar  7 17:13:13 IST 2026, 231 W
Sat Mar  7 17:13:14 IST 2026, 320 W
Sat Mar  7 17:13:14 IST 2026, 229 W
Sat Mar  7 17:13:14 IST 2026, 226 W
Sat Mar  7 17:13:14 IST 2026, 229 W
Sat Mar  7 17:13:14 IST 2026, 232 W
Sat Mar  7 17:13:14 IST 2026, 229 W
Sat Mar  7 17:13:14 IST 2026, 335 W
Sat Mar  7 17:13:14 IST 2026, 320 W
